"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-2.592324257E0,4.362414837E0,7.741977692E0
2.138718800E-2,-2.697907448E0,4.214059830E0,9.113663673E0
4.267843800E-2,-2.932404041E0,4.182952881E0,8.534300804E0
6.397177100E-2,-3.652942896E0,4.462913513E0,8.060222626E0
8.526510400E-2,-3.729812384E0,4.178167343E0,8.012366295E0
1.065583860E-1,-4.000201225E0,4.178167343E0,8.199305534E0
1.278517190E-1,-3.521337509E0,4.094119549E0,8.067401886E0
1.491450520E-1,-2.903690338E0,4.348057747E0,8.354839325E0
1.704383860E-1,-1.977069736E0,4.079762459E0,8.589336395E0
1.917317190E-1,-1.919641972E0,3.675375462E0,8.187042236E0
2.130250000E-1,-2.010569334E0,3.739981890E0,7.682157040E0
2.343183340E-1,-1.735394597E0,3.622733593E0,7.792226791E0
2.556116670E-1,-1.371386528E0,3.313760281E0,8.405088425E0
2.769050000E-1,-1.022034407E0,3.208476067E0,8.584549904E0
2.981983340E-1,-1.618146300E0,3.155833960E0,8.651549339E0
3.194916670E-1,-2.386541367E0,2.968894720E0,9.745667458E0
3.407849480E-1,-2.424826622E0,1.997109652E0,1.025803089E1
3.620782820E-1,-1.014855862E0,1.316949725E0,9.211769104E0
3.833716150E-1,1.677966863E-1,1.707278967E0,8.033902168E0
4.046649480E-1,1.491924882E0,1.316949725E0,8.493622780E0
4.259582820E-1,2.602792740E0,1.621137381E0,8.670691490E0
4.472516150E-1,3.979264021E0,9.628120065E-1,7.904689789E0
4.685449480E-1,4.005585194E0,1.769492388E0,7.806583881E0
4.898382290E-1,2.394318104E0,3.502793312E0,8.639585495E0
5.111315630E-1,1.575673699E0,4.620839596E0,9.807881355E0
5.324248960E-1,1.278664589E0,5.425426006E0,1.019103146E1
5.537182290E-1,1.302592874E0,5.310570717E0,1.184776211E1
5.750115630E-1,-3.320041299E-2,5.470890045E0,1.049282646E1
5.963048960E-1,-2.501396894E0,5.281857014E0,9.970891953E0
6.175982290E-1,-4.914857864E0,5.289035320E0,1.046171951E1
6.388915110E-1,-6.456433773E0,4.913063049E0,1.051436138E1
6.601848440E-1,-7.337590694E0,4.314558506E0,9.783952713E0
6.814781770E-1,-8.096414566E0,2.473580360E0,1.084935665E1
7.027715110E-1,-1.014586735E1,1.714457393E0,1.124207878E1
7.240648440E-1,-8.644669533E0,8.670991063E-1,1.066032410E1
7.453581770E-1,-6.509075642E0,7.351947427E-1,1.058375359E1
7.666515110E-1,-5.415256977E0,8.165507019E-2,1.114158058E1
7.879448440E-1,-4.615455627E0,-9.526425004E-1,1.114875889E1
8.092381250E-1,-3.351447105E0,-1.711466432E0,9.733703613E0
8.305314590E-1,-2.252543449E0,-9.646066427E-1,9.192625999E0
8.518247920E-1,-1.112961650E0,-2.940180898E-1,9.355637550E0
8.731181250E-1,3.738785386E-1,-1.169492081E-1,9.640383720E0
8.944114590E-1,8.790631890E-1,-1.360917836E-1,9.197412491E0
9.157047920E-1,1.106381416E0,-1.645065658E-2,8.160721779E0
9.369981250E-1,1.113559842E0,6.586244106E-1,6.918248653E0
9.582914590E-1,1.491924882E0,-3.559323773E-2,8.373981476E0
9.795847920E-1,6.969095767E-2,4.097708762E-1,1.131386375E1
1.000878125E0,6.107679605E-1,4.408775866E-1,1.096899796E1
1.022171459E0,2.267498493E0,3.475574851E-1,9.125627518E0
1.043464792E0,4.371985912E0,-9.382855892E-1,1.090678501E1
1.064758125E0,2.720041037E0,7.208378315E-1,8.000402451E0
1.086051459E0,3.900300980E0,4.815555513E-1,8.129614830E0
1.107344792E0,4.264308929E0,8.503493667E-1,8.860024452E0
1.128638125E0,3.909872293E0,8.359923959E-1,9.975677490E0
1.149931459E0,3.826123476E0,-4.755735025E-2,7.978867054E0
1.171224792E0,4.010370731E0,3.619144261E-1,6.982854843E0
1.192518125E0,5.492425442E0,8.503493667E-1,8.498408318E0
1.213811459E0,5.439783096E0,1.096810102E0,9.515956879E0
1.235104792E0,4.261916161E0,1.259521961E0,1.112961674E1
1.256398177E0,4.115654945E0,5.437689424E-1,1.084935665E1
1.277691511E0,4.206881523E0,-2.748754919E-1,9.556634903E0
1.298984844E0,3.747160196E0,-4.953143001E-1,9.096913338E0
1.320278177E0,3.744767427E0,-5.240281820E-1,9.783952713E0
1.341571511E0,4.139583111E0,-9.215358496E-1,1.061007500E1
1.362864896E0,4.154239178E0,-1.685145378E0,1.003789139E1
1.384158229E0,3.177369356E0,-1.567897081E0,9.180662155E0
1.405451563E0,4.005585194E0,-1.230209947E0,1.008335495E1
1.426744896E0,4.470091820E0,-8.063812256E-1,1.151725388E1
1.448038282E0,4.288237095E0,-1.108175993E0,1.140718365E1
1.469331615E0,4.182952881E0,-1.189531922E0,1.055503941E1
1.490624948E0,5.724529266E0,-4.570291340E-1,1.573340702E1
1.511918334E0,5.439783096E0,2.284248352E0,1.183579826E1
1.533211667E0,3.912265062E0,2.169392824E0,1.137368393E1
1.554505052E0,5.300999641E0,-8.638089895E-1,9.326923370E0
1.575798386E0,5.068596363E0,-9.068797827E-1,7.792226791E0
1.597091719E0,7.034300327E0,5.413761139E-1,6.448956013E0
1.618385104E0,3.972085476E0,-6.891329288E-1,6.999604225E0
1.639678490E0,5.633601665E0,2.036890239E-1,4.660620213E0
1.660971823E0,6.138786316E0,-9.358927608E-1,8.527122498E0
1.682265209E0,9.902397156E0,-4.395316124E0,1.994926071E1
1.703558542E0,3.241975546E0,-5.814558864E-1,5.479563713E0
1.724851927E0,3.419044495E0,2.521436930E0,1.256231904E0
1.746145261E0,3.840480328E0,1.721635938E0,1.453879070E1
1.767438646E0,7.500900745E0,-9.062815458E-2,-2.952444077E0
1.788732032E0,3.986442566E0,-1.534397483E0,1.500090408E1
1.810025365E0,4.707280159E0,7.615157962E-1,1.242951679E1
1.831318750E0,1.925324917E0,5.509474277E-1,2.767000198E0
1.852612136E0,3.253939629E0,-6.891329288E-1,3.463610888E0
1.873905521E0,3.332902908E0,-7.968099117E-1,3.068495989E0
1.895198907E0,-8.709874153E-1,2.566302419E-1,-4.025026798E0
1.916492240E0,-4.307080805E-1,5.054837838E-2,6.879365444E-2
1.937785625E0,1.034596682E0,-2.413759828E-1,3.051746130E0
1.959079011E0,3.332902908E0,-4.977070987E-1,1.316201973E1
1.980372396E0,3.519542933E0,3.355933726E-1,1.893919182E1
2.001665782E0,2.255534410E0,4.719842672E-1,1.024606609E1
2.022959167E0,2.018645048E0,6.825526357E-1,9.276374817E0
2.044252552E0,2.210070848E0,9.293124676E-1,9.987641335E0
2.065545938E0,1.814955950E0,9.915258884E-1,9.238089561E0
2.086839323E0,2.030609131E0,1.034596682E0,9.037093163E0
2.108132709E0,1.869990945E0,9.412766099E-1,9.254839897E0
2.129426094E0,2.097608089E0,9.675976634E-1,9.911071777E0
2.150719479E0,2.040180445E0,9.340981245E-1,9.319445610E0
2.172012865E0,2.277069807E0,9.077770710E-1,9.704989433E0
2.193306250E0,1.633101463E0,1.022632599E0,9.906285286E0
2.214599636E0,1.819741607E0,8.168498278E-1,9.676275253E0
2.235893021E0,2.176571369E0,5.988038778E-1,9.597312927E0
2.257186407E0,2.157428741E0,5.294120312E-1,9.810274124E0
2.278479844E0,2.047358990E0,6.753742099E-1,9.374779701E0
2.299773229E0,2.492722988E0,8.527421951E-1,9.685847282E0
2.321066615E0,2.641077995E0,7.567301393E-1,9.578169823E0
2.342360000E0,2.202892303E0,5.126622319E-1,9.637990952E0
2.363653386E0,2.202892303E0,8.982058167E-1,9.673882484E0
2.384946771E0,1.930110574E0,4.767699242E-1,9.482457161E0
2.406240209E0,1.795813441E0,9.580263495E-1,9.724132538E0
2.427533594E0,1.060917735E0,7.929216027E-1,8.991629601E0
2.448826979E0,6.370890141E-1,8.766704202E-1,1.019103146E1
2.470120365E0,1.233201027E0,7.136593461E-1,1.038006496E1
2.491413802E0,1.336391449E0,7.857431173E-1,9.082556725E0
2.512707188E0,1.793420553E0,5.246263742E-1,9.329316139E0
2.534000573E0,2.202892303E0,6.442674994E-1,8.962915421E0
2.555294011E0,2.236391783E0,1.534397453E-1,9.980463028E0
2.576587396E0,2.339283228E0,5.724828243E-1,9.487242699E0
2.597880782E0,2.806182861E0,2.662015259E-1,9.120841980E0
2.619174219E0,2.557329178E0,-1.313061416E-1,9.994820595E0
2.640467604E0,2.080858469E0,3.882354796E-1,8.713762283E0
2.661761042E0,2.504687071E0,4.097708687E-2,1.064596748E1
2.683054427E0,1.956431627E0,8.359923959E-1,9.135198593E0
2.704347813E0,1.884347796E0,5.748756528E-1,9.331708908E0
2.725641250E0,1.884347796E0,-3.589234054E-1,9.010771751E0
2.746934636E0,1.439282775E0,4.839483798E-1,8.496015549E0
2.768228073E0,2.037787676E0,-2.581257522E-1,1.007856941E1
2.789521459E0,2.243570328E0,4.935196638E-1,9.642776489E0
2.810814896E0,1.369890928E0,4.767699242E-1,9.582955360E0
2.832108282E0,7.591229677E-1,8.096713424E-1,9.580562592E0
2.853401719E0,9.628120065E-1,1.422533035E0,9.597312927E0
2.874694115E0,2.332104683E0,1.420140266E0,9.228518486E0
2.895988542E0,2.940180779E0,1.261914849E0,1.022692394E1
2.917281927E0,2.346461773E0,1.812563181E0,9.515956879E0
2.938575365E0,2.131107569E0,1.539781332E0,8.649156570E0
2.959868750E0,1.776670814E0,1.721635938E0,1.045214844E1
2.981162188E0,2.133500576E0,2.274677038E0,9.446564674E0
3.002455573E0,2.557329178E0,2.056930065E0,9.338887215E0
3.023749011E0,2.111965179E0,1.927717686E0,1.126122189E1
3.045042396E0,1.771885157E0,2.059323072E0,6.920641422E0
3.066335834E0,8.838488460E-1,1.290628672E0,1.155314636E1
3.087629219E0,7.567301393E-1,1.391426325E0,8.323732376E0
3.108922657E0,2.150250196E0,1.190130115E0,1.180708408E1
3.130216042E0,1.300199986E0,1.527817249E0,7.868797302E0
3.151509479E0,-8.374879360E-1,1.108774185E0,1.049521923E1
3.172802865E0,5.772684813E-1,9.891330600E-1,1.112483025E1
3.194096302E0,1.707278967E0,1.254736423E0,8.136793137E0
3.215389740E0,1.745564103E0,1.113559842E0,1.095464134E1
3.236683125E0,1.724028707E0,1.115952611E0,8.824131966E0
3.257976563E0,2.346461773E0,4.241278172E-1,8.634799957E0
3.279269948E0,4.815555513E-1,9.173483849E-1,1.163719368E1
3.300563386E0,-7.106683254E-1,1.276271820E0,1.023170948E1
3.321856771E0,-5.712864175E-2,2.236391783E0,6.693323135E0
3.343150209E0,-7.944171429E-1,1.721635938E0,1.186690521E1
3.364443646E0,-1.031605721E0,1.647458434E0,1.110329533E1
3.385737032E0,6.658028960E-1,2.358425856E0,7.909475327E0
3.407030469E0,-3.299104273E-1,1.389033556E0,1.061007500E1
3.428323907E0,-2.605185509E-1,1.360319614E0,8.553443909E0
3.449617292E0,1.776670814E0,8.551349640E-1,9.966106415E0
3.470910729E0,2.054537296E0,1.712064624E0,1.027478027E1
3.492204115E0,-2.174477577E-1,1.625923038E0,9.606884003E0
3.513497552E0,2.060818523E-1,1.276271820E0,7.907082558E0
3.534790990E0,3.379862010E-1,1.810170293E0,1.079671478E1
3.556084375E0,-1.373779297E0,2.155035973E0,7.808976650E0
3.577377813E0,-8.518448472E-1,3.428615808E0,9.827023506E0
3.598671250E0,1.491924882E0,1.944467545E0,8.773882866E0
3.619964636E0,3.810569942E-1,1.824527264E0,1.310459232E1
3.641258073E0,-2.748754919E-1,2.353640079E0,8.206484795E0
3.662551459E0,3.738785386E-1,7.809575200E-1,9.611669540E0
3.683844896E0,7.591229677E-1,1.328913927E0,1.074168015E1
3.705138334E0,1.015454054E0,5.078766346E-1,9.314660072E0
3.726431719E0,1.910967946E0,6.945167780E-1,1.090678501E1
3.747725157E0,2.059323072E0,1.089631557E0,6.202495575E0
3.769018542E0,1.467996716E0,5.844469070E-1,1.084696388E1
3.790311979E0,6.346961856E-1,1.048953652E0,1.104586792E1
3.811605417E0,-1.122532964E0,1.161416292E0,8.491230011E0
3.832898802E0,-1.182353497E0,6.011966988E-2,1.098574829E1
3.854192240E0,7.328019142E-1,-4.115654826E-1,8.869595528E0
3.875485625E0,2.925225794E-1,-4.689932466E-1,9.740881920E0
3.896779063E0,-1.505683661E0,-3.227319419E-1,8.948558807E0
3.918072500E0,-9.143573642E-1,-4.516452923E-2,7.011568546E0
3.939365886E0,1.432104349E0,-3.996013701E-1,1.149811077E1
3.960659323E0,-6.747759581E-1,-1.136889815E0,8.225626945E0
3.981952761E0,-8.733802438E-1,1.223330572E-1,1.227398396E1
4.003246146E0,-1.000499010E0,-5.383850932E-1,1.013838959E1
4.024539584E0,-1.115354419E0,1.065703392E0,1.049043369E1
4.045832969E0,4.265206456E-1,1.690529227E0,6.889534473E0
4.067126407E0,6.729813665E-2,1.463211060E0,1.274327564E1
4.088419844E0,1.432104349E0,1.523031592E0,8.687441826E0
4.109713229E0,2.418246269E0,2.181356907E0,8.634799957E0
4.131006667E0,9.077770710E-1,6.538388133E-1,1.153639603E1
4.152300052E0,7.953144312E-1,1.637887120E0,1.061725330E1
4.173593490E0,1.966002941E0,1.233201027E0,9.386744499E0
4.194886875E0,2.073679924E0,6.035895348E-1,9.925428391E0
4.216180313E0,-5.455635786E-1,1.144666553E0,1.040877819E1
4.237473750E0,-1.392921925E0,9.699904919E-1,1.118465137E1
4.258767136E0,-1.392921925E0,1.056132078E0,1.080389309E1
4.280060573E0,-3.526123285E0,1.676172256E0,1.145743275E1
4.301353959E0,-3.337090254E0,1.405783296E0,1.115832996E1
4.322647396E0,-1.361815214E0,8.168498278E-1,1.074168015E1
