"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.817359400E-2,-2.518217862E-1,-7.116370797E-1,-1.101052165E-1
8.946692700E-2,-2.536543310E-1,-5.253286362E-1,4.260659590E-2
1.107602610E-1,-2.420482337E-1,-3.970507085E-1,1.751604527E-1
1.320535940E-1,-3.348970115E-1,-4.599680007E-1,2.906105816E-1
1.533469270E-1,-4.827220440E-1,-4.966188073E-1,3.358132839E-1
1.746402090E-1,-5.267030597E-1,-4.752391577E-1,1.702736765E-1
1.959335420E-1,-5.596888065E-1,-6.016845703E-1,5.726693198E-2
2.172268750E-1,-6.720846891E-1,-7.556180358E-1,1.378987730E-1
2.385202090E-1,-7.216396928E-1,-8.295305967E-1,2.606790662E-1
2.598135420E-1,-6.781931520E-1,-8.771766424E-1,2.716743052E-1
2.811068750E-1,-5.462501645E-1,-8.154810667E-1,1.403421611E-1
3.024001570E-1,-4.815003574E-1,-7.171346545E-1,1.354553849E-1
3.236934900E-1,-4.216373265E-1,-6.352811456E-1,3.449759781E-1
3.449868230E-1,-3.293993771E-1,-4.379774928E-1,6.656708121E-1
3.662801570E-1,-5.957288146E-1,-3.353551328E-1,9.802571535E-1
3.875734900E-1,-1.086315513E0,5.375456065E-2,1.271631241E0
4.088668230E-1,-1.403345227E0,-1.130067408E-1,1.341878772E0
4.301601040E-1,-1.486420393E0,-1.612636745E-1,1.062721491E0
4.514534380E-1,-1.644629836E0,1.411057115E-1,4.402681589E-1
4.727467710E-1,-1.914013505E0,3.139754832E-1,-2.603736520E-1
4.940401040E-1,-2.107041359E0,1.020114943E-1,-6.403206587E-1
5.153334380E-1,-2.041069746E0,-4.245388508E-1,-7.564579844E-1
5.366267710E-1,-1.549337745E0,-5.522059202E-1,-9.629243612E-1
5.579201040E-1,-8.346464038E-1,-9.553651214E-1,-1.441217780E0
5.792133860E-1,-2.554868758E-1,-9.113841057E-1,-1.798563361E0
6.005067190E-1,-3.741439432E-2,-8.435800672E-1,-1.802228451E0
6.218000520E-1,2.564031482E-1,-1.182676673E0,-1.523682117E0
6.430933860E-1,6.913263798E-1,-1.734271765E0,-1.148621917E0
6.643867190E-1,1.081046939E0,-1.955398440E0,-8.120450974E-1
6.856800520E-1,1.201994658E0,-1.467942357E0,-5.224271417E-1
7.069733860E-1,1.170841455E0,-1.207110524E0,-1.485885978E-1
7.282666670E-1,1.111589313E0,-1.003698349E0,1.311794519E-1
7.495600000E-1,1.100594044E0,-1.023856401E0,2.600682080E-1
7.708533340E-1,1.272242069E0,-6.578825116E-1,4.946335554E-1
7.921466670E-1,1.414569497E0,1.075091213E-1,9.362761378E-1
8.134400000E-1,1.145796776E0,1.089751482E0,1.356539011E0
8.347333340E-1,5.068505406E-1,1.219861984E0,1.568503022E0
8.560266670E-1,1.959292591E-1,6.187883019E-1,1.500088215E0
8.773200000E-1,3.700207174E-1,9.046648145E-1,1.253305912E0
8.986133340E-1,5.270084739E-1,1.114185452E0,1.164733052E0
9.199066670E-1,2.441861928E-1,8.612946272E-1,1.122584581E0
9.412000000E-1,-5.792359114E-1,1.985253543E-1,1.150683522E0
9.624933340E-1,-1.204819918E0,-6.187883019E-1,1.052337170E0
9.837866150E-1,-1.113192797E0,-1.017747879E0,1.352263093E0
1.005079948E0,-4.778352678E-1,-7.256865501E-1,1.895306349E0
1.026373282E0,1.427855492E-1,6.096255779E-1,2.002280951E0
1.047666615E0,6.192464232E-1,6.175665855E-1,1.491536260E0
1.068959948E0,2.093679011E-1,-5.070032477E-1,1.056002140E0
1.090253282E0,-4.136963189E-1,-1.355546474E0,8.244910836E-1
1.111546615E0,-5.572454333E-1,-1.370206714E0,5.331169367E-1
1.132840000E0,-1.919587553E-1,-6.975875497E-1,7.835643291E-1
1.154133334E0,2.173089087E-1,-4.459185004E-1,1.157402873E0
1.175426667E0,7.925742865E-2,-1.337755471E-1,1.487260342E0
1.196720000E0,-5.774033666E-1,-7.818844914E-1,1.298508525E0
1.218013334E0,-1.038058519E0,-4.618005157E-1,8.721371889E-1
1.239306667E0,-9.696436524E-1,-1.527118087E-1,6.485670805E-1
1.260600000E0,-5.676298141E-1,-1.716480851E-1,5.862606764E-1
1.281893334E0,-4.161396921E-1,-1.863084137E-1,4.848600030E-1
1.303186667E0,-6.305471063E-1,-6.016845703E-1,3.339807391E-1
1.324480052E0,-6.299362183E-1,-1.165572882E0,1.458397806E-1
1.345773386E0,-1.919587553E-1,-1.070891619E0,6.276455522E-2
1.367066719E0,-3.924693540E-2,-1.582094431E-1,8.780929446E-2
1.388360052E0,-4.992149174E-1,2.999260128E-1,3.584146202E-1
1.409653438E0,-8.914552331E-1,-4.703523964E-2,3.174878657E-1
1.430946771E0,-7.662315369E-1,-5.454866290E-1,-6.795676053E-2
1.452240104E0,-2.591519356E-1,-6.548282504E-1,-3.855973184E-1
1.473533490E0,2.855710872E-2,-9.939248562E-1,-3.080197275E-1
1.494826823E0,-2.475458533E-1,-6.975875497E-1,-3.947600424E-1
1.516120157E0,-4.271349311E-1,-3.371876776E-1,-3.141281903E-1
1.537413542E0,-6.612421572E-2,-9.841513038E-1,2.252499312E-1
1.558706875E0,3.993414044E-1,-1.830174685E0,1.629435122E-1
1.580000261E0,4.341596961E-1,-3.112953901E0,-6.673506647E-2
1.601293594E0,-5.712949038E-1,-8.087617755E-1,9.391776472E-2
1.622586979E0,-8.236511946E-1,-1.914471626E0,1.537808031E-1
1.643880313E0,-9.818606377E-1,-1.670132756E0,6.459710002E-2
1.665173698E0,-1.501080751E0,-7.837170362E-1,1.023169141E-2
1.686467032E0,5.654918551E-1,2.137965411E-1,-6.055023670E-1
1.707760417E0,1.688839912E0,-3.542914242E-2,-1.126631379E0
1.729053802E0,1.658908486E0,6.450088978E0,-7.674532533E-1
1.750347136E0,-7.277481556E-1,-1.470996499E0,4.634803534E-1
1.771640521E0,-2.044734955E0,1.623632073E0,4.714213610E-1
1.792933907E0,3.883461356E-1,1.121515512E0,-8.078455180E-2
1.814227240E0,1.599656224E0,2.258989573E0,-4.352286831E-2
1.835520625E0,-7.222505212E-1,-9.242119193E-1,2.338017821E-1
1.856814011E0,-6.055023670E-1,1.950511694E0,-1.908897609E-2
1.878107396E0,4.989095032E-1,4.530807018E0,-5.493044257E-1
1.899400729E0,1.788255423E-1,9.378566742E0,-4.540122151E-1
1.920694115E0,-2.060082406E-1,-2.971237421E0,-7.528692484E-2
1.941987500E0,3.755183518E-1,1.957841873E0,-2.762556672E-1
1.963280886E0,3.321481943E-1,-8.472451568E-1,-2.524326444E-1
1.984574271E0,1.745496094E-1,-9.529217333E-2,-3.159607351E-1
2.005867657E0,1.061347127E-1,1.221694499E-1,-3.562766612E-1
2.027161042E0,4.199574888E-2,1.142284349E-1,-3.361186981E-1
2.048454427E0,8.231166750E-2,8.979454637E-2,-3.397837877E-1
2.069747813E0,2.061609551E-2,7.696675509E-2,-2.939702570E-1
2.091041198E0,2.061609551E-2,8.002099395E-2,-2.750339806E-1
2.112334584E0,3.466558084E-2,5.192201585E-2,-2.377723008E-1
2.133627969E0,2.611372061E-2,3.054236248E-2,-2.115058601E-1
2.154921354E0,4.734066315E-3,2.076880634E-2,-1.779092699E-1
2.176214740E0,3.100049868E-2,9.162709117E-3,-1.424801201E-1
2.197508125E0,3.833066672E-2,2.076880634E-2,2.611372061E-2
2.218801511E0,1.328592747E-2,2.076880634E-2,7.681404054E-2
2.240094896E0,5.955760833E-3,2.260134928E-2,7.375980914E-2
2.261388282E0,3.894151375E-2,2.626643144E-2,8.231166750E-2
2.282681667E0,1.389677543E-2,3.542914242E-2,9.086353332E-2
2.303975052E0,3.771981969E-2,4.886778072E-2,8.475505561E-2
2.325268490E0,1.328592747E-2,6.536065787E-2,8.536590636E-2
2.346561875E0,4.077405483E-2,7.879929990E-2,9.025268257E-2
2.367855261E0,1.145338640E-2,8.612946421E-2,9.025268257E-2
2.389148646E0,4.138490185E-2,8.857285231E-2,9.330692142E-2
2.410442084E0,3.283303976E-2,8.368607610E-2,1.000262350E-1
2.431735469E0,1.267508045E-2,7.207997888E-2,1.091889441E-1
2.453028854E0,2.611372061E-2,3.176405653E-2,1.220167428E-1
2.474322240E0,7.375980914E-2,3.298575059E-2,1.226275861E-1
2.495615677E0,-2.275406010E-2,8.551862091E-3,1.195733473E-1
2.516909063E0,3.038965166E-2,-1.282779220E-2,1.055238619E-1
2.538202448E0,1.068982761E-3,9.773556143E-3,1.110214889E-1
2.559495886E0,9.025268257E-2,1.832541777E-3,1.171299592E-1
2.580789271E0,-3.008422814E-2,2.199050039E-2,1.250709742E-1
2.602082657E0,2.244863659E-2,3.115320951E-2,1.207950488E-1
2.623376094E0,2.672456764E-2,5.803048983E-2,1.201841980E-1
2.644669479E0,4.749337584E-2,7.391251624E-2,1.244601309E-1
2.665962917E0,5.482354015E-2,7.757759839E-2,1.159082651E-1
2.687256302E0,-4.535540938E-2,5.619794875E-2,1.232384369E-1
2.708549688E0,-5.146388337E-2,8.796200156E-2,1.293469071E-1
2.729843125E0,8.414421231E-2,1.099525094E-1,1.287360638E-1
2.751136511E0,9.009997360E-3,8.796200156E-2,1.452289373E-1
2.772429948E0,1.939439960E-2,7.757759839E-2,1.378987730E-1
2.793723334E0,6.398624927E-2,9.284878522E-2,1.201841980E-1
2.815016771E0,2.550287358E-2,6.169557199E-2,1.195733473E-1
2.836310157E0,3.405473381E-2,5.314370990E-2,1.269035190E-1
2.857603594E0,1.756185852E-2,3.359659761E-2,1.653869003E-1
2.878896979E0,4.077405483E-2,3.665083647E-2,1.788255423E-1
2.900190365E0,6.887302548E-2,8.368607610E-2,1.409530044E-1
2.921483802E0,-1.236965694E-2,1.075091213E-1,1.372879148E-1
2.942777188E0,4.077405483E-2,1.215586066E-1,1.684411317E-1
2.964070625E0,7.681404054E-2,1.337755471E-1,1.995943487E-1
2.985364063E0,4.260659590E-2,1.740914732E-1,2.075353563E-1
3.006657448E0,9.941539168E-2,1.997470558E-1,2.136438340E-1
3.027950886E0,8.536590636E-2,2.266243398E-1,2.069245130E-1
3.049244271E0,3.833066672E-2,2.620534599E-1,2.002051920E-1
3.070537709E0,1.452289373E-1,2.449497581E-1,2.368560284E-1
3.091831094E0,9.636115283E-2,2.437280566E-1,2.716743052E-1
3.113124532E0,8.719844371E-2,2.241809368E-1,2.423536479E-1
3.134417917E0,2.901524538E-3,2.089097649E-1,2.075353563E-1
3.155711354E0,9.452861547E-2,1.667613089E-1,2.484621257E-1
3.177004740E0,1.036913246E-1,2.021904439E-1,2.704526186E-1
3.198298177E0,1.043021679E-1,2.431172132E-1,2.637332976E-1
3.219591615E0,1.427855492E-1,1.875301152E-1,2.747285664E-1
3.240885000E0,7.177455351E-3,2.247917950E-1,2.735068500E-1
3.262178438E0,1.073564067E-1,3.084778786E-1,2.362451702E-1
3.283471823E0,2.423536479E-1,2.687727809E-1,2.399102598E-1
3.304765261E0,-6.978929788E-2,2.486148328E-1,2.759502530E-1
3.326058646E0,5.787777901E-2,2.046338320E-1,2.881672084E-1
3.347352084E0,1.458397806E-1,1.661504507E-1,3.211529553E-1
3.368645521E0,2.794626169E-2,1.307213157E-1,3.223746419E-1
3.389938907E0,1.572931744E-2,1.679829955E-1,2.710634768E-1
3.411232344E0,7.681404054E-2,6.536065787E-2,3.034383655E-1
3.432525729E0,1.572931744E-2,5.741964281E-2,3.223746419E-1
3.453819167E0,1.293469071E-1,1.453816444E-1,2.771719396E-1
3.475112604E0,9.620844387E-3,1.130067408E-1,2.515163720E-1
3.496405990E0,1.145338640E-2,7.696675509E-2,2.698417902E-1
3.517699427E0,3.771981969E-2,1.661504507E-1,2.472404242E-1
3.538992865E0,7.681404054E-2,1.753131598E-1,2.527380586E-1
3.560286250E0,1.145338640E-2,9.590301663E-2,3.248180151E-1
3.581579688E0,-1.131594554E-1,5.375456065E-2,3.559712470E-1
3.602873073E0,9.147437662E-2,1.014006436E-1,3.339807391E-1
3.624166511E0,1.550024897E-1,1.514901221E-1,3.437542915E-1
3.645459948E0,1.878355257E-2,1.362189353E-1,3.364241421E-1
3.666753334E0,4.077405483E-2,5.558710173E-2,3.223746419E-1
3.688046771E0,-4.107947648E-2,9.162709117E-3,3.602471650E-1
3.709340157E0,1.482831687E-1,9.834641218E-2,3.126010895E-1
3.730633594E0,1.281252056E-1,1.472141892E-1,2.557922900E-1
3.751927032E0,-1.137702987E-1,8.551861346E-2,2.838912606E-1
3.773220417E0,8.658760041E-2,1.087308154E-1,2.521272004E-1
3.794513854E0,-7.162184268E-2,1.246128380E-1,2.276933193E-1
3.815807292E0,-1.064401343E-1,1.038440317E-1,3.058817685E-1
3.837100677E0,7.742489129E-2,1.233911440E-1,3.584146202E-1
3.858394115E0,2.244863659E-2,1.826433241E-1,3.126010895E-1
3.879687500E0,5.955760833E-3,1.435490996E-1,3.126010895E-1
3.900980938E0,-9.239064902E-2,9.407047927E-2,3.217637837E-1
3.922274375E0,-1.094943732E-1,1.044548824E-1,3.290939629E-1
3.943567761E0,-2.596100792E-3,2.809897438E-2,3.126010895E-1
3.964861198E0,-9.605573118E-2,-3.176405653E-2,2.936648130E-1
3.986154584E0,2.367033064E-2,-4.092676565E-2,2.502946556E-1
4.007448021E0,-1.908897609E-2,-1.081199646E-1,2.582356930E-1
4.028741459E0,-8.689302206E-2,-1.893626451E-1,2.557922900E-1
4.050034844E0,9.620844387E-3,-2.406738251E-1,2.014268786E-1
4.071328282E0,7.177455351E-3,-3.292466700E-1,1.873773932E-1
4.092621667E0,-2.530434728E-1,-3.286358118E-1,1.641651988E-1
4.113915104E0,-1.664558798E-2,-2.596100867E-1,1.128540337E-1
4.135208542E0,1.195733473E-1,-1.612636745E-1,1.837123185E-1
4.156501927E0,-1.374406274E-3,-1.301104724E-1,2.429644912E-1
4.177795365E0,-1.481304597E-2,-4.092676565E-2,2.631224692E-1
4.199088750E0,6.704048812E-2,3.054236295E-3,2.484621257E-1
4.220382188E0,2.290677279E-3,5.986303091E-2,2.948864996E-1
4.241675625E0,8.292251825E-2,1.661504507E-1,3.620797098E-1
4.262969011E0,1.030804738E-1,1.429382563E-1,4.311054647E-1
4.284262448E0,5.299099907E-2,1.478250325E-1,5.092939138E-1
4.305555834E0,1.623326540E-1,2.412846684E-1,5.471664071E-1
4.326849271E0,1.146865711E-1,1.722589284E-1,5.935907960E-1
4.348142657E0,1.495048702E-1,2.052446753E-1,6.247440577E-1
4.369436094E0,7.375980914E-2,2.443388999E-1,6.271874309E-1
4.390729479E0,-2.214321308E-2,2.553341687E-1,5.960342288E-1
4.412022917E0,-1.053711493E-2,1.478250325E-1,5.777087808E-1
4.433316354E0,-2.031067200E-2,2.309002578E-1,5.880932212E-1
4.454609740E0,2.489202656E-2,2.302894145E-1,6.247440577E-1
4.475903177E0,2.289150059E-1,1.368297935E-1,6.149705052E-1
4.497196563E0,5.909947306E-2,1.661504507E-1,5.410579443E-1
4.518490000E0,-7.345438004E-2,1.087308154E-1,4.976878166E-1
4.539783386E0,2.428117767E-2,1.001789495E-1,4.671454430E-1
4.561076823E0,3.283303976E-2,1.753131598E-1,4.414898455E-1
4.582370209E0,1.067455560E-1,2.376195788E-1,3.223746419E-1
4.603663646E0,3.833066672E-2,2.400629669E-1,2.319692522E-1
4.624957032E0,-6.795676053E-2,1.313321590E-1,2.313583940E-1
4.646250469E0,2.367033064E-2,1.093416587E-1,2.374668717E-1
4.667543854E0,-6.734590977E-2,1.270562261E-1,1.849340051E-1
4.688837292E0,1.695101149E-2,1.423274130E-1,1.122431830E-1
4.710130677E0,-2.214321308E-2,1.032331884E-1,9.636115283E-2
4.731424115E0,-2.336490713E-2,8.674030751E-2,1.030804738E-1
4.752717500E0,5.909947306E-2,1.343863904E-1,8.108997345E-2
4.774010938E0,7.192726433E-2,1.356080920E-1,6.154286116E-2
4.795304323E0,-2.275406010E-2,8.918370306E-2,7.070557028E-2
4.816597761E0,3.588727489E-2,7.513421029E-2,8.719844371E-2
4.837891146E0,-7.345438004E-2,7.207997888E-2,1.055238619E-1
4.859184584E0,-6.001574174E-2,1.178935245E-1,6.398624927E-2
4.880477969E0,-3.130592033E-2,1.325538605E-1,6.093201414E-2
4.901771354E0,-3.313846514E-2,1.502684206E-1,5.665608495E-2
4.923064792E0,2.183778957E-2,1.166718230E-1,1.939439960E-2
4.944358177E0,1.378987730E-1,2.443388999E-1,-4.963133857E-2
4.965651615E0,-1.400367320E-1,1.117850468E-1,5.848862603E-2
