"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.170359400E-2,-8.970732689E-1,1.475052834E-1,-1.883697510E-1
9.536281300E-2,-9.002349377E-1,-3.762483597E-2,-7.692241669E-2
1.190220840E-1,-7.616508007E-1,-2.731704712E-2,-1.336956024E-2
1.426813020E-1,-1.350622177E-1,1.132988930E-1,-1.306858063E-1
1.663405730E-1,6.551697254E-1,1.569395065E-1,1.652212143E-1
1.899998440E-1,7.239660025E-1,-2.157268524E-1,-1.314353943E-1
2.136590630E-1,4.022052288E-1,-1.056957245E-1,-7.596759796E-1
2.373183340E-1,4.880850315E-1,-1.119534969E-1,-6.898612976E-1
2.609775520E-1,6.648664474E-1,-2.525205612E-1,-1.261796951E-1
2.846368230E-1,6.145489216E-1,-2.211222649E-1,1.896762848E-2
3.082960940E-1,-3.869251013E-1,-2.265930176E-1,3.234987259E-1
3.319553130E-1,-1.230815768E0,-5.829677582E-1,1.347849846E0
3.556145840E-1,-1.423155069E-1,-1.781390548E0,7.504949570E-1
3.792738020E-1,8.327106237E-1,-1.063432693E0,-1.276503563E0
4.029330730E-1,2.331553459E0,-1.242906094E0,-5.429792404E-1
4.265923440E-1,3.291300774E0,-5.937143564E-1,-4.411668777E-1
4.502515630E-1,4.503331184E0,-8.864564896E-1,-1.169547558E0
4.739108340E-1,4.115867615E0,6.043484211E-1,-1.279050827E0
4.975701040E-1,2.190988064E0,2.729690552E0,-1.239080429E-1
5.212293230E-1,1.706312656E0,4.037734509E0,1.014501572E0
5.448885940E-1,1.529110193E0,4.700849533E0,2.712101936E0
5.685478130E-1,2.610307932E-1,4.854642391E0,1.850417137E0
5.922070840E-1,-2.118680000E0,4.352077961E0,5.448102951E-1
6.158663540E-1,-5.054619789E0,4.265451908E0,8.668689728E-1
6.395255730E-1,-6.917695045E0,3.607961178E0,1.034788132E0
6.631848440E-1,-7.933916092E0,2.566376686E0,3.345689774E-1
6.868440630E-1,-9.229008675E0,3.329404593E-1,1.521357536E0
7.105033340E-1,-1.070033741E1,-6.674568653E-1,1.751228333E0
7.341626040E-1,-8.296503067E0,-1.699176908E0,1.414601326E0
7.578218230E-1,-6.420160294E0,-1.970620275E0,1.902817726E0
7.814810940E-1,-5.472637177E0,-3.338416576E0,2.332736969E0
8.051403650E-1,-3.994832754E0,-4.616557121E0,6.954946518E-1
8.287995840E-1,-2.591715574E0,-4.159342766E0,-2.918910980E-2
8.524588540E-1,-1.263662457E0,-3.338250160E0,5.178995132E-1
8.761181250E-1,4.304258823E-1,-3.073390007E0,4.237041473E-1
8.997773440E-1,1.019829392E0,-2.999634266E0,-3.398036957E-1
9.234366150E-1,1.376454353E0,-2.777433395E0,-1.493320465E0
9.470958860E-1,1.652084351E0,-2.503286600E0,-1.937304497E0
9.707551570E-1,8.683494925E-1,-2.537792206E0,2.788562775E-1
9.944143750E-1,-4.676524997E-1,-1.464727521E0,2.576156616E0
1.018073646E0,1.040916800E0,-1.687173128E0,-4.700317383E-1
1.041732917E0,3.673342228E0,-2.879651785E0,1.556620598E0
1.065392188E0,2.222724438E0,-1.565156698E0,-1.216869354E0
1.089051407E0,3.084127665E0,-1.640110850E0,-1.076039314E0
1.112710677E0,2.720513344E0,-9.339182973E-1,-3.413286209E-1
1.136369948E0,2.517231464E0,-1.507855773E0,1.336215019E0
1.160029219E0,1.659928441E0,-1.579055309E0,-2.240152359E0
1.183688490E0,2.648824692E0,-9.796134233E-1,-1.558522224E0
1.207347761E0,3.480440378E0,-3.389041424E-1,-2.569675446E-1
1.231007032E0,2.237630367E0,-1.103941202E-1,1.855105400E0
1.254666302E0,1.582398891E0,-2.321363091E-1,1.839887619E0
1.278325521E0,1.677618027E0,-1.107489109E0,4.063739777E-1
1.301984792E0,1.118153095E0,-1.214869857E0,-5.773830414E-2
1.325644063E0,8.708319664E-1,-1.100107193E0,1.016409874E0
1.349303334E0,1.321561813E0,-1.628490448E0,1.525639534E0
1.372962657E0,3.744039536E-1,-1.930196643E0,4.945755005E-1
1.396621927E0,3.722145557E-1,-1.823300958E0,-2.105712891E-2
1.420281198E0,1.135744810E0,-7.946450710E-1,1.918169022E0
1.443940469E0,9.553048611E-1,-7.182514668E-1,2.346492767E0
1.467599740E0,7.031517029E-1,-1.145273209E0,1.633287430E0
1.491259011E0,1.843584538E0,-4.188629985E-1,6.347247124E0
1.514918282E0,1.379578352E0,2.660029650E0,2.717494965E0
1.538577604E0,9.610843658E-2,1.821074724E0,2.000317574E0
1.562236875E0,9.796371460E-1,-8.537868857E-1,-4.386901855E-5
1.585896146E0,4.097800255E-1,-4.790548086E-1,-9.611568451E-1
1.609555417E0,-1.146091461E0,3.443751931E-1,-5.460643768E-1
1.633214740E0,-1.035060406E0,2.523050010E-1,-3.812520981E0
1.656874011E0,1.724602222E0,-1.746314764E-2,-6.060323715E-1
1.680533334E0,-3.337059498E0,7.599383593E-1,1.634060383E0
1.704192604E0,-2.826758862E0,-6.066733599E-2,-2.482452869E0
1.727851927E0,-2.368335009E0,3.001430035E0,-1.078478622E1
1.751511198E0,-1.439618349E0,1.113320470E0,6.548919678E-1
1.775170521E0,3.071746826E0,-8.803050518E-1,6.668843269E0
1.798829792E0,-1.615555048E0,-8.592932820E-1,4.840682983E0
1.822489115E0,-5.856649876E-1,1.567114711E0,1.878153801E0
1.846148386E0,-8.851931095E-1,-2.066608816E-1,-6.122179031E0
1.869807709E0,-6.896057129E-1,-9.179900885E-1,-3.300942421E0
1.893467032E0,-3.305746078E0,2.009512037E-1,-1.244895935E1
1.917126302E0,-2.809324741E0,-2.802842483E-2,-9.295558929E0
1.940785625E0,9.568619728E-2,-4.896934032E-1,-3.913195133E0
1.964444948E0,-8.704247475E-1,-4.464676380E-1,-4.404254913E0
1.988104271E0,-9.648580551E-1,3.280576468E-1,-3.184307575E0
2.011763542E0,2.108097076E-3,4.626905322E-1,2.341842651E-2
2.035422865E0,4.138774872E-1,7.015912533E-1,1.264994621E0
