"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.211411158E1,1.189504098E2,1.157057047E1,0.000000000E0,0.000000000E0,3.790092468E0,2.663953304E0
6.062061980E-1,3.211411099E1,1.189504099E2,1.164301790E1,0.000000000E0,0.000000000E0,3.790092468E0,2.529322863E0
1.632933749E0,3.211411127E1,1.189504088E2,1.174049519E1,1.899999976E-1,2.947999878E2,3.790092468E0,2.575238228E0
2.634490364E0,3.211411071E1,1.189504035E2,1.150558751E1,8.399999738E-1,2.947999878E2,3.790092468E0,2.500000000E0
3.614047186E0,3.211410892E1,1.189503940E2,1.232809544E1,1.169999957E0,2.947999878E2,3.790092468E0,2.500000000E0
4.608547603E0,3.211410705E1,1.189503806E2,1.256806607E1,1.419999957E0,2.637999878E2,3.790092468E0,2.500000000E0
5.638007863E0,3.211410438E1,1.189503661E2,1.245983303E1,1.320000052E0,2.635000000E2,3.790092468E0,2.500000000E0
6.634537498E0,3.211410152E1,1.189503496E2,1.242375018E1,1.649999976E0,2.607000122E2,3.790092468E0,2.500000000E0
7.632327601E0,3.211409794E1,1.189503292E2,1.283061143E1,2.109999895E0,2.582999878E2,3.790092468E0,2.500000000E0
8.638339997E0,3.211409304E1,1.189503041E2,1.296960242E1,2.470000029E0,2.562000122E2,3.790092468E0,2.500000000E0
9.640720621E0,3.211408691E1,1.189502787E2,1.315259853E1,2.309999943E0,2.515000000E2,3.790092468E0,2.500000000E0
1.064038401E1,3.211407807E1,1.189502551E2,1.342493921E1,2.369999886E0,2.463999939E2,3.790092468E0,2.500000000E0
1.160789515E1,3.211406916E1,1.189502335E2,1.375556151E1,2.089999914E0,2.461000061E2,3.790092468E0,2.500000000E0
1.263368557E1,3.211406073E1,1.189502142E2,1.329156039E1,1.980000019E0,2.476000061E2,3.790092468E0,2.500000000E0
1.360515099E1,3.211405320E1,1.189501956E2,1.334043723E1,1.870000005E0,2.475000000E2,3.790092468E0,2.500000000E0
1.463313671E1,3.211404590E1,1.189501756E2,1.327609854E1,2.069999933E0,2.471000061E2,3.790092468E0,2.500000000E0
1.560838744E1,3.211403805E1,1.189501540E2,1.332034625E1,2.200000048E0,2.493000031E2,3.790092468E0,2.500000000E0
1.664413374E1,3.211403059E1,1.189501312E2,1.328323828E1,2.250000000E0,2.493000031E2,3.790092468E0,2.500000000E0
1.760998161E1,3.211401906E1,1.189501071E2,1.398764381E1,2.789999962E0,2.420000000E2,3.790092468E0,2.500000000E0
1.864170916E1,3.211400637E1,1.189500828E2,1.405844151E1,2.519999981E0,2.428999939E2,3.790092468E0,2.500000000E0
1.960861999E1,3.211399334E1,1.189500597E2,1.393300683E1,2.710000038E0,2.361999969E2,3.790092468E0,2.500000000E0
2.060600744E1,3.211398017E1,1.189500352E2,1.381215410E1,2.759999990E0,2.393000031E2,3.790092468E0,2.500000000E0
2.163829114E1,3.211396785E1,1.189500112E2,1.377333264E1,2.630000114E0,2.408999939E2,3.790092468E0,2.500000000E0
2.263666551E1,3.211395704E1,1.189499864E2,1.361916028E1,2.690000057E0,2.431000061E2,3.790092468E0,2.500000000E0
2.360690697E1,3.211394670E1,1.189499610E2,1.342428012E1,2.579999924E0,2.446000061E2,3.790092468E0,2.500000000E0
2.461297358E1,3.211393600E1,1.189499360E2,1.324264248E1,2.599999905E0,2.401000061E2,3.790092468E0,2.500000000E0
2.560862963E1,3.211392538E1,1.189499115E2,1.214779546E1,2.480000019E0,2.426999969E2,3.790092468E0,2.500000000E0
2.663496911E1,3.211391451E1,1.189498866E2,1.222158957E1,2.650000095E0,2.446000061E2,3.790092468E0,2.500000000E0
2.763379160E1,3.211390572E1,1.189498611E2,1.219773284E1,2.460000038E0,2.508000031E2,3.790092468E0,2.500000000E0
2.863387259E1,3.211389737E1,1.189498358E2,1.178456364E1,2.539999962E0,2.481000061E2,3.790092468E0,2.500000000E0
2.961358317E1,3.211388764E1,1.189498090E2,1.167919763E1,2.859999895E0,2.475000000E2,3.790092468E0,2.500000000E0
3.064307968E1,3.211387707E1,1.189497806E2,1.154731518E1,2.839999914E0,2.441000061E2,3.790092468E0,2.500000000E0
3.162015697E1,3.211386679E1,1.189497534E2,1.085201414E1,2.630000114E0,2.463000031E2,3.790092468E0,2.500000000E0
3.264100025E1,3.211385782E1,1.189497223E2,1.094572946E1,3.299999952E0,2.505000000E2,3.790092468E0,2.500000000E0
3.360987520E1,3.211384970E1,1.189496893E2,1.057784421E1,2.980000019E0,2.523999939E2,3.790092468E0,2.500000000E0
3.464535556E1,3.211384218E1,1.189496566E2,1.051391394E1,3.140000105E0,2.533999939E2,3.790092468E0,2.500000000E0
3.561639551E1,3.211383243E1,1.189496226E2,1.093429789E1,3.460000038E0,2.476999969E2,3.790092468E0,2.500000000E0
3.664365400E1,3.211382050E1,1.189495892E2,1.085623270E1,3.329999924E0,2.458000031E2,3.790092468E0,2.500000000E0
3.761819233E1,3.211380827E1,1.189495562E2,1.093612406E1,3.349999905E0,2.460000000E2,3.790092468E0,2.500000000E0
3.864241483E1,3.211379769E1,1.189495230E2,1.102682270E1,3.329999924E0,2.506999969E2,3.790092468E0,2.500000000E0
3.961478363E1,3.211378774E1,1.189494895E2,1.070755011E1,3.329999924E0,2.495000000E2,3.790092468E0,2.500000000E0
4.065141743E1,3.211377393E1,1.189494581E2,1.067988939E1,3.400000095E0,2.415000000E2,3.790092468E0,2.500000000E0
4.160849441E1,3.211375478E1,1.189494294E2,1.060689172E1,3.460000038E0,2.300000000E2,3.790092468E0,2.500000000E0
4.261453707E1,3.211372954E1,1.189494055E2,1.044310744E1,3.549999952E0,2.178000031E2,3.790092468E0,2.500000000E0
4.364553827E1,3.211369968E1,1.189493881E2,1.028307701E1,3.680000067E0,2.061000061E2,3.790092468E0,2.500000000E0
4.464248837E1,3.211366641E1,1.189493785E2,1.052007865E1,3.759999990E0,1.908999939E2,3.790092468E0,2.500000000E0
4.564367873E1,3.211363397E1,1.189493790E2,1.022515743E1,3.349999905E0,1.788999939E2,3.790092468E0,2.500000000E0
4.664343774E1,3.211360570E1,1.189493865E2,1.036466836E1,2.900000095E0,1.685000000E2,3.790092468E0,2.500000000E0
4.761543889E1,3.211357383E1,1.189494013E2,9.420041962E0,4.199999809E0,1.610000000E2,3.790092468E0,2.500000000E0
4.861252727E1,3.211353857E1,1.189494180E2,9.356994685E0,3.750000000E0,1.596000061E2,3.790092468E0,2.500000000E0
4.961445326E1,3.211350938E1,1.189494298E2,9.518157210E0,2.869999886E0,1.630000000E2,3.790092468E0,2.500000000E0
5.064364410E1,3.211348209E1,1.189494393E2,1.052756699E1,3.130000114E0,1.658000031E2,3.790092468E0,2.500000000E0
5.164007810E1,3.211344898E1,1.189494530E2,1.026244641E1,4.170000076E0,1.616000061E2,3.790092468E0,2.500000000E0
5.264469519E1,3.211341598E1,1.189494701E2,1.037493921E1,3.259999990E0,1.563000031E2,3.790092468E0,2.500000000E0
5.364335144E1,3.211338975E1,1.189494881E2,1.007646100E1,2.920000076E0,1.530000000E2,3.790092468E0,2.581724405E0
5.461369076E1,3.211336014E1,1.189495070E2,1.023817862E1,3.829999924E0,1.540000000E2,3.790092468E0,2.928248882E0
5.561497800E1,3.211332654E1,1.189495262E2,9.920701350E0,3.630000114E0,1.561999969E2,3.790092468E0,2.970548153E0
5.663854883E1,3.211329396E1,1.189495420E2,9.881343485E0,3.529999971E0,1.596999969E2,3.790092468E0,3.255870819E0
5.760848993E1,3.211326125E1,1.189495561E2,9.780345961E0,3.529999971E0,1.618000031E2,3.790092468E0,3.031760216E0
5.864510217E1,3.211322807E1,1.189495702E2,9.390040742E0,3.599999905E0,1.611999969E2,3.790092468E0,3.092169046E0
5.961607097E1,3.211319856E1,1.189495820E2,9.390893944E0,2.839999914E0,1.631999969E2,3.790092468E0,2.803585052E0
6.063434753E1,3.211316838E1,1.189495976E2,9.975534258E0,3.970000029E0,1.570000000E2,3.790092468E0,2.676218987E0
6.163478685E1,3.211313695E1,1.189496155E2,1.028932111E1,3.430000067E0,1.563000031E2,3.790092468E0,2.668213844E0
6.264056175E1,3.211310489E1,1.189496339E2,9.899186647E0,3.880000114E0,1.545000000E2,3.790092468E0,2.500000000E0
6.363576284E1,3.211307034E1,1.189496528E2,1.065476729E1,4.010000229E0,1.586000061E2,3.790092468E0,2.500000000E0
6.460838378E1,3.211303623E1,1.189496694E2,9.645921852E0,3.740000010E0,1.601000061E2,3.790092468E0,2.500000000E0
6.563252518E1,3.211300324E1,1.189496856E2,9.477777954E0,3.819999933E0,1.593999939E2,3.790092468E0,2.500000000E0
6.663352529E1,3.211296963E1,1.189497035E2,8.878383617E0,3.990000010E0,1.578999939E2,3.790092468E0,2.500000000E0
6.763663930E1,3.211293594E1,1.189497220E2,8.771265947E0,3.910000086E0,1.558000031E2,3.790092468E0,2.500000000E0
6.863513919E1,3.211289849E1,1.189497437E2,9.139930308E0,4.820000172E0,1.546999969E2,3.790092468E0,2.500000000E0
6.963779034E1,3.211284657E1,1.189497718E2,9.030885890E0,5.250000000E0,1.586000061E2,3.790092468E0,2.500000000E0
7.063112914E1,3.211280707E1,1.189497961E2,8.793672153E0,4.889999866E0,1.545000000E2,3.790092468E0,2.500000000E0
7.163702591E1,3.211277304E1,1.189498131E2,8.495640876E0,3.769999981E0,1.580000000E2,3.790092468E0,2.500000000E0
7.263520185E1,3.211273036E1,1.189498318E2,8.538988584E0,5.239999771E0,1.575000000E2,3.790092468E0,2.500000000E0
7.364094987E1,3.211268470E1,1.189498556E2,8.744117791E0,5.019999981E0,1.555000000E2,3.790092468E0,2.500000000E0
7.460837471E1,3.211263860E1,1.189498774E2,9.148868264E0,5.019999981E0,1.556999969E2,3.790092468E0,2.500000000E0
7.563757211E1,3.211259932E1,1.189498996E2,9.540324254E0,4.760000229E0,1.541999969E2,3.790092468E0,2.500000000E0
7.664235565E1,3.211256196E1,1.189499222E2,9.252247581E0,4.860000134E0,1.563999939E2,3.790092468E0,2.500000000E0
7.763443794E1,3.211252175E1,1.189499435E2,9.739926713E0,4.889999866E0,1.558000031E2,3.790092468E0,2.500000000E0
7.863793763E1,3.211248580E1,1.189499556E2,9.870436462E0,3.970000029E0,1.601999969E2,3.790092468E0,2.500000000E0
7.963666440E1,3.211244691E1,1.189499780E2,9.776815250E0,4.719999790E0,1.535000000E2,3.790092468E0,2.500000000E0
8.063432455E1,3.211240909E1,1.189499986E2,1.025476612E1,4.380000114E0,1.548999939E2,3.790092468E0,2.500000000E0
8.160852273E1,3.211236938E1,1.189500144E2,1.059402732E1,4.630000114E0,1.636000061E2,3.790092468E0,2.500000000E0
8.263668565E1,3.211233453E1,1.189500371E2,1.096067875E1,4.440000057E0,1.535000000E2,3.790092468E0,2.500000000E0
8.363739330E1,3.211229572E1,1.189500578E2,1.102950887E1,4.269999981E0,1.561999969E2,3.790092468E0,2.500000000E0
8.463651695E1,3.211225891E1,1.189500795E2,1.079612360E1,4.250000000E0,1.571000061E2,3.790092468E0,2.500000000E0
8.560629799E1,3.211222163E1,1.189501004E2,1.114159753E1,4.469999790E0,1.556000061E2,3.790092468E0,2.500000000E0
8.663042585E1,3.211218293E1,1.189501170E2,1.084532912E1,4.429999828E0,1.646000061E2,3.790092468E0,2.500000000E0
8.760987492E1,3.211214374E1,1.189501306E2,1.047735374E1,4.380000114E0,1.621999969E2,3.790092468E0,2.500000000E0
8.861032444E1,3.211210647E1,1.189501432E2,1.011005645E1,4.119999886E0,1.656999969E2,3.790092468E0,2.500000000E0
8.963527236E1,3.211207612E1,1.189501516E2,9.704119928E0,3.089999914E0,1.666999969E2,3.790092468E0,2.500000000E0
9.063303210E1,3.211204217E1,1.189501627E2,9.116313592E0,4.599999905E0,1.643000031E2,3.790092468E0,2.500000000E0
9.163380257E1,3.211200430E1,1.189501772E2,9.370529781E0,4.030000210E0,1.625000000E2,3.790092468E0,2.500000000E0
9.263247663E1,3.211196577E1,1.189501925E2,9.353044030E0,4.579999924E0,1.610000000E2,3.790092468E0,2.500000000E0
9.360644674E1,3.211192520E1,1.189502080E2,9.568647200E0,4.409999847E0,1.621000061E2,3.790092468E0,2.500000000E0
9.463380736E1,3.211188590E1,1.189502248E2,9.034401217E0,4.530000210E0,1.603000031E2,3.790092468E0,2.500000000E0
9.563261840E1,3.211184707E1,1.189502432E2,9.209134677E0,4.420000076E0,1.583000031E2,3.790092468E0,2.500000000E0
9.663582637E1,3.211180939E1,1.189502634E2,8.926741837E0,4.409999847E0,1.551999969E2,3.790092468E0,2.500000000E0
9.761139679E1,3.211177187E1,1.189502857E2,8.808892643E0,4.469999790E0,1.533000031E2,3.790092468E0,2.500000000E0
9.863720231E1,3.211173633E1,1.189503132E2,9.338704416E0,4.599999905E0,1.461999969E2,3.790092468E0,2.500000000E0
9.963548600E1,3.211170642E1,1.189503452E2,8.920543668E0,4.179999828E0,1.378000031E2,3.790092468E0,2.500000000E0
1.006380544E2,3.211168256E1,1.189503829E2,8.669947201E0,4.429999828E0,1.274000015E2,3.790092468E0,2.500000000E0
1.016398598E2,3.211166618E1,1.189504255E2,8.228399011E0,4.170000076E0,1.159000015E2,3.790092468E0,2.500000000E0
1.026429515E2,3.211165751E1,1.189504712E2,8.250172697E0,4.349999905E0,1.046999969E2,3.790092468E0,2.500000000E0
1.036180129E2,3.211165645E1,1.189505188E2,8.233684741E0,4.400000095E0,9.340000153E1,3.790092468E0,2.500000000E0
1.046417843E2,3.211165986E1,1.189505668E2,8.213053110E0,4.369999886E0,8.880000305E1,3.790092468E0,2.500000000E0
1.056148773E2,3.211166605E1,1.189506150E2,8.068860086E0,4.449999809E0,8.390000153E1,3.790092468E0,2.500000000E0
1.066369437E2,3.211167268E1,1.189506626E2,7.756152103E0,4.349999905E0,8.369999695E1,3.790092468E0,2.500000000E0
1.076468253E2,3.211167910E1,1.189507100E2,7.618309829E0,4.480000019E0,8.319999695E1,3.790092468E0,2.500000000E0
