"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
7.665020900E-2,4.359375000E1,1.123125076E1,-5.071875381E1
9.665020900E-2,4.385625076E1,1.216875076E1,-5.152500153E1
1.166502090E-1,4.395000076E1,1.237500095E1,-5.176875305E1
1.366502090E-1,4.387500000E1,1.301250076E1,-5.244375229E1
1.566502090E-1,4.335000229E1,1.400625038E1,-5.334375381E1
1.766502090E-1,4.305000305E1,1.485000038E1,-5.407500076E1
1.966502090E-1,4.222500229E1,1.605000114E1,-5.488125229E1
2.166502090E-1,4.147500229E1,1.702500153E1,-5.557500076E1
2.366502090E-1,4.096875000E1,1.845000076E1,-5.668125153E1
2.566502090E-1,4.014375305E1,1.980000114E1,-5.782500076E1
2.766502090E-1,3.941250229E1,2.111250114E1,-5.896875381E1
2.966502090E-1,3.864375305E1,2.310000038E1,-6.028125381E1
3.166502090E-1,3.748125076E1,2.510625076E1,-6.116250229E1
3.366502090E-1,3.588750076E1,2.707500076E1,-6.226875305E1
3.566502090E-1,3.457500076E1,2.964375114E1,-6.286875153E1
3.766502090E-1,3.305625153E1,3.181875038E1,-6.305625153E1
3.966502090E-1,3.240000153E1,3.390000153E1,-6.279375076E1
4.166502090E-1,3.195000076E1,3.607500076E1,-6.108750153E1
4.366502090E-1,3.131250191E1,3.830625153E1,-5.915625381E1
4.566502090E-1,3.060000038E1,4.048125076E1,-5.550000381E1
4.766502090E-1,2.880000114E1,4.205625153E1,-5.092500305E1
4.966502090E-1,2.677500153E1,4.295625305E1,-4.584375000E1
5.166502090E-1,2.465625191E1,4.297500229E1,-4.006875229E1
5.366502090E-1,2.195625114E1,4.222500229E1,-3.508125305E1
5.566502090E-1,1.987500000E1,4.066875076E1,-3.078750038E1
5.766502090E-1,1.749375153E1,3.886875153E1,-2.805000114E1
5.966502090E-1,1.486875057E1,3.620625305E1,-2.686875153E1
6.166502090E-1,1.295625019E1,3.343125153E1,-2.655000114E1
6.366502090E-1,1.126875019E1,3.095625114E1,-2.722500038E1
6.566502090E-1,1.035000038E1,2.842500114E1,-2.812500191E1
6.766502090E-1,9.862500191E0,2.617500114E1,-2.910000038E1
6.966502090E-1,9.675000191E0,2.441250038E1,-3.018750191E1
7.166502090E-1,9.487500191E0,2.261250114E1,-3.148125076E1
7.366502090E-1,9.337500572E0,2.079375076E1,-3.273750305E1
7.566502090E-1,9.393750191E0,1.925625038E1,-3.356250000E1
7.766502090E-1,9.525000572E0,1.738125038E1,-3.461250305E1
7.966502090E-1,9.806250572E0,1.554375076E1,-3.481875229E1
8.166502090E-1,1.050000000E1,1.410000038E1,-3.528750229E1
8.366502090E-1,1.140000057E1,1.273125076E1,-3.560625076E1
8.566502090E-1,1.308750057E1,1.115625000E1,-3.583125305E1
8.766502090E-1,1.455000019E1,9.956250191E0,-3.643125153E1
8.966502090E-1,1.612500000E1,8.700000763E0,-3.616875076E1
9.166502090E-1,1.743750000E1,7.762500286E0,-3.643125153E1
9.366502090E-1,1.869375038E1,7.125000477E0,-3.654375076E1
9.566502090E-1,2.034375000E1,6.581250191E0,-3.631875229E1
9.766502090E-1,2.109375000E1,6.675000191E0,-3.639375305E1
9.966502090E-1,2.197500038E1,6.825000286E0,-3.643125153E1
1.016650209E0,2.244375038E1,7.125000477E0,-3.688125229E1
1.036650209E0,2.261250114E1,7.275000095E0,-3.742500305E1
1.056650209E0,2.317500114E1,6.881250381E0,-3.778125000E1
1.076650209E0,2.381250000E1,6.412500381E0,-3.791250229E1
1.096650209E0,2.362500000E1,5.775000095E0,-3.781875229E1
1.116650209E0,2.338125038E1,5.550000191E0,-3.785625076E1
1.136650209E0,2.291250038E1,5.325000286E0,-3.800625229E1
1.156650209E0,2.229375076E1,5.362500191E0,-3.864375305E1
1.176650209E0,2.205000114E1,5.625000000E0,-3.930000305E1
1.196650209E0,2.175000000E1,5.531250000E0,-3.973125076E1
