"Time (s)","Pressure (hPa)"
1.456926040E-1,1.015104980E3
1.857030210E-1,1.015046204E3
2.256938020E-1,1.015043701E3
2.656935940E-1,1.015099976E3
3.057046880E-1,1.015089966E3
3.457170320E-1,1.015109985E3
3.857355730E-1,1.015101257E3
4.257140110E-1,1.015117493E3
4.657064590E-1,1.015106201E3
5.057043230E-1,1.015099976E3
5.457059900E-1,1.015091248E3
5.857064070E-1,1.015104980E3
6.257023440E-1,1.015065002E3
6.656930210E-1,1.015107483E3
7.095236460E-1,1.015111206E3
7.456955730E-1,1.015111206E3
7.856929690E-1,1.015109985E3
8.257054690E-1,1.015092468E3
8.657043750E-1,1.015097473E3
9.057043750E-1,1.015144958E3
9.457056250E-1,1.015104980E3
9.857038540E-1,1.015130005E3
1.025705938E0,1.015104980E3
1.065702188E0,1.015123718E3
1.105693698E0,1.015134949E3
1.145693334E0,1.015118713E3
1.185689792E0,1.015127502E3
1.225691771E0,1.015131226E3
1.265706146E0,1.015086243E3
1.305706719E0,1.015138733E3
1.345704948E0,1.015168701E3
1.385701823E0,1.015162476E3
1.425701979E0,1.015126221E3
1.465702865E0,1.015112488E3
1.505700729E0,1.015152466E3
1.545689844E0,1.015149963E3
1.585688125E0,1.015188721E3
1.625687344E0,1.015117493E3
1.665708802E0,1.015149963E3
1.705704740E0,1.015125000E3
1.745705157E0,1.015177490E3
1.785714636E0,1.015119995E3
1.825704375E0,1.015121216E3
1.865704688E0,1.015144958E3
1.905708907E0,1.015366211E3
1.945695469E0,1.015154968E3
1.985695834E0,1.015142456E3
2.025690886E0,1.015136230E3
2.065695469E0,1.015154968E3
2.105706459E0,1.015133728E3
2.145705990E0,1.015157471E3
2.185710157E0,1.015123718E3
2.225704584E0,1.015119995E3
2.265703177E0,1.015136230E3
2.305687917E0,1.015166199E3
2.345687084E0,1.015167480E3
2.385687917E0,1.015166199E3
2.425689063E0,1.015156250E3
2.465696979E0,1.015179993E3
2.505721875E0,1.015163757E3
2.545690625E0,1.015148743E3
2.585704167E0,1.015157471E3
2.625703125E0,1.015121216E3
2.665698177E0,1.015103699E3
2.708922552E0,1.015119995E3
2.745705938E0,1.015119995E3
2.785686719E0,1.015166199E3
2.825687761E0,1.015148743E3
2.865695261E0,1.015149963E3
2.905687604E0,1.015157471E3
2.945709740E0,1.015151245E3
2.985703854E0,1.015136230E3
3.025704167E0,1.015079956E3
3.065687032E0,1.015134949E3
3.105703073E0,1.015092468E3
3.145707552E0,1.015088745E3
3.185704271E0,1.015113708E3
3.225688125E0,1.015131226E3
3.265687552E0,1.015147461E3
3.305688334E0,1.015114990E3
3.345695886E0,1.015125000E3
3.385705417E0,1.015116211E3
3.425714479E0,1.015122498E3
3.465703438E0,1.015114990E3
3.505703073E0,1.015151245E3
3.545702813E0,1.015173706E3
3.585705677E0,1.015121216E3
3.625703386E0,1.015143738E3
3.665694219E0,1.015136230E3
3.705700313E0,1.015137451E3
3.745687500E0,1.015169983E3
3.785692552E0,1.015119995E3
3.825704479E0,1.015146240E3
3.865695521E0,1.015118713E3
3.905704375E0,1.015138733E3
3.945704375E0,1.015169983E3
3.985703021E0,1.015147461E3
4.025686459E0,1.015137451E3
4.065702032E0,1.015131226E3
4.105690157E0,1.015137451E3
4.145694323E0,1.015153748E3
4.185689323E0,1.015136230E3
4.225717709E0,1.015148743E3
4.265707292E0,1.015125000E3
4.305710417E0,1.015114990E3
4.345702604E0,1.015121216E3
4.385705990E0,1.015092468E3
4.425703073E0,1.015130005E3
4.465705052E0,1.015146240E3
4.505703021E0,1.015149963E3
4.545688282E0,1.015121216E3
4.585694636E0,1.015142456E3
4.625687552E0,1.015133728E3
4.665710104E0,1.015093750E3
4.705688594E0,1.015123718E3
4.745704740E0,1.015123718E3
4.785703907E0,1.015149963E3
4.825705157E0,1.015136230E3
4.865701823E0,1.015161255E3
4.905714896E0,1.015192505E3
4.945687136E0,1.015152466E3
4.985682240E0,1.015154968E3
5.025693334E0,1.015122498E3
5.065687917E0,1.015144958E3
5.105706407E0,1.015183716E3
5.145731771E0,1.015128723E3
5.185705209E0,1.015153748E3
5.225704115E0,1.015146240E3
5.265729115E0,1.015114990E3
5.305706719E0,1.015127502E3
5.345693907E0,1.015089966E3
5.385687344E0,1.015125000E3
5.425688438E0,1.015131226E3
5.465687136E0,1.015142456E3
5.505722917E0,1.015114990E3
5.545750209E0,1.015093750E3
5.585704167E0,1.015109985E3
5.625701823E0,1.015119995E3
5.665759636E0,1.015116211E3
5.705687136E0,1.015094971E3
5.745702448E0,1.015113708E3
5.785686875E0,1.015123718E3
5.825687188E0,1.015109985E3
5.865683177E0,1.015118713E3
5.905691563E0,1.015117493E3
5.945707240E0,1.015073730E3
5.985707969E0,1.015083740E3
6.025707552E0,1.015118713E3
6.065701563E0,1.015099976E3
6.105703907E0,1.015096252E3
6.145702657E0,1.015139954E3
6.185703542E0,1.015091248E3
6.225700417E0,1.015113708E3
6.265687761E0,1.015077454E3
6.305692604E0,1.015108704E3
6.345686979E0,1.015119995E3
6.385705469E0,1.015116211E3
6.425715625E0,1.015103699E3
6.465686667E0,1.015147461E3
6.505707552E0,1.015144958E3
6.545705417E0,1.015132507E3
6.585705521E0,1.015101257E3
6.625702552E0,1.015146240E3
6.665690938E0,1.015122498E3
6.705689375E0,1.015114990E3
6.745687604E0,1.015123718E3
6.785699948E0,1.015164978E3
6.825702552E0,1.015111206E3
6.865688021E0,1.015099976E3
6.905704063E0,1.015073730E3
6.945703750E0,1.015126221E3
6.985775782E0,1.015091248E3
7.025686563E0,1.015122498E3
7.065705469E0,1.015117493E3
7.105693073E0,1.015139954E3
7.145694011E0,1.015106201E3
7.185687500E0,1.015096252E3
7.225722032E0,1.015114990E3
7.265702552E0,1.015081238E3
7.305708282E0,1.015086243E3
7.345704844E0,1.015071228E3
7.385687500E0,1.015125000E3
7.425718698E0,1.015123718E3
7.465707188E0,1.015088745E3
7.505687396E0,1.015097473E3
7.545687344E0,1.015114990E3
7.585696302E0,1.015109985E3
7.625686563E0,1.015128723E3
7.665707240E0,1.015099976E3
7.705693802E0,1.015125000E3
7.745704375E0,1.015116211E3
7.785703646E0,1.015116211E3
7.825704896E0,1.015101257E3
7.865706979E0,1.015065002E3
7.905701823E0,1.015125000E3
7.945716771E0,1.015103699E3
7.985684584E0,1.015079956E3
8.025687344E0,1.015107483E3
8.065691042E0,1.015082458E3
8.105687240E0,1.015107483E3
8.145703386E0,1.015093750E3
8.185703907E0,1.015093750E3
8.225702292E0,1.015076233E3
8.265705157E0,1.015073730E3
8.305713490E0,1.015066223E3
8.345703334E0,1.015131226E3
8.385687709E0,1.015108704E3
8.425685729E0,1.015096252E3
8.465687292E0,1.015111206E3
8.505722292E0,1.015111206E3
8.545707917E0,1.015128723E3
8.585703334E0,1.015082458E3
8.625702084E0,1.015112488E3
8.665696875E0,1.015143738E3
8.705687813E0,1.015119995E3
8.745705938E0,1.015032471E3
8.785703282E0,1.015130005E3
8.825688854E0,1.015107483E3
8.865686667E0,1.015093750E3
8.905686563E0,1.015099976E3
8.945704375E0,1.015093750E3
8.985706563E0,1.015132507E3
