"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-6.606760979E0,1.830644846E0,6.714529991E0
2.199531200E-2,-6.009589672E0,1.403174520E0,6.892130852E0
4.199531200E-2,-5.622686863E0,1.211973548E0,7.092851162E0
6.199531200E-2,-4.715619564E0,6.350572109E-1,7.971762180E0
8.199531200E-2,-3.660475731E0,-5.121963620E-1,7.902091026E0
1.019953120E-1,-3.192179441E0,-1.071817040E0,1.213949299E1
1.219953120E-1,-3.832044125E0,-1.800152361E-1,1.092617798E1
1.419968750E-1,-2.940721273E0,7.403637767E-1,9.607098579E0
1.639968750E-1,-5.634992942E-2,-1.602104008E-1,8.433182716E0
1.840093750E-1,2.184038639E0,-6.818015575E-1,7.102408409E0
2.059968750E-1,2.447458267E0,-3.681707382E-1,9.940936089E0
2.259968750E-1,3.583162129E-1,1.257789016E0,1.125680828E1
2.459968750E-1,8.288821578E-1,1.387746334E0,9.419162750E0
2.660015620E-1,1.485429764E0,-8.151777834E-2,8.306501389E0
2.880000000E-1,1.589175314E-1,-8.295142651E-1,1.088251877E1
3.099984370E-1,-3.390763998E-1,4.574936330E-1,1.132748508E1
3.299984370E-1,1.382747173E0,-2.061503381E-1,1.028929329E1
3.500000000E-1,1.326856971E0,-2.857431769E-1,1.154770374E1
3.719968750E-1,4.371524751E-1,-5.477741957E-1,9.806285858E0
3.919968750E-1,4.590163231E-1,-9.248992205E-1,9.006363869E0
4.120000000E-1,3.149524331E-1,-5.088444352E-1,9.778773308E0
4.339968750E-1,2.026911974E0,3.481073380E-1,9.055828094E0
4.539984370E-1,2.167212248E0,6.950367093E-1,8.726464272E0
4.759984370E-1,1.546864867E0,2.276694179E-1,9.530589104E0
4.980046870E-1,1.230801582E0,5.300092101E-1,8.808037758E0
5.199968750E-1,1.363555312E0,5.797320008E-1,9.253322601E0
5.400000000E-1,1.089687347E0,7.048529387E-1,9.572230339E0
5.619984370E-1,1.152463317E0,1.463929772E0,1.016894054E1
5.839984370E-1,2.116426229E0,7.852981216E-4,8.393047333E0
6.040031250E-1,2.237429380E0,5.070727468E-1,8.695720673E0
6.260171870E-1,2.526524305E0,1.842577606E-1,1.018415833E1
6.479984370E-1,2.162461996E0,6.312456131E-1,9.119131088E0
6.679984370E-1,2.461545706E0,8.794189692E-1,8.723033905E0
6.899984370E-1,2.239919186E0,1.193844676E-1,8.757616043E0
7.099984370E-1,1.472366929E0,5.540948510E-1,8.430520058E0
7.319968750E-1,1.486416101E0,6.516920924E-1,8.624182701E0
7.519984370E-1,1.782052159E0,8.316977620E-1,9.385041237E0
7.719984370E-1,2.088481188E0,9.653133750E-1,1.009146500E1
7.920312500E-1,1.935328960E0,9.608122706E-1,8.631814957E0
8.139984370E-1,1.580489039E0,9.385078549E-1,8.482455254E0
8.359984370E-1,1.324309468E0,9.910653830E-1,9.331974983E0
8.560203120E-1,1.309446335E0,1.003802538E0,9.459471703E0
8.779968750E-1,1.938719153E0,9.919368625E-1,9.297652245E0
8.979968750E-1,1.794971228E0,1.308948278E0,9.337597847E0
9.179984370E-1,2.327518225E0,1.731783509E0,9.763554573E0
9.379984370E-1,2.953850985E0,2.211025953E0,1.070905399E1
9.599968750E-1,4.388964176E0,2.740412712E0,1.082991314E1
9.799968750E-1,4.909070969E0,2.946180105E0,1.041681767E1
1.000003125E0,5.022479534E0,2.781899452E0,1.062319660E1
