"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.605781200E-2,2.554000020E-1,-6.250000000E-2,-2.879000008E-1
4.599687500E-2,9.845999479E-1,-4.429000020E-1,3.839999810E-2
7.599531200E-2,2.592999935E0,-1.781999946E0,8.976999521E-1
9.599531200E-2,2.353299856E0,-2.141199827E0,2.119699955E0
1.159968750E-1,2.179800034E0,-1.483199954E0,4.302599907E0
1.459953120E-1,2.173300028E0,-3.789999783E-1,8.083999753E-1
1.659953120E-1,4.834099770E0,-1.126299977E0,-3.935999870E-1
1.859968750E-1,6.642600060E0,-1.479799986E0,-1.585899949E0
2.059968750E-1,5.742099762E0,-9.115999937E-1,7.157999873E-1
2.259968750E-1,1.696099997E0,1.229499936E0,1.533899903E0
2.459968750E-1,1.183300018E0,1.465699911E0,-3.946000040E-1
2.660015620E-1,1.698499918E0,5.969999731E-2,-1.506899953E0
2.959968750E-1,-4.069999754E-1,-1.554999948E-1,1.474200010E0
3.159968750E-1,-1.510999948E-1,7.486000061E-1,1.154699922E0
3.359984370E-1,1.246099949E0,-2.046999931E-1,9.580000043E-1
3.560281250E-1,9.309999645E-2,7.710000128E-2,1.551499963E0
3.859968750E-1,-5.791000128E-1,-7.102000117E-1,-8.801999688E-1
4.060046870E-1,-8.569999933E-1,-6.765999794E-1,3.189999983E-2
4.359968750E-1,9.738999605E-1,3.734000027E-1,-7.663999796E-1
4.560203120E-1,8.773999810E-1,4.950999916E-1,-1.019699931E0
4.859984370E-1,-2.399999881E-3,-8.320000023E-2,-3.111000061E-1
5.159968750E-1,-1.789999940E-2,1.996999979E-1,-5.874999762E-1
5.359968750E-1,-2.450999916E-1,2.143999934E-1,-2.666999996E-1
5.560234370E-1,-3.542999923E-1,8.158999681E-1,6.899999976E-1
5.859968750E-1,4.143999815E-1,-5.997999907E-1,-1.395999908E0
6.060187500E-1,1.889999956E-1,2.037999928E-1,-6.739000082E-1
6.359984370E-1,-2.960000001E-2,6.599999964E-3,1.546999961E-1
6.560218750E-1,1.926999986E-1,1.344999969E-1,-7.295999527E-1
6.859984370E-1,3.520999849E-1,-5.947999954E-1,-5.935999751E-1
7.159968750E-1,-6.374999881E-1,-3.562999964E-1,-1.261099935E0
7.359968750E-1,-3.768000007E-1,-2.574999928E-1,-8.861999512E-1
7.560218750E-1,9.599999525E-3,-1.431999952E-1,-2.070000023E-2
7.859968750E-1,9.699999541E-2,5.939999968E-2,-5.036999583E-1
8.059968750E-1,-2.884999812E-1,-1.469999999E-1,-1.135499954E0
8.259984370E-1,-6.854000092E-1,-1.586000025E-1,-6.750000119E-1
8.560203120E-1,-8.702999949E-1,-1.130999997E-1,-5.700000003E-2
8.859953120E-1,-5.837000012E-1,1.719999872E-2,-1.951999962E-1
9.059968750E-1,-4.871999919E-1,2.356999964E-1,-1.979999989E-2
9.259984370E-1,7.369999588E-2,6.688999534E-1,9.952999949E-1
9.560203120E-1,1.222899914E0,1.197499990E0,1.659199953E0
9.859984370E-1,1.412199974E0,8.564999700E-1,1.652699947E0
1.015996875E0,5.527999997E-1,-2.087000012E-1,1.390399933E0
1.045998437E0,-1.096400023E0,9.065999985E-1,1.357900023E0
1.075996875E0,-3.149299860E0,1.073199987E0,7.522999644E-1
1.095996875E0,-8.524999619E-1,6.309999526E-2,3.883999884E-1
1.115998437E0,-6.035000086E-1,-1.763999909E-1,1.184700012E0
1.145996875E0,-3.933199883E0,-1.037599921E0,2.041599989E0
1.165996875E0,-4.471699715E0,-2.560199976E0,2.084499836E0
1.185998437E0,-6.531599998E0,-2.065399885E0,2.965999842E0
1.215996875E0,-5.362400055E0,-4.429699898E0,-4.848999977E-1
1.235996875E0,-1.263299942E0,-3.157899857E0,-6.358000040E-1
1.256021875E0,2.209100008E0,-3.406800032E0,-1.241999984E0
1.285996875E0,-5.002999783E0,-6.231999993E-1,-2.060799837E0
1.305996875E0,-7.428999543E-1,-3.693099976E0,-1.386600018E0
1.325998437E0,9.499999695E-3,-3.583099842E0,1.922399998E0
1.356020312E0,2.407500029E0,-1.278900027E0,-1.899699926E0
1.385996875E0,4.924900055E0,-6.110000014E-1,-8.737999797E-1
1.405998437E0,1.988599896E0,-1.839199901E0,2.984799862E0
