"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.187531200E-2,9.750000000E0,8.368750000E1,-2.418750000E1
5.187687500E-2,9.750000000E0,8.381250000E1,-2.406250000E1
8.187531200E-2,9.750000000E0,8.425000000E1,-2.400000000E1
1.018753120E-1,9.125000000E0,8.500000000E1,-2.431250000E1
1.218768750E-1,8.125000000E0,8.575000000E1,-2.525000000E1
1.518753120E-1,5.875000000E0,8.700000000E1,-2.725000000E1
1.718753120E-1,3.750000000E0,8.775000000E1,-2.950000000E1
1.918768750E-1,1.625000000E0,8.800000000E1,-3.143750000E1
2.118768750E-1,-9.375000000E-1,8.812500000E1,-3.231250000E1
2.318768750E-1,-3.000000000E0,8.818750000E1,-3.281250000E1
2.518768750E-1,-4.125000000E0,8.812500000E1,-3.337500000E1
2.718815620E-1,-4.875000000E0,8.818750000E1,-3.318750000E1
3.018768750E-1,-5.750000000E0,8.831250000E1,-3.300000000E1
3.218768750E-1,-6.687500000E0,8.837500000E1,-3.337500000E1
3.418784370E-1,-7.437500000E0,8.831250000E1,-3.331250000E1
3.619081250E-1,-8.375000000E0,8.793750000E1,-3.412500000E1
3.918768750E-1,-8.687500000E0,8.743750000E1,-3.600000000E1
4.118846870E-1,-8.375000000E0,8.681250000E1,-3.687500000E1
4.418768750E-1,-8.250000000E0,8.618750000E1,-3.812500000E1
4.619003120E-1,-8.250000000E0,8.587500000E1,-3.856250000E1
4.918784370E-1,-8.437500000E0,8.543750000E1,-3.843750000E1
5.218768750E-1,-8.500000000E0,8.475000000E1,-3.906250000E1
5.418768750E-1,-8.562500000E0,8.443750000E1,-3.887500000E1
5.619034370E-1,-9.000000000E0,8.443750000E1,-3.868750000E1
5.918768750E-1,-1.012500000E1,8.443750000E1,-3.887500000E1
6.118987500E-1,-1.056250000E1,8.406250000E1,-3.918750000E1
6.418784370E-1,-1.037500000E1,8.356250000E1,-4.081250000E1
6.619018750E-1,-9.500000000E0,8.256250000E1,-4.237500000E1
6.918784370E-1,-8.062500000E0,8.131250000E1,-4.368750000E1
7.218768750E-1,-7.687500000E0,8.037500000E1,-4.356250000E1
7.418768750E-1,-7.812500000E0,7.987500000E1,-4.325000000E1
7.619018750E-1,-7.437500000E0,7.956250000E1,-4.262500000E1
7.918768750E-1,-7.625000000E0,7.887500000E1,-4.225000000E1
8.118768750E-1,-8.500000000E0,7.812500000E1,-4.206250000E1
8.318784370E-1,-8.625000000E0,7.787500000E1,-4.175000000E1
8.619003120E-1,-8.750000000E0,7.737500000E1,-4.156250000E1
8.918753120E-1,-8.125000000E0,7.693750000E1,-4.181250000E1
9.118768750E-1,-8.375000000E0,7.656250000E1,-4.181250000E1
9.318784370E-1,-8.875000000E0,7.618750000E1,-4.187500000E1
9.619003120E-1,-1.075000000E1,7.425000000E1,-4.343750000E1
9.918784370E-1,-1.406250000E1,7.143750000E1,-4.687500000E1
1.021876875E0,-1.925000000E1,6.750000000E1,-4.906250000E1
1.051878437E0,-2.412500000E1,6.287500000E1,-5.100000000E1
1.081876875E0,-2.831250000E1,5.856250000E1,-5.131250000E1
1.101876875E0,-3.025000000E1,5.575000000E1,-5.162500000E1
1.121878437E0,-3.262500000E1,5.306250000E1,-5.131250000E1
1.151876875E0,-3.718750000E1,4.856250000E1,-4.993750000E1
1.171876875E0,-3.956250000E1,4.525000000E1,-4.900000000E1
1.191878437E0,-4.200000000E1,4.212500000E1,-4.775000000E1
1.221876875E0,-4.425000000E1,3.887500000E1,-4.468750000E1
1.241876875E0,-4.518750000E1,3.800000000E1,-4.218750000E1
1.261901875E0,-4.718750000E1,3.781250000E1,-3.887500000E1
1.291876875E0,-5.106250000E1,3.800000000E1,-3.387500000E1
1.311876875E0,-5.337500000E1,3.968750000E1,-3.112500000E1
1.331878437E0,-5.412500000E1,4.231250000E1,-3.025000000E1
1.361900312E0,-5.681250000E1,4.506250000E1,-2.906250000E1
1.391876875E0,-6.087500000E1,4.762500000E1,-2.518750000E1
