"Time (s)","Pressure (hPa)"
9.788000000E-2,1.019047485E3
1.778768750E-1,1.019051208E3
2.578800000E-1,1.019051208E3
3.378800000E-1,1.019044983E3
4.178800000E-1,1.019046204E3
4.978800000E-1,1.019053711E3
5.778800000E-1,1.019047485E3
6.578815620E-1,1.019053711E3
7.378815620E-1,1.019048706E3
8.178815620E-1,1.019051208E3
8.978800000E-1,1.019048706E3
9.778800000E-1,1.019048706E3
1.057880000E0,1.019044983E3
1.137880000E0,1.019044983E3
1.217880000E0,1.019053711E3
1.297881562E0,1.019047485E3
1.377881562E0,1.019043701E3
1.457881562E0,1.019049988E3
1.537880000E0,1.019046204E3
1.617880000E0,1.019049988E3
1.697880000E0,1.019052490E3
1.777880000E0,1.019047485E3
1.857880000E0,1.019043701E3
1.937878437E0,1.019041199E3
2.017881562E0,1.019044983E3
2.097881562E0,1.019039978E3
2.177880000E0,1.019046204E3
2.257880000E0,1.019039978E3
2.337880000E0,1.019048706E3
2.417880000E0,1.019047485E3
2.497880000E0,1.019048706E3
2.577880000E0,1.019042480E3
2.657881562E0,1.019046204E3
2.737881562E0,1.019048706E3
2.817881562E0,1.019049988E3
2.897880000E0,1.019044983E3
2.977880000E0,1.019051208E3
3.057880000E0,1.019052490E3
3.137880000E0,1.019057495E3
3.217880000E0,1.019061218E3
3.297881562E0,1.019051208E3
3.377880000E0,1.019048706E3
3.457881562E0,1.019043701E3
3.537880000E0,1.019051208E3
3.617880000E0,1.019044983E3
3.697880000E0,1.019047485E3
3.777880000E0,1.019051208E3
3.857880000E0,1.019044983E3
3.937880000E0,1.019036255E3
4.017881562E0,1.019036255E3
4.097881562E0,1.019041199E3
4.177880000E0,1.019038757E3
4.257880000E0,1.019048706E3
4.337880000E0,1.019061218E3
4.417880000E0,1.019059998E3
4.497880000E0,1.019054993E3
4.577880000E0,1.019049988E3
4.657881562E0,1.019034973E3
4.737881562E0,1.019028748E3
4.817881562E0,1.019032471E3
4.897880000E0,1.019028748E3
4.977878437E0,1.019039978E3
5.057880000E0,1.019043701E3
5.137880000E0,1.019041199E3
5.217880000E0,1.019032471E3
5.297878437E0,1.019042480E3
5.377881562E0,1.019038757E3
5.457881562E0,1.019037476E3
5.537880000E0,1.019044983E3
5.617880000E0,1.019046204E3
5.697878437E0,1.019047485E3
5.777880000E0,1.019049988E3
5.857880000E0,1.019048706E3
5.937878437E0,1.019041199E3
6.017881562E0,1.019048706E3
6.097881562E0,1.019048706E3
6.177881562E0,1.019058716E3
6.257880000E0,1.019062500E3
6.337880000E0,1.019058716E3
6.417880000E0,1.019058716E3
6.497880000E0,1.019053711E3
6.577880000E0,1.019051208E3
6.657881562E0,1.019056213E3
6.737880000E0,1.019059998E3
6.817881562E0,1.019061218E3
6.897880000E0,1.019059998E3
6.977880000E0,1.019067505E3
7.057880000E0,1.019053711E3
7.137880000E0,1.019048706E3
7.217880000E0,1.019051208E3
7.297878437E0,1.019044983E3
7.377881562E0,1.019056213E3
7.457880000E0,1.019057495E3
7.537880000E0,1.019058716E3
7.617880000E0,1.019047485E3
7.697880000E0,1.019053711E3
7.777880000E0,1.019047485E3
7.857880000E0,1.019047485E3
7.937880000E0,1.019047485E3
8.017881562E0,1.019058716E3
8.097880000E0,1.019063721E3
8.177880000E0,1.019066223E3
8.257880000E0,1.019062500E3
8.337880000E0,1.019059998E3
8.417880000E0,1.019056213E3
8.497880000E0,1.019047485E3
8.577880000E0,1.019048706E3
8.657881562E0,1.019052490E3
8.737881562E0,1.019057495E3
8.817881562E0,1.019058716E3
8.897880000E0,1.019047485E3
8.977880000E0,1.019044983E3
9.057880000E0,1.019039978E3
9.137880000E0,1.019048706E3
9.217880000E0,1.019054993E3
9.297880000E0,1.019067505E3
9.377881562E0,1.019063721E3
9.457881562E0,1.019067505E3
9.537880000E0,1.019067505E3
9.617880000E0,1.019049988E3
9.697880000E0,1.019052490E3
9.777880000E0,1.019065002E3
9.857880000E0,1.019072449E3
9.937880000E0,1.019067505E3
1.001788156E1,1.019059998E3
