"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.804583295E-4,4.251908112E0,-3.834575958E0,4.775668945E0
2.058345833E-2,4.482279053E0,-3.645219727E0,5.610183563E0
4.068545834E-2,4.290527802E0,-3.230581970E0,5.680986328E0
6.078845833E-2,3.938908997E0,-2.919379120E0,5.344935150E0
8.089045834E-2,4.035757599E0,-2.993924103E0,5.692362671E0
1.009924583E-1,4.794829102E0,-3.876937866E0,6.760242004E0
1.210954583E-1,6.084098053E0,-5.176984406E0,7.908953247E0
1.411974583E-1,7.717351685E0,-7.960446167E0,7.347171478E0
1.613004583E-1,9.107211456E0,-1.470571930E1,3.624113617E0
1.814024583E-1,7.384893036E0,-2.481389923E1,2.247875519E0
2.015054583E-1,7.447762299E0,-2.282528458E1,2.662213898E0
2.216074583E-1,6.351891174E0,-1.425126434E1,4.137096863E0
2.417094583E-1,3.789819031E0,-9.784552917E0,5.279521179E0
2.618124583E-1,1.989961853E0,-8.016579437E0,5.597310333E0
2.819144583E-1,1.610051880E0,-6.625073090E0,6.322252808E0
3.020174583E-1,2.187850342E0,-6.214476929E0,5.580694885E0
3.221194583E-1,2.487976227E0,-6.350993042E0,3.883374481E0
3.422224583E-1,2.307002563E0,-5.861810303E0,2.473007355E0
3.623244583E-1,2.182012482E0,-4.957091675E0,1.958078156E0
3.824264583E-1,2.340532837E0,-4.099974060E0,2.236050110E0
4.025294583E-1,2.469564514E0,-3.386407928E0,2.353256378E0
4.226314583E-1,2.922672272E0,-3.461401978E0,3.174299011E0
4.427344583E-1,3.748055878E0,-3.909570007E0,4.527035980E0
4.628364583E-1,4.389771423E0,-4.257745972E0,5.399272156E0
4.829384583E-1,4.799170074E0,-4.932093658E0,5.882317657E0
5.030414583E-1,5.081183624E0,-5.746250610E0,6.218368835E0
5.231434583E-1,5.160668335E0,-6.760990448E0,6.110742645E0
5.432464583E-1,5.240302734E0,-8.271349640E0,6.322252808E0
5.633484583E-1,4.832400970E0,-9.169931030E0,5.767955475E0
5.834514583E-1,4.992418213E0,-9.383985901E0,5.061125336E0
6.035534583E-1,5.642965393E0,-8.950038300E0,5.820047150E0
6.236564583E-1,6.220763855E0,-8.806486816E0,6.735693054E0
6.437584583E-1,5.774541779E0,-8.650660858E0,6.691534882E0
6.638604583E-1,4.300706635E0,-9.385482788E0,6.101312256E0
6.839634583E-1,2.043251038E0,-1.174562485E1,5.223537598E0
7.040654583E-1,3.270698547E-1,-1.644734756E1,3.436703339E0
7.241684583E-1,1.026116180E0,-1.738275238E1,2.679428101E0
7.442704583E-1,2.491568756E0,-1.152543274E1,2.730621643E0
7.643724583E-1,3.289110260E0,-7.287445679E0,2.477348328E0
7.844754583E-1,3.803889771E0,-4.735402679E0,2.297871552E0
8.045774583E-1,3.143014069E0,-2.957549744E0,2.480641479E0
8.246804583E-1,2.452200623E0,-1.825453949E0,2.587818604E0
8.447824583E-1,2.383194122E0,-1.692230988E0,3.085683289E0
8.648853333E-1,2.847378845E0,-1.982028351E0,3.938160553E0
8.849873333E-1,3.632945251E0,-2.783012695E0,4.519850922E0
9.050903333E-1,4.379293213E0,-4.046834564E0,4.550088043E0
9.251923333E-1,5.106930084E0,-5.245841217E0,4.529880066E0
9.452943333E-1,5.810018005E0,-6.292614441E0,4.460274811E0
9.804743333E-1,6.954238586E0,-8.280929718E0,3.618575134E0
1.000576333E0,7.903714142E0,-1.019754410E1,2.994971924E0
1.020678333E0,8.375532990E0,-1.089120163E1,3.111729126E0
1.040781333E0,7.415279846E0,-9.345366211E0,4.426594849E0
1.060883333E0,6.449338531E0,-6.929390259E0,4.889432373E0
1.080986333E0,6.153254242E0,-6.547234955E0,6.168672180E0
1.101088333E0,5.988896027E0,-8.228688354E0,7.595954132E0
1.121191333E0,5.747448120E0,-1.129835495E1,7.782615967E0
1.141293333E0,5.620811462E0,-1.270288422E1,7.420818329E0
1.161396333E0,5.277275848E0,-1.128742767E1,6.487658844E0
1.181498333E0,4.826263733E0,-9.587412872E0,6.124514008E0
1.201600333E0,3.510350189E0,-8.048163757E0,5.540428619E0
1.221703333E0,2.717299347E0,-6.201903076E0,4.821773071E0
1.241805333E0,2.151475983E0,-4.975204010E0,4.577630768E0
