"Time (s)","X (hPa)"
-5.393240417E-1,1.016440048E3
4.776589583E-1,1.016444244E3
1.494953958E0,1.016445465E3
2.512350958E0,1.016445770E3
3.529951958E0,1.016445770E3
4.547658958E0,1.016446457E3
4.707743958E0,1.016450577E3
5.650369958E0,1.016453247E3
6.593131958E0,1.016455536E3
7.535912958E0,1.016460190E3
8.478661958E0,1.016464844E3
9.421490958E0,1.016468124E3
1.036434196E1,1.016469650E3
1.130726496E1,1.016472702E3
1.225024896E1,1.016474838E3
1.319333196E1,1.016476517E3
1.413648596E1,1.016479187E3
1.507962996E1,1.016483078E3
1.602284496E1,1.016487732E3
1.696609296E1,1.016490326E3
1.790942196E1,1.016493225E3
1.885279896E1,1.016496429E3
1.979627996E1,1.016497803E3
2.073973296E1,1.016497803E3
2.168326796E1,1.016497345E3
2.262700296E1,1.016494751E3
2.357059196E1,1.016490479E3
2.451430996E1,1.016483994E3
2.545805296E1,1.016475754E3
2.640170496E1,1.016470184E3
2.734514896E1,1.016467361E3
2.828874996E1,1.016464005E3
2.923248296E1,1.016462860E3
3.017633596E1,1.016462173E3
3.112022196E1,1.016462708E3
3.206415296E1,1.016462173E3
3.300820396E1,1.016461258E3
3.395223896E1,1.016461029E3
3.489618696E1,1.016458740E3
3.584010696E1,1.016458740E3
3.678408896E1,1.016460114E3
3.772802896E1,1.016466370E3
3.867214096E1,1.016471710E3
3.961622696E1,1.016478043E3
4.056018496E1,1.016484222E3
4.150420996E1,1.016490326E3
4.244831196E1,1.016494675E3
4.339253096E1,1.016497574E3
4.433664296E1,1.016499176E3
4.528075696E1,1.016499176E3
4.622511896E1,1.016496124E3
4.716945296E1,1.016496124E3
4.811394696E1,1.016498642E3
4.905842996E1,1.016498795E3
5.000303996E1,1.016499329E3
5.094759996E1,1.016499634E3
5.189214196E1,1.016499634E3
5.283671396E1,1.016496048E3
5.378134996E1,1.016493607E3
5.472591696E1,1.016491165E3
5.567063896E1,1.016486893E3
5.661540896E1,1.016483154E3
5.756020696E1,1.016481400E3
5.850499496E1,1.016479416E3
5.944986996E1,1.016476059E3
6.039471896E1,1.016475754E3
6.133930296E1,1.016475372E3
6.228389496E1,1.016474838E3
6.322852196E1,1.016474838E3
6.417311396E1,1.016474838E3
6.511771796E1,1.016475525E3
6.606237796E1,1.016476898E3
6.700697196E1,1.016478271E3
6.795163096E1,1.016483154E3
6.889617696E1,1.016487808E3
6.984078696E1,1.016492462E3
7.078534396E1,1.016493073E3
7.172987696E1,1.016498718E3
7.267449496E1,1.016501083E3
7.361916996E1,1.016502457E3
7.456393396E1,1.016503754E3
7.550876096E1,1.016505051E3
7.645356596E1,1.016505051E3
7.739838896E1,1.016502533E3
7.834314196E1,1.016501999E3
7.928779696E1,1.016501083E3
8.023238996E1,1.016499176E3
8.117702396E1,1.016498947E3
8.212168396E1,1.016498947E3
8.306634496E1,1.016499481E3
8.401090896E1,1.016499481E3
8.495553696E1,1.016499176E3
8.590018996E1,1.016497650E3
8.684489296E1,1.016494293E3
8.778960796E1,1.016491547E3
8.873419696E1,1.016490021E3
8.967866696E1,1.016489334E3
9.062326496E1,1.016488190E3
9.156787596E1,1.016486282E3
9.251257996E1,1.016485825E3
9.345721696E1,1.016484070E3
9.440194496E1,1.016482697E3
9.534655296E1,1.016481400E3
9.629125696E1,1.016481247E3
9.723602396E1,1.016478958E3
9.818079996E1,1.016477203E3
9.912563596E1,1.016474686E3
1.000704860E2,1.016470947E3
1.010155320E2,1.016466370E3
1.019605820E2,1.016462402E3
1.029056700E2,1.016459503E3
1.038507090E2,1.016455307E3
1.047957910E2,1.016452255E3
1.057408900E2,1.016452179E3
1.066858820E2,1.016451950E3
1.076308220E2,1.016451645E3
1.085757830E2,1.016449432E3
1.095207580E2,1.016446304E3
1.104658220E2,1.016442566E3
1.114107090E2,1.016438904E3
1.123555380E2,1.016436462E3
1.133001960E2,1.016432343E3
1.142450770E2,1.016431122E3
1.151899900E2,1.016429443E3
1.161348400E2,1.016428223E3
1.170796850E2,1.016427994E3
1.180245140E2,1.016427994E3
1.189693550E2,1.016428223E3
1.199141570E2,1.016430588E3
1.208589230E2,1.016433868E3
1.218038030E2,1.016439438E3
1.227486890E2,1.016442413E3
1.236935370E2,1.016445389E3
1.246383660E2,1.016445389E3
1.255832370E2,1.016443787E3
1.265279980E2,1.016439514E3
1.274729200E2,1.016438980E3
1.284178400E2,1.016435318E3
1.293627670E2,1.016433105E3
1.303073170E2,1.016432037E3
1.312518730E2,1.016429672E3
1.321964440E2,1.016427994E3
1.331410410E2,1.016427765E3
1.340857440E2,1.016425781E3
1.350304460E2,1.016425400E3
1.359751090E2,1.016425400E3
1.369198260E2,1.016424026E3
1.378647620E2,1.016422653E3
1.388098750E2,1.016420975E3
1.397548040E2,1.016419830E3
1.406997900E2,1.016418839E3
1.416447390E2,1.016417923E3
1.425897280E2,1.016417694E3
1.435349030E2,1.016416855E3
1.444799780E2,1.016414337E3
1.454250270E2,1.016414337E3
1.463699830E2,1.016414261E3
1.473149320E2,1.016413345E3
