"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.906458340E-3,1.085601673E-1,4.785856009E-1,-2.064269781E-1
2.400845833E-2,4.255873561E-1,3.890106976E-1,-5.532454327E-2
4.411145834E-2,7.001820207E-1,2.903156877E-1,9.663343430E-2
6.421345833E-2,9.793646932E-1,2.185140550E-1,2.522484362E-1
8.431645833E-2,1.266464114E0,1.121764407E-1,3.838197887E-1
1.044184583E-1,1.571700573E0,-6.969415396E-2,4.802010357E-1
1.245204583E-1,1.771222472E0,-2.547245920E-1,5.451557040E-1
1.446234583E-1,1.509559155E0,-4.515581727E-1,5.949052572E-1
1.647254583E-1,6.090388298E-1,-8.525925279E-1,6.489773989E-1
1.848284583E-1,-8.985944837E-2,-1.538775563E0,8.544971347E-1
2.049304583E-1,6.565698981E-2,-1.441209078E0,8.038012385E-1
2.250334583E-1,3.785721660E-1,-1.160391212E0,6.553534269E-1
2.451354583E-1,6.316999197E-1,-1.169276595E0,7.373213172E-1
2.652374583E-1,9.237133265E-1,-1.301558137E0,1.022985816E0
2.853404583E-1,1.109479308E0,-1.532302141E0,1.315201759E0
3.054424583E-1,1.044684410E0,-1.630892873E0,1.439842939E0
3.255454583E-1,9.273617268E-1,-1.482807040E0,1.405891180E0
3.456474583E-1,7.792510986E-1,-1.207468629E0,1.298716784E0
3.657504583E-1,6.339062452E-1,-9.346737862E-1,1.130705953E0
3.858524583E-1,5.670766234E-1,-7.367641926E-1,9.564164877E-1
4.059544583E-1,5.178717971E-1,-6.006058455E-1,8.002297878E-1
4.260574583E-1,5.055218935E-1,-5.514301658E-1,6.382386088E-1
4.461594583E-1,4.616003335E-1,-5.955254436E-1,4.842762351E-1
4.662624583E-1,3.800372183E-1,-6.646929383E-1,3.779701591E-1
4.863644583E-1,2.723272443E-1,-7.294682264E-1,2.895753384E-1
5.064674583E-1,1.657097787E-1,-7.707062364E-1,1.899845451E-1
5.265694583E-1,1.223554835E-1,-7.128298283E-1,4.010983184E-2
5.466714583E-1,9.877901524E-2,-6.199500561E-1,-1.483808607E-1
5.667744583E-1,1.782683656E-2,-4.840262532E-1,-3.433723152E-1
5.868764583E-1,-2.109334320E-1,-3.683888316E-1,-5.738838315E-1
6.069794583E-1,-4.230298400E-1,-2.882294357E-1,-7.645217776E-1
6.270814583E-1,-4.507834315E-1,-1.781429946E-1,-9.109731317E-1
6.471844583E-1,-3.732130527E-1,-1.291316655E-2,-9.181750417E-1
6.672864583E-1,-2.277668715E-1,1.427432746E-1,-7.382031083E-1
6.873884583E-1,-1.236118376E-1,2.469309270E-1,-4.084614217E-1
7.074914583E-1,-1.694322526E-1,2.340651900E-1,-2.272002995E-1
7.275934583E-1,-2.395545691E-1,1.544744968E-1,-3.251460493E-1
7.476964583E-1,-2.616244555E-1,1.492865235E-1,-5.016303658E-1
7.677984583E-1,-2.539389431E-1,2.439150214E-1,-6.622626781E-1
7.879014583E-1,-2.432467341E-1,3.945733607E-1,-7.572596073E-1
8.080034583E-1,-2.165378034E-1,5.157661438E-1,-6.949759722E-1
8.281054583E-1,-2.149933130E-1,5.727548599E-1,-4.973697364E-1
8.482083333E-1,-1.930915415E-1,5.225483775E-1,-2.935215235E-1
8.683103333E-1,-1.485275626E-1,4.296835661E-1,-1.184156314E-1
8.884133333E-1,-8.033596724E-2,2.925681770E-1,3.875866532E-4
9.085153333E-1,6.740793586E-2,1.937900782E-1,5.890455842E-2
9.286183333E-1,2.472168058E-1,1.554903537E-1,5.929204449E-2
9.487203333E-1,3.875788152E-1,1.675234586E-1,1.764567010E-2
9.688223333E-1,3.981531858E-1,1.809806824E-1,-8.922699094E-2
9.889253333E-1,2.113445550E-1,1.680466235E-1,-3.082995415E-1
1.009027333E0,-6.730462611E-2,1.570754647E-1,-6.321977377E-1
1.029130333E0,-2.651499212E-1,1.517914981E-1,-8.499289751E-1
1.049232333E0,-2.443579733E-1,1.551197767E-1,-8.496630192E-1
1.069335333E0,-2.054711580E-1,2.256171256E-1,-7.438146472E-1
1.089437333E0,-6.825992465E-2,1.227061749E-1,-5.558719039E-1
1.109539333E0,4.695706069E-2,-1.409859061E-1,-2.102343738E-1
