"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.906458340E-3,-1.318090462E0,3.348755953E0,1.356213431E0
2.400845833E-2,-1.156227838E0,3.550251589E0,1.970139500E0
4.411145834E-2,-1.369253014E0,3.928100418E0,1.778419823E0
6.421345833E-2,-1.647282856E0,4.144659652E0,1.383914908E0
8.431645833E-2,-1.372270178E0,3.892104374E0,1.688813290E0
1.044184583E-1,-4.278951484E-1,2.830573947E0,2.643380893E0
1.245204583E-1,9.762441087E-1,1.289172472E0,3.440993733E0
1.446234583E-1,2.688242778E0,-1.987300785E0,2.224242243E0
1.647254583E-1,3.648691218E0,-1.019637699E1,-1.708227800E0
1.848284583E-1,2.155533950E0,-1.866678340E1,-2.430350162E0
2.049304583E-1,2.020109512E0,-1.422159206E1,-1.679346355E0
2.250334583E-1,5.287186879E-1,-6.208134454E0,1.255221784E-2
2.451354583E-1,-1.996859813E0,-2.424471956E0,9.101027441E-1
2.652374583E-1,-3.559049894E0,-8.215753144E-1,1.344022571E0
2.853404583E-1,-3.639559037E0,5.497680795E-1,1.868911333E0
3.054424583E-1,-2.973659407E0,7.599807447E-1,1.047460564E0
3.255454583E-1,-2.739437490E0,7.830643827E-1,-7.707472229E-1
3.456474583E-1,-2.864765541E0,1.459037011E0,-2.046979222E0
3.657504583E-1,-2.827706473E0,2.379754790E0,-2.381597832E0
3.858524583E-1,-2.618200736E0,3.328131069E0,-2.104702935E0
4.059544583E-1,-2.375034333E0,3.989867481E0,-1.883596323E0
4.260574583E-1,-1.757197062E0,3.769894059E0,-9.371122026E-1
4.461594583E-1,-9.174749136E-1,3.411029384E0,3.715297437E-1
4.662624583E-1,-3.186688676E-1,2.999411130E0,1.144829569E0
4.863644583E-1,5.096286982E-2,2.271795309E0,1.619233178E0
5.064674583E-1,2.720060402E-1,1.482750394E0,1.899715342E0
5.265694583E-1,3.111341456E-1,3.245169604E-1,1.915882601E0
5.466714583E-1,2.361234319E-1,-1.118448978E0,2.073285846E0
5.667744583E-1,-2.360316306E-1,-1.934144917E0,1.439864575E0
5.868764583E-1,-3.024355352E-2,-2.015758599E0,9.772743881E-1
6.069794583E-1,5.378912151E-1,-1.634373373E0,1.951819588E0
6.270814583E-1,8.447805744E-1,-1.604157887E0,2.724128310E0
6.471844583E-1,1.539337993E-2,-1.611338267E0,2.733121328E0
6.672864583E-1,-1.722873321E0,-2.601563069E0,2.174984421E0
6.873884583E-1,-4.128535370E0,-5.505440050E0,1.072576987E0
