"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.642209291E-1,3.211609618E1,1.189556575E2,1.740153313E1,-1.000000000E0,-1.000000000E0,2.195891222E2,2.195891222E2
6.346780062E-1,3.211543267E1,1.189548467E2,1.853019524E1,-1.000000000E0,-1.000000000E0,5.600000000E1,5.600000000E1
1.015457988E0,3.211542588E1,1.189548236E2,1.860125685E1,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
3.439118624E0,3.211553435E1,1.189549364E2,1.791679345E1,1.876007438E0,8.145813461E1,3.378023862E1,3.378023862E1
4.439073086E0,3.211562239E1,1.189549678E2,1.799825095E1,1.033433557E0,8.227510246E1,2.447224727E1,2.447224727E1
5.439026952E0,3.211572639E1,1.189551777E2,1.825033218E1,9.366920590E-1,9.269382548E1,2.010310421E1,2.010310421E1
6.388983011E0,3.211574439E1,1.189552179E2,1.860681475E1,9.366920590E-1,8.877115201E1,1.285037109E1,1.285037109E1
7.338940024E0,3.211574726E1,1.189552524E2,1.885184699E1,9.234432578E-1,9.507719596E1,9.899009600E0,9.899009600E0
8.288412452E0,3.211574704E1,1.189552907E2,1.886748861E1,9.234432578E-1,1.013515644E2,8.643440479E0,8.643440479E0
9.238709927E0,3.211574833E1,1.189553115E2,1.885123877E1,8.518752456E-1,8.684352556E1,7.954536945E0,7.954536945E0
1.018908393E1,3.211575311E1,1.189553375E2,1.887008825E1,8.398745060E-1,8.089155966E1,7.299675171E0,7.299675171E0
1.113940501E1,3.211575518E1,1.189553583E2,1.885175174E1,8.398745060E-1,8.258476774E1,6.824194521E0,6.824194521E0
1.208978856E1,3.211576026E1,1.189553799E2,1.882580203E1,9.359454513E-1,7.950641879E1,8.707762703E0,8.707762703E0
1.304008961E1,3.211576738E1,1.189554060E2,1.877877477E1,1.286226630E0,7.342256449E1,6.775268949E0,6.775268949E0
1.399045992E1,3.211576458E1,1.189554159E2,1.883389278E1,9.641056657E-1,7.693729230E1,1.207353429E1,1.207353429E1
1.494073188E1,3.211577038E1,1.189554365E2,1.892076446E1,1.286226630E0,7.637108944E1,5.937714334E0,5.937714334E0
1.589105690E1,3.211577471E1,1.189554576E2,1.905068277E1,1.383916259E0,7.289694606E1,7.819311022E0,7.819311022E0
1.684129870E1,3.211577976E1,1.189554750E2,1.914348020E1,1.315785170E0,7.628214186E1,7.798552780E0,7.798552780E0
1.779160619E1,3.211578078E1,1.189554874E2,1.924679065E1,1.345323563E0,7.799926290E1,7.423023874E0,7.423023874E0
1.875782478E1,3.211578245E1,1.189554993E2,1.934882675E1,1.344964266E0,7.745361041E1,9.313206729E0,9.313206729E0
1.975803208E1,3.211578282E1,1.189555089E2,1.944991674E1,1.344964266E0,8.824964491E1,9.088858564E0,9.088858564E0
2.075830114E1,3.211578425E1,1.189555204E2,1.955280514E1,1.137974620E0,9.440896994E1,1.085342851E1,1.085342851E1
2.175847983E1,3.211578851E1,1.189555342E2,1.962264241E1,1.162842512E0,8.416458489E1,1.013407483E1,1.013407483E1
2.275873470E1,3.211578687E1,1.189555397E2,1.969556458E1,1.162842512E0,9.230873071E1,9.835958848E0,9.835958848E0
2.375889266E1,3.211578625E1,1.189555461E2,1.974581868E1,1.111204743E0,9.068902399E1,6.768842037E0,6.768842037E0
2.475910830E1,3.211578861E1,1.189555523E2,1.981243051E1,1.111204743E0,8.587322980E1,6.695730851E0,6.695730851E0
2.575924146E1,3.211578907E1,1.189555624E2,1.989120169E1,1.134721279E0,8.800150653E1,7.957694080E0,7.957694080E0
2.675943470E1,3.211579558E1,1.189555721E2,1.992424899E1,1.239107132E0,8.454389181E1,1.098243768E1,1.098243768E1
2.775953984E1,3.211580144E1,1.189555785E2,1.991584622E1,1.134721279E0,8.319546952E1,6.935005721E0,6.935005721E0
2.875963461E1,3.211581750E1,1.189555834E2,1.990347456E1,1.063564658E0,8.476646189E1,1.301275179E1,1.301275179E1
2.975972259E1,3.211583094E1,1.189555891E2,1.987868443E1,9.158564210E-1,7.367848292E1,1.469221792E1,1.469221792E1
3.075980234E1,3.211583817E1,1.189556035E2,1.982461626E1,9.465098381E-1,7.553670935E1,1.909086046E1,1.909086046E1
3.175987554E1,3.211584754E1,1.189556194E2,1.977040881E1,9.465098381E-1,8.336848071E1,5.736955487E0,5.736955487E0
