"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.906458340E-3,1.118673477E2,1.080998306E2,-1.382144928E2
2.400845833E-2,1.112747879E2,1.069880295E2,-1.394065399E2
4.411145834E-2,1.091377563E2,1.044828720E2,-1.416155243E2
6.421345833E-2,1.060809326E2,1.016590652E2,-1.423970490E2
8.431645833E-2,1.039223862E2,9.967324066E1,-1.437037354E2
1.044184583E-1,1.037926788E2,1.001395645E2,-1.453094330E2
1.245204583E-1,1.086870880E2,1.089906998E2,-1.475778503E2
1.446234583E-1,1.220210114E2,1.332950439E2,-1.492905426E2
1.647254583E-1,1.292418671E2,1.598348694E2,-1.251165314E2
1.848284583E-1,1.259798126E2,1.660574646E2,-1.099577942E2
2.049304583E-1,1.254021072E2,1.649396667E2,-1.173188324E2
2.250334583E-1,1.251052856E2,1.609015503E2,-1.297327423E2
2.451354583E-1,1.223636322E2,1.533252869E2,-1.339987640E2
2.652374583E-1,1.193058472E2,1.440334167E2,-1.352006073E2
2.853404583E-1,1.192526398E2,1.366437378E2,-1.379309692E2
3.054424583E-1,1.197349167E2,1.316636658E2,-1.402690582E2
3.255454583E-1,1.194885559E2,1.274250107E2,-1.404548492E2
3.456474583E-1,1.188608551E2,1.228796463E2,-1.420028534E2
3.657504583E-1,1.175376740E2,1.174916000E2,-1.440716858E2
3.858524583E-1,1.151768341E2,1.124783554E2,-1.472285004E2
4.059544583E-1,1.115278168E2,1.071420364E2,-1.499476318E2
4.260574583E-1,1.079536285E2,1.034956589E2,-1.518877716E2
4.461594583E-1,1.056696930E2,1.017899399E2,-1.542523804E2
4.662624583E-1,1.045185471E2,1.008124466E2,-1.567104950E2
4.863644583E-1,1.036787109E2,1.003284225E2,-1.577826691E2
5.064674583E-1,1.029315643E2,1.000216141E2,-1.579007416E2
5.265694583E-1,1.023114014E2,9.943849945E1,-1.558693542E2
5.466714583E-1,1.023216171E2,9.875363922E1,-1.531425018E2
5.667744583E-1,1.022235565E2,9.908065033E1,-1.522627716E2
5.868764583E-1,1.013953476E2,9.897394562E1,-1.521192017E2
6.069794583E-1,1.013757172E2,9.964133453E1,-1.515919952E2
6.270814583E-1,1.033798981E2,1.019282303E2,-1.518831329E2
6.471844583E-1,1.072145920E2,1.062263565E2,-1.497885590E2
6.672864583E-1,1.120718765E2,1.113466415E2,-1.436240692E2
6.873884583E-1,1.194505920E2,1.181287613E2,-1.323409882E2
7.074914583E-1,1.265605850E2,1.238723068E2,-1.204745178E2
7.275934583E-1,1.282101593E2,1.255718918E2,-1.185295258E2
7.476964583E-1,1.261316299E2,1.251773148E2,-1.250423431E2
7.677984583E-1,1.206204147E2,1.221374893E2,-1.357215424E2
7.879014583E-1,1.131267395E2,1.165693283E2,-1.448959503E2
8.080034583E-1,1.089865875E2,1.120727310E2,-1.510550232E2
8.281054583E-1,1.065153885E2,1.085454178E2,-1.538208008E2
8.482083333E-1,1.035001755E2,1.053600693E2,-1.544077759E2
8.683103333E-1,1.020457153E2,1.055693741E2,-1.550268250E2
8.884133333E-1,1.037950897E2,1.092209396E2,-1.553695526E2
9.085153333E-1,1.068020935E2,1.140012131E2,-1.551929474E2
9.286183333E-1,1.101061096E2,1.191380539E2,-1.552393646E2
9.487203333E-1,1.129075165E2,1.243800430E2,-1.558075562E2
9.688223333E-1,1.153644638E2,1.302589722E2,-1.569040375E2
9.889253333E-1,1.155437012E2,1.380687866E2,-1.593635559E2
1.009027333E0,1.137046890E2,1.450112305E2,-1.634287109E2
1.029130333E0,1.107564545E2,1.454871521E2,-1.661284637E2
1.049232333E0,1.069270477E2,1.415350952E2,-1.698733368E2
1.069335333E0,1.028585281E2,1.367023010E2,-1.720262299E2
1.089437333E0,9.898255920E1,1.339364624E2,-1.716582642E2
1.109539333E0,9.573731995E1,1.351844788E2,-1.693567963E2
1.129642333E0,9.414341736E1,1.380598450E2,-1.664056854E2
1.149744333E0,9.371446228E1,1.382366333E2,-1.681895599E2
1.169847333E0,9.308277130E1,1.342478027E2,-1.704252167E2
1.189949333E0,9.203231812E1,1.294790955E2,-1.705768585E2
1.210052333E0,9.170742798E1,1.246868668E2,-1.698708801E2
1.230154333E0,9.152909088E1,1.180563431E2,-1.688654938E2
1.250256333E0,9.268697357E1,1.133350143E2,-1.681451569E2
1.270359333E0,9.548842621E1,1.110618668E2,-1.676832275E2
1.290461333E0,9.828387451E1,1.107762527E2,-1.677125854E2
1.310564333E0,9.983455658E1,1.102659225E2,-1.691645508E2
1.330666333E0,1.014426041E2,1.102810593E2,-1.703013000E2
1.350769333E0,1.029232178E2,1.105531082E2,-1.699418030E2
1.370871333E0,1.024285736E2,1.100701828E2,-1.704137268E2
1.390974333E0,1.014068298E2,1.094402390E2,-1.716776428E2
1.411076333E0,9.934318542E1,1.076548386E2,-1.734584045E2
1.431178333E0,9.694967651E1,1.057472305E2,-1.747403107E2
1.451281333E0,9.494931030E1,1.039446640E2,-1.752227631E2
1.471383333E0,9.339249420E1,1.025983047E2,-1.745745087E2
1.491486333E0,9.197871399E1,1.018435593E2,-1.745007019E2
1.511588333E0,9.221797180E1,1.021781693E2,-1.751107483E2
1.531691333E0,9.293304443E1,1.030668716E2,-1.758238068E2
1.551793333E0,9.365599060E1,1.043111801E2,-1.755037842E2
