"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.273620300E-2,3.299999982E-3,6.558749825E-2,-1.374999993E-2
9.276470400E-2,-4.124999978E-3,6.778749824E-2,-1.801249944E-2
1.127929640E-1,-8.387500420E-3,7.727500051E-2,-2.131249942E-2
1.328212620E-1,-1.264999993E-2,8.483749628E-2,-2.337500080E-2
1.528495450E-1,-5.224999972E-3,9.006249905E-2,-2.763750032E-2
1.728778340E-1,-7.287499961E-3,9.336250275E-2,-2.131249942E-2
1.929062070E-1,-9.487500414E-3,9.226249903E-2,-1.374999993E-2
2.129345130E-1,-1.154999994E-2,8.579999954E-2,-2.062499989E-3
2.329627830E-1,-7.287499961E-3,7.837499678E-2,-3.162499983E-3
2.529910720E-1,-4.124999978E-3,7.411249727E-2,-8.524999954E-3
2.730196330E-1,3.299999982E-3,6.984999776E-2,-3.162499983E-3
2.930477070E-1,7.562499959E-3,6.778749824E-2,-4.262499977E-3
3.130762340E-1,1.182499994E-2,6.668750197E-2,-4.262499977E-3
3.331045520E-1,1.938750036E-2,6.448750198E-2,-4.262499977E-3
3.531328490E-1,2.681249939E-2,7.301250100E-2,-4.262499977E-3
3.731612050E-1,3.629999980E-2,7.631249726E-2,-4.262499977E-3
3.931895340E-1,3.849999979E-2,7.837499678E-2,-9.487500414E-3
4.132178610E-1,3.629999980E-2,1.028499976E-1,2.199999988E-3
4.332461530E-1,3.629999980E-2,9.542500228E-2,-5.224999972E-3
4.532744660E-1,3.313750029E-2,8.910000324E-2,2.199999988E-3
4.733030120E-1,3.423750028E-2,7.837499678E-2,8.524999954E-3
4.933313290E-1,3.629999980E-2,6.778749824E-2,5.362499971E-3
5.133596610E-1,3.959999979E-2,5.816249922E-2,4.262499977E-3
5.333879740E-1,4.482499883E-2,4.537500069E-2,2.199999988E-3
5.534163600E-1,5.128749833E-2,2.832499892E-2,3.299999982E-3
5.734446390E-1,6.517499685E-2,1.869999990E-2,1.498750038E-2
5.934729520E-1,8.538749814E-2,-2.612499986E-3,4.262499977E-3
