"Time (s)","Illuminance (lx)"
6.256565800E-2,2.000000000E0
1.714679940E-1,2.000000000E0
2.816218790E-1,2.000000000E0
3.923092200E-1,2.000000000E0
5.018827250E-1,2.000000000E0
6.128141720E-1,2.000000000E0
7.213276190E-1,1.000000000E0
8.312950990E-1,2.000000000E0
9.394966290E-1,2.000000000E0
1.049426163E0,2.000000000E0
1.159815359E0,2.000000000E0
1.271067499E0,1.000000000E0
1.379464999E0,1.000000000E0
1.489424369E0,1.000000000E0
1.597647653E0,1.000000000E0
1.707210152E0,2.000000000E0
1.817269239E0,2.000000000E0
1.927383100E0,1.000000000E0
2.037940384E0,2.000000000E0
2.146213350E0,1.000000000E0
2.255710148E0,1.000000000E0
2.365515739E0,1.000000000E0
2.475661239E0,1.000000000E0
2.585778740E0,1.000000000E0
2.695626836E0,1.000000000E0
2.804642830E0,1.000000000E0
2.914187725E0,1.000000000E0
3.023924028E0,1.000000000E0
3.134071380E0,1.000000000E0
3.244213019E0,2.000000000E0
3.354183138E0,1.000000000E0
3.463555461E0,1.000000000E0
3.574387994E0,1.000000000E0
3.683695980E0,2.000000000E0
3.793518788E0,2.000000000E0
3.903588923E0,2.000000000E0
4.012807711E0,2.000000000E0
4.122978682E0,2.000000000E0
4.231584100E0,2.000000000E0
4.342944332E0,3.000000000E0
4.452996984E0,2.000000000E0
4.563236868E0,1.000000000E0
4.672006225E0,1.000000000E0
4.781821865E0,1.000000000E0
4.890058278E0,1.000000000E0
5.000830797E0,1.000000000E0
5.111742248E0,1.000000000E0
5.220993249E0,1.000000000E0
5.331038110E0,1.000000000E0
5.440260615E0,1.000000000E0
5.550035976E0,1.000000000E0
5.658686442E0,0.000000000E0
5.769552869E0,0.000000000E0
5.878861196E0,0.000000000E0
5.988930164E0,0.000000000E0
6.098451994E0,0.000000000E0
6.206967436E0,1.000000000E0
6.316445846E0,0.000000000E0
6.426260086E0,0.000000000E0
6.536420061E0,0.000000000E0
6.646505567E0,0.000000000E0
6.756355033E0,1.000000000E0
6.866058753E0,0.000000000E0
6.975012951E0,0.000000000E0
7.084696917E0,0.000000000E0
7.194740248E0,0.000000000E0
7.304353504E0,1.000000000E0
7.414719643E0,0.000000000E0
7.523824841E0,0.000000000E0
7.633309869E0,0.000000000E0
7.743229225E0,0.000000000E0
7.853383917E0,0.000000000E0
7.963559303E0,0.000000000E0
8.072671169E0,0.000000000E0
8.182651361E0,0.000000000E0
8.293608917E0,0.000000000E0
8.403325292E0,0.000000000E0
8.513122807E0,0.000000000E0
8.623212340E0,0.000000000E0
8.732385148E0,0.000000000E0
8.841097500E0,0.000000000E0
8.950807971E0,0.000000000E0
9.061564409E0,0.000000000E0
9.172260220E0,0.000000000E0
9.281726744E0,1.000000000E0
9.390861508E0,0.000000000E0
9.499129265E0,0.000000000E0
9.609059461E0,0.000000000E0
9.720252909E0,0.000000000E0
9.830332960E0,0.000000000E0
9.939067157E0,0.000000000E0
1.004899849E1,0.000000000E0
1.015869539E1,0.000000000E0
1.026680551E1,0.000000000E0
1.037692524E1,0.000000000E0
1.048700254E1,0.000000000E0
1.059703076E1,0.000000000E0
1.070584670E1,0.000000000E0
1.081586855E1,0.000000000E0
1.092532958E1,0.000000000E0
1.103530214E1,0.000000000E0
1.114545416E1,0.000000000E0
1.125528808E1,0.000000000E0
1.136521941E1,1.000000000E0
1.147429384E1,1.000000000E0
1.158373715E1,0.000000000E0
1.169375624E1,1.000000000E0
1.180387228E1,0.000000000E0
1.191383876E1,1.000000000E0
1.202312963E1,1.000000000E0
1.213337258E1,1.000000000E0
1.224332700E1,1.000000000E0
1.235392219E1,1.000000000E0
1.246355165E1,1.000000000E0
1.257354237E1,1.000000000E0
1.268154026E1,1.000000000E0
1.279185818E1,1.000000000E0
1.290257965E1,1.000000000E0
1.301215328E1,1.000000000E0
1.312139170E1,1.000000000E0
1.323149270E1,1.000000000E0
1.334140916E1,1.000000000E0
1.344974153E1,1.000000000E0
1.355964803E1,1.000000000E0
1.367115749E1,1.000000000E0
1.377992282E1,1.000000000E0
1.388969782E1,1.000000000E0
1.399951074E1,1.000000000E0
1.410929594E1,1.000000000E0
1.421737760E1,1.000000000E0
1.432922146E1,1.000000000E0
1.443765790E1,1.000000000E0
1.454882219E1,1.000000000E0
1.465814459E1,1.000000000E0
1.476788151E1,1.000000000E0
1.487613570E1,1.000000000E0
1.498590055E1,1.000000000E0
1.509607140E1,0.000000000E0
1.520605188E1,0.000000000E0
1.531602277E1,0.000000000E0
1.542507977E1,0.000000000E0
1.553464370E1,0.000000000E0
1.564455889E1,0.000000000E0
1.575458135E1,1.000000000E0
1.586464272E1,2.000000000E0
1.597474853E1,3.000000000E0
1.608484891E1,2.000000000E0
1.619422979E1,0.000000000E0
1.630320303E1,0.000000000E0
1.641306245E1,0.000000000E0
1.652333322E1,0.000000000E0
1.663344888E1,0.000000000E0
1.674257636E1,0.000000000E0
1.685262990E1,0.000000000E0
1.696271887E1,1.000000000E0
1.707293816E1,1.000000000E0
1.718327050E1,2.000000000E0
1.729305412E1,3.000000000E0
1.740392243E1,3.000000000E0
1.751249418E1,4.000000000E0
1.762122703E1,3.000000000E0
1.773074156E1,4.000000000E0
1.784206346E1,4.000000000E0
1.795223425E1,4.000000000E0
1.806092554E1,4.000000000E0
1.817104304E1,4.000000000E0
1.828116796E1,4.000000000E0
1.838925420E1,4.000000000E0
1.849917787E1,4.000000000E0
1.861014115E1,4.000000000E0
1.872101841E1,4.000000000E0
1.882949231E1,4.000000000E0
1.893900255E1,4.000000000E0
1.904748992E1,4.000000000E0
1.915691043E1,4.000000000E0
1.926698613E1,4.000000000E0
1.937717389E1,4.000000000E0
1.948634656E1,4.000000000E0
1.959640591E1,4.000000000E0
1.970611694E1,4.000000000E0
1.981562441E1,4.000000000E0
1.992543614E1,4.000000000E0
2.003557454E1,4.000000000E0
2.014563879E1,4.000000000E0
2.025535237E1,4.000000000E0
2.036441691E1,4.000000000E0
2.047470424E1,3.000000000E0
2.058387533E1,3.000000000E0
2.069399951E1,4.000000000E0
2.080412134E1,4.000000000E0
2.091346867E1,4.000000000E0
2.102328531E1,4.000000000E0
2.113437142E1,0.000000000E0
2.124329810E1,0.000000000E0
2.135352432E1,0.000000000E0
2.146354645E1,0.000000000E0
2.157288670E1,0.000000000E0
2.168273392E1,0.000000000E0
2.179288980E1,0.000000000E0
2.190166923E1,0.000000000E0
2.201299550E1,0.000000000E0
2.212315201E1,3.000000000E0
2.223224471E1,4.000000000E0
2.234150897E1,4.000000000E0
2.244982682E1,4.000000000E0
