"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.211236200E1,1.189515310E2,0.000000000E0,0.000000000E0,0.000000000E0,4.000000000E1,0.000000000E0
1.572302154E0,3.211236200E1,1.189515310E2,0.000000000E0,0.000000000E0,0.000000000E0,4.000000000E1,0.000000000E0
4.579902462E0,3.211236200E1,1.189515310E2,0.000000000E0,0.000000000E0,0.000000000E0,4.000000000E1,0.000000000E0
7.613298078E0,3.211236200E1,1.189515310E2,0.000000000E0,0.000000000E0,0.000000000E0,4.000000000E1,0.000000000E0
1.061986800E1,3.211236200E1,1.189515310E2,0.000000000E0,0.000000000E0,0.000000000E0,4.000000000E1,0.000000000E0
1.362893508E1,3.211236200E1,1.189515310E2,0.000000000E0,0.000000000E0,0.000000000E0,4.000000000E1,0.000000000E0
1.663785785E1,3.211236200E1,1.189515310E2,0.000000000E0,0.000000000E0,0.000000000E0,4.000000000E1,0.000000000E0
1.966445346E1,3.211236200E1,1.189515310E2,0.000000000E0,0.000000000E0,0.000000000E0,4.000000000E1,0.000000000E0
2.267005777E1,3.211236200E1,1.189515310E2,0.000000000E0,0.000000000E0,0.000000000E0,4.000000000E1,0.000000000E0
2.567899377E1,3.211236200E1,1.189515310E2,0.000000000E0,0.000000000E0,0.000000000E0,4.000000000E1,0.000000000E0
2.868845654E1,3.211236200E1,1.189515310E2,0.000000000E0,0.000000000E0,0.000000000E0,4.000000000E1,0.000000000E0
3.171547877E1,3.211236200E1,1.189515310E2,0.000000000E0,0.000000000E0,0.000000000E0,4.000000000E1,0.000000000E0
3.472657654E1,3.211236200E1,1.189515310E2,0.000000000E0,0.000000000E0,0.000000000E0,4.000000000E1,0.000000000E0
3.714959931E1,3.211236500E1,1.189515533E2,-1.171101706E1,0.000000000E0,0.000000000E0,8.899999619E0,1.158000031E2
3.814424762E1,3.211236000E1,1.189515533E2,-1.631102615E1,0.000000000E0,0.000000000E0,9.500000000E0,1.086999969E2
3.914086793E1,3.211235333E1,1.189515683E2,-2.231108842E1,0.000000000E0,0.000000000E0,1.000000000E1,1.060000000E2
4.013357970E1,3.211235167E1,1.189515767E2,-2.401111932E1,0.000000000E0,0.000000000E0,1.039999962E1,1.068000031E2
4.113405323E1,3.211234333E1,1.189515650E2,-3.001109545E1,0.000000000E0,0.000000000E0,1.060000038E1,1.026999969E2
4.214157754E1,3.211233167E1,1.189515517E2,-3.281107206E1,0.000000000E0,0.000000000E0,1.030000019E1,9.730000305E1
4.394419593E1,3.211233000E1,1.189515500E2,-3.431106951E1,0.000000000E0,0.000000000E0,9.899999619E0,9.290000153E1
4.495348977E1,3.211232500E1,1.189515483E2,-3.971107302E1,0.000000000E0,0.000000000E0,9.699999809E0,8.550000000E1
4.593864739E1,3.211228667E1,1.189515600E2,-3.631118169E1,0.000000000E0,0.000000000E0,8.500000000E0,7.569999695E1
4.694332208E1,3.211228000E1,1.189515617E2,-3.791119938E1,0.000000000E0,0.000000000E0,8.000000000E0,7.190000153E1
4.794371839E1,3.211218333E1,1.189516050E2,-3.911151993E1,0.000000000E0,0.000000000E0,7.400000095E0,6.569999695E1
4.894820616E1,3.211214167E1,1.189516350E2,-3.601169597E1,0.000000000E0,0.000000000E0,7.000000000E0,6.240000153E1
4.994210946E1,3.211213333E1,1.189516517E2,-3.431176684E1,0.000000000E0,0.000000000E0,6.699999809E0,5.870000076E1
5.095827870E1,3.211212500E1,1.189516550E2,-3.121179313E1,0.000000000E0,0.000000000E0,6.500000000E0,5.629999924E1
5.195620893E1,3.211212500E1,1.189516467E2,-2.931176526E1,0.000000000E0,0.000000000E0,6.300000191E0,5.170000076E1
5.295693170E1,3.211213667E1,1.189516317E2,-2.721169390E1,0.000000000E0,0.000000000E0,6.099999905E0,4.770000076E1
5.395235385E1,3.211213667E1,1.189516283E2,-2.161168276E1,0.000000000E0,0.000000000E0,6.000000000E0,4.559999847E1
5.495229970E1,3.211213500E1,1.189516267E2,-2.041168021E1,0.000000000E0,0.000000000E0,5.900000095E0,4.600000000E1
5.594200554E1,3.211213500E1,1.189516167E2,-1.911164677E1,0.000000000E0,0.000000000E0,5.800000191E0,4.429999924E1
5.694474954E1,3.211217000E1,1.189515967E2,-1.761151629E1,0.000000000E0,0.000000000E0,5.599999905E0,4.220000076E1
5.796343077E1,3.211218000E1,1.189515883E2,-1.541147025E1,3.824386001E-1,6.627999878E1,5.500000000E0,4.050000000E1
5.895904270E1,3.211219167E1,1.189515833E2,-1.511143233E1,0.000000000E0,6.627999878E1,5.400000095E0,4.079999924E1
5.996315939E1,3.211220500E1,1.189515817E2,-1.471140253E1,0.000000000E0,6.627999878E1,5.400000095E0,4.150000000E1
6.095695931E1,3.211222667E1,1.189515783E2,-1.441135202E1,0.000000000E0,6.627999878E1,5.500000000E0,4.229999924E1
6.196246362E1,3.211223833E1,1.189515667E2,-9.811291806E0,0.000000000E0,6.627999878E1,5.500000000E0,3.979999924E1
6.295564647E1,3.211224667E1,1.189515650E2,-9.311271090E0,0.000000000E0,6.627999878E1,5.599999905E0,4.009999847E1
6.395547870E1,3.211225500E1,1.189515633E2,-8.411250375E0,0.000000000E0,6.627999878E1,5.699999809E0,3.409999847E1
6.495609377E1,3.211226500E1,1.189515483E2,-7.511182044E0,0.000000000E0,6.627999878E1,5.800000191E0,3.409999847E1
6.596350177E1,3.211227500E1,1.189515317E2,-6.511108140E0,0.000000000E0,6.627999878E1,5.900000095E0,3.720000076E1
6.696209570E1,3.211228000E1,1.189515083E2,-4.911021026E0,0.000000000E0,6.627999878E1,6.000000000E0,3.709999847E1
6.796446731E1,3.211230000E1,1.189514950E2,-3.610940100E0,0.000000000E0,6.627999878E1,6.199999809E0,3.720000076E1
6.897285870E1,3.211232167E1,1.189514783E2,-2.210844998E0,0.000000000E0,6.627999878E1,6.199999809E0,3.709999847E1
6.997369785E1,3.211231833E1,1.189514783E2,-1.410851054E0,0.000000000E0,6.627999878E1,6.300000191E0,3.720000076E1
7.094931716E1,3.211231833E1,1.189514683E2,-1.310817614E0,0.000000000E0,6.627999878E1,6.300000191E0,3.890000153E1
7.196613262E1,3.211230500E1,1.189514667E2,-1.010836267E0,0.000000000E0,6.627999878E1,6.300000191E0,3.820000076E1
7.295523416E1,3.211233833E1,1.189514467E2,0.000000000E0,0.000000000E0,6.627999878E1,6.300000191E0,3.720000076E1
7.394387870E1,3.211237667E1,1.189514200E2,2.894500026E-1,0.000000000E0,6.627999878E1,6.199999809E0,3.690000153E1
7.493980001E1,3.211238667E1,1.189514100E2,1.289501612E0,0.000000000E0,6.627999878E1,6.199999809E0,3.650000000E1
7.595052493E1,3.211239833E1,1.189514200E2,2.089489370E0,0.000000000E0,6.627999878E1,6.099999905E0,3.579999924E1
7.694881931E1,3.211240333E1,1.189514083E2,2.889537468E0,0.000000000E0,6.627999878E1,6.000000000E0,3.490000153E1
7.794363324E1,3.211241500E1,1.189514133E2,3.589541945E0,0.000000000E0,6.627999878E1,5.900000095E0,3.479999924E1
7.893807316E1,3.211240833E1,1.189514083E2,5.189546552E0,0.000000000E0,6.627999878E1,5.699999809E0,3.429999924E1
7.994372308E1,3.211239333E1,1.189514050E2,6.289530445E0,8.230408430E-1,3.327600098E2,5.599999905E0,3.409999847E1
8.094068431E1,3.211242000E1,1.189513850E2,6.489645776E0,0.000000000E0,3.327600098E2,5.500000000E0,3.359999847E1
8.195721193E1,3.211242333E1,1.189513783E2,6.489674126E0,0.000000000E0,3.327600098E2,5.400000095E0,3.500000000E1
8.295314085E1,3.211241000E1,1.189513900E2,7.589610887E0,0.000000000E0,3.327600098E2,5.300000191E0,3.470000076E1
8.395401962E1,3.211240500E1,1.189513917E2,7.889596229E0,0.000000000E0,3.327600098E2,5.199999809E0,3.379999924E1
8.495846393E1,3.211240000E1,1.189513933E2,8.089581571E0,0.000000000E0,3.327600098E2,5.099999905E0,3.479999924E1
8.597056054E1,3.211239500E1,1.189513950E2,8.989566913E0,0.000000000E0,3.327600098E2,5.099999905E0,3.359999847E1
8.696177839E1,3.211239000E1,1.189514000E2,8.689541109E0,0.000000000E0,3.327600098E2,5.099999905E0,3.279999924E1
8.796715385E1,3.211240333E1,1.189513950E2,8.889582054E0,0.000000000E0,3.327600098E2,5.099999905E0,3.220000076E1
8.896260431E1,3.211240333E1,1.189513950E2,8.989582054E0,0.000000000E0,3.327600098E2,5.000000000E0,3.209999847E1
8.996200547E1,3.211239667E1,1.189514033E2,9.889542075E0,5.945041776E-1,2.945400085E2,5.000000000E0,3.179999924E1
9.096380024E1,3.211237167E1,1.189514183E2,1.038944649E1,0.000000000E0,2.945400085E2,4.900000095E0,3.179999924E1
9.197330916E1,3.211235667E1,1.189514300E2,1.098938022E1,0.000000000E0,2.945400085E2,4.900000095E0,3.220000076E1
9.296777993E1,3.211234500E1,1.189514383E2,1.108933116E1,0.000000000E0,2.945400085E2,4.900000095E0,3.250000000E1
9.396699231E1,3.211234500E1,1.189514433E2,1.148931444E1,0.000000000E0,2.945400085E2,5.000000000E0,3.189999962E1
9.496808955E1,3.211234500E1,1.189514333E2,1.218934788E1,0.000000000E0,2.945400085E2,4.900000095E0,3.029999924E1
9.595808216E1,3.211234000E1,1.189514350E2,1.268933322E1,0.000000000E0,2.945400085E2,5.000000000E0,3.060000038E1
9.694666308E1,3.211233667E1,1.189514333E2,1.298933274E1,0.000000000E0,2.945400085E2,5.000000000E0,2.960000038E1
9.794954216E1,3.211234000E1,1.189514333E2,1.328933879E1,0.000000000E0,2.945400085E2,4.900000095E0,2.779999924E1
9.894857016E1,3.211234167E1,1.189514283E2,1.348935854E1,0.000000000E0,2.945400085E2,4.900000095E0,2.770000076E1
9.996068578E1,3.211234333E1,1.189514217E2,1.398938386E1,4.071452916E-1,2.986099854E2,4.800000191E0,2.700000000E1
1.009509262E2,3.211235833E1,1.189514183E2,1.428942227E1,0.000000000E0,3.226400146E2,4.699999809E0,2.750000000E1
1.019560027E2,3.211236667E1,1.189514117E2,1.468945970E1,0.000000000E0,2.780899963E2,4.500000000E0,2.670000076E1
1.029458569E2,3.211237167E1,1.189514067E2,1.488948550E1,4.313372076E-1,2.652099915E2,4.400000095E0,2.520000076E1
1.039640935E2,3.211237333E1,1.189514017E2,1.458950525E1,4.905302823E-1,2.605100098E2,4.300000191E0,2.510000038E1
1.049482477E2,3.211238167E1,1.189513950E2,1.418954269E1,5.589883327E-1,2.540399933E2,4.199999809E0,2.450000000E1
1.059533799E2,3.211238833E1,1.189513867E2,1.388958267E1,6.253874898E-1,2.567399902E2,4.199999809E0,2.450000000E1
1.069510445E2,3.211239167E1,1.189513800E2,1.398961102E1,0.000000000E0,2.567399902E2,4.099999905E0,2.429999924E1
1.079455594E2,3.211239167E1,1.189513750E2,1.318962774E1,6.372261047E-1,2.464700012E2,4.000000000E0,2.320000076E1
1.089434465E2,3.211239167E1,1.189513700E2,1.308964446E1,6.434027553E-1,2.431699982E2,3.900000095E0,2.300000000E1
1.099427563E2,3.211238667E1,1.189513650E2,1.308965209E1,6.367114186E-1,2.215500031E2,3.900000095E0,2.210000038E1
1.109440470E2,3.211238500E1,1.189513583E2,1.308967136E1,6.557561159E-1,2.708200073E2,3.900000095E0,2.200000000E1
1.119458529E2,3.211238500E1,1.189513533E2,1.318968808E1,6.428880692E-1,2.943699951E2,3.799999952E0,2.189999962E1
1.129588282E2,3.211238167E1,1.189513500E2,1.288969317E1,6.284758449E-1,2.743299866E2,3.799999952E0,2.110000038E1
1.139573350E2,3.211238167E1,1.189513467E2,1.308970431E1,5.960483551E-1,2.844400024E2,3.700000048E0,2.070000076E1
1.149610462E2,3.211238333E1,1.189513450E2,1.298971292E1,5.353111029E-1,2.973200073E2,3.700000048E0,2.050000000E1
1.159730193E2,3.211238000E1,1.189513350E2,1.498974030E1,4.735444486E-1,2.772600098E2,3.700000048E0,1.929999924E1
1.169707618E2,3.211237500E1,1.189513317E2,1.458974236E1,4.658236206E-1,2.713599854E2,3.700000048E0,2.000000000E1
1.179589831E2,3.211237667E1,1.189513267E2,1.398976211E1,4.529555440E-1,2.947799988E2,3.599999905E0,1.979999924E1
1.189618212E2,3.211237167E1,1.189513233E2,1.378976417E1,4.488377869E-1,2.829299927E2,3.599999905E0,2.010000038E1
1.199803529E2,3.211237000E1,1.189513233E2,1.338976114E1,4.529555440E-1,2.942300110E2,3.500000000E0,2.050000000E1
1.209719419E2,3.211237000E1,1.189513167E2,1.278978344E1,4.874419570E-1,2.801600037E2,3.500000000E0,1.989999962E1
1.219609705E2,3.211237167E1,1.189513083E2,1.258981433E1,5.116338730E-1,2.597300110E2,3.500000000E0,1.970000076E1
1.229651962E2,3.211237333E1,1.189512900E2,1.298987867E1,5.734005570E-1,2.712099915E2,3.500000000E0,1.929999924E1
1.239606468E2,3.211237667E1,1.189512750E2,1.298993488E1,6.480352879E-1,2.702799988E2,3.400000095E0,1.939999962E1
1.249498277E2,3.211239833E1,1.189512433E2,1.659008014E1,7.154638767E-1,2.347599945E2,2.900000095E0,1.550000000E1
1.259628532E2,3.211238667E1,1.189512367E2,1.659008124E1,7.777453065E-1,2.224600067E2,2.599999905E0,1.450000000E1
1.269528591E2,3.211238000E1,1.189512333E2,1.659008027E1,8.127464056E-1,2.120800018E2,2.500000000E0,1.450000000E1
1.279674406E2,3.211237333E1,1.189512233E2,1.659010160E1,8.364236355E-1,2.253899994E2,2.400000095E0,1.380000019E1
1.289417876E2,3.211236500E1,1.189512200E2,1.679009761E1,0.000000000E0,2.253899994E2,2.400000095E0,1.330000019E1
1.299565938E2,3.211234667E1,1.189512117E2,1.899009217E1,8.405413628E-1,1.937500000E2,2.299999952E0,1.100000000E1
