"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-3.688535929E0,5.187268257E0,5.789169788E0
2.000000000E-2,-3.666068554E0,5.009130001E0,6.754943371E0
4.000312500E-2,-3.032342434E0,5.017336845E0,8.998147011E0
6.200000000E-2,-1.937656164E0,4.468911648E0,1.135851479E1
8.200000000E-2,-1.711317897E0,3.657957077E0,1.027325058E1
1.020000000E-1,-2.711653709E0,3.710907221E0,7.987372875E0
1.220000000E-1,-2.762286425E0,4.280947685E0,6.676537991E0
1.420000000E-1,-2.149734735E0,4.937829971E0,6.977355003E0
1.640109380E-1,-1.708904505E0,4.809050560E0,8.612049103E0
1.859984380E-1,-1.990041256E0,4.014798641E0,8.498601913E0
2.060078130E-1,-2.106782436E0,3.653599501E0,8.212580681E0
2.280000000E-1,-2.136145115E0,3.816031933E0,8.452020645E0
2.480062500E-1,-1.879515409E0,4.062328339E0,9.174792290E0
2.699984380E-1,-1.928203821E0,3.966531515E0,8.948875427E0
2.900000000E-1,-2.277719021E0,3.870227098E0,8.371125221E0
3.119984380E-1,-2.107146502E0,3.716471434E0,8.773618698E0
3.319984380E-1,-1.881890416E0,3.562964916E0,9.418664932E0
3.520000000E-1,-1.916472316E0,3.247725010E0,9.119744301E0
3.720093750E-1,-1.510252833E0,3.551980257E0,8.067645073E0
3.939984380E-1,-1.122353911E0,4.419160366E0,7.216670036E0
4.140031250E-1,-1.005009294E0,5.086893559E0,7.715238094E0
4.359984380E-1,-7.852598429E-1,4.799665451E0,8.558361053E0
4.560078130E-1,-9.710403681E-1,2.828461885E0,8.228018761E0
4.780171880E-1,-1.710226178E0,2.176894188E0,7.045992374E0
5.000000000E-1,-1.776382685E0,3.348425150E0,7.360503674E0
5.220093750E-1,-1.473410845E0,3.840816736E0,8.467487335E0
5.439984380E-1,-1.701214314E0,2.228848696E0,8.845407486E0
5.639984380E-1,-2.087494850E0,7.151671648E-1,8.622622490E0
5.839984380E-1,-1.946447611E0,1.259579897E0,8.386151314E0
6.039984380E-1,-1.934926748E0,2.688487291E0,7.982967854E0
6.240265630E-1,-1.715091228E0,3.330602884E0,6.865067005E0
6.459984380E-1,-8.679842949E-1,1.541693449E0,9.622698784E0
6.660000000E-1,-5.130774379E-1,-8.497022390E-1,1.700867844E1
6.880000000E-1,1.435371786E-1,-5.917891860E-1,1.402254200E1
7.080000000E-1,8.693251014E-1,1.613452554E0,1.085644054E1
7.299984380E-1,2.501950502E0,1.517751455E0,8.844123840E0
7.499984380E-1,1.452159882E0,1.644012094E0,4.770226479E0
7.699984380E-1,1.849635720E0,8.463598490E-1,1.128632450E1
7.900000000E-1,-4.617840648E-1,-4.257848263E-1,2.026609421E1
8.119984380E-1,-1.447189569E0,-7.018745542E-1,1.200697899E1
8.319984380E-1,-7.764587402E-1,-2.157750428E-1,6.363749981E0
8.519984380E-1,-2.314359903E0,3.443628252E-1,2.239957809E0
8.719984380E-1,1.205528378E-1,1.158554196E0,3.999590635E0
8.919984380E-1,2.343281746E0,1.442985296E0,9.922644615E0
9.119984380E-1,2.967287302E0,3.790883303E0,1.003428078E1
9.319984380E-1,5.069741249E0,5.685300350E0,4.956151009E0
9.519984380E-1,5.350820541E0,3.024671555E0,2.835568190E0
9.719984380E-1,5.712689877E0,2.042704105E0,4.925552845E0
9.919984380E-1,8.713611603E0,4.426984310E0,5.880465984E0
1.011998438E0,1.097203255E1,4.966053009E0,4.352352142E0
1.031998438E0,1.152848339E1,3.928492546E0,6.645671844E0
1.052001563E0,1.174519730E1,4.523288727E0,4.617390156E0
1.073998438E0,1.088107204E1,4.070162296E0,1.098823667E0
1.093998438E0,1.033841228E1,4.061160088E0,-3.263584375E-1
1.113998438E0,8.685560226E0,3.053565025E0,-5.578298569E-1
1.133998438E0,5.410551071E0,9.621434808E-1,-2.605619431E0
1.153998438E0,3.403415203E0,2.919298112E-1,-5.044199944E0
1.173998438E0,6.376371861E0,2.777743101E0,-7.950981140E0
1.193998438E0,6.845530510E0,1.727167487E0,-8.882583618E0
1.213998438E0,2.714383125E0,3.524264786E-3,-1.180091476E1
1.233998438E0,1.944034338E0,1.088557363E0,-1.310577297E1
1.253998438E0,1.009931803E0,6.547538280E0,-2.178623009E1
1.273998438E0,9.871744156E0,5.948298454E0,-3.535828018E1
1.294000000E0,5.666318893E0,2.619256675E-1,-1.050366020E1
1.316000000E0,6.506386995E-1,-3.020438671E0,1.205040097E0
1.337998438E0,6.266373158E0,1.943842769E0,1.310167503E1
1.357998438E0,4.036432743E0,3.341166019E0,-5.240581989E0
1.378017188E0,4.105251312E0,1.701405883E0,-1.133201599E1
1.399998438E0,6.477455139E0,1.834044695E0,-1.308673573E1
1.419998438E0,5.520971775E0,1.479750752E0,-1.202427483E1
1.439998438E0,4.946650505E0,1.293606281E0,-1.117012882E1
1.459998438E0,8.257678986E0,3.773740768E0,-1.110075474E1
1.480006250E0,1.073545742E1,6.000453472E0,-4.522819519E0
1.501998438E0,7.189988613E0,4.392737865E0,-6.331868649E0
1.521998438E0,4.906638622E0,3.885999918E0,-1.030677891E1
1.541998438E0,4.200579166E0,5.112118721E0,-1.099141598E1
1.561998438E0,5.266918182E0,5.417216301E0,-8.699226379E0
1.581998438E0,7.078850269E0,5.035609245E0,-7.374083996E0
1.601998438E0,3.306670189E0,2.779620409E0,-5.673501492E0
1.621998438E0,3.373190641E0,3.579925299E0,-7.555918694E0
1.641998438E0,3.737176418E0,3.820389509E0,-6.756858349E0
1.661998438E0,4.641581535E0,4.255952358E0,-4.923905849E0
1.681998438E0,4.902760029E0,4.373152733E0,-5.159140587E0
1.701998438E0,5.630012989E0,4.483611584E0,-7.098118782E0
1.721998438E0,5.315051079E0,4.921789169E0,-9.097257614E0
1.741998438E0,4.948987484E0,3.973512888E0,-7.599129200E0
1.762000000E0,4.070957184E0,3.265422821E0,-7.675245762E0
1.783998438E0,4.829880238E0,3.778012037E0,-7.306078911E0
1.803998438E0,4.276236057E0,5.406576633E0,-6.615571976E0
1.823998438E0,4.824900627E0,5.171599865E0,-7.682418346E0
1.843998438E0,5.251011372E0,5.088885307E0,-6.875495911E0
1.863998438E0,5.081654549E0,5.022891521E0,-6.932305813E0
1.883998438E0,3.439519882E0,3.917268276E0,-6.682389259E0
1.903998438E0,4.948412418E0,4.439740658E0,-7.284933090E0
1.923998438E0,6.440795422E0,4.895079613E0,-8.435242653E0
1.943998438E0,5.021972179E0,3.703197956E0,-6.230728149E0
1.963998438E0,4.307226658E0,2.899770975E0,-5.964205742E0
1.983998438E0,3.709250450E0,2.618864059E0,-6.271103859E0
2.003998438E0,4.737272739E0,3.345590353E0,-7.569182396E0
2.023998438E0,5.410340309E0,3.782187462E0,-8.011621475E0
2.043998438E0,3.229816437E0,3.909204483E0,-5.961389542E0
2.063998438E0,4.105739594E0,2.824956894E0,-6.387672901E0
2.083998438E0,3.751570225E0,2.396069050E0,-6.149641037E0
2.103998438E0,4.176435947E0,2.284652472E0,-7.271870613E0
2.123998438E0,5.016015053E0,2.405167341E0,-9.762586594E0
2.143998438E0,4.388351440E0,2.150893211E0,-8.721473694E0
2.163998438E0,5.621949673E0,3.141000986E0,-7.326036930E0
2.183998438E0,7.232183933E0,2.389585733E0,-8.176428795E0
2.203998438E0,8.185832977E0,2.791562557E0,-8.381764412E0
2.223998438E0,8.910404205E0,3.515463829E0,-9.294109344E0
2.243998438E0,7.941911697E0,3.361488104E0,-7.136636257E0
2.263998438E0,7.543047428E0,2.944475412E0,-6.293551922E0
2.283998438E0,6.648353577E0,1.321810007E0,-7.055185318E0
2.304000000E0,5.764682293E0,7.980161905E-1,-6.856715679E0
2.326000000E0,5.506596565E0,1.140770078E0,-7.549722195E0
2.346000000E0,5.345237255E0,3.094065189E0,-6.928905964E0
2.366000000E0,6.445717812E0,2.975092411E0,-1.005955505E1
2.387998438E0,7.209333897E0,2.506346226E0,-9.471835136E0
2.408009375E0,6.992419243E0,1.824649930E0,-9.330817223E0
2.430000000E0,6.785483837E0,8.816025257E-1,-6.866005421E0
2.451998438E0,7.012607574E0,2.049312353E0,-6.664432526E0
2.471998438E0,8.009121895E0,3.133751392E0,-8.179752350E0
2.492000000E0,7.119685650E0,1.915409327E0,-6.586410522E0
2.514000000E0,5.423996925E0,1.059290648E0,-6.033005238E0
2.536000000E0,5.573816299E0,-5.780560523E-2,-5.494922638E0
2.556000000E0,5.062749863E0,-4.337239861E-1,-4.821002960E0
2.578017188E0,8.062282562E0,7.122654319E-1,-7.832736492E0
2.599998438E0,6.222999573E0,4.561433196E-1,-8.142948151E0
