"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.988000000E-2,1.287500000E1,1.356250000E1,-4.506250000E1
3.988468800E-2,1.156250000E1,1.393750000E1,-4.543750000E1
6.988000000E-2,9.812500000E0,1.475000000E1,-4.575000000E1
8.988000000E-2,9.375000000E0,1.500000000E1,-4.618750000E1
1.098800000E-1,9.250000000E0,1.487500000E1,-4.631250000E1
1.298800000E-1,9.187500000E0,1.531250000E1,-4.650000000E1
1.498800000E-1,8.937500000E0,1.537500000E1,-4.675000000E1
1.698909380E-1,8.375000000E0,1.568750000E1,-4.718750000E1
1.998784380E-1,7.125000000E0,1.593750000E1,-4.768750000E1
2.198956250E-1,6.312500000E0,1.587500000E1,-4.793750000E1
2.498784380E-1,5.000000000E0,1.631250000E1,-4.787500000E1
2.698878130E-1,4.625000000E0,1.618750000E1,-4.800000000E1
2.998784380E-1,3.375000000E0,1.637500000E1,-4.737500000E1
3.198831250E-1,2.937500000E0,1.687500000E1,-4.750000000E1
3.498800000E-1,2.250000000E0,1.687500000E1,-4.725000000E1
3.698831250E-1,2.000000000E0,1.718750000E1,-4.725000000E1
3.998784380E-1,1.937500000E0,1.787500000E1,-4.706250000E1
4.198831250E-1,1.750000000E0,1.875000000E1,-4.687500000E1
4.498784380E-1,1.375000000E0,1.987500000E1,-4.643750000E1
4.698893750E-1,1.250000000E0,2.043750000E1,-4.593750000E1
4.998784380E-1,1.000000000E0,2.106250000E1,-4.575000000E1
5.198800000E-1,6.250000000E-1,2.193750000E1,-4.525000000E1
5.498784380E-1,-1.250000000E-1,2.381250000E1,-4.437500000E1
5.698784380E-1,-4.375000000E-1,2.531250000E1,-4.343750000E1
5.898784380E-1,-6.250000000E-1,2.675000000E1,-4.275000000E1
6.098784380E-1,-3.750000000E-1,2.862500000E1,-4.143750000E1
6.299065630E-1,-1.250000000E-1,3.093750000E1,-3.962500000E1
6.598784380E-1,-7.500000000E-1,3.425000000E1,-3.656250000E1
6.798784380E-1,-3.750000000E-1,3.643750000E1,-3.418750000E1
6.998784380E-1,4.375000000E-1,3.800000000E1,-3.256250000E1
7.198784380E-1,1.062500000E0,3.881250000E1,-3.162500000E1
7.398784380E-1,-2.500000000E-1,3.875000000E1,-3.181250000E1
7.598784380E-1,-3.875000000E0,3.768750000E1,-3.306250000E1
7.798784380E-1,-9.875000000E0,3.643750000E1,-3.337500000E1
7.998784380E-1,-1.418750000E1,3.512500000E1,-3.331250000E1
8.198784380E-1,-1.562500000E1,3.393750000E1,-3.450000000E1
8.398784380E-1,-1.637500000E1,3.281250000E1,-3.531250000E1
8.598784380E-1,-1.731250000E1,3.212500000E1,-3.537500000E1
8.798784380E-1,-1.962500000E1,3.150000000E1,-3.468750000E1
8.998784380E-1,-2.300000000E1,2.993750000E1,-3.418750000E1
9.198784380E-1,-2.700000000E1,2.775000000E1,-3.387500000E1
9.398784380E-1,-3.175000000E1,2.381250000E1,-3.250000000E1
9.598784380E-1,-3.725000000E1,2.012500000E1,-2.943750000E1
9.798784380E-1,-4.218750000E1,1.693750000E1,-2.437500000E1
9.998784380E-1,-4.643750000E1,1.406250000E1,-1.750000000E1
1.019878438E0,-4.925000000E1,1.150000000E1,-9.750000000E0
1.039878438E0,-5.062500000E1,9.875000000E0,-2.750000000E0
1.059878438E0,-5.075000000E1,8.625000000E0,2.875000000E0
1.079878438E0,-5.068750000E1,7.375000000E0,7.562500000E0
1.099878438E0,-4.937500000E1,6.687500000E0,1.293750000E1
1.119878438E0,-4.800000000E1,5.562500000E0,1.850000000E1
1.139878438E0,-4.556250000E1,5.312500000E0,2.268750000E1
1.159878438E0,-4.356250000E1,5.687500000E0,2.518750000E1
1.179878438E0,-4.187500000E1,6.250000000E0,2.662500000E1
1.199878438E0,-4.112500000E1,6.812500000E0,2.675000000E1
1.219878438E0,-4.106250000E1,7.187500000E0,2.593750000E1
1.239878438E0,-4.156250000E1,7.312500000E0,2.518750000E1
1.259878438E0,-4.218750000E1,8.437500000E0,2.343750000E1
1.279878438E0,-4.287500000E1,9.000000000E0,2.175000000E1
1.299880000E0,-4.200000000E1,8.125000000E0,2.406250000E1
1.329878438E0,-4.068750000E1,7.562500000E0,2.637500000E1
1.349878438E0,-4.162500000E1,7.625000000E0,2.525000000E1
1.369878438E0,-4.181250000E1,8.937500000E0,2.493750000E1
1.389878438E0,-4.112500000E1,1.068750000E1,2.587500000E1
1.409878438E0,-4.087500000E1,1.137500000E1,2.562500000E1
1.429878438E0,-4.112500000E1,1.187500000E1,2.468750000E1
1.449878438E0,-4.112500000E1,1.250000000E1,2.406250000E1
1.469878438E0,-4.112500000E1,1.275000000E1,2.375000000E1
1.489878438E0,-4.162500000E1,1.250000000E1,2.356250000E1
1.509878438E0,-4.200000000E1,1.168750000E1,2.350000000E1
1.529878438E0,-4.243750000E1,1.093750000E1,2.300000000E1
1.549878438E0,-4.275000000E1,9.875000000E0,2.243750000E1
1.569878438E0,-4.281250000E1,8.625000000E0,2.187500000E1
1.589878438E0,-4.312500000E1,7.062500000E0,2.187500000E1
1.609878438E0,-4.300000000E1,5.687500000E0,2.162500000E1
1.629878438E0,-4.312500000E1,4.500000000E0,2.187500000E1
1.649878438E0,-4.325000000E1,4.187500000E0,2.168750000E1
1.669878438E0,-4.331250000E1,3.687500000E0,2.150000000E1
1.689878438E0,-4.350000000E1,3.437500000E0,2.175000000E1
1.709878438E0,-4.350000000E1,3.375000000E0,2.187500000E1
1.729878438E0,-4.400000000E1,3.250000000E0,2.193750000E1
1.749878438E0,-4.431250000E1,2.562500000E0,2.225000000E1
1.769878438E0,-4.450000000E1,2.437500000E0,2.218750000E1
1.789878438E0,-4.468750000E1,2.375000000E0,2.225000000E1
1.809878438E0,-4.462500000E1,2.250000000E0,2.200000000E1
1.829878438E0,-4.437500000E1,2.437500000E0,2.206250000E1
1.849878438E0,-4.437500000E1,2.750000000E0,2.218750000E1
1.869878438E0,-4.431250000E1,2.562500000E0,2.225000000E1
1.889878438E0,-4.400000000E1,2.687500000E0,2.206250000E1
1.909878438E0,-4.406250000E1,2.937500000E0,2.256250000E1
1.929878438E0,-4.387500000E1,3.312500000E0,2.231250000E1
1.949878438E0,-4.331250000E1,3.437500000E0,2.237500000E1
1.969878438E0,-4.331250000E1,3.750000000E0,2.256250000E1
1.989878438E0,-4.325000000E1,4.250000000E0,2.281250000E1
2.009878438E0,-4.306250000E1,4.875000000E0,2.300000000E1
2.029878438E0,-4.337500000E1,5.312500000E0,2.306250000E1
2.049878438E0,-4.381250000E1,5.812500000E0,2.306250000E1
2.069878438E0,-4.381250000E1,6.562500000E0,2.275000000E1
2.089878438E0,-4.362500000E1,7.687500000E0,2.275000000E1
2.109878438E0,-4.325000000E1,9.187500000E0,2.262500000E1
2.129878438E0,-4.318750000E1,1.093750000E1,2.231250000E1
2.149878438E0,-4.293750000E1,1.250000000E1,2.187500000E1
2.169878438E0,-4.262500000E1,1.425000000E1,2.112500000E1
2.189878438E0,-4.237500000E1,1.581250000E1,2.012500000E1
2.209878438E0,-4.237500000E1,1.706250000E1,1.881250000E1
2.229878438E0,-4.237500000E1,1.800000000E1,1.756250000E1
2.249878438E0,-4.237500000E1,1.812500000E1,1.706250000E1
2.269878438E0,-4.237500000E1,1.856250000E1,1.706250000E1
2.289878438E0,-4.237500000E1,1.868750000E1,1.687500000E1
2.309880000E0,-4.262500000E1,1.837500000E1,1.618750000E1
2.339878438E0,-4.243750000E1,1.881250000E1,1.550000000E1
2.359878438E0,-4.212500000E1,1.931250000E1,1.525000000E1
2.379878438E0,-4.175000000E1,1.987500000E1,1.537500000E1
2.399878438E0,-4.162500000E1,2.056250000E1,1.525000000E1
2.419878438E0,-4.187500000E1,2.068750000E1,1.512500000E1
2.439878438E0,-4.168750000E1,2.093750000E1,1.537500000E1
2.459878438E0,-4.200000000E1,2.093750000E1,1.556250000E1
2.479878438E0,-4.175000000E1,2.062500000E1,1.600000000E1
2.499880000E0,-4.162500000E1,1.993750000E1,1.662500000E1
2.519880000E0,-4.181250000E1,1.962500000E1,1.668750000E1
2.549878438E0,-4.156250000E1,1.918750000E1,1.706250000E1
2.569878438E0,-4.118750000E1,1.962500000E1,1.731250000E1
2.589878438E0,-4.100000000E1,2.000000000E1,1.781250000E1
2.609878438E0,-4.100000000E1,1.993750000E1,1.856250000E1
2.629878438E0,-4.062500000E1,1.993750000E1,1.975000000E1
2.649878438E0,-4.031250000E1,2.037500000E1,2.050000000E1
2.669878438E0,-3.993750000E1,2.043750000E1,2.156250000E1
2.689878438E0,-3.956250000E1,2.031250000E1,2.212500000E1
2.709878438E0,-3.937500000E1,2.006250000E1,2.243750000E1
2.729878438E0,-3.931250000E1,1.931250000E1,2.293750000E1
2.749878438E0,-3.912500000E1,1.793750000E1,2.412500000E1
2.769878438E0,-3.962500000E1,1.631250000E1,2.462500000E1
2.789878438E0,-4.056250000E1,1.462500000E1,2.412500000E1
2.809878438E0,-4.100000000E1,1.318750000E1,2.387500000E1
2.829880000E0,-4.143750000E1,1.187500000E1,2.356250000E1
2.859878438E0,-4.206250000E1,1.006250000E1,2.312500000E1
2.879878438E0,-4.231250000E1,8.687500000E0,2.306250000E1
2.899878438E0,-4.250000000E1,7.875000000E0,2.281250000E1
2.919878438E0,-4.237500000E1,7.625000000E0,2.300000000E1
2.939878438E0,-4.225000000E1,7.125000000E0,2.318750000E1
2.959878438E0,-4.243750000E1,6.687500000E0,2.325000000E1
2.979880000E0,-4.256250000E1,6.437500000E0,2.356250000E1
2.999880000E0,-4.256250000E1,6.812500000E0,2.400000000E1
3.029878438E0,-4.250000000E1,7.437500000E0,2.450000000E1
3.049878438E0,-4.206250000E1,8.062500000E0,2.493750000E1
3.069878438E0,-4.181250000E1,8.500000000E0,2.506250000E1
3.089878438E0,-4.150000000E1,8.875000000E0,2.481250000E1
3.109878438E0,-4.143750000E1,8.812500000E0,2.500000000E1
3.129880000E0,-4.150000000E1,9.500000000E0,2.475000000E1
3.159880000E0,-4.137500000E1,9.375000000E0,2.431250000E1
3.179880000E0,-4.143750000E1,9.250000000E0,2.425000000E1
3.209878438E0,-4.150000000E1,9.187500000E0,2.437500000E1
3.229878438E0,-4.150000000E1,9.250000000E0,2.425000000E1
3.249878438E0,-4.181250000E1,8.812500000E0,2.387500000E1
3.269880000E0,-4.187500000E1,8.875000000E0,2.406250000E1
3.299880000E0,-4.150000000E1,8.625000000E0,2.406250000E1
3.329878438E0,-4.118750000E1,8.750000000E0,2.462500000E1
3.349880000E0,-4.062500000E1,9.000000000E0,2.506250000E1
3.379878438E0,-4.081250000E1,9.125000000E0,2.531250000E1
3.399878438E0,-4.068750000E1,9.500000000E0,2.512500000E1
3.419880000E0,-4.056250000E1,9.625000000E0,2.487500000E1
3.439880000E0,-4.068750000E1,9.750000000E0,2.475000000E1
3.469878438E0,-4.093750000E1,9.812500000E0,2.425000000E1
3.489878438E0,-4.087500000E1,1.018750000E1,2.443750000E1
3.509878438E0,-4.100000000E1,1.043750000E1,2.493750000E1
3.529878438E0,-4.087500000E1,1.068750000E1,2.487500000E1
3.549880000E0,-4.056250000E1,1.118750000E1,2.518750000E1
3.579878438E0,-4.006250000E1,1.093750000E1,2.518750000E1
3.599878438E0,-3.981250000E1,1.062500000E1,2.500000000E1
3.619878438E0,-3.981250000E1,1.031250000E1,2.525000000E1
3.639880000E0,-3.975000000E1,1.000000000E1,2.550000000E1
3.669878438E0,-3.975000000E1,9.750000000E0,2.593750000E1
3.689878438E0,-3.943750000E1,9.562500000E0,2.650000000E1
3.709878438E0,-3.943750000E1,9.562500000E0,2.681250000E1
3.729878438E0,-3.950000000E1,8.937500000E0,2.650000000E1
3.749878438E0,-3.950000000E1,8.312500000E0,2.625000000E1
3.769878438E0,-3.968750000E1,7.687500000E0,2.631250000E1
3.789878438E0,-3.981250000E1,7.750000000E0,2.631250000E1
3.809878438E0,-4.000000000E1,7.937500000E0,2.625000000E1
3.829878438E0,-4.025000000E1,8.062500000E0,2.593750000E1
3.849878438E0,-4.081250000E1,8.187500000E0,2.568750000E1
3.869878438E0,-4.100000000E1,7.500000000E0,2.568750000E1
3.889878438E0,-4.106250000E1,6.937500000E0,2.600000000E1
3.909878438E0,-4.112500000E1,6.875000000E0,2.656250000E1
3.929878438E0,-4.106250000E1,6.437500000E0,2.687500000E1
3.949878438E0,-4.075000000E1,6.687500000E0,2.712500000E1
3.969878438E0,-4.081250000E1,7.000000000E0,2.706250000E1
3.989880000E0,-4.093750000E1,7.750000000E0,2.662500000E1
4.019878438E0,-4.150000000E1,9.250000000E0,2.525000000E1
4.039878438E0,-4.212500000E1,1.012500000E1,2.450000000E1
4.059880000E0,-4.225000000E1,1.087500000E1,2.350000000E1
4.089878438E0,-4.175000000E1,1.243750000E1,2.300000000E1
4.109878438E0,-4.162500000E1,1.318750000E1,2.287500000E1
4.129878438E0,-4.100000000E1,1.400000000E1,2.256250000E1
4.149878438E0,-4.062500000E1,1.475000000E1,2.281250000E1
4.169878438E0,-4.018750000E1,1.506250000E1,2.262500000E1
4.189878438E0,-3.993750000E1,1.512500000E1,2.262500000E1
4.209878438E0,-3.950000000E1,1.575000000E1,2.312500000E1
4.229878438E0,-3.887500000E1,1.700000000E1,2.343750000E1
4.249878438E0,-3.868750000E1,1.743750000E1,2.331250000E1
4.269880000E0,-3.825000000E1,1.806250000E1,2.387500000E1
4.299878438E0,-3.781250000E1,1.856250000E1,2.387500000E1
4.319878438E0,-3.725000000E1,1.906250000E1,2.387500000E1
4.339880000E0,-3.625000000E1,2.018750000E1,2.431250000E1
4.369878438E0,-3.518750000E1,2.087500000E1,2.481250000E1
4.389880000E0,-3.475000000E1,2.062500000E1,2.568750000E1
4.419878438E0,-3.462500000E1,1.987500000E1,2.643750000E1
4.439880000E0,-3.393750000E1,1.950000000E1,2.743750000E1
4.469878438E0,-3.406250000E1,1.818750000E1,2.787500000E1
4.489880000E0,-3.462500000E1,1.725000000E1,2.837500000E1
4.519878438E0,-3.493750000E1,1.606250000E1,2.887500000E1
4.539878438E0,-3.493750000E1,1.587500000E1,2.937500000E1
4.559878438E0,-3.487500000E1,1.618750000E1,2.931250000E1
4.579878438E0,-3.468750000E1,1.656250000E1,2.918750000E1
4.599878438E0,-3.518750000E1,1.631250000E1,2.906250000E1
4.619878438E0,-3.525000000E1,1.587500000E1,2.900000000E1
4.639878438E0,-3.562500000E1,1.556250000E1,2.906250000E1
4.659878438E0,-3.581250000E1,1.518750000E1,2.906250000E1
4.679878438E0,-3.575000000E1,1.500000000E1,2.931250000E1
4.699878438E0,-3.568750000E1,1.506250000E1,2.943750000E1
4.719878438E0,-3.581250000E1,1.500000000E1,2.950000000E1
4.739878438E0,-3.575000000E1,1.487500000E1,2.925000000E1
4.759878438E0,-3.575000000E1,1.462500000E1,2.918750000E1
4.779878438E0,-3.587500000E1,1.443750000E1,2.906250000E1
4.799878438E0,-3.568750000E1,1.418750000E1,2.900000000E1
4.819878438E0,-3.562500000E1,1.450000000E1,2.881250000E1
4.839883125E0,-3.581250000E1,1.450000000E1,2.875000000E1
4.869878438E0,-3.656250000E1,1.437500000E1,2.850000000E1
4.889878438E0,-3.681250000E1,1.456250000E1,2.862500000E1
4.909878438E0,-3.706250000E1,1.481250000E1,2.893750000E1
4.929878438E0,-3.718750000E1,1.525000000E1,2.937500000E1
4.949878438E0,-3.731250000E1,1.518750000E1,2.950000000E1
4.969878438E0,-3.737500000E1,1.500000000E1,2.962500000E1
4.989878438E0,-3.737500000E1,1.493750000E1,2.943750000E1
5.009880000E0,-3.718750000E1,1.500000000E1,2.912500000E1
5.039878438E0,-3.712500000E1,1.481250000E1,2.893750000E1
5.059878438E0,-3.737500000E1,1.450000000E1,2.843750000E1
5.079878438E0,-3.743750000E1,1.437500000E1,2.831250000E1
5.099878438E0,-3.781250000E1,1.425000000E1,2.831250000E1
5.119880000E0,-3.781250000E1,1.418750000E1,2.800000000E1
5.139880000E0,-3.775000000E1,1.437500000E1,2.762500000E1
5.169878438E0,-3.756250000E1,1.437500000E1,2.725000000E1
5.189878438E0,-3.750000000E1,1.431250000E1,2.693750000E1
5.209878438E0,-3.756250000E1,1.425000000E1,2.668750000E1
