"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.639562500E-2,-6.201128960E-1,-2.959041595E-1,3.821916580E-1
1.000509380E-1,1.547813416E-1,-5.105171204E-1,-7.067975998E-1
1.237063020E-1,6.563453674E-1,-3.513431549E-2,5.568380356E-1
1.473616150E-1,2.160573006E-2,3.529558182E-1,1.939458847E0
1.710169790E-1,1.775398254E-1,1.236093044E-2,2.403351784E0
1.946722920E-1,-1.239327431E0,1.622495413E0,-1.105284691E0
2.183276560E-1,9.729874134E-1,1.343278646E0,-9.886150360E-1
2.419829690E-1,7.699340582E-1,8.761909008E-1,-2.086820602E0
2.656383330E-1,-6.875946522E-1,-1.447390318E0,-1.358600616E0
2.892936980E-1,-8.411797285E-1,-1.070694208E0,2.838458061E0
3.129490100E-1,7.991174459E-1,-1.385871887E0,5.248394012E0
3.366043750E-1,3.960928917E-1,-1.558105707E0,2.615593910E0
3.602596880E-1,-5.847001076E-2,-3.527101994E0,-1.211135864E0
3.839150520E-1,-2.049752951E0,2.684571147E-1,-5.942974091E-1
4.075704170E-1,1.219152331E0,-1.404846191E0,-6.705446243E-1
4.312257290E-1,-8.448170871E-2,7.958297729E-1,-1.194161415E0
4.548810940E-1,-1.502925158E0,-1.514362335E0,-1.104934692E0
4.785364580E-1,-1.562446594E0,5.479801297E-1,-4.522171021E0
5.021918230E-1,1.061652184E0,1.920413017E0,-4.741029739E-1
5.258471350E-1,9.480068088E-1,2.257211208E-1,3.226027489E0
5.495025000E-1,-7.672426701E-1,1.348735571E0,1.966468811E0
5.731578650E-1,-1.437586665E0,1.344053030E0,-1.454896927E-1
5.968132290E-1,1.793128490E0,-6.399415135E-1,-5.545015335E-1
6.204685940E-1,5.776944637E0,-3.353142262E0,-2.867263317E0
6.441239060E-1,1.483879566E0,-2.106847167E-1,2.395216942E0
6.677792710E-1,2.200095892E0,-8.684296608E-1,8.896562576E0
6.914346350E-1,3.877434731E-1,1.795763969E-1,7.177629471E0
7.150900000E-1,-1.198732853E0,-1.115741253E0,2.505252838E0
7.387453650E-1,1.152256489E0,-7.496061325E0,-4.903659821E-1
7.624007290E-1,-8.148750305E0,7.019814968E0,-1.126625538E0
7.860560940E-1,-4.627331734E0,-5.424609184E-1,-6.783277988E0
8.097114580E-1,-3.585919619E0,-1.227383614E0,-6.240922928E0
8.333668230E-1,-4.317509174E0,-7.085266113E-1,-7.730852127E0
8.570221880E-1,-6.667275429E0,3.551888466E-1,-6.532252789E0
8.806775520E-1,-6.392439842E0,-2.069567204E0,-2.059289694E0
9.043328650E-1,-2.380976915E0,-3.794128656E0,2.054375172E0
9.279882810E-1,1.779280663E0,-2.802647114E0,4.751280785E0
9.516436460E-1,1.653836250E0,8.092594147E-1,5.307435989E0
9.752990100E-1,3.110753536E0,-1.562623978E0,2.633338451E0
9.989543750E-1,3.049168110E0,-1.370722055E0,6.192931175E0
1.022609740E0,8.537446022E0,-3.253033400E0,9.469861984E0
1.046265104E0,8.142452240E0,-2.891273499E-1,-7.193800926E0
1.069920469E0,-2.035470963E0,-5.208134651E-1,1.803030586E1
1.093575885E0,-1.512791157E0,3.519310474E0,-1.627504349E0
1.117231250E0,-4.284329414E0,-6.773139000E0,-2.993062973E0
1.140886615E0,-1.261798573E1,-6.125349045E0,-4.012910366E0
1.164541979E0,-1.102824974E1,-3.960691929E0,-1.542172194E0
1.188197396E0,-1.042752457E1,-6.258004189E0,-1.483038545E0
1.211852760E0,-5.664311409E0,-4.031895638E0,2.605833769E0
1.235508125E0,-4.135776997E0,-3.772381306E0,3.173310757E0
1.259163542E0,-3.123169184E0,1.694245338E0,4.918154716E0
1.282818906E0,1.638762665E1,3.722364426E0,-1.355362225E1
1.306474323E0,-3.625261307E0,1.034669876E-1,-1.335974693E1
1.330129688E0,-1.012696171E1,-6.970977783E-2,3.028285027E0
1.353785104E0,-1.021500707E0,3.832672119E0,-1.328866720E0
1.377440469E0,3.429141283E0,1.899824142E-1,3.739949703E0
1.401095885E0,2.364932299E-1,2.552165031E0,3.017856598E0
1.424751302E0,2.633432150E-1,1.246560097E0,-1.666797161E0
1.448406719E0,-2.873352051E0,4.143896103E-1,-3.452200890E-1
1.472062083E0,2.286331415E0,6.839466095E-2,2.322310925E0
1.495717500E0,-8.150200844E0,3.494693756E0,4.710032463E0
1.519372917E0,1.160190344E0,1.217819214E0,1.601359606E0
1.543028333E0,-6.089508057E0,1.650076866E0,2.165534258E0
1.566683750E0,1.780216455E0,-1.821097374E0,1.992166996E0
1.590339115E0,1.355818987E0,1.932465553E0,6.492736340E-1
1.613994583E0,-3.140121460E0,-4.763383865E-1,2.702011347E0
1.637650000E0,5.795097351E0,4.610729218E-2,2.217931271E0
1.661305417E0,1.329969883E0,-3.174247742E-1,-2.216976643E0
1.684960833E0,7.789706707E0,-5.885648727E-2,-2.964605331E0
1.708616250E0,-5.265443802E0,-1.195307255E0,1.166347027E0
1.732271667E0,-6.189326048E-1,1.714575768E0,1.263883829E0
1.755927083E0,-7.018462658E0,-4.847510815E0,3.844273806E0
1.779582552E0,2.375990868E0,-4.148885250E0,1.496814489E0
1.803237969E0,1.232545614E0,-4.149435997E0,-5.647592545E-1
1.826893385E0,-5.852806568E-1,-2.968579769E0,-5.651150227E0
1.850548854E0,2.688259125E0,-2.928128719E0,-9.464972496E0
1.874204271E0,7.901821136E-1,1.558687687E0,-8.682069778E0
1.897859688E0,-1.755890965E0,-3.365797520E0,-1.261888027E0
1.921515156E0,3.150687695E0,-4.809484482E-1,2.741638422E0
1.945170573E0,6.796898842E-1,7.829006195E0,5.649237156E0
1.968826042E0,-3.158865929E0,3.687467575E0,3.113647938E0
1.992481510E0,1.182835579E0,4.449917793E0,2.292992115E0
2.016136927E0,3.043614864E0,4.833698273E-2,5.403184891E0
2.039792396E0,1.462211609E0,6.171266556E0,6.973337173E0
2.063447865E0,-2.382061481E0,-1.130124092E0,2.237998962E0
2.087103281E0,-8.518455505E0,4.354906082E-1,-1.859338760E0
2.110758750E0,-1.139575100E1,-1.836789608E0,-4.430319786E0
2.134414219E0,-1.055895996E1,-5.478467941E-1,-1.119730568E1
2.158069688E0,-6.845705986E0,-9.063796997E-1,-6.924751282E0
2.181725156E0,5.533823490E0,-3.276916981E0,-4.931096554E0
2.205380573E0,1.139038849E1,-8.371755600E0,-2.625637293E0
2.229036042E0,1.656031990E1,3.913553715E0,1.142227769E0
2.252691510E0,3.733148575E0,-5.410239220E0,1.459153557E1
2.276346979E0,3.118254185E0,1.934806824E0,5.530755997E0
2.300002448E0,-9.213115692E0,1.394065380E0,-1.768416643E0
