"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.211656900E1,1.189521710E2,0.000000000E0,0.000000000E0,0.000000000E0,5.730000000E2,0.000000000E0
9.176790100E-1,3.211656900E1,1.189521710E2,0.000000000E0,0.000000000E0,0.000000000E0,5.730000000E2,0.000000000E0
1.061122291E0,3.212233535E1,1.189513646E2,2.061793445E1,8.399999738E-1,7.859999847E1,8.235113144E0,1.462739182E1
1.126189843E0,3.212233623E1,1.189513697E2,2.059033109E1,8.399999738E-1,7.859999847E1,9.833281517E0,1.462739182E1
2.139204738E0,3.212238202E1,1.189514025E2,2.626907655E1,7.799999714E-1,2.765000000E2,4.933347225E0,6.511949539E0
3.138729269E0,3.212239417E1,1.189513928E2,2.643026409E1,1.509999990E0,2.802999878E2,4.084197521E0,4.830011368E0
4.137611925E0,3.212241158E1,1.189513863E2,2.635402328E1,2.329999924E0,3.022000122E2,3.790092468E0,3.666185856E0
5.142513748E0,3.212244094E1,1.189513658E2,2.624074171E1,3.490000010E0,3.035000000E2,3.790092468E0,2.685561180E0
6.140179424E0,3.212245685E1,1.189513411E2,2.625568477E1,3.549999952E0,3.103999939E2,3.790092468E0,2.500000000E0
7.142364216E0,3.212247958E1,1.189513136E2,2.592280997E1,3.789999962E0,3.172999878E2,3.790092468E0,2.500000000E0
8.138211819E0,3.212249897E1,1.189512812E2,2.614982115E1,4.050000191E0,3.083999939E2,3.790092468E0,2.500000000E0
9.142105986E0,3.212252302E1,1.189512456E2,2.630733217E1,4.329999924E0,3.036000061E2,3.790092468E0,2.500000000E0
1.014874968E1,3.212254183E1,1.189512038E2,2.579066041E1,4.530000210E0,2.968999939E2,3.790092468E0,2.500000000E0
1.114429041E1,3.212256165E1,1.189511626E2,2.577136359E1,4.719999790E0,2.968999939E2,3.790092468E0,2.500000000E0
1.213966281E1,3.212258170E1,1.189511173E2,2.567127060E1,4.969999790E0,2.977999878E2,3.790092468E0,2.500000000E0
1.313936750E1,3.212260051E1,1.189510720E2,2.547895124E1,5.110000134E0,2.928999939E2,3.790092468E0,2.500000000E0
1.413941187E1,3.212261446E1,1.189510174E2,2.531192248E1,5.170000076E0,2.857999878E2,3.790092468E0,2.500000000E0
1.513887218E1,3.212262748E1,1.189509665E2,2.503666435E1,5.110000134E0,2.835000000E2,3.790092468E0,2.500000000E0
1.614548630E1,3.212263371E1,1.189509158E2,2.479587821E1,5.099999905E0,2.757999878E2,3.790092468E0,2.500000000E0
1.714288426E1,3.212263828E1,1.189508635E2,2.471384660E1,5.199999809E0,2.743999939E2,3.790092468E0,2.500000000E0
1.814383661E1,3.212264069E1,1.189508074E2,2.467125264E1,5.230000019E0,2.678999939E2,3.790092468E0,2.500000000E0
1.914245051E1,3.212263972E1,1.189507542E2,2.442600617E1,5.260000229E0,2.667999878E2,3.790092468E0,2.500000000E0
2.013948213E1,3.212263773E1,1.189507009E2,2.436941801E1,5.139999866E0,2.667000122E2,3.790092468E0,2.500000000E0
