"Time (s)","Pressure (hPa)"
1.450552080E-1,1.013708740E3
1.850507290E-1,1.013673706E3
2.250740100E-1,1.013634949E3
2.651172910E-1,1.013633728E3
3.050719270E-1,1.013678711E3
3.450661450E-1,1.013647461E3
3.850655730E-1,1.013648743E3
4.250666660E-1,1.013642456E3
4.650714060E-1,1.013649963E3
5.050475000E-1,1.013643738E3
5.450531250E-1,1.013664978E3
5.850598950E-1,1.013637451E3
6.250459890E-1,1.013630005E3
6.650865620E-1,1.013646240E3
7.050594790E-1,1.013562500E3
7.450705200E-1,1.013588745E3
7.850720830E-1,1.013686218E3
8.250525000E-1,1.013690002E3
8.650711450E-1,1.013656250E3
9.050451040E-1,1.013599976E3
9.450557810E-1,1.013596252E3
9.850406770E-1,1.013604980E3
1.025045885E0,1.013604980E3
1.065045520E0,1.013503723E3
1.105047343E0,1.013597473E3
1.145068229E0,1.013583740E3
1.185068437E0,1.013497498E3
1.225046979E0,1.013570007E3
1.265075000E0,1.013588745E3
1.305066614E0,1.013566223E3
1.345071041E0,1.013568726E3
1.385044843E0,1.013619995E3
1.425053437E0,1.013643738E3
1.465039843E0,1.013541199E3
1.505039010E0,1.013503723E3
1.545040104E0,1.013563721E3
1.585041718E0,1.013607483E3
1.625070573E0,1.013584961E3
1.665058645E0,1.013612488E3
1.705057864E0,1.013576233E3
1.745056354E0,1.013677490E3
1.785076927E0,1.013758728E3
1.825053750E0,1.013658752E3
1.865060468E0,1.013736206E3
1.905055260E0,1.013667480E3
1.945038645E0,1.013608704E3
1.985039739E0,1.013656250E3
2.025038645E0,1.013681213E3
2.065045104E0,1.013769958E3
2.105057291E0,1.013712463E3
2.145058333E0,1.013721252E3
2.185111458E0,1.013737488E3
2.225055260E0,1.013666199E3
2.265053229E0,1.013614990E3
2.305122448E0,1.013623718E3
2.345074739E0,1.013617493E3
2.385066145E0,1.013539978E3
2.425039739E0,1.013577454E3
2.465039843E0,1.013603699E3
2.505041093E0,1.013570007E3
2.545071562E0,1.013627502E3
2.585057083E0,1.013704956E3
2.625059114E0,1.013596252E3
2.665057552E0,1.013706238E3
2.705057239E0,1.013751221E3
2.745059375E0,1.013628723E3
2.785053698E0,1.013706238E3
2.825038958E0,1.013637451E3
2.865042448E0,1.013637451E3
2.905039791E0,1.013557495E3
2.945039427E0,1.013392456E3
2.985081718E0,1.013453735E3
3.025058645E0,1.013443726E3
3.065058593E0,1.013566223E3
3.105056823E0,1.013683716E3
3.145056562E0,1.013704956E3
3.185058125E0,1.013844971E3
3.225058541E0,1.013842468E3
3.265052916E0,1.013877502E3
3.305042500E0,1.013766235E3
3.345047500E0,1.013508728E3
3.385038958E0,1.013654968E3
3.425054791E0,1.013709961E3
3.465071614E0,1.013644958E3
3.505057864E0,1.013662476E3
3.545047864E0,1.013632507E3
3.585055781E0,1.013701233E3
3.625053958E0,1.013653748E3
3.665056354E0,1.013663757E3
3.705045156E0,1.013702454E3
3.745038906E0,1.013764954E3
3.785047395E0,1.013742493E3
3.825039010E0,1.013772461E3
3.865040156E0,1.013734985E3
3.905058645E0,1.013692505E3
3.945058906E0,1.013673706E3
3.985058645E0,1.013637451E3
4.025058802E0,1.013625000E3
4.065055729E0,1.013609985E3
4.105063593E0,1.013628723E3
4.145053750E0,1.013612488E3
4.185039583E0,1.013596252E3
4.225039062E0,1.013628723E3
4.265046093E0,1.013634949E3
4.305042083E0,1.013626221E3
4.345072760E0,1.013626221E3
4.385057656E0,1.013612488E3
4.425039843E0,1.013574951E3
4.465073489E0,1.013621216E3
4.505059948E0,1.013628723E3
4.545039791E0,1.013616211E3
4.585071666E0,1.013642456E3
4.625038385E0,1.013673706E3
4.665043645E0,1.013652466E3
4.705040000E0,1.013632507E3
4.745039531E0,1.013638733E3
4.785074062E0,1.013704956E3
4.825059218E0,1.013623718E3
4.865056354E0,1.013626221E3
4.905055781E0,1.013606201E3
4.945038593E0,1.013628723E3
4.985064114E0,1.013674988E3
5.025057291E0,1.013688721E3
5.065055000E0,1.013713745E3
5.105043541E0,1.013734985E3
5.145039843E0,1.013719971E3
5.185040885E0,1.013684998E3
5.225047708E0,1.013606201E3
5.265067291E0,1.013633728E3
5.305055573E0,1.013706238E3
5.345056354E0,1.013683716E3
5.385057708E0,1.013669983E3
5.425072604E0,1.013654968E3
5.465068593E0,1.013666199E3
5.505056354E0,1.013677490E3
5.545084948E0,1.013703735E3
5.585038698E0,1.013666199E3
5.625039427E0,1.013663757E3
5.665048333E0,1.013707458E3
5.706107448E0,1.013713745E3
5.745062083E0,1.013663757E3
5.785056614E0,1.013741211E3
5.825058073E0,1.013708740E3
5.865039739E0,1.013695007E3
5.905056354E0,1.013706238E3
5.945131875E0,1.013676208E3
5.985038385E0,1.013594971E3
6.025039687E0,1.013643738E3
6.065038802E0,1.013653748E3
6.105044843E0,1.013657471E3
6.145104791E0,1.013691223E3
6.185060989E0,1.013688721E3
6.225059218E0,1.013641235E3
6.265064635E0,1.013664978E3
6.305083125E0,1.013674988E3
6.345078177E0,1.013692505E3
6.385045104E0,1.013687500E3
6.425039687E0,1.013713745E3
6.465038802E0,1.013708740E3
6.505038854E0,1.013674988E3
6.545039062E0,1.013686218E3
6.585073229E0,1.013667480E3
6.625057864E0,1.013632507E3
6.665055781E0,1.013673706E3
6.705056823E0,1.013673706E3
6.745057604E0,1.013638733E3
6.785057291E0,1.013653748E3
6.825063593E0,1.013668701E3
6.865080989E0,1.013637451E3
6.905043645E0,1.013653748E3
6.945044895E0,1.013637451E3
6.985041458E0,1.013672485E3
7.025048177E0,1.013647461E3
7.065057083E0,1.013681213E3
7.105055729E0,1.013669983E3
7.145057604E0,1.013683716E3
7.185075573E0,1.013686218E3
7.225038437E0,1.013671204E3
7.265059114E0,1.013706238E3
7.305055520E0,1.013709961E3
7.345038541E0,1.013714966E3
7.385039531E0,1.013671204E3
7.425039218E0,1.013677490E3
7.465048125E0,1.013702454E3
7.505058906E0,1.013674988E3
7.545059166E0,1.013666199E3
7.585056458E0,1.013623718E3
7.625074531E0,1.013602478E3
7.665053333E0,1.013648743E3
7.706339062E0,1.013603699E3
7.745053125E0,1.013643738E3
7.785039427E0,1.013649963E3
7.825038698E0,1.013643738E3
7.865038541E0,1.013565002E3
7.905039375E0,1.013529968E3
7.945081041E0,1.013604980E3
7.985057656E0,1.013573730E3
8.025056250E0,1.013579956E3
8.065055833E0,1.013599976E3
8.105053229E0,1.013632507E3
8.145059948E0,1.013584961E3
8.185130052E0,1.013601257E3
8.225038698E0,1.013608704E3
8.265038229E0,1.013588745E3
8.305045520E0,1.013609985E3
8.345062291E0,1.013632507E3
8.385059010E0,1.013642456E3
8.425071875E0,1.013631226E3
8.465058541E0,1.013591248E3
8.505056875E0,1.013652466E3
8.545054948E0,1.013602478E3
8.585057343E0,1.013671204E3
8.625054687E0,1.013626221E3
8.665053698E0,1.013662476E3
8.706409739E0,1.013728699E3
8.745039375E0,1.013676208E3
8.785045312E0,1.013628723E3
8.825040573E0,1.013657471E3
8.865054739E0,1.013668701E3
8.905078489E0,1.013663757E3
8.945053489E0,1.013651245E3
8.985057760E0,1.013686218E3
9.025057864E0,1.013693726E3
9.065053177E0,1.013683716E3
9.105054687E0,1.013496216E3
9.145053333E0,1.013893738E3
9.185040156E0,1.013628723E3
9.225046823E0,1.013541199E3
9.265047500E0,1.013630005E3
9.305059427E0,1.013000000E3
9.345058593E0,1.013547485E3
9.385060468E0,1.013716248E3
9.425053177E0,1.013491211E3
9.465070885E0,1.013703735E3
9.505073750E0,1.013729980E3
9.545053645E0,1.013527466E3
9.585053229E0,1.013649963E3
9.625039427E0,1.013826233E3
9.665039375E0,1.013562500E3
9.707189843E0,1.013472473E3
9.745070677E0,1.013704956E3
9.785057343E0,1.013688721E3
9.825057291E0,1.013522461E3
9.865056875E0,1.013618713E3
9.905057083E0,1.013596252E3
9.945088906E0,1.013627502E3
9.985059114E0,1.013627502E3
1.002503927E1,1.013597473E3
1.006504188E1,1.013593750E3
1.010503969E1,1.013627502E3
1.014503974E1,1.013646240E3
1.018504292E1,1.013639954E3
1.022511568E1,1.013637451E3
1.026506464E1,1.013651245E3
1.030507406E1,1.013661255E3
1.034505318E1,1.013639954E3
1.038507479E1,1.013659973E3
1.042506990E1,1.013672485E3
1.046505760E1,1.013686218E3
1.050504323E1,1.013673706E3
1.054504062E1,1.013677490E3
1.058503906E1,1.013654968E3
1.062504719E1,1.013649963E3
1.066505604E1,1.013676208E3
1.070629073E1,1.013666199E3
1.074505609E1,1.013661255E3
1.078505630E1,1.013713745E3
1.082505792E1,1.013676208E3
1.086505469E1,1.013652466E3
1.090505292E1,1.013639954E3
1.094503896E1,1.013662476E3
1.098503974E1,1.013672485E3
1.102504677E1,1.013616211E3
1.106503854E1,1.013617493E3
1.110505896E1,1.013604980E3
1.114506938E1,1.013630005E3
1.118505766E1,1.013609985E3
1.122505526E1,1.013642456E3
1.126505901E1,1.013627502E3
1.130505630E1,1.013648743E3
1.134503870E1,1.013621216E3
1.138505740E1,1.013637451E3
1.142503938E1,1.013644958E3
1.146504000E1,1.013695007E3
1.150503974E1,1.013667480E3
1.154507438E1,1.013666199E3
1.158505838E1,1.013654968E3
1.162505396E1,1.013623718E3
1.166505844E1,1.013618713E3
1.170628484E1,1.013602478E3
1.174505786E1,1.013599976E3
1.178507323E1,1.013627502E3
1.182505292E1,1.013617493E3
1.186504130E1,1.013625000E3
1.190504526E1,1.013681213E3
1.194503505E1,1.013634949E3
1.198504365E1,1.013604980E3
1.202505635E1,1.013691223E3
1.206505870E1,1.013663757E3
1.210505526E1,1.013638733E3
1.214505578E1,1.013643738E3
1.218505708E1,1.013652466E3
1.222505609E1,1.013653748E3
1.226513609E1,1.013678711E3
1.230506698E1,1.013649963E3
1.234504021E1,1.013632507E3
1.238503932E1,1.013628723E3
1.242504432E1,1.013606201E3
1.246505734E1,1.013625000E3
1.250505609E1,1.013663757E3
1.254506021E1,1.013606201E3
1.258505755E1,1.013643738E3
1.262505370E1,1.013667480E3
1.266505547E1,1.013673706E3
1.270634474E1,1.013697449E3
1.274504693E1,1.013699951E3
1.278503922E1,1.013664978E3
1.282503922E1,1.013619995E3
1.286503964E1,1.013683716E3
1.290507328E1,1.013682495E3
1.294505818E1,1.013673706E3
1.298505792E1,1.013663757E3
1.302505474E1,1.013716248E3
1.306506771E1,1.013709961E3
1.310505557E1,1.013703735E3
1.314505864E1,1.013696228E3
1.318503974E1,1.013692505E3
1.322504672E1,1.013682495E3
1.326503974E1,1.013708740E3
1.330503865E1,1.013717468E3
1.334506495E1,1.013672485E3
1.338505708E1,1.013623718E3
1.342507531E1,1.013674988E3
1.346505714E1,1.013712463E3
1.350505375E1,1.013729980E3
1.354505271E1,1.013706238E3
1.358507302E1,1.013702454E3
1.362504240E1,1.013729980E3
1.366503932E1,1.013677490E3
1.370527286E1,1.013729980E3
1.374503958E1,1.013758728E3
1.378504573E1,1.013706238E3
1.382505609E1,1.013668701E3
1.386506146E1,1.013625000E3
1.390508521E1,1.013619995E3
1.394508661E1,1.013714966E3
1.398505479E1,1.013662476E3
1.402508656E1,1.013690002E3
1.406503875E1,1.013769958E3
1.410504411E1,1.013713745E3
1.414504547E1,1.013686218E3
1.418503943E1,1.013701233E3
1.422504646E1,1.013712463E3
1.426505609E1,1.013712463E3
1.430506578E1,1.013691223E3
1.434505974E1,1.013697449E3
1.438505729E1,1.013668701E3
1.442507224E1,1.013669983E3
1.446507828E1,1.013661255E3
1.450506359E1,1.013714966E3
1.454503859E1,1.013695007E3
1.458504516E1,1.013681213E3
1.462503927E1,1.013713745E3
1.466503990E1,1.013688721E3
1.470491125E1,1.013661255E3
1.474505604E1,1.013699951E3
1.478505734E1,1.013667480E3
1.482505740E1,1.013651245E3
1.486505490E1,1.013726257E3
1.490505448E1,1.013713745E3
1.494506995E1,1.013744995E3
1.498505625E1,1.013716248E3
1.502503958E1,1.013699951E3
1.506504594E1,1.013663757E3
1.510503969E1,1.013662476E3
1.514503990E1,1.013683716E3
1.518507896E1,1.013701233E3
1.522504042E1,1.013697449E3
1.526505682E1,1.013732483E3
1.530507484E1,1.013708740E3
1.534505635E1,1.013739990E3
1.538505630E1,1.013666199E3
1.542507146E1,1.013658752E3
1.546508573E1,1.013682495E3
1.550503901E1,1.013666199E3
1.554503984E1,1.013658752E3
1.558503953E1,1.013664978E3
1.562505922E1,1.013617493E3
1.566505896E1,1.013612488E3
1.570504068E1,1.013634949E3
1.574505766E1,1.013614990E3
1.578505583E1,1.013623718E3
1.582503880E1,1.013662476E3
1.586505318E1,1.013688721E3
1.590503885E1,1.013706238E3
1.594504214E1,1.013674988E3
1.598504781E1,1.013657471E3
1.602504364E1,1.013664978E3
1.606505401E1,1.013669983E3
1.610508338E1,1.013701233E3
1.614505828E1,1.013696228E3
1.618505526E1,1.013691223E3
1.622503948E1,1.013703735E3
1.626506094E1,1.013687500E3
1.630508406E1,1.013681213E3
1.634503979E1,1.013692505E3
1.638503917E1,1.013706238E3
1.642504714E1,1.013681213E3
1.646504130E1,1.013678711E3
1.650507323E1,1.013679993E3
1.654505792E1,1.013654968E3
1.658505682E1,1.013652466E3
1.662505417E1,1.013683716E3
1.666505604E1,1.013693726E3
1.670505807E1,1.013667480E3
1.674507349E1,1.013682495E3
1.678505338E1,1.013612488E3
1.682503849E1,1.013667480E3
1.686503536E1,1.013681213E3
1.690504823E1,1.013717468E3
1.694506495E1,1.013693726E3
1.698505573E1,1.013678711E3
1.702505740E1,1.013747498E3
1.706505708E1,1.013723755E3
1.710505344E1,1.013668701E3
1.714507344E1,1.013728699E3
1.718505755E1,1.013618713E3
1.722505286E1,1.013579956E3
1.726504911E1,1.013642456E3
1.730504000E1,1.013737488E3
1.734504083E1,1.013708740E3
1.738503844E1,1.013681213E3
1.742508208E1,1.013704956E3
1.746506703E1,1.013693726E3
1.750505604E1,1.013674988E3
1.754505479E1,1.013642456E3
1.758505396E1,1.013724976E3
1.762507464E1,1.013708740E3
1.766507490E1,1.013688721E3
1.770543510E1,1.013722473E3
1.774503859E1,1.013719971E3
1.778503922E1,1.013699951E3
