"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.647046800E-2,5.239542127E-1,-4.062134326E-1,2.319692522E-1
9.818218700E-2,3.669664860E-1,-7.214106321E-1,-8.750387281E-2
1.198939580E-1,2.550287358E-2,-6.945333481E-1,-2.634278834E-1
1.413715620E-1,-1.412584335E-1,-4.495835900E-1,-2.279987335E-1
1.626576560E-1,-6.001574174E-2,-1.954711229E-1,-7.773031294E-2
1.839438020E-1,3.100049868E-2,-1.698155403E-1,7.253811508E-2
2.052299480E-1,1.372879148E-1,-3.939964771E-1,4.138490185E-2
2.265160930E-1,2.270824611E-1,-4.941754341E-1,-1.107160673E-1
2.478021870E-1,2.118112892E-1,-3.384093940E-1,-1.174353883E-1
2.690883330E-1,2.550287358E-2,1.893626526E-2,4.321744293E-2
2.903744790E-1,-2.596100792E-3,9.101624042E-2,1.049130186E-1
3.116606250E-1,7.742489129E-2,-1.844758689E-1,-9.055810422E-2
3.329467180E-1,-1.247655526E-1,-3.506263196E-1,-4.986040890E-1
3.542328640E-1,-5.908420086E-1,-3.603998721E-1,-1.022176504E0
3.755190100E-1,-1.123577118E0,1.160609815E-2,-1.687389255E0
3.968051560E-1,-1.865756631E0,-1.411057115E-1,-2.103986979E0
4.180912500E-1,-2.479047298E0,-1.406246781E0,-1.706936359E0
4.393773950E-1,-2.678794384E0,-2.880831957E0,-9.458206296E-1
4.606635410E-1,-3.145481586E0,-2.959631443E0,3.883461356E-1
4.819496870E-1,-2.630537271E0,-1.296294212E0,1.505585790E0
5.032357810E-1,-6.378772259E-1,8.313631415E-1,1.319277406E0
5.245219270E-1,3.480302393E-1,8.551861346E-2,1.605001241E-1
5.458080730E-1,-4.863871336E-1,-3.794735909E0,-2.098489285E0
5.670942180E-1,-1.052718878E0,-1.152745128E0,-2.861437559E0
5.883803640E-1,-5.468609929E-1,3.304683566E-1,-1.666620374E0
