"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.557531300E-2,-6.884479523E-2,-1.385235786E-1,-2.710914612E-2
9.567010400E-2,1.001336575E-1,-1.513400078E-1,-1.688604355E-1
1.157648960E-1,2.227948904E-1,-1.439166069E-1,-2.984848022E-1
1.358600000E-1,1.747016907E-1,-4.491186142E-2,-1.994590759E-1
1.559553130E-1,1.663442850E-1,-2.472901344E-2,-6.194400787E-2
1.760506250E-1,2.904646397E-1,-3.784179688E-2,5.963134766E-2
1.961459380E-1,3.007645607E-1,-1.350624561E-1,3.157806396E-2
2.162412500E-1,2.957690358E-1,-7.643842697E-2,-7.209396362E-2
2.363365630E-1,2.258173227E-1,-6.309819221E-2,8.043289185E-2
2.564318750E-1,1.940526962E-1,-5.745267868E-2,7.233238220E-2
2.765271880E-1,1.932480335E-1,-6.418919563E-2,2.187728882E-3
2.966225000E-1,2.701258659E-1,-6.901383400E-2,1.449584961E-4
3.167178130E-1,1.828272343E-1,-1.196172237E-1,7.776355743E-2
3.368131250E-1,2.667263150E-1,-4.439926147E-2,1.037464142E-1
3.569084380E-1,1.946818829E-1,-7.444167137E-2,6.236362457E-2
3.770037500E-1,1.279844046E-1,-3.652167320E-2,-5.546760559E-2
3.970990630E-1,7.329320908E-2,-7.007551193E-2,-5.148696899E-2
4.171943750E-1,6.561082602E-2,-5.532193184E-2,-4.676628113E-2
4.372896880E-1,5.088090897E-2,-4.174280167E-2,-2.287292480E-2
4.573850000E-1,3.674155474E-2,-4.012989998E-2,-8.856582642E-2
4.774798960E-1,5.381923914E-2,-6.427001953E-2,-1.364765167E-1
4.975746880E-1,3.809040785E-2,-5.088305473E-2,-4.244804382E-3
5.176694790E-1,-1.120977998E-1,2.421689034E-2,-4.950523376E-2
5.377647920E-1,2.012962103E-2,4.870438576E-2,-1.137199402E-1
5.578601040E-1,5.023789406E-2,4.539489746E-4,-9.724426270E-2
5.779554170E-1,-1.098459959E-2,5.779004097E-2,-4.880523682E-2
5.980507290E-1,-2.971625328E-2,1.397657394E-1,-7.538795471E-3
6.181460420E-1,-2.294915915E-2,1.384902000E-1,-1.243381500E-1
6.382413540E-1,4.629755020E-2,5.414295197E-2,-1.384754181E-1
6.583366670E-1,1.044681072E-1,1.055629253E-1,-2.339935303E-2
6.784319790E-1,7.891851664E-2,5.954837799E-2,6.715393066E-2
6.985272920E-1,1.557760835E-1,5.100107193E-2,3.085708618E-2
7.186226040E-1,1.074504256E-1,1.009790897E-1,-1.004981995E-2
7.387179170E-1,9.484124184E-2,1.163020134E-1,-8.175849915E-3
7.588132290E-1,1.277951598E-1,1.638019085E-1,2.677059174E-2
7.789085420E-1,1.109942794E-1,1.398856640E-1,8.284664154E-2
7.990038540E-1,2.284961939E-2,1.847512722E-1,5.620861053E-2
8.190991670E-1,-5.240625143E-2,2.487120628E-1,-8.494663239E-2
8.391944790E-1,-1.295449734E-1,2.468829155E-1,-2.584924698E-1
8.592897920E-1,-9.612846375E-2,2.741014957E-1,-2.921972275E-1
8.793851040E-1,-6.417042017E-2,3.149876595E-1,-9.906768799E-3
8.994804170E-1,-6.523030996E-2,2.776792049E-1,2.359924316E-1
9.195753650E-1,-1.252152920E-1,3.178942204E-1,1.119880676E-1
9.396701560E-1,-1.954054832E-1,2.579481602E-1,-2.623262405E-1
9.597649480E-1,-2.779979110E-1,3.721122742E-1,-3.505439758E-1
9.798602610E-1,-2.974253297E-1,3.494062424E-1,-4.326181412E-1
9.999555730E-1,-2.210341096E-1,3.757383823E-1,-1.767158508E-1
1.020050886E0,-2.555022240E-1,3.202047348E-1,7.635498047E-2
1.040146198E0,-2.854570746E-1,3.473975658E-1,-1.126852036E-1
1.060241511E0,-4.928008318E-1,1.941585541E-1,-6.120462418E-1
1.080336823E0,-4.824481606E-1,1.438331604E-1,-4.617052078E-1
1.100432136E0,-2.394490838E-1,1.269650459E-2,-3.374061584E-1
