"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.211509823E1,1.189525076E2,1.428718272E1,0.000000000E0,0.000000000E0,1.008917332E1,1.572205639E1
6.509271880E-1,3.211510067E1,1.189524880E2,1.085994574E1,0.000000000E0,0.000000000E0,7.587620258E0,1.309972191E1
1.651340937E0,3.211509327E1,1.189524583E2,1.710325660E1,8.899999857E-1,1.024000015E2,4.132699490E0,6.692577839E0
2.652843437E0,3.211508189E1,1.189524472E2,1.359948894E1,1.230000019E0,1.030999985E2,3.790092468E0,4.461654186E0
3.652733124E0,3.211507646E1,1.189524431E2,1.303967822E1,9.900000095E-1,1.031999969E2,3.790092468E0,3.554725409E0
4.654581926E0,3.211507347E1,1.189524565E2,1.392555315E1,1.309999943E0,1.114000015E2,3.790092468E0,3.131836414E0
5.652817134E0,3.211506648E1,1.189524696E2,1.385317000E1,1.350000024E0,1.163000031E2,3.790092468E0,2.722592592E0
6.655586977E0,3.211506060E1,1.189524838E2,1.351186432E1,1.419999957E0,1.113000031E2,3.790092468E0,2.882424593E0
7.653066872E0,3.211505522E1,1.189524990E2,1.395333229E1,1.429999948E0,1.135000000E2,3.790092468E0,2.997026443E0
8.652539737E0,3.211505070E1,1.189525136E2,1.390823120E1,1.330000043E0,1.136999969E2,3.790092468E0,3.145915270E0
9.655086611E0,3.211504628E1,1.189525273E2,1.317892929E1,1.309999943E0,1.145999985E2,3.790092468E0,3.417946577E0
1.065473817E1,3.211504282E1,1.189525405E2,1.333329789E1,1.399999976E0,1.135000000E2,3.790092468E0,3.414271355E0
1.165269119E1,3.211503979E1,1.189525527E2,1.283258011E1,1.330000043E0,1.123000031E2,3.790092468E0,3.245638371E0
1.265329817E1,3.211503656E1,1.189525648E2,1.148353487E1,1.389999986E0,1.085000000E2,3.790092468E0,3.077661514E0
1.365676234E1,3.211503379E1,1.189525775E2,1.180410503E1,1.379999995E0,1.066999969E2,3.790092468E0,3.041717768E0
1.465525645E1,3.211503047E1,1.189525897E2,1.204325506E1,1.379999995E0,1.050000000E2,3.790092468E0,2.945089579E0
1.565202166E1,3.211502711E1,1.189526025E2,1.235118937E1,1.389999986E0,1.078000031E2,3.790092468E0,2.798110247E0
1.665492947E1,3.211502396E1,1.189526157E2,1.226526325E1,1.340000033E0,1.056999969E2,3.790092468E0,2.709295750E0
