"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.109744700E-2,-2.491117716E-1,6.217622757E-2,6.028776169E-1
4.120557200E-2,-2.688308954E-1,-2.809238434E-2,8.016166687E-1
6.129932200E-2,-3.091144562E-1,-4.110336304E-2,4.654617310E-1
8.139307200E-2,-2.361660004E-1,1.250410080E-1,-1.094131470E-1
1.014868220E-1,1.859490871E-1,1.262435913E-1,-9.778718948E-1
1.215805720E-1,4.540044069E-1,1.067428589E-1,-1.778923988E0
1.416743220E-1,9.506150484E-1,-6.523132324E-4,-1.939643860E0
1.617680720E-1,9.636734724E-1,-2.023267746E-1,-1.543794155E0
1.818618220E-1,7.300856709E-1,-2.853231430E-1,-1.293346405E0
2.019555720E-1,1.617015004E-1,-4.399955273E-1,-9.085712433E-1
2.220493220E-1,6.839090586E-2,-5.600733757E-1,-6.175622940E-1
2.421430720E-1,2.499848604E-1,-3.321180344E-1,-7.248039246E-1
2.622368220E-1,3.089111149E-1,-5.971384048E-2,-1.275766373E0
2.823305720E-1,8.443111181E-2,1.785335541E-1,-1.670550823E0
3.024243220E-1,1.119858027E-2,2.246913910E-1,-2.421097755E0
3.225180720E-1,-7.875378728E-1,5.181980133E-2,-2.141146660E0
3.426118220E-1,4.545065165E-1,4.753723145E-1,-1.848541737E0
3.627055720E-1,-1.005704641E0,8.450090885E-1,-1.777593613E0
3.827993220E-1,2.997844517E-1,2.342634201E-1,-3.766275406E0
4.028930720E-1,7.710905075E-1,1.357712746E-1,-4.491593361E0
4.229868220E-1,7.750259638E-1,2.332332134E-1,-4.657875538E0
4.430805720E-1,5.183998942E-1,-7.171758413E-1,-1.147836685E0
4.631743220E-1,-6.370077729E-1,-5.476207137E-1,-3.568487167E-1
4.832680720E-1,-1.365720749E0,6.485732794E-1,-5.012769699E-1
5.033618220E-1,3.038468957E-1,1.213865042E0,5.938701630E-1
5.234555720E-1,1.867661476E0,1.297206521E0,4.657720566E0
5.435493220E-1,9.597732425E-1,1.862428308E0,7.052765846E0
5.636430720E-1,-1.285751462E-1,2.257723331E0,5.479849815E0
5.837368220E-1,3.137036800E0,5.802489519E-1,4.015250206E0
6.038305720E-1,2.450830936E0,-3.663027287E-2,1.848431587E0
6.239243220E-1,9.242010117E-1,-2.089329958E-1,4.275588989E-1
6.440180720E-1,-2.571201324E-2,5.038952231E-1,7.603254318E-1
6.641118220E-1,-1.254624844E0,7.162847519E-1,5.112419128E-1
6.842055720E-1,-2.130258083E0,-2.441207767E-1,-8.348464966E-1
7.043003120E-1,-2.707429886E0,-1.073982477E0,-1.628264904E0
7.243940620E-1,-8.813885450E-1,9.976801276E-2,-8.612442017E-2
7.444878120E-1,-4.924238920E-1,1.100192308E0,-4.449081421E-2
7.645815620E-1,-4.695214033E-1,1.050830603E0,-8.134145737E-1
7.846753120E-1,-3.245625496E-1,-1.219744682E-1,-3.510416985E0
8.047690620E-1,3.646137714E-1,1.509267092E-1,-4.074001312E0
8.248628120E-1,6.717145443E-1,1.294217706E0,-3.977327347E0
8.449565620E-1,5.815260410E-1,9.144755602E-1,-3.931945801E0
8.650503120E-1,-6.904973984E-1,-1.024565697E0,-2.838901520E0
8.851440620E-1,6.447386742E-2,-2.775178909E0,-3.022350311E0
9.052378120E-1,4.134230614E-1,-2.615072250E0,-3.231983185E0
9.253315620E-1,1.359033585E0,-1.171118975E0,-2.928321838E0
9.454253120E-1,2.609709263E0,-3.885671496E-1,-5.864138603E-1
9.655190620E-1,2.964244366E0,-3.189701319E0,1.545543194E0
9.856128120E-1,1.241425514E0,-4.635813713E0,2.070265770E0
1.005706562E0,3.252844810E-1,-4.824960709E0,1.909719467E0
1.025800312E0,1.534314632E0,-5.045380592E0,1.282907009E0
1.045894062E0,1.875846863E0,-4.903253078E0,6.024003029E-1
1.065987812E0,2.641945839E0,-5.114507675E0,4.272174835E-2
1.086081562E0,2.834053516E0,-4.598693848E0,-7.403469086E-2
1.106175312E0,2.268645763E0,-3.963188648E0,9.382681847E-1
1.126269062E0,2.315608025E0,-2.683398008E0,5.409021378E-1
1.146362812E0,1.967315674E0,-1.568537712E0,-2.906168938E0
1.166456562E0,2.269593239E0,-1.022078514E0,-2.429814339E-1
1.186550312E0,3.445834160E0,-6.653366089E-1,3.457415104E-1
1.206644062E0,2.849245071E0,-9.490156174E-2,2.318120718E0
1.226737812E0,2.418182373E0,9.371304512E-2,2.902919769E0
1.246831562E0,1.445612907E0,5.564372540E-1,2.287559986E0
1.266925312E0,6.615896225E-1,8.687741756E-1,1.890691161E0
1.287019062E0,3.424329758E-1,1.002865791E0,1.749815226E0
1.307112812E0,5.405683517E-1,8.050367832E-1,2.274392128E0
1.327206562E0,9.098691940E-1,1.179028749E0,3.090548515E0
1.347300312E0,1.278093338E0,1.248171568E0,3.502436638E0
1.367394062E0,1.585604668E0,1.525403500E0,3.561955214E0
1.387487812E0,1.900958061E0,1.739259481E0,3.545872688E0
1.407581562E0,2.787583351E0,8.205633163E-1,2.669493675E0
1.427675312E0,5.236618996E0,-2.017347097E0,2.181947708E0
1.447769583E0,3.828868866E0,-1.636614084E0,4.387147427E0
1.467863854E0,2.395981789E0,-1.177761555E0,5.422894001E0
1.487957968E0,1.297758102E0,-2.158512354E0,4.905771255E0
1.508051718E0,2.792263031E-1,-2.230437517E0,4.835993767E0
1.528145468E0,1.325445175E-1,-1.781277180E0,4.908220768E0
1.548239218E0,1.874332428E-1,-7.824244499E-1,4.271298409E0
1.568332968E0,1.350185394E0,-3.701696396E-1,2.840085030E0
1.588426718E0,8.795957565E-1,2.795760632E-1,1.292300582E0
1.608520468E0,2.069959641E-1,7.790083885E-1,-8.147084713E-2
1.628614218E0,-9.075021744E-1,1.244807243E0,-1.099780560E0
1.648707968E0,-1.586729050E0,1.662095070E0,-1.394715548E0
1.668801718E0,-1.872061729E0,1.897279263E0,-1.360547543E0
1.688895468E0,-1.972268581E0,1.828420639E0,-9.051716328E-1
1.708989218E0,-2.070890903E0,1.476167440E0,-3.257713318E-1
1.729082968E0,-2.240092278E0,8.696770668E-1,-1.245058775E-1
1.749176718E0,-2.245875359E0,4.192874432E-1,-8.426749706E-2
