"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.422505200E-2,1.845859909E1,-4.166299820E1,-1.786079979E1
6.422505200E-2,1.828779984E1,-4.163859940E1,-1.814139938E1
8.422505200E-2,1.800720024E1,-4.156539917E1,-1.836100006E1
1.042250520E-1,1.765340042E1,-4.143119812E1,-1.887339973E1
1.242250520E-1,1.721419907E1,-4.139459991E1,-1.930039978E1
1.442250520E-1,1.683600044E1,-4.130920029E1,-1.973959923E1
1.642250520E-1,1.664080048E1,-4.118719864E1,-2.022760010E1
1.842250520E-1,1.660420036E1,-4.105299759E1,-2.053260040E1
2.042250520E-1,1.659199905E1,-4.086999893E1,-2.084980011E1
2.242250520E-1,1.653100014E1,-4.074800110E1,-2.116699982E1
2.442250520E-1,1.649440002E1,-4.065039825E1,-2.132559967E1
2.642250520E-1,1.637240028E1,-4.058939743E1,-2.158180046E1
2.842250520E-1,1.623819923E1,-4.056499863E1,-2.180139923E1
3.042250520E-1,1.617720032E1,-4.055279922E1,-2.206979942E1
3.242250520E-1,1.612839890E1,-4.060160065E1,-2.227719879E1
3.442250520E-1,1.609179878E1,-4.058939743E1,-2.250899887E1
3.642250520E-1,1.621380043E1,-4.049179840E1,-2.258219910E1
3.842250520E-1,1.637240028E1,-4.030879974E1,-2.242359924E1
4.042250520E-1,1.644560051E1,-4.013800049E1,-2.239920044E1
4.242250520E-1,1.654319954E1,-4.008919907E1,-2.213080025E1
4.442250520E-1,1.657979965E1,-4.015019989E1,-2.206979942E1
4.642250520E-1,1.657979965E1,-4.028440094E1,-2.204539871E1
4.842250520E-1,1.656760025E1,-4.033319855E1,-2.197220039E1
5.042250520E-1,1.648220062E1,-4.041859818E1,-2.199659920E1
5.242250520E-1,1.638459969E1,-4.043079758E1,-2.203319931E1
5.442250520E-1,1.631139946E1,-4.039419937E1,-2.203319931E1
5.642250520E-1,1.629920006E1,-4.036980057E1,-2.204539871E1
5.842250520E-1,1.634799957E1,-4.025999832E1,-2.216740036E1
6.042250520E-1,1.640900040E1,-4.019899750E1,-2.230159950E1
6.242250520E-1,1.642119980E1,-4.022340012E1,-2.254559898E1
6.442250520E-1,1.644560051E1,-4.030879974E1,-2.271640015E1
6.642250520E-1,1.640900040E1,-4.041859818E1,-2.275300026E1
6.842250520E-1,1.629920006E1,-4.049179840E1,-2.274079895E1
7.042250520E-1,1.625040054E1,-4.045520020E1,-2.260659981E1
7.242250520E-1,1.617720032E1,-4.035759735E1,-2.254559898E1
7.442250520E-1,1.616499901E1,-4.029660034E1,-2.259440041E1
7.642250520E-1,1.620159912E1,-4.023559952E1,-2.258219910E1
7.842250520E-1,1.626259995E1,-4.021120071E1,-2.269199944E1
8.042250520E-1,1.626259995E1,-4.030879974E1,-2.275300026E1
8.242250520E-1,1.622599983E1,-4.028440094E1,-2.285059929E1
8.442250520E-1,1.622599983E1,-4.018679810E1,-2.313119888E1
8.642250520E-1,1.617720032E1,-4.005260086E1,-2.348499870E1
8.842250520E-1,1.604299927E1,-3.969879913E1,-2.404619980E1
9.042250520E-1,1.594539928E1,-3.939379883E1,-2.457079887E1
9.242250520E-1,1.562819958E1,-3.923519897E1,-2.502219963E1
9.442250520E-1,1.537199974E1,-3.910099792E1,-2.537599945E1
9.642250520E-1,1.514019966E1,-3.923519897E1,-2.546139908E1
9.842250520E-1,1.483519936E1,-3.934499741E1,-2.559560013E1
1.004225052E0,1.459119987E1,-3.946699905E1,-2.551019859E1
1.024225052E0,1.434719944E1,-3.964999771E1,-2.541259956E1
1.044225052E0,1.412759972E1,-3.963779831E1,-2.529059982E1
1.064225052E0,1.399339962E1,-3.978419876E1,-2.505879974E1
1.084225052E0,1.401779938E1,-3.982080078E1,-2.501000023E1
1.104225052E0,1.401779938E1,-3.975979996E1,-2.491239929E1
1.124225052E0,1.402999973E1,-3.983300018E1,-2.499779892E1
1.144225052E0,1.418859959E1,-3.979639816E1,-2.508320045E1
1.164225052E0,1.422519970E1,-3.979639816E1,-2.510759926E1
1.184225052E0,1.427400017E1,-3.988179779E1,-2.501000023E1
1.204225052E0,1.445699978E1,-3.986959839E1,-2.491239929E1
1.224225052E0,1.440819931E1,-3.988179779E1,-2.472939873E1
1.244225052E0,1.444479942E1,-3.994279861E1,-2.458300018E1
1.264225052E0,1.429839993E1,-3.996719742E1,-2.455859947E1
1.284225052E0,1.409099960E1,-4.002819824E1,-2.447319984E1
1.304225052E0,1.395679951E1,-4.008919907E1,-2.442440033E1
1.324225052E0,1.383479977E1,-4.017459869E1,-2.442440033E1
1.344225052E0,1.376159954E1,-4.025999832E1,-2.436339951E1
1.364225052E0,1.367619991E1,-4.035759735E1,-2.439999962E1
1.384225052E0,1.367619991E1,-4.040639877E1,-2.452199936E1
1.404225052E0,1.366399956E1,-4.029660034E1,-2.455859947E1
1.424225052E0,1.383479977E1,-4.002819824E1,-2.487579918E1
1.444225052E0,1.396899986E1,-3.969879913E1,-2.525399971E1
1.464225052E0,1.418859959E1,-3.918639755E1,-2.587619972E1
1.484225052E0,1.434719944E1,-3.866180038E1,-2.664480019E1
1.504225052E0,1.439599991E1,-3.814939880E1,-2.758419991E1
1.524225052E0,1.420079994E1,-3.742959976E1,-2.873099899E1
1.544225052E0,1.357859993E1,-3.663660049E1,-2.984119987E1
