"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,6.032899857E0,-4.914127827E0,4.275393009E0
2.197656200E-2,7.001545906E0,-6.197257042E0,4.457486153E0
4.197656200E-2,6.515446186E0,-6.404508591E0,5.109398842E0
6.197812500E-2,4.740375519E0,-5.092103004E0,5.156794548E0
8.398593700E-2,4.380622864E0,-5.619622707E0,4.290955544E0
1.059765620E-1,4.222040653E0,-5.514593124E0,4.283782005E0
1.259765620E-1,4.075304508E0,-5.144143581E0,4.368058205E0
1.459765620E-1,5.643985748E0,-4.974327564E0,1.864565969E0
1.659765620E-1,6.119407177E0,-6.433392525E0,6.429628849E0
1.859765620E-1,5.652671814E0,-6.901219368E0,5.827802658E0
2.059781250E-1,5.522188187E0,-7.427800179E0,5.469936848E0
2.279765620E-1,6.663140297E0,-7.758831978E0,5.389970779E0
2.479765620E-1,6.975947380E0,-8.184482574E0,5.772678852E0
2.679765620E-1,6.381409645E0,-6.994181633E0,7.116716862E0
2.879765620E-1,8.697713852E0,-8.162379265E0,8.372236252E0
3.079765620E-1,1.154372978E1,-9.500909805E0,9.037411690E0
3.299765620E-1,1.173385811E1,-9.339867592E0,9.715670586E0
3.499765620E-1,1.002115154E1,-7.645902157E0,1.013019371E1
3.699765620E-1,9.441629410E0,-7.131934166E0,9.953088760E0
3.919765620E-1,8.159400940E0,-6.819864273E0,1.069532013E1
4.139765620E-1,6.290621281E0,-6.284109116E0,1.096261787E1
4.339812500E-1,4.885483265E0,-6.421986103E0,1.007509804E1
4.559765620E-1,2.724745035E0,-4.052387238E0,8.548707962E0
4.759765620E-1,2.696101189E0,-4.325441360E0,8.161871910E0
4.959765620E-1,5.108460426E0,-7.807032108E0,9.340470314E0
5.159765620E-1,8.504615784E0,-1.281624794E1,1.153986073E1
5.359765620E-1,6.662632465E0,-1.086260796E1,1.201933289E1
5.559781250E-1,5.833597183E0,-1.212230301E1,1.146111012E1
5.779765620E-1,5.040647030E0,-1.041755486E1,1.037191105E1
5.979796870E-1,5.587511063E0,-1.027348137E1,9.645462990E0
6.199781250E-1,6.133187771E0,-1.021120358E1,8.553304672E0
6.419765620E-1,6.878876686E0,-1.057380962E1,7.029261112E0
6.619765620E-1,6.881175518E0,-1.048741722E1,4.791142464E0
6.819765620E-1,6.097466946E0,-9.637485504E0,3.515415907E0
7.019765620E-1,5.831384659E0,-8.908728600E0,1.928931594E0
7.219765620E-1,5.508224964E0,-7.988043308E0,2.126089334E0
7.419765620E-1,5.270279884E0,-7.688499928E0,3.535268545E0
7.619765620E-1,4.643630981E0,-7.609567642E0,4.235304832E0
7.819765620E-1,3.959798813E0,-6.466518402E0,3.564439774E0
8.019765620E-1,4.247467518E0,-6.746553898E0,2.071674109E0
8.219765620E-1,3.748821735E0,-6.170882225E0,1.516152263E0
8.419765620E-1,3.792482376E0,-6.241454124E0,1.120802522E0
8.619765620E-1,3.906915665E0,-6.153835773E0,1.522156835E0
8.819765620E-1,4.213919640E0,-6.702309132E0,1.684062362E0
9.019765620E-1,4.220795631E0,-6.531094551E0,1.994705200E0
9.219765620E-1,4.963898659E0,-6.638479710E0,2.396299124E0
9.419765620E-1,5.562544346E0,-6.833539963E0,3.024279118E0
9.619765620E-1,6.517035961E0,-8.493478775E0,2.305424690E0
9.819765620E-1,5.736621857E0,-8.098483086E0,1.605906010E0
1.001976562E0,4.925581455E0,-7.362505436E0,1.780874252E0
1.021976562E0,4.402649403E0,-6.679928303E0,2.292610884E0
1.041976562E0,4.847817898E0,-7.700968742E0,2.627473593E0
1.061976562E0,6.425683022E0,-1.023510647E1,2.841074705E0
1.081976562E0,8.479620934E0,-1.237119389E1,2.487096786E0
1.101976562E0,9.018890381E0,-1.248924828E1,1.779590964E0
1.121976562E0,8.948970795E0,-1.219669533E1,1.301564693E0
1.141976562E0,8.301444054E0,-1.176000309E1,1.124068141E0
1.163976562E0,7.151968956E0,-1.075876617E1,2.031547070E0
1.183976562E0,6.393025875E0,-9.443488121E0,3.071732044E0
1.203976562E0,6.164092541E0,-8.368299484E0,3.241050005E0
