"Time (s)","Pressure (hPa)"
1.084615630E-1,1.016555176E3
1.884600000E-1,1.016547363E3
2.684600000E-1,1.016547852E3
3.484584380E-1,1.016543945E3
4.284600000E-1,1.016533691E3
5.084600000E-1,1.016529785E3
5.884631250E-1,1.016528320E3
6.684600000E-1,1.016549316E3
7.484600000E-1,1.016546387E3
8.284600000E-1,1.016551270E3
9.084600000E-1,1.016556641E3
9.884615630E-1,1.016565918E3
1.068460000E0,1.016570312E3
1.148460000E0,1.016563477E3
1.228460000E0,1.016555176E3
1.308460000E0,1.016546387E3
1.388466250E0,1.016557617E3
1.468460000E0,1.016573242E3
1.548460000E0,1.016588867E3
1.628460000E0,1.016593262E3
1.708460000E0,1.016598145E3
1.788460000E0,1.016587402E3
1.868458438E0,1.016573242E3
1.948460000E0,1.016567383E3
2.028460000E0,1.016568359E3
2.108460000E0,1.016563477E3
2.188460000E0,1.016568848E3
2.268460000E0,1.016562988E3
2.348458438E0,1.016566895E3
2.428460000E0,1.016559570E3
2.508460000E0,1.016577148E3
2.588458438E0,1.016575684E3
2.668458438E0,1.016583008E3
2.748460000E0,1.016586914E3
2.828460000E0,1.016586426E3
2.908458438E0,1.016600098E3
2.988458438E0,1.016589844E3
3.068458438E0,1.016575195E3
3.148460000E0,1.016566406E3
3.228460000E0,1.016579590E3
3.308458438E0,1.016585938E3
3.388460000E0,1.016594727E3
3.468460000E0,1.016588379E3
3.548460000E0,1.016588867E3
3.628460000E0,1.016576660E3
3.708458438E0,1.016592773E3
3.788460000E0,1.016595215E3
3.868460000E0,1.016588379E3
3.948460000E0,1.016605957E3
4.028460000E0,1.016604492E3
4.108460000E0,1.016604492E3
4.188460000E0,1.016593262E3
4.268458438E0,1.016588867E3
4.348460000E0,1.016592773E3
4.428460000E0,1.016604492E3
4.508460000E0,1.016595215E3
4.588460000E0,1.016605957E3
4.668458438E0,1.016587891E3
4.748460000E0,1.016591309E3
4.828460000E0,1.016594238E3
4.908460000E0,1.016594238E3
4.988458438E0,1.016606445E3
5.068458438E0,1.016605957E3
5.148460000E0,1.016596680E3
5.228460000E0,1.016588379E3
5.308460000E0,1.016582520E3
5.388460000E0,1.016566406E3
5.468460000E0,1.016579102E3
5.548460000E0,1.016585449E3
5.628460000E0,1.016587402E3
5.708458438E0,1.016594238E3
5.788460000E0,1.016604004E3
5.868458438E0,1.016597168E3
5.948460000E0,1.016589844E3
6.028460000E0,1.016581055E3
6.108460000E0,1.016584961E3
6.188460000E0,1.016577637E3
6.268460000E0,1.016575684E3
6.348460000E0,1.016586914E3
6.428458438E0,1.016592285E3
6.508460000E0,1.016592285E3
6.588460000E0,1.016593262E3
6.668458438E0,1.016595703E3
6.748460000E0,1.016599609E3
6.828460000E0,1.016599121E3
6.908460000E0,1.016604980E3
6.988458438E0,1.016598633E3
7.068458438E0,1.016594727E3
7.148460000E0,1.016581055E3
7.228460000E0,1.016585449E3
7.308460000E0,1.016582520E3
7.388460000E0,1.016594238E3
7.468460000E0,1.016615723E3
7.548460000E0,1.016610840E3
7.628460000E0,1.016590820E3
7.708458438E0,1.016596680E3
7.788460000E0,1.016602051E3
7.868460000E0,1.016604004E3
7.948458438E0,1.016604004E3
8.028458438E0,1.016610840E3
8.108460000E0,1.016598633E3
8.188460000E0,1.016598633E3
8.268460000E0,1.016609863E3
8.348460000E0,1.016623047E3
8.428460000E0,1.016597168E3
8.508460000E0,1.016599121E3
8.588458438E0,1.016598145E3
8.668458438E0,1.016609863E3
8.748460000E0,1.016611816E3
8.828460000E0,1.016608887E3
8.908460000E0,1.016604980E3
8.988458438E0,1.016605469E3
9.068458438E0,1.016608887E3
9.148460000E0,1.016609863E3
9.228460000E0,1.016594727E3
9.308458438E0,1.016588379E3
9.388460000E0,1.016601562E3
9.468460000E0,1.016609375E3
9.548460000E0,1.016607910E3
9.628460000E0,1.016605957E3
9.708458438E0,1.016607422E3
9.788458438E0,1.016607910E3
9.868460000E0,1.016612793E3
9.948458438E0,1.016612793E3
1.002846000E1,1.016615723E3
1.010846000E1,1.016604980E3
1.018846000E1,1.016595703E3
1.026846000E1,1.016601074E3
1.034846000E1,1.016603027E3
1.042845844E1,1.016594238E3
1.050846000E1,1.016592285E3
1.058846000E1,1.016585938E3
1.066845844E1,1.016591797E3
1.074846000E1,1.016586914E3
1.082846000E1,1.016596191E3
1.090846000E1,1.016594238E3
1.098845844E1,1.016597656E3
1.106845844E1,1.016575684E3
1.114846000E1,1.016564453E3
1.122846000E1,1.016565430E3
1.130845844E1,1.016558594E3
1.138846000E1,1.016562988E3
1.146846000E1,1.016548828E3
1.154846000E1,1.016541504E3
1.162846000E1,1.016545410E3
1.170845844E1,1.016530273E3
1.178845844E1,1.016540039E3
1.186846000E1,1.016562988E3
1.194845844E1,1.016587891E3
1.202845844E1,1.016583008E3
1.210846000E1,1.016594727E3
1.218846000E1,1.016590820E3
1.226846000E1,1.016584473E3
1.234846000E1,1.016566406E3
1.242845844E1,1.016562988E3
1.250846000E1,1.016564453E3
1.258845844E1,1.016570312E3
1.266845844E1,1.016571777E3
1.274846000E1,1.016571289E3
1.282846000E1,1.016566895E3
1.290846000E1,1.016571777E3
1.298845844E1,1.016562988E3
1.306845844E1,1.016555664E3
1.314846000E1,1.016551270E3
1.322846000E1,1.016547852E3
1.330845844E1,1.016530273E3
1.338845844E1,1.016524902E3
1.346846000E1,1.016524902E3
1.354846000E1,1.016526855E3
1.362846000E1,1.016531250E3
1.370845844E1,1.016530273E3
1.378845844E1,1.016530762E3
1.386846000E1,1.016531738E3
1.394846000E1,1.016549316E3
1.402846000E1,1.016558594E3
1.410846000E1,1.016560547E3
1.418846000E1,1.016554688E3
1.426846000E1,1.016548340E3
1.434846000E1,1.016547363E3
1.442845844E1,1.016531738E3
1.450846000E1,1.016532715E3
1.458846000E1,1.016545898E3
1.466846000E1,1.016535156E3
1.474846000E1,1.016528809E3
1.482846000E1,1.016519531E3
1.490846000E1,1.016532715E3
1.498845844E1,1.016544922E3
1.506845844E1,1.016570801E3
1.514845844E1,1.016585938E3
1.522845844E1,1.016597168E3
1.530845844E1,1.016606445E3
1.538845844E1,1.016600098E3
1.546846000E1,1.016597656E3
1.554846000E1,1.016571777E3
1.562846000E1,1.016565430E3
1.570846000E1,1.016557617E3
1.578845844E1,1.016569824E3
1.586846000E1,1.016570312E3
1.594846000E1,1.016584961E3
1.602846000E1,1.016581543E3
1.610846000E1,1.016604004E3
1.618846000E1,1.016584961E3
1.626846000E1,1.016594727E3
1.634845844E1,1.016595215E3
1.642846000E1,1.016584473E3
1.650846000E1,1.016595703E3
1.658845844E1,1.016590820E3
1.666845844E1,1.016585938E3
1.674846000E1,1.016592773E3
1.682846000E1,1.016592773E3
1.690846000E1,1.016595215E3
1.698845844E1,1.016596191E3
1.706846000E1,1.016591797E3
1.714846000E1,1.016587891E3
1.722846000E1,1.016581055E3
1.730846000E1,1.016591309E3
1.738845844E1,1.016593750E3
1.746846000E1,1.016595215E3
1.754846000E1,1.016596680E3
1.762846000E1,1.016589844E3
1.770846000E1,1.016583496E3
1.778845844E1,1.016581055E3
1.786846000E1,1.016596191E3
1.794845844E1,1.016591797E3
1.802846000E1,1.016604004E3
1.810846000E1,1.016589355E3
1.818846000E1,1.016587402E3
1.826846000E1,1.016592285E3
1.834846000E1,1.016590332E3
1.842845844E1,1.016577148E3
1.850846000E1,1.016576660E3
1.858846000E1,1.016585938E3
1.866846000E1,1.016605469E3
1.874846000E1,1.016609863E3
1.882846000E1,1.016613770E3
1.890846000E1,1.016606934E3
1.898846000E1,1.016594727E3
1.906845844E1,1.016591309E3
1.914845844E1,1.016586426E3
1.922845844E1,1.016584961E3
1.930846000E1,1.016587891E3
1.938845844E1,1.016583008E3
1.946845844E1,1.016585938E3
1.954845844E1,1.016602051E3
1.962845844E1,1.016613770E3
1.970845844E1,1.016626465E3
1.978845844E1,1.016627441E3
1.986845844E1,1.016626953E3
1.994845844E1,1.016632324E3
2.002845844E1,1.016621582E3
2.010845844E1,1.016621094E3
2.018845844E1,1.016624512E3
2.026845844E1,1.016647461E3
2.034845844E1,1.016661133E3
2.042845844E1,1.016675781E3
2.050845844E1,1.016670898E3
2.058845844E1,1.016687988E3
2.066845844E1,1.016709473E3
2.074845844E1,1.016704102E3
2.082845844E1,1.016695801E3
2.090845844E1,1.016682129E3
2.098845844E1,1.016686035E3
2.106845844E1,1.016706543E3
2.114845844E1,1.016714355E3
2.122845844E1,1.016721680E3
2.130845844E1,1.016725098E3
2.138845844E1,1.016723145E3
