"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.735608101E-2,3.211828401E1,1.189505553E2,1.722856331E1,-1.000000000E0,-1.000000000E0,2.006364214E2,2.006364214E2
4.330770969E-1,3.211777949E1,1.189505845E2,1.825410724E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.645280004E0,3.211779580E1,1.189506543E2,1.840704346E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
4.532830250E0,3.211779580E1,1.189506543E2,1.840704346E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
4.935233247E0,3.211773279E1,1.189504941E2,1.836470628E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.137939227E0,3.211772008E1,1.189504597E2,1.834825349E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.254787220E1,3.211757293E1,1.189503629E2,1.805163097E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.483685637E1,3.211766435E1,1.189503034E2,1.780152988E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.483990539E1,3.211771230E1,1.189503025E2,1.767874098E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.483990539E1,3.211773044E1,1.189503137E2,1.762479544E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.602191008E1,3.211776591E1,1.189503252E2,1.686622011E1,8.378366232E-1,2.045752037E2,2.483679265E1,2.483679265E1
1.702189101E1,3.211776591E1,1.189503252E2,1.686622012E1,8.378366232E-1,-1.000000000E0,2.483679265E1,2.483679265E1
1.802187324E1,3.211771799E1,1.189503389E2,1.687127995E1,8.378366232E-1,1.819132499E2,2.257189166E1,2.257189166E1
1.902185453E1,3.211769901E1,1.189503635E2,1.687251494E1,1.247500062E0,1.410411999E2,1.993250126E1,1.993250126E1
2.002183593E1,3.211767136E1,1.189503653E2,1.691537656E1,1.392442703E0,1.412632355E2,1.882642567E1,1.882642567E1
2.102234508E1,3.211769057E1,1.189504471E2,1.701280433E1,1.307663679E0,1.457098387E2,1.672224718E1,1.672224718E1
2.202232612E1,3.211767672E1,1.189505204E2,1.729441145E1,1.307663679E0,1.687038857E2,1.513449883E1,1.513449883E1
2.302172984E1,3.211767118E1,1.189505036E2,1.742611005E1,1.141116261E0,1.924731592E2,1.493095491E1,1.493095491E1
2.402171112E1,3.211765062E1,1.189504873E2,1.740741426E1,1.103383183E0,2.022242091E2,1.442865351E1,1.442865351E1
2.526612342E1,3.211764069E1,1.189504632E2,1.735087476E1,1.141116261E0,2.176197146E2,1.363968222E1,1.363968222E1
2.626614083E1,3.211763652E1,1.189504678E2,1.730993017E1,1.403622985E0,2.226202195E2,1.214672508E1,1.214672508E1
2.726596106E1,3.211762433E1,1.189504926E2,1.728040059E1,1.403622985E0,2.102089723E2,1.094479676E1,1.094479676E1
2.826627434E1,3.211762112E1,1.189505005E2,1.721367782E1,1.370750308E0,2.115245780E2,1.072582201E1,1.072582201E1
2.926677109E1,3.211761056E1,1.189505091E2,1.715948829E1,1.313655496E0,2.055660626E2,1.071278092E1,1.071278092E1
3.021715868E1,3.211765816E1,1.189508155E2,1.720976869E1,7.758712173E-1,1.820861502E2,3.012160545E1,3.012160545E1
3.116681982E1,3.211761147E1,1.189508200E2,1.755334430E1,1.283103704E0,1.896221375E2,2.147858051E1,2.147858051E1
