"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.281666667E-2,-4.246307373E0,-3.463667297E1,-2.491238403E1
5.281766667E-2,-4.039291382E0,-3.475855255E1,-2.471075439E1
7.281866667E-2,-3.883178711E0,-3.470160675E1,-2.496084595E1
9.281966666E-2,-4.071624756E0,-3.451613617E1,-2.498748779E1
1.128196667E-1,-4.260406494E0,-3.465813446E1,-2.537564087E1
1.328206667E-1,-4.286468506E0,-3.447635651E1,-2.531890869E1
1.528261250E-1,-4.343612671E0,-3.481494141E1,-2.550585938E1
1.728271250E-1,-4.570190430E0,-3.509463501E1,-2.511248779E1
1.928281250E-1,-5.237350464E0,-3.540440369E1,-2.504870605E1
2.128291250E-1,-5.914871216E0,-3.521633148E1,-2.484609985E1
2.328301250E-1,-6.399963379E0,-3.505477142E1,-2.515686035E1
2.528311250E-1,-7.131454468E0,-3.511237335E1,-2.528280640E1
2.728321250E-1,-7.828567505E0,-3.477938843E1,-2.555715942E1
2.928331250E-1,-8.249618530E0,-3.482807922E1,-2.578265381E1
3.128341250E-1,-8.947799683E0,-3.479786682E1,-2.572015381E1
3.328351250E-1,-9.369888306E0,-3.452095032E1,-2.605752563E1
3.528361250E-1,-9.883621216E0,-3.464057922E1,-2.593753052E1
3.728371250E-1,-1.055979919E1,-3.458172607E1,-2.618804932E1
3.928381250E-1,-1.101902771E1,-3.434961700E1,-2.646652222E1
4.128391250E-1,-1.159999084E1,-3.450432587E1,-2.657073975E1
4.328401250E-1,-1.196931458E1,-3.450586700E1,-2.645233154E1
4.528401250E-1,-1.238165283E1,-3.453791809E1,-2.667010498E1
4.728411250E-1,-1.286497498E1,-3.453619385E1,-2.712652588E1
4.928421250E-1,-1.336639404E1,-3.441946411E1,-2.674081421E1
5.128431250E-1,-1.393762207E1,-3.438965607E1,-2.678912354E1
5.328441250E-1,-1.448568726E1,-3.463771820E1,-2.649829102E1
5.528451250E-1,-1.462416077E1,-3.470442200E1,-2.593634033E1
5.728461250E-1,-1.506179810E1,-3.510344696E1,-2.645321655E1
5.928471250E-1,-1.576586914E1,-3.523429108E1,-2.655941772E1
6.128481250E-1,-1.621820068E1,-3.513580322E1,-2.717782593E1
6.328491250E-1,-1.665190125E1,-3.479298401E1,-2.676098633E1
6.528501250E-1,-1.662416077E1,-3.501831055E1,-2.633834839E1
6.728511250E-1,-1.697486877E1,-3.513567352E1,-2.657449341E1
6.928521250E-1,-1.709045410E1,-3.491705322E1,-2.663351440E1
7.128531250E-1,-1.747380066E1,-3.479084015E1,-2.675482178E1
7.328541250E-1,-1.725238037E1,-3.457467651E1,-2.778915405E1
7.528551250E-1,-1.696096802E1,-3.415953064E1,-2.758923340E1
7.728561250E-1,-1.685285950E1,-3.465350342E1,-2.706082153E1
7.928561250E-1,-1.657872009E1,-3.505287170E1,-2.696118164E1
8.128571250E-1,-1.605609131E1,-3.520533752E1,-2.686682129E1
8.328581250E-1,-1.585560608E1,-3.559570312E1,-2.647323608E1
8.528591250E-1,-1.545538330E1,-3.561077118E1,-2.679437256E1
8.728601250E-1,-1.483634949E1,-3.538596344E1,-2.677062988E1
8.928611250E-1,-1.435525513E1,-3.536883545E1,-2.747055054E1
9.128621250E-1,-1.374971008E1,-3.561272430E1,-2.747830200E1
9.328631250E-1,-1.330104065E1,-3.593081665E1,-2.669686890E1
9.528641250E-1,-1.248918152E1,-3.607744598E1,-2.676062012E1
9.728651250E-1,-1.161756897E1,-3.607382202E1,-2.723348999E1
9.928661250E-1,-1.112512207E1,-3.614187622E1,-2.727267456E1
1.012867125E0,-1.074308777E1,-3.609064484E1,-2.792425537E1
1.032868125E0,-1.058470154E1,-3.591699219E1,-2.828280640E1
1.052869125E0,-1.018646240E1,-3.586402893E1,-2.852575684E1
1.072869125E0,-9.906051636E0,-3.596618652E1,-2.837701416E1
1.092870125E0,-9.516647339E0,-3.627997589E1,-2.867312622E1
1.112871125E0,-9.167297363E0,-3.638162231E1,-2.862838745E1
1.132872125E0,-8.797210693E0,-3.626278687E1,-2.833648682E1
1.152870417E0,-8.291412354E0,-3.681511688E1,-2.856170654E1
1.172871417E0,-8.098739624E0,-3.668089294E1,-2.870529175E1
1.192872417E0,-7.731277466E0,-3.691787720E1,-2.832574463E1
1.212873417E0,-7.434814453E0,-3.728859711E1,-2.820416260E1
1.232874417E0,-7.153930664E0,-3.748409271E1,-2.756625366E1
1.252875417E0,-7.261108398E0,-3.755355072E1,-2.733224487E1
1.272876417E0,-7.246841431E0,-3.768972015E1,-2.748645020E1
1.292877417E0,-7.414016724E0,-3.765397644E1,-2.699746704E1
1.312878417E0,-8.040084839E0,-3.772333527E1,-2.695907593E1
1.332879417E0,-8.547317505E0,-3.760248566E1,-2.670391846E1
1.352880417E0,-9.378112793E0,-3.732296753E1,-2.661779785E1
1.372881417E0,-1.003752136E1,-3.699037170E1,-2.686355591E1
1.392881417E0,-1.128213501E1,-3.635224152E1,-2.698416138E1
1.412882417E0,-1.180471802E1,-3.609793091E1,-2.720736694E1
1.432883417E0,-1.232882690E1,-3.605718231E1,-2.719406128E1
1.452884417E0,-1.330897522E1,-3.571508026E1,-2.703268433E1
1.472885417E0,-1.368165588E1,-3.528470612E1,-2.643179321E1
1.492886417E0,-1.429695129E1,-3.531449890E1,-2.636352539E1
1.512887417E0,-1.503556824E1,-3.494343567E1,-2.668521118E1
1.532888417E0,-1.584588623E1,-3.454869080E1,-2.628631592E1
1.552889417E0,-1.642695618E1,-3.433459473E1,-2.678192139E1
1.572890417E0,-1.740615845E1,-3.416259766E1,-2.679711914E1
1.592891417E0,-1.746343994E1,-3.400666046E1,-2.646487427E1
1.612892417E0,-1.775285339E1,-3.358955383E1,-2.647183228E1
1.632893417E0,-1.803965759E1,-3.355991364E1,-2.627853394E1
1.652894417E0,-1.855897522E1,-3.314903259E1,-2.634246826E1
1.672895417E0,-1.874858093E1,-3.321092987E1,-2.605847168E1
1.692895417E0,-1.903257751E1,-3.294734192E1,-2.607785034E1
1.712896417E0,-1.927513123E1,-3.243057251E1,-2.634118652E1
1.732897417E0,-1.974604797E1,-3.182646751E1,-2.656539917E1
1.752898417E0,-1.969781494E1,-3.202621460E1,-2.666030884E1
1.772899417E0,-1.956469727E1,-3.185963631E1,-2.635339355E1
1.792900417E0,-1.931213379E1,-3.180249214E1,-2.592718506E1
1.812901417E0,-1.943627930E1,-3.177353477E1,-2.584683228E1
1.832902417E0,-1.912117004E1,-3.125499916E1,-2.593188477E1
1.852903417E0,-1.926136780E1,-3.124889183E1,-2.549676514E1
1.872904417E0,-1.893034363E1,-3.138686943E1,-2.508276367E1
1.892905417E0,-1.894720459E1,-3.128491783E1,-2.530343628E1
1.912906417E0,-1.857046509E1,-3.127035332E1,-2.476916504E1
1.932907417E0,-1.820300293E1,-3.124627876E1,-2.498281860E1
1.952908417E0,-1.779747009E1,-3.110285378E1,-2.529092407E1
1.972909417E0,-1.731929016E1,-3.115328979E1,-2.501068115E1
1.992909417E0,-1.675213623E1,-3.107994270E1,-2.510983276E1
2.012910417E0,-1.618019104E1,-3.123037338E1,-2.448126221E1
2.032911417E0,-1.534736633E1,-3.176346016E1,-2.476922607E1
2.052912417E0,-1.435699463E1,-3.194766808E1,-2.395034790E1
2.072913417E0,-1.354177856E1,-3.232323456E1,-2.405413818E1
2.092914417E0,-1.256004333E1,-3.213984680E1,-2.383843994E1
2.112915417E0,-1.198733521E1,-3.206115723E1,-2.393597412E1
2.132916417E0,-1.113554382E1,-3.217664337E1,-2.375024414E1
2.152916375E0,-1.065161133E1,-3.210527802E1,-2.362765503E1
2.172917375E0,-1.026506042E1,-3.211337280E1,-2.343869019E1
2.192918375E0,-9.956253052E0,-3.195298195E1,-2.324353027E1
2.212919375E0,-9.544082642E0,-3.178064919E1,-2.336474609E1
2.232920375E0,-9.174011230E0,-3.166752815E1,-2.285647583E1
2.252920375E0,-8.544662476E0,-3.161117363E1,-2.329263306E1
2.272921375E0,-8.172378540E0,-3.153447533E1,-2.335269165E1
2.292922375E0,-7.649414062E0,-3.135402489E1,-2.366586304E1
2.312923375E0,-7.207321167E0,-3.106826782E1,-2.376412964E1
2.332924375E0,-6.786987305E0,-3.111882401E1,-2.328372192E1
2.352925375E0,-6.257812500E0,-3.062081528E1,-2.314059448E1
2.372926375E0,-6.009902954E0,-3.081318283E1,-2.284664917E1
2.392927375E0,-5.971343994E0,-3.057445145E1,-2.270849609E1
2.412928375E0,-5.953079224E0,-3.043365097E1,-2.295562744E1
2.432929375E0,-6.260131836E0,-3.017828560E1,-2.272326660E1
2.452930375E0,-6.322860718E0,-2.965078163E1,-2.245297241E1
2.472931375E0,-6.753402710E0,-2.964460182E1,-2.264382935E1
2.492932375E0,-7.523178101E0,-2.921361351E1,-2.267144775E1
2.512933375E0,-7.979553223E0,-2.917460632E1,-2.291424561E1
2.532934375E0,-8.447937012E0,-2.899600983E1,-2.305099487E1
2.552935375E0,-8.762115479E0,-2.859397125E1,-2.299911499E1
2.572935375E0,-9.412750244E0,-2.827096748E1,-2.303054810E1
2.592936375E0,-9.973373413E0,-2.834317017E1,-2.260989380E1
2.612937375E0,-1.055995178E1,-2.831063652E1,-2.218218994E1
2.632938375E0,-1.116369629E1,-2.814463615E1,-2.140356445E1
2.652939375E0,-1.223997498E1,-2.818130493E1,-2.111383057E1
2.672940375E0,-1.234222412E1,-2.808071899E1,-2.073587036E1
2.692941375E0,-1.321965027E1,-2.798546028E1,-2.135476685E1
2.712942375E0,-1.342868042E1,-2.777920532E1,-2.068255615E1
2.732943375E0,-1.377268982E1,-2.767018700E1,-2.087469482E1
2.752944375E0,-1.431094360E1,-2.798842239E1,-2.037139893E1
2.772945375E0,-1.447488403E1,-2.790818024E1,-1.989230347E1
2.792946375E0,-1.470433044E1,-2.800069809E1,-1.975546265E1
2.812947375E0,-1.477343750E1,-2.796731377E1,-1.927426147E1
2.832948375E0,-1.434710693E1,-2.804577446E1,-2.006964111E1
2.852948375E0,-1.433464050E1,-2.797434998E1,-1.983309937E1
2.872949375E0,-1.434062195E1,-2.804203987E1,-2.018527222E1
2.892950375E0,-1.405041504E1,-2.826812363E1,-1.992941284E1
2.912951375E0,-1.400358582E1,-2.850167465E1,-1.990753174E1
2.932952375E0,-1.347999573E1,-2.855123329E1,-1.971060181E1
2.952953375E0,-1.338441467E1,-2.873691368E1,-1.913702393E1
2.972954375E0,-1.351892090E1,-2.873331642E1,-1.939086914E1
2.992955375E0,-1.276641846E1,-2.940797424E1,-1.943072510E1
3.012956375E0,-1.269282532E1,-2.979940987E1,-1.827865601E1
3.032957375E0,-1.211123657E1,-2.966889191E1,-1.848950195E1
3.052958375E0,-1.194357300E1,-3.002850533E1,-1.817007446E1
3.072959375E0,-1.140753174E1,-3.022963524E1,-1.798373413E1
3.092960375E0,-1.079765320E1,-3.047060776E1,-1.812777710E1
3.112961375E0,-1.030513000E1,-3.063851357E1,-1.779440308E1
3.132962375E0,-1.002320862E1,-3.108976936E1,-1.776513672E1
3.152967250E0,-9.742813110E0,-3.137484550E1,-1.725903320E1
3.172967250E0,-9.331344604E0,-3.153590202E1,-1.709130859E1
3.192968250E0,-8.686508179E0,-3.168178749E1,-1.697827148E1
3.212969250E0,-8.043991089E0,-3.189647484E1,-1.669979858E1
3.232970250E0,-7.622665405E0,-3.184628487E1,-1.678713989E1
3.252971250E0,-7.151397705E0,-3.207978058E1,-1.719824219E1
3.272972250E0,-6.987228394E0,-3.206337738E1,-1.725912476E1
3.292973250E0,-6.780807495E0,-3.209796906E1,-1.743673706E1
3.312974250E0,-6.494979858E0,-3.234331512E1,-1.714431763E1
3.332975250E0,-6.283828735E0,-3.266477966E1,-1.685968018E1
3.352976250E0,-6.357681274E0,-3.279602051E1,-1.676559448E1
3.372977250E0,-6.532928467E0,-3.311251068E1,-1.706570435E1
3.392978250E0,-6.413070679E0,-3.284778595E1,-1.717706299E1
3.412979250E0,-6.682220459E0,-3.280088806E1,-1.734310913E1
3.432980250E0,-7.046478271E0,-3.268301392E1,-1.695889282E1
3.452980250E0,-7.091201782E0,-3.286683655E1,-1.725167847E1
3.472981250E0,-7.579223633E0,-3.276039886E1,-1.730963135E1
3.492982250E0,-7.948791504E0,-3.252043152E1,-1.731701660E1
3.512983250E0,-8.478469849E0,-3.257539368E1,-1.747769165E1
3.532984250E0,-9.125915527E0,-3.240438843E1,-1.793246460E1
3.552985250E0,-9.550201416E0,-3.211390686E1,-1.753558350E1
3.572986250E0,-1.009349060E1,-3.208583069E1,-1.746707153E1
3.592987250E0,-1.115423584E1,-3.163707924E1,-1.781530762E1
3.612988250E0,-1.169314575E1,-3.141641045E1,-1.805697632E1
3.632989250E0,-1.275259399E1,-3.128513145E1,-1.831301880E1
3.652990250E0,-1.342793274E1,-3.069798470E1,-1.841308594E1
3.672991250E0,-1.431747437E1,-3.016927528E1,-1.891778564E1
3.692992250E0,-1.503317261E1,-3.013378334E1,-1.921807861E1
3.712993250E0,-1.551171875E1,-2.975267220E1,-1.905688477E1
3.732994250E0,-1.624005127E1,-2.955254364E1,-1.885751343E1
3.752994250E0,-1.706379700E1,-2.903731346E1,-1.913168335E1
3.772995250E0,-1.785824585E1,-2.863084602E1,-1.907080078E1
3.792996250E0,-1.825538635E1,-2.867776489E1,-1.916299438E1
3.812997250E0,-1.872750854E1,-2.835021400E1,-1.906265259E1
3.832998250E0,-1.917324829E1,-2.823073959E1,-1.908969116E1
3.852999250E0,-1.939085388E1,-2.816257858E1,-1.929656982E1
3.873000250E0,-1.963682556E1,-2.807587433E1,-1.904779053E1
3.893001250E0,-2.004425049E1,-2.796726227E1,-1.867633057E1
3.913002250E0,-1.996696472E1,-2.787987328E1,-1.883197021E1
3.933003250E0,-2.026812744E1,-2.771377754E1,-1.904403687E1
3.953004250E0,-2.045549011E1,-2.762508392E1,-1.832543945E1
3.973005250E0,-2.031335449E1,-2.774687386E1,-1.852575684E1
3.993006250E0,-2.001274109E1,-2.795558739E1,-1.812121582E1
4.013007250E0,-1.999040222E1,-2.812232971E1,-1.812020874E1
4.033008250E0,-1.987374878E1,-2.809754753E1,-1.835885620E1
4.053008250E0,-1.975988770E1,-2.809801292E1,-1.849853516E1
4.073009250E0,-1.989295959E1,-2.805303192E1,-1.854769897E1
4.093010250E0,-1.955863953E1,-2.828153038E1,-1.822009277E1
4.113011250E0,-1.965989685E1,-2.888791275E1,-1.809106445E1
4.133012250E0,-1.900418091E1,-2.898008347E1,-1.767416382E1
4.153012917E0,-1.846304321E1,-2.958546448E1,-1.757089233E1
4.173013917E0,-1.819273376E1,-2.975183868E1,-1.747491455E1
4.193014917E0,-1.766221619E1,-3.007946587E1,-1.744961548E1
4.213015917E0,-1.716212463E1,-3.043917656E1,-1.683935547E1
4.233016917E0,-1.645532227E1,-3.070972061E1,-1.718331909E1
4.253017917E0,-1.586711121E1,-3.125744820E1,-1.719964600E1
4.273018917E0,-1.510630798E1,-3.131905556E1,-1.678140259E1
4.293019917E0,-1.460504150E1,-3.166481590E1,-1.699011230E1
4.313020917E0,-1.424588013E1,-3.176483345E1,-1.707437134E1
4.333021917E0,-1.394229126E1,-3.179752541E1,-1.718939209E1
4.353021917E0,-1.362547302E1,-3.204743958E1,-1.780844116E1
4.373022917E0,-1.354177856E1,-3.201067352E1,-1.775805664E1
4.393023917E0,-1.376272583E1,-3.178444099E1,-1.745898438E1
4.413024917E0,-1.356134033E1,-3.170241356E1,-1.784963989E1
4.433025917E0,-1.361047363E1,-3.160508919E1,-1.737878418E1
4.453026917E0,-1.373260498E1,-3.169275856E1,-1.712533569E1
4.473027917E0,-1.378887939E1,-3.192635536E1,-1.768661499E1
4.493028917E0,-1.356767273E1,-3.209536743E1,-1.712606812E1
4.513029917E0,-1.389392090E1,-3.186290169E1,-1.734130859E1
4.542523500E0,-5.329498291E0,-4.099058533E1,-1.733773804E1
4.562524500E0,-5.687561035E0,-4.100449371E1,-1.714596558E1
4.582525500E0,-6.030120850E0,-4.122817230E1,-1.698046875E1
4.602526500E0,-6.062728882E0,-4.119728851E1,-1.675003052E1
4.622526500E0,-5.934295654E0,-4.126022339E1,-1.625817871E1
4.642527500E0,-5.722381592E0,-4.144736481E1,-1.530029297E1
4.662528500E0,-5.681259155E0,-4.189186096E1,-1.463406372E1
4.682529500E0,-5.598648071E0,-4.196807098E1,-1.407608032E1
4.702530500E0,-5.771575928E0,-4.202621460E1,-1.369012451E1
4.722531500E0,-5.617218018E0,-4.223967743E1,-1.296578979E1
4.742532500E0,-5.596603394E0,-4.225514221E1,-1.255355835E1
4.762533500E0,-6.087600708E0,-4.229571533E1,-1.276785278E1
4.782534500E0,-6.457412720E0,-4.225001526E1,-1.256878662E1
4.802535500E0,-7.133209229E0,-4.210546875E1,-1.216830444E1
4.822536500E0,-7.817245483E0,-4.190915680E1,-1.237298584E1
4.842537500E0,-7.914871216E0,-4.179370117E1,-1.238183594E1
4.862538500E0,-7.381988525E0,-4.148867798E1,-1.269589233E1
4.882539500E0,-7.321105957E0,-4.159613800E1,-1.287515259E1
4.902540500E0,-7.489151001E0,-4.156642151E1,-1.321484375E1
4.922541500E0,-7.354568481E0,-4.111293030E1,-1.321453857E1
4.942542500E0,-7.371612549E0,-4.127521515E1,-1.335189819E1
4.962542500E0,-7.255233765E0,-4.138848114E1,-1.290493774E1
4.982543500E0,-7.759841919E0,-4.132758331E1,-1.197073364E1
5.002544500E0,-7.795455933E0,-4.165570068E1,-1.169824219E1
5.022545500E0,-8.398345947E0,-4.151074982E1,-1.146780396E1
5.042546500E0,-9.097305298E0,-4.146381378E1,-1.149667358E1
5.062547500E0,-9.567382812E0,-4.129959869E1,-1.129260254E1
5.082548500E0,-1.014483643E1,-4.119155884E1,-1.104428101E1
5.102549500E0,-1.108038330E1,-4.106389618E1,-1.100204468E1
5.122550500E0,-1.144482422E1,-4.057976532E1,-1.096264648E1
5.142551500E0,-1.187733459E1,-4.068762207E1,-1.049615479E1
5.162552500E0,-1.250172424E1,-4.073208618E1,-1.013360596E1
5.182553500E0,-1.355067444E1,-4.010717773E1,-1.088641357E1
5.202554500E0,-1.481452942E1,-3.942315674E1,-1.169104004E1
5.222555500E0,-1.576606750E1,-3.878617859E1,-1.182205200E1
5.242556500E0,-1.666453552E1,-3.816475677E1,-1.197943115E1
5.262557500E0,-1.747398376E1,-3.758712006E1,-1.260675049E1
5.282557500E0,-1.780667114E1,-3.688481903E1,-1.322079468E1
5.302558500E0,-1.854508972E1,-3.630589294E1,-1.354675293E1
5.322559500E0,-1.954916382E1,-3.535845947E1,-1.388519287E1
5.342560500E0,-2.035330200E1,-3.479431915E1,-1.473162842E1
5.362561500E0,-2.119128418E1,-3.381282806E1,-1.495053101E1
5.382562500E0,-2.228260803E1,-3.313201141E1,-1.494686890E1
5.402563500E0,-2.290870667E1,-3.234716034E1,-1.525616455E1
5.422564500E0,-2.388050842E1,-3.147712517E1,-1.526513672E1
5.442565500E0,-2.455464172E1,-3.094742775E1,-1.555599976E1
5.462566500E0,-2.520359802E1,-3.035436630E1,-1.568887329E1
5.482567500E0,-2.562225342E1,-2.971940422E1,-1.615225220E1
5.502568500E0,-2.583911133E1,-2.931070137E1,-1.661218262E1
5.522569500E0,-2.615065002E1,-2.899965477E1,-1.694189453E1
5.542570500E0,-2.604882812E1,-2.844451904E1,-1.720928955E1
5.562571500E0,-2.613119507E1,-2.801762390E1,-1.752194214E1
5.582572500E0,-2.619155884E1,-2.763669968E1,-1.755917358E1
5.602572500E0,-2.619931030E1,-2.684633827E1,-1.800729370E1
5.622573500E0,-2.625550842E1,-2.708060265E1,-1.793832397E1
5.642574500E0,-2.585919189E1,-2.744125175E1,-1.807104492E1
5.662575500E0,-2.568070984E1,-2.714313698E1,-1.808877563E1
5.682576500E0,-2.557296753E1,-2.709858894E1,-1.797036743E1
5.702577500E0,-2.532797241E1,-2.720953751E1,-1.756427002E1
5.722578500E0,-2.521926880E1,-2.706226349E1,-1.730950928E1
5.742579500E0,-2.465405273E1,-2.718140030E1,-1.686755371E1
5.762580500E0,-2.409757996E1,-2.748410034E1,-1.660263062E1
5.782581500E0,-2.354020691E1,-2.748447609E1,-1.687542725E1
5.802582500E0,-2.299206543E1,-2.778074646E1,-1.655328369E1
5.822583500E0,-2.232366943E1,-2.795211029E1,-1.630944824E1
5.842584500E0,-2.127380371E1,-2.827127075E1,-1.608502197E1
5.862585500E0,-2.064752197E1,-2.859035683E1,-1.586468506E1
5.882586500E0,-1.943756104E1,-2.903081512E1,-1.548367310E1
5.902587500E0,-1.889750671E1,-2.943970490E1,-1.508892822E1
5.922587500E0,-1.812525940E1,-2.952082825E1,-1.480426025E1
5.942588500E0,-1.731571960E1,-2.987530708E1,-1.446392822E1
5.962589500E0,-1.671505737E1,-2.998334122E1,-1.435440063E1
5.982590500E0,-1.611080933E1,-2.988595009E1,-1.424771118E1
6.002591500E0,-1.560269165E1,-2.984271431E1,-1.427346802E1
6.022592500E0,-1.550093079E1,-2.995620918E1,-1.412915039E1
6.042593500E0,-1.488273621E1,-2.941387177E1,-1.418402100E1
6.062594500E0,-1.436878967E1,-2.945012283E1,-1.398184204E1
6.082595500E0,-1.393371582E1,-2.933591270E1,-1.442483521E1
6.102596500E0,-1.345637512E1,-2.891822243E1,-1.465179443E1
6.122597500E0,-1.308200073E1,-2.872704506E1,-1.467895508E1
