"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.309791667E-2,2.077674493E-2,-7.588955164E-1,-1.072526574E0
9.309991667E-2,-3.971443698E-2,-6.677639484E-1,-1.036748648E0
1.131019167E-1,-8.311902173E-3,-4.443085492E-1,-9.427493811E-1
1.331049167E-1,-3.981585801E-2,-3.274118900E-1,-8.764378428E-1
1.531069167E-1,-2.155424505E-1,-4.387379289E-1,-8.965237737E-1
1.731099167E-1,-3.013447225E-1,-5.412002206E-1,-7.867053747E-1
1.931119167E-1,-1.808948517E-1,-2.826988995E-1,-5.589995980E-1
2.131139167E-1,-4.299857095E-2,1.088657826E-1,-2.808899879E-1
2.331211667E-1,-5.396175664E-3,4.095481634E-1,-9.039183706E-2
2.531231667E-1,-1.440977026E-2,5.319602489E-1,-2.594405413E-2
2.731251667E-1,-5.322811380E-2,4.849528372E-1,6.810755283E-2
2.931281667E-1,-1.134007797E-1,9.430980682E-2,2.846305966E-1
3.131301667E-1,-1.998272687E-1,-3.788965344E-1,6.548761129E-1
3.331331667E-1,-2.605364919E-1,-5.330785513E-1,9.236189127E-1
3.531351667E-1,-2.661723793E-1,-4.463149607E-1,8.747220039E-1
3.731371667E-1,-2.045607716E-1,-1.904331297E-1,8.279783726E-1
3.931401667E-1,-2.229380794E-2,1.312668175E-1,1.049685121E0
4.131421667E-1,2.504649460E-1,2.701857984E-1,1.564425945E0
4.331451667E-1,4.298987091E-1,1.552984864E-1,1.827935815E0
4.531471667E-1,8.494401574E-1,-5.016989708E-1,1.447699904E0
4.731491667E-1,7.258722186E-1,-3.242019713E-1,1.531622291E0
4.931521667E-1,5.469694734E-1,4.956183434E-1,1.962758064E0
5.131541667E-1,4.955507219E-1,9.876735210E-1,2.183517218E0
5.331561667E-1,3.153804839E-1,1.180985093E0,1.803420544E0
5.531591667E-1,-4.595101252E-2,1.137651682E0,1.613376260E0
5.731611667E-1,-5.072281957E-1,1.486347318E0,1.599730968E0
5.931641667E-1,-8.181120157E-1,1.722280383E0,1.235029101E0
6.131661667E-1,-9.009594321E-1,6.275632381E-1,9.962322116E-1
6.331681667E-1,-1.204217911E0,-3.443895578E-1,1.707562804E0
6.531711667E-1,-1.843046665E0,6.169545650E-1,2.240485430E0
6.731731667E-1,-1.988608956E0,1.610319316E-1,5.192285776E-1
6.931751667E-1,-2.005503893E0,-1.467689872E-1,-8.065220118E-1
7.131781667E-1,-2.012974739E0,-1.704783887E-1,-3.645772934E-1
7.331801667E-1,-1.173619390E0,-4.246667624E-1,-1.974461824E-1
7.531831667E-1,-3.605991304E-1,-2.411642224E-1,-3.293779492E-1
7.731851667E-1,-2.106791288E-1,-6.586855650E-2,-3.826266229E-1
7.931871667E-1,-6.121411324E-1,-2.234606594E-1,-4.843070209E-1
8.131901667E-1,-3.466321826E-1,-1.540799290E-1,-8.478037715E-1
8.331921667E-1,4.658166170E-1,-2.907720208E-1,-9.207941890E-1
8.531941667E-1,7.067690492E-1,2.031038553E-1,-5.239505172E-1
8.731971667E-1,3.684578240E-1,8.503283858E-1,-6.632561684E-1
8.931991667E-1,4.130244553E-1,1.142870426E0,-4.764034152E-1
9.132021667E-1,9.576458335E-1,1.607238531E0,-2.478133738E-1
9.332041667E-1,1.530194044E0,2.359359026E0,-1.253101826E-1
9.532061667E-1,1.440806866E0,2.874240637E0,-6.473582983E-2
9.732091667E-1,9.006531239E-1,2.599494219E0,-5.122379661E-1
9.932111667E-1,7.565762997E-1,1.462949872E0,-7.423781157E-1
1.013213167E0,9.554173350E-1,1.012746572E0,-9.737943411E-1
1.033216167E0,1.203433394E0,6.426157802E-2,-9.412357211E-1
1.053218167E0,8.522226810E-1,-6.879421473E-1,-1.098595619E0
1.073221167E0,2.184954584E-1,-4.100274742E-1,-1.263156414E0
1.093223167E0,8.863554150E-2,2.336202115E-1,-1.086505651E0
1.113225167E0,5.198530555E-1,8.303394914E-1,-6.193225980E-1
1.133228167E0,1.038675189E0,1.359768271E0,-3.821365237E-1
1.153230167E0,1.339476109E0,1.989695549E0,-3.628536165E-1
1.173233167E0,1.309746861E0,2.518936157E0,-5.124836564E-1
1.193235167E0,1.013226271E0,2.749642849E0,-7.988792062E-1
1.213237167E0,7.538611293E-1,2.548388958E0,-1.093399286E0
1.233236333E0,7.306999564E-1,2.560416222E0,-1.255477190E0
1.253238333E0,3.408298790E-1,2.670065880E0,-1.440878272E0
1.273240333E0,-2.891497612E-1,2.325822830E0,-1.597962141E0
1.293243333E0,-9.524525404E-1,1.977273941E0,-1.640600801E0
1.313245333E0,-1.305987954E0,2.155086040E0,-1.556479931E0
1.333248333E0,-1.069330692E0,2.795104980E0,-1.452341676E0
1.353250333E0,-4.532417059E-1,3.610586405E0,-1.506413221E0
1.373252333E0,-1.089212298E-1,3.912288189E0,-2.012454271E0
1.393255333E0,-7.610619664E-1,3.268687725E0,-2.632269382E0
1.413257333E0,-1.682226896E0,2.172609568E0,-2.776735067E0
1.433259333E0,-2.113870382E0,1.445932150E0,-2.760132074E0
1.453262333E0,-1.857786655E0,1.085147977E0,-2.874710798E0
1.473264333E0,-1.261289954E0,7.732108235E-1,-2.807035208E0
1.493267333E0,-8.343375325E-1,4.847530723E-1,-2.278760672E0
1.513269333E0,-7.128095627E-1,5.572432280E-1,-1.654545426E0
1.533271333E0,-7.446382046E-1,6.179579496E-1,-1.130676746E0
1.553274333E0,-8.086330295E-1,4.967583418E-1,-6.737827659E-1
1.573276333E0,-8.275630474E-1,4.353564084E-1,-2.997666001E-1
1.593279333E0,-9.233321548E-1,4.777126014E-1,-6.987583637E-2
1.613281333E0,-1.169022799E0,4.945142269E-1,-6.530608982E-2
