"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.766416710E-3,1.494043121E0,4.644691315E0,8.645721130E0
1.817958331E-2,1.459614716E0,4.695435791E0,8.359216919E0
3.812558332E-2,1.429976349E0,4.680466919E0,8.348888397E0
5.807158333E-2,1.496288452E0,4.646637268E0,8.099057922E0
7.801758329E-2,1.575024719E0,4.687502289E0,8.094866638E0
9.796358331E-2,1.555864563E0,4.623285828E0,7.956853638E0
1.179095833E-1,1.440155182E0,4.531526642E0,7.892936554E0
1.378555833E-1,1.291214905E0,4.413422241E0,8.031697998E0
1.578015833E-1,1.162033539E0,4.313729553E0,8.194559326E0
1.777485833E-1,1.095721436E0,4.161346436E0,8.419092407E0
1.976953333E-1,1.025068359E0,4.058360596E0,8.599617004E0
2.176413333E-1,1.026864624E0,3.991300049E0,8.671916656E0
2.375873333E-1,9.692344666E-1,4.049828339E0,8.628955994E0
2.575333333E-1,8.593629456E-1,4.130360870E0,8.536897430E0
2.774793333E-1,7.918533325E-1,4.178410950E0,8.477620697E0
2.974253333E-1,8.080197144E-1,4.201313324E0,8.514593811E0
3.173713333E-1,8.854087830E-1,4.247267761E0,8.553063812E0
3.373173333E-1,9.943821716E-1,4.260140991E0,8.568631439E0
3.572633333E-1,1.078058167E0,4.277504883E0,8.632099457E0
3.772093333E-1,1.136436768E0,4.255500641E0,8.650960236E0
3.971553333E-1,1.186881866E0,4.255201263E0,8.618627472E0
4.171013333E-1,1.191073151E0,4.230352936E0,8.558003540E0
4.370483333E-1,1.126257935E0,4.208199005E0,8.502618713E0
4.569943333E-1,1.048719177E0,4.192182312E0,8.470136261E0
4.769403333E-1,9.630972290E-1,4.154161377E0,8.478668518E0
4.968863333E-1,8.701405334E-1,4.153862000E0,8.462801514E0
5.168323333E-1,8.408015442E-1,4.114344177E0,8.480614471E0
5.367783333E-1,9.268725586E-1,4.003724213E0,8.588390350E0
5.567243333E-1,9.547146606E-1,3.922443237E0,8.821904755E0
5.766703333E-1,1.021026764E0,3.823798370E0,9.038354645E0
5.966163333E-1,1.043330383E0,3.727698212E0,9.126371613E0
6.165623333E-1,1.061143341E0,3.682941284E0,9.040150909E0
6.365083333E-1,1.147364044E0,3.688779144E0,8.982969818E0
6.564543333E-1,1.270108795E0,3.678001556E0,9.015003204E0
6.764013333E-1,1.348395996E0,3.660787354E0,9.104367371E0
6.963473333E-1,1.508712616E0,3.600762177E0,9.109606476E0
7.162933333E-1,1.650318146E0,3.664080505E0,9.192384338E0
7.362393333E-1,1.725312195E0,3.726051636E0,9.232500916E0
7.561853333E-1,1.777254181E0,3.754791870E0,9.116192780E0
7.761313333E-1,1.808688812E0,3.782484283E0,8.985514526E0
7.960773333E-1,1.763183441E0,3.812122650E0,8.926686859E0
8.160233333E-1,1.675465851E0,3.840413818E0,8.889414368E0
8.359693333E-1,1.504371643E0,3.929478607E0,8.782835999E0
8.559153333E-1,1.433119812E0,4.005819855E0,8.627608795E0
8.758613333E-1,1.328188019E0,4.121229858E0,8.500523071E0
8.958073333E-1,1.200503540E0,4.211043091E0,8.376730499E0
9.157543333E-1,1.067579956E0,4.262086945E0,8.284971313E0
