"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.074704167E-2,-6.916861430E-2,-6.925383747E-2,-2.327490038E-1
3.069104167E-2,-1.139560935E-1,-7.334191829E-2,-2.044818091E-1
5.063604168E-2,-1.050747576E-1,-1.944550037E-2,-3.170991826E-1
7.058004168E-2,-9.082728580E-2,2.095262021E-2,-4.176607668E-1
9.052504168E-2,-9.154897839E-2,3.454710424E-2,-3.820769513E-1
1.104700416E-1,-1.236275344E-1,3.459768265E-2,-2.836782521E-1
1.304140416E-1,-5.521145672E-2,-4.747822165E-2,-2.539972007E-1
1.503590416E-1,5.817599505E-2,-6.491929650E-2,-2.576061022E-1
1.703030416E-1,1.533183798E-1,-3.108467549E-2,-2.777608699E-1
1.902480416E-1,2.246504639E-1,-7.948997319E-3,-1.981422579E-1
2.101930417E-1,3.128821707E-1,-7.088667244E-2,-1.896029842E-1
2.301370417E-1,3.969489057E-1,-8.307899415E-2,-2.739028770E-1
2.500820417E-1,3.588921565E-1,3.217167288E-2,-3.955980527E-1
2.700260417E-1,2.342337580E-1,1.116046357E-1,-4.822140276E-1
2.899710417E-1,1.366703336E-1,5.583769351E-2,-5.358113605E-1
3.099160417E-1,9.385482788E-2,3.538442552E-3,-5.346302229E-1
3.298600417E-1,8.663965613E-2,-8.868442744E-2,-5.372772574E-1
3.498050417E-1,3.493579790E-2,-2.233431727E-2,-5.570466936E-1
3.697500416E-1,-4.447392225E-2,-3.801801145E-2,-6.014375854E-1
3.896940416E-1,-1.671369584E-1,-1.391871214E-2,-6.366980499E-1
4.096390416E-1,-3.965476406E-1,3.424538791E-2,-6.144002777E-1
4.295830416E-1,-6.148028585E-1,1.022373962E-1,-5.584804308E-1
4.495280416E-1,-8.082689519E-1,6.548647642E-2,-4.518424201E-1
4.694730417E-1,-8.829193309E-1,-3.011783838E-2,-1.859315175E-1
4.894170833E-1,-9.089271614E-1,-9.714388669E-2,-6.326921225E-2
5.093620833E-1,-8.963041922E-1,-6.668807924E-2,-1.700627589E-1
5.293060833E-1,-8.945884730E-1,-3.670881987E-3,-1.868682414E-1
5.492510833E-1,-8.936511643E-1,8.843709022E-2,-5.990063131E-2
5.691960834E-1,-8.438946482E-1,7.535511464E-2,3.526280344E-2
5.891400833E-1,-7.522385196E-1,1.364772293E-1,4.339803457E-2
6.090850833E-1,-7.438638449E-1,3.172982803E-1,-4.022825897E-2
6.290290833E-1,-7.122833987E-1,3.838410562E-1,-1.527953464E-1
6.489740833E-1,-5.806679099E-1,1.892524436E-1,-2.309784669E-1
6.689190833E-1,-4.658693057E-1,4.925372869E-2,-1.564878631E-1
6.888630833E-1,-2.488918506E-1,7.259815246E-2,6.794464588E-3
7.088080833E-1,5.182533413E-3,1.646306956E-1,1.668970764E-2
7.287520833E-1,9.507938102E-3,2.699063051E-1,-1.572053164E-1
7.486970833E-1,4.274585076E-2,3.977369642E-1,-2.655916446E-1
7.686420833E-1,9.706319511E-2,5.329587963E-1,-3.477333301E-1
7.885860833E-1,2.670025047E-1,6.881029692E-1,-2.948902881E-1
8.085310833E-1,4.717500698E-1,7.677923325E-1,-2.870649594E-1
8.284760833E-1,5.018916990E-1,8.592153034E-1,-3.100182045E-1
8.484200833E-1,4.850714158E-1,8.770952117E-1,-2.881192124E-1
8.683650833E-1,5.382502341E-1,7.687176543E-1,-2.561793816E-1
8.883090833E-1,5.438245310E-1,7.733594665E-1,-2.071019465E-1
9.082540833E-1,3.610220048E-1,9.057863295E-1,-2.973952353E-1
9.281990833E-1,2.146567684E-1,1.027404614E0,-4.182373023E-1
9.481430833E-1,2.001867186E-1,1.171280326E0,-5.114623851E-1
9.680880833E-1,1.964683463E-1,1.264683748E0,-4.916596198E-1
9.880320833E-1,2.279614498E-1,1.243222713E0,-5.931684530E-1
1.007977083E0,1.908520225E-1,1.233053528E0,-8.051042926E-1
1.027922083E0,1.402192829E-1,1.152229220E0,-9.228338867E-1
1.047866083E0,1.761869864E-1,1.093909676E0,-9.811493379E-1
1.067811083E0,2.171014161E-1,1.175301163E0,-9.749126977E-1
1.087756083E0,2.224863911E-1,1.152912467E0,-9.338412702E-1
1.107700083E0,1.122995590E-1,1.196659873E0,-9.210709512E-1
1.127645083E0,2.735926822E-2,1.292034684E0,-1.020865381E0
1.147589083E0,8.726779327E-2,1.536210609E0,-1.005394818E0
1.167534083E0,1.153395264E-1,1.734014898E0,-9.764282960E-1
1.187479083E0,2.862984991E-2,1.678785900E0,-8.968511993E-1
1.207423083E0,-7.937551394E-2,1.646736726E0,-8.334609497E-1
1.227368083E0,-1.483706121E-1,1.631510869E0,-6.685495877E-1
1.247312083E0,-5.554008851E-2,1.666524581E0,-3.851227659E-1
1.267257083E0,1.596304491E-2,1.733385738E0,-1.420200974E-1
1.287202083E0,-2.206183702E-2,1.905222250E0,-7.881345034E-2
1.307146083E0,-1.945254627E-1,1.872400659E0,1.517416781E-1
1.327091083E0,-3.275386553E-1,1.827365696E0,4.047746730E-1
1.347036083E0,-4.069153386E-1,1.876165681E0,7.029639602E-1
1.366980083E0,-3.427819079E-1,1.632876486E0,1.093937450E0
1.386925083E0,-2.169293618E-1,1.336827572E0,1.377329189E0
1.406869083E0,-1.499788888E-1,6.739056373E-1,1.379776248E0
1.426814083E0,-3.636587336E-1,-1.508710277E-1,1.384354033E0
1.446759083E0,-4.785458500E-1,-1.122774163E0,1.310930547E0
1.466703083E0,-5.799412472E-1,-1.670510628E0,1.012607358E0
1.486648208E0,-7.151212717E-1,-1.680431306E0,4.413700569E-1
1.506593208E0,-1.032475320E0,-1.669646117E0,1.332317322E-1
1.526537208E0,-1.149762134E0,-1.730065689E0,9.398522079E-2
1.546482208E0,-8.721220087E-1,-1.768991480E0,-1.520626903E-2
1.566426208E0,-6.547121519E-1,-1.658494307E0,-2.222772253E-1
1.586371208E0,-5.195882607E-1,-1.474061431E0,-4.649974859E-1
1.606316208E0,-5.569108920E-1,-1.292455976E0,-8.798679614E-1
1.626260208E0,-6.852441193E-1,-9.741835499E-1,-1.259811848E0
1.646205208E0,-8.509463172E-1,-6.919466364E-1,-1.587242476E0
1.666149208E0,-1.012516726E0,-3.667166081E-1,-1.645476066E0
1.686094208E0,-9.930520763E-1,-2.226026228E-1,-1.563595752E0
1.706039208E0,-9.546787003E-1,-2.633761346E-2,-1.505941036E0
1.725983208E0,-1.069702203E0,1.582809117E-1,-1.492759073E0
1.745928208E0,-1.272920721E0,1.547412997E-1,-1.430855770E0
1.765873208E0,-1.249635647E0,2.259957621E-1,-1.236933448E0
1.785817208E0,-1.141946891E0,2.965769175E-1,-7.485523617E-1
1.805762208E0,-1.057710587E0,3.887626576E-1,-3.813670993E-1
1.825706208E0,-1.010779811E0,4.320633361E-1,-5.193146110E-2
1.845651208E0,-1.054504266E0,4.536454090E-1,2.734725219E-1
1.865596208E0,-8.892099117E-1,5.568654299E-1,7.000169635E-1
1.885540208E0,-6.450702395E-1,4.408631033E-1,1.023760337E0
1.905485208E0,-3.946478802E-1,4.718586087E-1,1.192092320E0
1.925430208E0,2.389391586E-2,5.855346206E-1,1.320798892E0
1.945374208E0,4.271225850E-1,1.087340037E0,1.330706999E0
1.965319208E0,8.774108152E-1,1.520785070E0,1.093705900E0
1.985263208E0,1.383841525E0,1.372228955E0,1.109912043E0
2.005208208E0,1.529606472E0,4.027319482E-1,1.366999497E0
2.025153208E0,1.300441519E0,-9.132426989E-1,1.457772258E0
2.045097208E0,8.120100736E-1,-1.866975320E0,1.062167189E0
2.065042208E0,5.001408599E-1,-2.187182882E0,1.906548983E-1
2.084987208E0,6.162257785E-1,-2.088155315E0,-5.623045099E-1
2.104931208E0,8.887859885E-1,-1.812423721E0,-1.016945992E0
