"Time (s)","X (hPa)"
-5.596870834E-1,1.015204086E3
4.458569167E-1,1.015200119E3
1.451252917E0,1.015196838E3
2.456913917E0,1.015196838E3
3.462587917E0,1.015204544E3
4.468331917E0,1.015217667E3
4.644823917E0,1.015230484E3
5.576286917E0,1.015232697E3
6.507835917E0,1.015237961E3
7.439263917E0,1.015246582E3
8.370708917E0,1.015250549E3
9.302184917E0,1.015251465E3
1.023361492E1,1.015252609E3
1.116510992E1,1.015253830E3
1.209662492E1,1.015254822E3
1.302815592E1,1.015256577E3
1.395966692E1,1.015258484E3
1.489118492E1,1.015258484E3
1.582268292E1,1.015258560E3
1.675425292E1,1.015260544E3
1.768575392E1,1.015261154E3
1.861731492E1,1.015266647E3
1.954892892E1,1.015270538E3
2.048053792E1,1.015270538E3
2.141228992E1,1.015268631E3
2.234406392E1,1.015263367E3
2.327577892E1,1.015256348E3
2.420745192E1,1.015246811E3
2.513923092E1,1.015241013E3
2.607094892E1,1.015237274E3
2.700271392E1,1.015237122E3
2.793460092E1,1.015237122E3
2.886643692E1,1.015239792E3
2.979825292E1,1.015242157E3
3.072996992E1,1.015242462E3
3.166160492E1,1.015245361E3
3.259334292E1,1.015248108E3
3.352506992E1,1.015248108E3
3.445696892E1,1.015248337E3
3.538877192E1,1.015247650E3
3.632053492E1,1.015247803E3
3.725233792E1,1.015247803E3
3.818419492E1,1.015249176E3
3.911617392E1,1.015251617E3
4.004839592E1,1.015253677E3
4.098041792E1,1.015256729E3
4.191241492E1,1.015261078E3
4.284447092E1,1.015264893E3
4.377662192E1,1.015267639E3
4.470878692E1,1.015270691E3
4.564105192E1,1.015270691E3
4.657340692E1,1.015269623E3
4.750567792E1,1.015269165E3
4.843793392E1,1.015268402E3
4.937028692E1,1.015266724E3
5.030268192E1,1.015264587E3
5.123504592E1,1.015263519E3
5.216743592E1,1.015263290E3
5.309982292E1,1.015263290E3
5.403228692E1,1.015264435E3
5.496465692E1,1.015265121E3
5.589712092E1,1.015265808E3
5.682956192E1,1.015268860E3
5.776195792E1,1.015272369E3
5.869429992E1,1.015274429E3
5.962665392E1,1.015276947E3
6.055899892E1,1.015278244E3
6.149134192E1,1.015279312E3
6.242370192E1,1.015281067E3
6.335612692E1,1.015281754E3
6.428850692E1,1.015282211E3
6.522100392E1,1.015282440E3
6.615333292E1,1.015282516E3
6.708568792E1,1.015282516E3
6.801799692E1,1.015281296E3
6.895027592E1,1.015281296E3
6.988241392E1,1.015283127E3
7.081456792E1,1.015283890E3
7.174686292E1,1.015285034E3
7.267906292E1,1.015286865E3
7.361126692E1,1.015286865E3
7.454357692E1,1.015286636E3
7.547595892E1,1.015286102E3
7.640839192E1,1.015284729E3
7.734089292E1,1.015281525E3
7.827334092E1,1.015279541E3
7.920569192E1,1.015279465E3
8.013802492E1,1.015279465E3
8.107036892E1,1.015281143E3
8.200285592E1,1.015282669E3
8.293534692E1,1.015282822E3
8.386784092E1,1.015283279E3
8.480036592E1,1.015284729E3
8.573283592E1,1.015287018E3
8.666538392E1,1.015289536E3
8.759792692E1,1.015289536E3
8.853054492E1,1.015288696E3
8.946324992E1,1.015287781E3
9.039599892E1,1.015286865E3
9.132872992E1,1.015287781E3
9.226140992E1,1.015288544E3
9.319415992E1,1.015290756E3
9.412697592E1,1.015294647E3
9.505982592E1,1.015295105E3
9.599268092E1,1.015297394E3
9.692555792E1,1.015298309E3
9.785858792E1,1.015298386E3
9.879143792E1,1.015300369E3
9.972422792E1,1.015303345E3
1.006570699E2,1.015307541E3
1.015898769E2,1.015310135E3
1.025226389E2,1.015311966E3
1.034554759E2,1.015313339E3
1.043882989E2,1.015314865E3
1.053210879E2,1.015316544E3
1.062540099E2,1.015318680E3
1.071869599E2,1.015319519E3
1.081198689E2,1.015321426E3
1.090527629E2,1.015325317E3
1.099856499E2,1.015329819E3
1.109185169E2,1.015333862E3
1.118513459E2,1.015333862E3
1.127842169E2,1.015331039E3
1.137171389E2,1.015326233E3
1.146500929E2,1.015323257E3
1.155828729E2,1.015319443E3
1.165156489E2,1.015318680E3
1.174485139E2,1.015318680E3
1.183813999E2,1.015321655E3
1.193143189E2,1.015323257E3
1.202473059E2,1.015323792E3
1.211801909E2,1.015326080E3
1.221130099E2,1.015330353E3
1.230458069E2,1.015332260E3
1.239786819E2,1.015332260E3
1.249114259E2,1.015331497E3
1.258441759E2,1.015329895E3
1.267768959E2,1.015326996E3
1.277095389E2,1.015323792E3
1.286422189E2,1.015323792E3
1.295749629E2,1.015325394E3
1.305076499E2,1.015327682E3
1.314403759E2,1.015328751E3
1.323730439E2,1.015329895E3
1.333057589E2,1.015330353E3
1.342384439E2,1.015330963E3
1.351711579E2,1.015331116E3
1.361037229E2,1.015331345E3
1.370362549E2,1.015331345E3
1.379687919E2,1.015331268E3
1.389012969E2,1.015329666E3
1.398337549E2,1.015329514E3
1.407662039E2,1.015329514E3
1.416986929E2,1.015330124E3
1.426312229E2,1.015330887E3
1.435636819E2,1.015331802E3
1.444961299E2,1.015333099E3
1.454285849E2,1.015335312E3
1.463610269E2,1.015338364E3
1.472934619E2,1.015338364E3
1.482258749E2,1.015338135E3
1.491582369E2,1.015338135E3
1.500906069E2,1.015339203E3
1.510228759E2,1.015341110E3
1.519551919E2,1.015344849E3
1.528873989E2,1.015346375E3
1.538195059E2,1.015348282E3
1.547517039E2,1.015351105E3
1.556839259E2,1.015351944E3
1.566161419E2,1.015355377E3
1.575484229E2,1.015358734E3
1.584806869E2,1.015359344E3
1.594129659E2,1.015359344E3
1.603453439E2,1.015358047E3
1.612777339E2,1.015354156E3
1.622102329E2,1.015351715E3
1.631426609E2,1.015349884E3
1.640750269E2,1.015349808E3
1.650075089E2,1.015349808E3
1.659399449E2,1.015353928E3
1.668723299E2,1.015357208E3
1.678046329E2,1.015361099E3
1.687368929E2,1.015361938E3
1.696690209E2,1.015362167E3
1.706013709E2,1.015362167E3
1.715337219E2,1.015362167E3
1.724659909E2,1.015362778E3
1.733981519E2,1.015366058E3
1.743302469E2,1.015368271E3
1.752624079E2,1.015368576E3
1.761945439E2,1.015369720E3
1.771267319E2,1.015371323E3
1.780589709E2,1.015371475E3
1.789912099E2,1.015372467E3
1.799233699E2,1.015372467E3
1.808555799E2,1.015371628E3
1.817877419E2,1.015370407E3
1.827198869E2,1.015370407E3
1.836520979E2,1.015371246E3
1.845842399E2,1.015373535E3
1.855164759E2,1.015374451E3
1.864486819E2,1.015375443E3
1.873808199E2,1.015376892E3
1.883130299E2,1.015379791E3
1.892451969E2,1.015382919E3
1.901772699E2,1.015383453E3
1.911094469E2,1.015385284E3
1.920415829E2,1.015387344E3
1.929737719E2,1.015390015E3
1.939059509E2,1.015391617E3
1.948381619E2,1.015395737E3
1.957705139E2,1.015398178E3
1.967027969E2,1.015400467E3
1.976348909E2,1.015401917E3
1.985669609E2,1.015403519E3
1.994990409E2,1.015405731E3
2.004310659E2,1.015407333E3
2.013631159E2,1.015408020E3
2.022950889E2,1.015408936E3
2.032270949E2,1.015410538E3
2.041590109E2,1.015411987E3
2.050910239E2,1.015413818E3
2.060230089E2,1.015415573E3
2.069550009E2,1.015415573E3
2.078870769E2,1.015413666E3
2.088190979E2,1.015413132E3
2.097512499E2,1.015412598E3
2.106833559E2,1.015411453E3
2.116154269E2,1.015411453E3
2.125476279E2,1.015414124E3
2.134796579E2,1.015416946E3
2.144117699E2,1.015419846E3
2.153438589E2,1.015421677E3
2.162759559E2,1.015422516E3
2.172079549E2,1.015424042E3
2.181399369E2,1.015426483E3
2.190720289E2,1.015427856E3
2.200040439E2,1.015427856E3
2.209360259E2,1.015427017E3
2.218680159E2,1.015425491E3
2.228001559E2,1.015423203E3
2.237323469E2,1.015422592E3
2.246643709E2,1.015421143E3
2.255964189E2,1.015419540E3
2.265284219E2,1.015417786E3
2.274604399E2,1.015416260E3
2.283923649E2,1.015416260E3
2.293244059E2,1.015417175E3
2.302564499E2,1.015418167E3
2.311885389E2,1.015420227E3
2.321206159E2,1.015421829E3
2.330527849E2,1.015421829E3
2.339847899E2,1.015421448E3
2.349167609E2,1.015421371E3
2.358487129E2,1.015421371E3
2.367806769E2,1.015420532E3
2.377126779E2,1.015419159E3
2.386446029E2,1.015419159E3
2.395766059E2,1.015420227E3
2.405085999E2,1.015420227E3
2.414406279E2,1.015420074E3
2.423726209E2,1.015419998E3
2.433046369E2,1.015418930E3
2.442366229E2,1.015418930E3
2.451686459E2,1.015422745E3
2.461007329E2,1.015426559E3
2.470327599E2,1.015428009E3
2.479648919E2,1.015428391E3
2.488970409E2,1.015428391E3
2.498291979E2,1.015426636E3
2.507612369E2,1.015426102E3
2.516931359E2,1.015426025E3
2.526252339E2,1.015425797E3
2.535572629E2,1.015425339E3
2.544892219E2,1.015425797E3
2.554213359E2,1.015425797E3
2.563533799E2,1.015426636E3
2.572853419E2,1.015427628E3
2.582174489E2,1.015427628E3
2.591494159E2,1.015427551E3
2.600814829E2,1.015427170E3
2.610135029E2,1.015427094E3
2.619454789E2,1.015427170E3
2.628775769E2,1.015427322E3
2.638094769E2,1.015427322E3
2.647413189E2,1.015424881E3
2.656732099E2,1.015423203E3
2.666051769E2,1.015422516E3
2.675371639E2,1.015420685E3
2.684690409E2,1.015419998E3
2.694009939E2,1.015419998E3
2.703329609E2,1.015420609E3
2.712649849E2,1.015420990E3
2.721969939E2,1.015422440E3
2.731291089E2,1.015422440E3
2.740610559E2,1.015421600E3
2.749930609E2,1.015419998E3
2.759249799E2,1.015419998E3
2.768569499E2,1.015421448E3
2.777888829E2,1.015423431E3
2.787209099E2,1.015424271E3
2.796529089E2,1.015424881E3
2.805848719E2,1.015425491E3
2.815168389E2,1.015426102E3
2.824486819E2,1.015427475E3
2.833805179E2,1.015427475E3
2.843123729E2,1.015427017E3
2.852442089E2,1.015426178E3
2.861760689E2,1.015426178E3
2.871078569E2,1.015428162E3
2.880395959E2,1.015428848E3
2.889714319E2,1.015429382E3
2.899032259E2,1.015430298E3
2.908350029E2,1.015429382E3
2.917667559E2,1.015429764E3
2.926984539E2,1.015429764E3
2.936301289E2,1.015430756E3
2.945618469E2,1.015431137E3
2.954935489E2,1.015431595E3
2.964250589E2,1.015432816E3
2.973565349E2,1.015436020E3
2.982882199E2,1.015439987E3
2.992198359E2,1.015440216E3
3.001517159E2,1.015440750E3
3.010833869E2,1.015440750E3
3.020151679E2,1.015439911E3
3.029467459E2,1.015439758E3
3.038785219E2,1.015439682E3
3.048102499E2,1.015439758E3
3.057419849E2,1.015439682E3
3.066737159E2,1.015438080E3
3.076054629E2,1.015438080E3
3.085370509E2,1.015438080E3
3.094688039E2,1.015438232E3
3.104006549E2,1.015440292E3
3.113324139E2,1.015447922E3
3.122642599E2,1.015451736E3
3.131961329E2,1.015453644E3
3.141280279E2,1.015453873E3
3.150599489E2,1.015454636E3
3.159916769E2,1.015454712E3
3.169234369E2,1.015455704E3
3.178551609E2,1.015459518E3
3.187869069E2,1.015463181E3
3.197186419E2,1.015463181E3
3.206502769E2,1.015462875E3
3.215820329E2,1.015462189E3
3.225136549E2,1.015462112E3
3.234453199E2,1.015462112E3
3.243771459E2,1.015462418E3
3.253088869E2,1.015463104E3
3.262406919E2,1.015463181E3
3.271724889E2,1.015465469E3
3.281041779E2,1.015467987E3
3.290358409E2,1.015469742E3
3.299676089E2,1.015469971E3
3.308993769E2,1.015470734E3
3.318311419E2,1.015470886E3
3.327629449E2,1.015471497E3
3.336947619E2,1.015484009E3
3.346265839E2,1.015491562E3
3.355583589E2,1.015497284E3
3.364901749E2,1.015503006E3
3.374218319E2,1.015509186E3
3.383535459E2,1.015510406E3
3.392852909E2,1.015510941E3
3.402170639E2,1.015510941E3
3.411488929E2,1.015510864E3
3.420807119E2,1.015509644E3
3.430123839E2,1.015509644E3
3.439441179E2,1.015510178E3
3.448759269E2,1.015519028E3
3.458077659E2,1.015526047E3
