"Time (s)","Distance (cm)"
1.021987989E1,0.000000000E0
1.047796674E1,5.000024796E0
1.247970551E1,0.000000000E0
2.149814204E1,5.000024796E0
1.480070880E2,0.000000000E0
1.481380710E2,5.000024796E0
1.588068092E2,0.000000000E0
1.596600036E2,5.000024796E0
2.316176845E2,0.000000000E0
2.319959941E2,5.000024796E0
2.610988845E2,0.000000000E0
2.617795757E2,5.000024796E0
2.708285116E2,0.000000000E0
2.725272818E2,5.000024796E0
2.847372255E2,0.000000000E0
2.856283267E2,5.000024796E0
2.871478814E2,0.000000000E0
2.873558879E2,5.000024796E0
2.877165031E2,0.000000000E0
2.879366267E2,5.000024796E0
2.922696677E2,0.000000000E0
2.924570159E2,5.000024796E0
2.933976587E2,0.000000000E0
2.935288440E2,5.000024796E0
2.956366664E2,0.000000000E0
2.957391664E2,5.000024796E0
3.253777861E2,0.000000000E0
3.261883988E2,5.000024796E0
3.276357849E2,0.000000000E0
3.277881938E2,5.000024796E0
3.430375147E2,0.000000000E0
3.432980317E2,5.000024796E0
3.525974467E2,0.000000000E0
3.538070205E2,5.000024796E0
3.681886243E2,0.000000000E0
3.703458750E2,5.000024796E0
3.947670160E2,0.000000000E0
3.950670285E2,5.000024796E0
4.010674181E2,0.000000000E0
4.015561356E2,5.000024796E0
