"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.174768750E-1,-4.301713109E-1,-5.734977126E-1,-2.864608765E-1
2.374768750E-1,-4.397880733E-1,-6.554933190E-1,-1.352804750E-1
2.574846880E-1,-4.844684899E-1,-7.534237504E-1,7.124433666E-2
2.794768750E-1,-5.051506162E-1,-8.841314316E-1,1.172686741E-1
2.994768750E-1,-5.076813698E-1,-1.041769624E0,-3.164282069E-2
3.194768750E-1,-6.185970306E-1,-1.181989312E0,-2.418677211E-1
3.394768750E-1,-8.769755960E-1,-1.198622346E0,-4.143411517E-1
3.594768750E-1,-1.142789245E0,-1.010580540E0,-4.814665318E-1
3.794768750E-1,-1.169300795E0,-6.296449900E-1,-3.040363491E-1
3.994768750E-1,-9.122312665E-1,-5.063025355E-1,-6.007423252E-2
4.194768750E-1,-4.796339273E-1,-6.305699944E-1,5.358160660E-2
4.394768750E-1,-1.010894701E-1,-8.413010836E-1,6.108652451E-4
4.594800000E-1,4.623377323E-2,-9.178337455E-1,4.782202188E-3
4.814768750E-1,9.354964830E-3,-8.806408048E-1,9.946631640E-2
5.014784380E-1,-2.370157093E-2,-7.030360699E-1,1.308996975E-1
5.234768750E-1,1.139700040E-2,-6.717946529E-1,9.234537184E-2
5.434768750E-1,4.382521659E-2,-7.125132084E-1,3.352777660E-2
5.634768750E-1,2.740166849E-3,-7.712609768E-1,2.363175713E-2
5.834768750E-1,-1.022064835E-1,-8.234812617E-1,8.660323918E-2
6.035190630E-1,-1.657713652E-1,-8.866621852E-1,1.479341090E-1
6.254800000E-1,-1.038645431E-1,-8.996648788E-1,1.512502283E-1
6.474753130E-1,4.670501128E-2,-8.693833947E-1,1.238660142E-1
6.674815630E-1,2.314306647E-1,-8.096756935E-1,6.986553222E-2
6.894768750E-1,4.109203219E-1,-6.377956867E-1,9.906488657E-2
7.094768750E-1,5.269672871E-1,-3.218387067E-1,2.167175263E-1
7.294768750E-1,5.667083859E-1,-2.769837528E-2,3.298323154E-1
7.494768750E-1,5.603902936E-1,1.303586364E-1,3.650879860E-1
7.694768750E-1,5.127777457E-1,1.754928529E-1,2.931804061E-1
7.894768750E-1,4.241499007E-1,1.381777227E-1,1.223301291E-1
8.094940630E-1,2.444857210E-1,-1.939758956E-1,-9.068730474E-2
8.314768750E-1,-1.099557430E-2,-5.284158587E-1,-3.101799190E-1
8.534784380E-1,-1.464331299E-1,-3.070557714E-1,-2.799857259E-1
8.734784380E-1,-1.230631620E-1,1.201135591E-1,2.431243658E-2
