"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.692291666E-3,5.343887329E-2,9.439969482E0,1.983824615E0
2.470929167E-2,2.424957275E-2,8.901239777E0,2.157912598E0
4.472529167E-2,-6.765930176E-2,8.452023926E0,2.212998047E0
6.474229167E-2,-1.907034302E-1,8.051307220E0,2.192191315E0
8.475829167E-2,-2.664459229E-1,7.899672546E0,2.077529755E0
1.047752917E-1,-7.978408813E-2,7.786657562E0,1.789828033E0
1.247922917E-1,4.924758911E-2,7.821085968E0,1.509760437E0
1.448082917E-1,2.200424194E-1,7.780220947E0,1.418899384E0
1.648252917E-1,4.276606750E-1,7.783364410E0,1.515598297E0
1.848412917E-1,7.560777283E-1,8.199199677E0,2.172282715E0
2.048582917E-1,1.315763855E0,8.742869110E0,2.914140015E0
2.248752917E-1,1.816622314E0,9.024283905E0,2.692301331E0
2.448912917E-1,1.704804840E0,9.523046722E0,1.683848419E0
2.649082917E-1,1.065035248E0,1.020951920E1,8.511300659E-1
2.849242917E-1,8.180488586E-1,1.071262299E1,9.003776550E-1
3.049412917E-1,7.240443420E-1,1.088491470E1,1.222358093E0
3.249572917E-1,2.472857666E-1,1.096275284E1,1.688788147E0
3.449742917E-1,3.233276367E-2,1.140912460E1,2.358495483E0
3.649912917E-1,2.080673218E-1,1.157857224E1,3.016676788E0
3.850072917E-1,5.586383057E-1,1.125808868E1,3.292104034E0
4.050242917E-1,9.169931030E-1,1.062415695E1,2.800526276E0
4.250402917E-1,1.252445526E0,1.039513321E1,2.170486450E0
4.450572917E-1,1.328188019E0,1.022059616E1,1.896107025E0
4.650742917E-1,1.446142731E0,9.660910034E0,1.999691620E0
4.850902917E-1,1.528321838E0,9.145831146E0,2.281405792E0
5.051072917E-1,1.401535492E0,8.911119232E0,2.452200623E0
5.251232917E-1,1.179696808E0,9.029523010E0,2.804867249E0
5.451402917E-1,9.728269958E-1,8.819958801E0,3.100652161E0
5.651522917E-1,9.268725586E-1,8.542136536E0,2.945125580E0
5.851692917E-1,8.095166016E-1,8.247998199E0,2.329755249E0
6.051862917E-1,7.592211914E-1,8.097710724E0,1.506317596E0
6.252022917E-1,6.804849243E-1,8.062683563E0,1.053958282E0
6.452192917E-1,7.264393616E-1,8.119565277E0,8.074209595E-1
6.652352917E-1,8.497828674E-1,8.483159180E0,7.828720093E-1
6.852522917E-1,1.045426025E0,9.194030914E0,9.014254761E-1
7.052692917E-1,1.052910461E0,9.880952454E0,1.162931671E0
7.252852917E-1,8.744815063E-1,1.015652939E1,1.036444702E0
7.453022917E-1,4.842430115E-1,1.034798126E1,7.068301392E-1
7.653182917E-1,1.839674377E-1,1.039004379E1,6.162684631E-1
7.853352917E-1,2.844085693E-2,1.061337936E1,9.012757874E-1
8.053522917E-1,-2.255809021E-1,1.079435303E1,1.371897125E0
8.253682917E-1,-3.517684937E-1,1.106394241E1,1.970053253E0
8.453852917E-1,-2.715353394E-1,1.079046112E1,2.072590027E0
8.654012917E-1,-3.348536682E-1,1.071516769E1,1.977687378E0
8.854182917E-1,-5.176235962E-1,1.119177658E1,2.360890503E0
9.054352917E-1,-4.334985352E-1,1.122665405E1,3.213068390E0
9.254512917E-1,7.574249268E-2,1.066951263E1,3.589685211E0
9.454682917E-1,4.607418823E-1,9.944869537E0,3.235521698E0
9.654842917E-1,2.640509033E-1,9.534572754E0,2.562221832E0
9.855012917E-1,-1.502874756E-1,9.502539368E0,1.984573059E0
1.005518292E0,-3.851490784E-1,9.348060608E0,1.767225037E0
1.025534292E0,-4.749623108E-1,9.005572815E0,1.736838226E0
1.045551292E0,-5.025050354E-1,8.627758484E0,1.646126862E0
1.065567292E0,-5.303471375E-1,8.513096924E0,1.712588654E0
1.085584292E0,-3.787124634E-1,8.429720306E0,1.746717682E0
1.105601292E0,-2.510279846E-1,8.253087616E0,1.670526123E0
1.125617292E0,-2.299218750E-1,8.096513214E0,1.417103119E0
1.145634292E0,-2.420466614E-1,8.258326721E0,1.264570312E0
1.165650292E0,-1.410067749E-1,8.473579102E0,1.206042023E0
1.185667292E0,2.993774414E-2,8.803642731E0,1.340761871E0
1.205684292E0,2.639012146E-1,9.040150909E0,1.512005768E0
