"Time (s)","X (hPa)"
-5.573790833E-1,1.014993286E3
4.432029167E-1,1.014992447E3
1.443771917E0,1.014991608E3
2.444349917E0,1.014990005E3
3.444925917E0,1.014988251E3
4.445503917E0,1.014987793E3
4.996436917E0,1.014987793E3
5.997011917E0,1.014987793E3
6.997587917E0,1.014988861E3
7.998186917E0,1.014989395E3
8.998758917E0,1.014990311E3
9.999332917E0,1.014994583E3
1.099991092E1,1.014995728E3
1.200048692E1,1.014997864E3
1.300106092E1,1.014998779E3
1.400163892E1,1.015001373E3
1.500221292E1,1.015002899E3
1.600279292E1,1.015003738E3
1.700336592E1,1.015004959E3
1.800394892E1,1.015006409E3
1.900452192E1,1.015006409E3
2.000508492E1,1.015006409E3
2.100567392E1,1.015009232E3
2.200625092E1,1.015011063E3
2.300682692E1,1.015015182E3
2.400740192E1,1.015017014E3
2.500797992E1,1.015019455E3
2.600855592E1,1.015020523E3
2.700913792E1,1.015022278E3
2.800970792E1,1.015022736E3
2.901028392E1,1.015024567E3
3.001085992E1,1.015029221E3
3.101143592E1,1.015030594E3
3.201201192E1,1.015031433E3
3.301258892E1,1.015035400E3
3.401316692E1,1.015035400E3
3.501374592E1,1.015034943E3
3.601431692E1,1.015034943E3
3.701489792E1,1.015037003E3
3.801547392E1,1.015038071E3
3.901604892E1,1.015041580E3
4.001660492E1,1.015043488E3
4.101718292E1,1.015046005E3
4.201775592E1,1.015051117E3
4.301834992E1,1.015055847E3
4.401892192E1,1.015056763E3
4.501949992E1,1.015059280E3
4.602007892E1,1.015062180E3
4.702065692E1,1.015065308E3
4.802123092E1,1.015065689E3
4.902181292E1,1.015069885E3
5.002238192E1,1.015072861E3
5.102295992E1,1.015077362E3
5.202353492E1,1.015078735E3
5.302409692E1,1.015081635E3
5.402467592E1,1.015085220E3
5.502524792E1,1.015088272E3
5.602582592E1,1.015091171E3
5.702639792E1,1.015094757E3
5.802697392E1,1.015094757E3
5.902755392E1,1.015094376E3
6.002812592E1,1.015094376E3
6.102870592E1,1.015095825E3
6.202927992E1,1.015096283E3
6.302985292E1,1.015098801E3
6.403042992E1,1.015101776E3
6.503100792E1,1.015107880E3
6.603158592E1,1.015108948E3
6.703215692E1,1.015110779E3
6.803273492E1,1.015114517E3
6.903331192E1,1.015118027E3
7.003388492E1,1.015118942E3
7.103446492E1,1.015118103E3
7.203503892E1,1.015118103E3
7.303561792E1,1.015116119E3
7.403619192E1,1.015114594E3
7.503678392E1,1.015114594E3
7.603735892E1,1.015116730E3
7.703793292E1,1.015117950E3
7.803851292E1,1.015121002E3
7.903908692E1,1.015125961E3
8.003966792E1,1.015130157E3
8.104023992E1,1.015132141E3
8.204081492E1,1.015136948E3
8.304139592E1,1.015141678E3
8.404196792E1,1.015142136E3
8.504254092E1,1.015143967E3
8.604311892E1,1.015148392E3
8.704369392E1,1.015149460E3
8.804426892E1,1.015149460E3
8.904484592E1,1.015148239E3
9.004542792E1,1.015147781E3
9.104600392E1,1.015148239E3
9.204657992E1,1.015148544E3
9.304715092E1,1.015152206E3
9.404772992E1,1.015160294E3
9.504830692E1,1.015168533E3
9.604887992E1,1.015179062E3
9.704945692E1,1.015187607E3
9.805003192E1,1.015194397E3
9.905061092E1,1.015197678E3
1.000511859E2,1.015200882E3
1.010517649E2,1.015200882E3
1.020523379E2,1.015201721E3
1.030529209E2,1.015202789E3
1.040534929E2,1.015204391E3
1.050540489E2,1.015206223E3
1.060546269E2,1.015207748E3
1.070552039E2,1.015211258E3
1.080557799E2,1.015214767E3
1.090563549E2,1.015218658E3
1.100569319E2,1.015222931E3
1.110575119E2,1.015230255E3
1.120580809E2,1.015237274E3
1.130586619E2,1.015243454E3
1.140592339E2,1.015250397E3
1.150598119E2,1.015255051E3
1.160603879E2,1.015255585E3
1.170609799E2,1.015256195E3
1.180615599E2,1.015259323E3
1.190621309E2,1.015259399E3
1.200627099E2,1.015260696E3
1.210632839E2,1.015266571E3
1.220638609E2,1.015269775E3
1.230644359E2,1.015272598E3
1.240650129E2,1.015276184E3
1.250655929E2,1.015281219E3
1.260661679E2,1.015283356E3
1.270667419E2,1.015287781E3
1.280673159E2,1.015290375E3
1.290678919E2,1.015293198E3
1.300684699E2,1.015294037E3
1.310690449E2,1.015294647E3
1.320696219E2,1.015295258E3
1.330701999E2,1.015297775E3
1.340707789E2,1.015300064E3
1.350713459E2,1.015304489E3
1.360719279E2,1.015310287E3
1.370724979E2,1.015316315E3
1.380730769E2,1.015320740E3
1.390736559E2,1.015325317E3
1.400742359E2,1.015325546E3
1.410748099E2,1.015327377E3
1.420753829E2,1.015330505E3
1.430759559E2,1.015333862E3
1.440765319E2,1.015336533E3
1.450771099E2,1.015343170E3
1.460776839E2,1.015347977E3
1.470782649E2,1.015352173E3
