"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.220629167E-2,-2.406166196E-1,1.660673320E-1,-2.056982070E-1
4.222329167E-2,7.633586880E-3,2.117954791E-1,-8.950483799E-2
6.224029167E-2,2.473986894E-1,5.956973508E-2,5.340534821E-2
8.225629167E-2,4.379021227E-1,-1.174400374E-1,1.893219948E-1
1.022732917E-1,5.002069473E-1,-1.224014014E-1,2.525434792E-1
1.222892917E-1,4.090171158E-1,-1.063148454E-1,2.373011410E-1
1.423062917E-1,2.782817483E-1,-1.325675845E-1,1.482996345E-1
1.623232917E-1,1.751867086E-1,-2.552151084E-1,5.384174734E-2
1.823392917E-1,1.649547666E-1,-5.767795444E-1,7.493602484E-2
2.023562917E-1,3.359531462E-1,-9.436334968E-1,1.607526541E-1
2.223722917E-1,5.750271082E-1,-9.393678308E-1,1.543346196E-1
2.423892917E-1,4.831574857E-1,-6.630266309E-1,6.475103647E-2
2.624062917E-1,-7.444478571E-2,-4.612804353E-1,-9.138133377E-2
2.824222917E-1,-6.330542564E-1,-4.211573303E-1,-2.179642916E-1
3.024392917E-1,-9.065538049E-1,-3.825464845E-1,-2.951158881E-1
3.224552917E-1,-1.114947915E0,-3.419860899E-1,-3.135392666E-1
3.424722917E-1,-1.188262463E0,-2.500856817E-1,-1.136971712E-1
3.624882917E-1,-9.056215882E-1,-1.209033728E-1,1.718591154E-1
3.825052917E-1,-3.289496899E-1,-2.467015199E-2,2.929297090E-1
4.025222917E-1,1.278769821E-1,2.255012468E-2,1.712517291E-1
4.225382917E-1,1.677527577E-1,-5.304415524E-2,-3.789617494E-2
4.425552917E-1,-1.199902445E-1,-1.709122062E-1,-1.774153411E-1
4.625712917E-1,-3.423486650E-1,-1.516350210E-1,-3.113355041E-1
4.825882917E-1,-4.401647151E-1,-1.008446515E-1,-4.491820633E-1
5.026052917E-1,-5.423691869E-1,-1.598638892E-1,-4.865675867E-1
5.226212917E-1,-4.845926166E-1,-3.066221178E-1,-3.112545311E-1
5.426382917E-1,-1.456781924E-1,-4.015071690E-1,-9.120073915E-2
5.626502917E-1,2.679542005E-1,-3.964082301E-1,3.875309229E-2
5.826672917E-1,4.303253591E-1,-3.204241991E-1,2.204480581E-3
6.026832917E-1,3.296273351E-1,-1.663251370E-1,-1.148320287E-1
6.227002917E-1,1.444884688E-1,-1.210243851E-1,-2.538824975E-1
6.427172917E-1,2.723178826E-2,-1.297671795E-1,-3.340463936E-1
6.627332917E-1,5.528791621E-2,-1.234120131E-1,-2.624012530E-1
6.827502917E-1,2.330545485E-1,-1.844705194E-1,-7.922602445E-2
7.027662917E-1,4.809934795E-1,-3.076600730E-1,5.647215247E-2
7.227832917E-1,6.192891002E-1,-3.030645847E-1,-2.622157335E-4
7.428002917E-1,5.293431282E-1,-1.512038857E-1,-1.506619453E-1
7.628162917E-1,3.030478358E-1,3.908072412E-2,-2.943677902E-1
7.828332917E-1,7.443525642E-2,1.542775184E-1,-3.698334396E-1
8.028492917E-1,-8.405771106E-2,2.112737745E-1,-3.740580082E-1
8.228662917E-1,-7.530870289E-2,2.758973837E-1,-3.137696385E-1
8.428832917E-1,4.869704321E-2,4.506778717E-1,-2.412582338E-1
