"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.220629167E-2,-4.636140712E-1,-5.861313289E-1,1.653064875E-1
4.222329167E-2,-5.276960830E-1,-9.493720597E-1,2.611907378E-1
6.224029167E-2,-6.065600386E-1,-1.468999497E0,2.695665818E-1
8.225629167E-2,-7.835646120E-1,-1.672095516E0,2.819550776E-1
1.022732917E-1,-6.692079842E-1,-1.829882630E0,1.301590204E-1
1.222892917E-1,-5.936011469E-1,-1.839897741E0,-1.045166409E-1
1.423062917E-1,-4.623975945E-1,-1.859111692E0,-1.871566553E-1
1.623232917E-1,-3.098679310E-1,-1.898007370E0,-1.124314320E-1
1.823392917E-1,-6.811341114E-2,-1.646306956E0,3.788748698E-1
2.023562917E-1,3.636672121E-1,-1.027557519E0,1.318530611E0
2.223722917E-1,9.406678214E-1,-7.464081877E-1,1.476659203E0
2.423892917E-1,1.000624367E0,-4.274267864E-1,8.081389976E-1
2.624062917E-1,4.137268332E-1,3.908039206E-1,-1.093106268E-1
2.824222917E-1,1.291905753E-2,8.098615873E-1,-4.678499039E-1
3.024392917E-1,4.350467317E-2,1.207378696E0,-3.016001143E-1
3.224552917E-1,-3.467410576E-1,1.216524911E0,-2.782339096E-2
3.424722917E-1,-6.427561308E-1,1.661935979E0,2.988212250E-1
3.624882917E-1,-5.686242536E-1,2.031535556E0,7.935395233E-1
3.825052917E-1,-3.587462685E-1,1.830189024E0,1.186715221E0
4.025222917E-1,9.830119684E-3,1.268988469E0,8.203061762E-1
4.225382917E-1,3.266115061E-1,9.251523077E-1,2.610071352E-1
4.425552917E-1,5.169078970E-1,7.370427024E-1,-1.722800231E-1
4.625712917E-1,6.037094479E-1,3.390402746E-1,-1.917994907E-1
4.825882917E-1,8.360056579E-1,-2.549748552E-1,-1.833920717E-2
5.026052917E-1,8.292638183E-1,-5.824586928E-1,5.682324171E-2
5.226212917E-1,7.160164073E-1,-4.821473694E-1,2.881215513E-1
5.426382917E-1,4.769985671E-1,-5.712302846E-1,5.615896878E-1
5.626502917E-1,3.949498889E-1,-8.422352815E-1,6.138617492E-1
5.826672917E-1,2.647376588E-1,-1.163522240E0,1.838066393E-1
6.026832917E-1,2.216576762E-1,-1.404338062E0,-5.661386754E-1
6.227002917E-1,1.749144861E-1,-1.459985429E0,-1.117256731E0
6.427172917E-1,2.071618804E-1,-1.450085508E0,-1.364123252E0
6.627332917E-1,3.864027214E-1,-1.228706415E0,-1.446812822E0
6.827502917E-1,5.662233138E-1,-6.271898925E-1,-1.367959610E0
7.027662917E-1,6.629798225E-1,1.503593963E-1,-1.059420313E0
7.227832917E-1,4.924819941E-1,5.071465552E-1,-9.020736399E-1
7.428002917E-1,1.798346257E-1,7.018915808E-1,-1.110630081E0
7.628162917E-1,-1.402229922E-1,7.480079859E-1,-1.241489744E0
7.828332917E-1,-2.318710443E-1,8.768005121E-1,-1.029092413E0
8.028492917E-1,-4.047469353E-1,1.080791155E0,-6.139016564E-1
8.228662917E-1,-5.135510105E-1,1.412861549E0,3.057260558E-2
8.428832917E-1,-4.043837866E-1,1.260043983E0,2.678722049E-1
8.628992917E-1,-3.313757443E-1,1.019112386E0,1.824050617E-1
8.829162917E-1,-5.086051431E-1,1.360838286E0,3.348289637E-1
9.029322917E-1,-5.757598302E-1,1.659992364E0,1.112527357E0
9.229492917E-1,-2.427939355E-1,1.271585217E0,1.725564795E0
9.429662917E-1,2.123325915E-1,4.928331560E-1,1.645584386E0
9.629822917E-1,1.471197465E-1,-3.822207928E-2,1.101728865E0
9.829992917E-1,-2.719241792E-1,-1.684296316E-1,4.825414717E-1
1.003015292E0,-5.842333958E-1,-2.507063878E-1,1.440692541E-1
1.023032292E0,-7.368500367E-1,-5.406522703E-1,9.920386076E-2
1.043049292E0,-7.619895557E-1,-9.170960140E-1,-5.684896946E-2
1.063065292E0,-8.033635765E-1,-1.141951277E0,-1.278799219E-1
1.083082292E0,-7.093383023E-1,-1.136614523E0,-1.338743412E-1
1.103098292E0,-5.749532068E-1,-1.323093340E0,-2.243833923E-1
1.123115292E0,-5.518222064E-1,-1.462110307E0,-4.802101868E-1
1.143132292E0,-6.140821892E-1,-1.404842092E0,-6.860106893E-1
1.163148292E0,-5.767226108E-1,-1.182757825E0,-8.009834674E-1
1.183165292E0,-4.554437202E-1,-8.971394670E-1,-7.582505536E-1
1.203182292E0,-3.464283047E-1,-5.822207111E-1,-5.132618657E-1
1.223198292E0,-1.187830066E-1,-5.028693169E-1,-3.524299599E-1
1.243215292E0,1.040815715E-1,-3.786089677E-1,-3.595233634E-2
1.263231292E0,3.144633309E-1,-2.934892952E-1,2.182511249E-1
1.283248292E0,3.564971370E-1,1.726168227E-1,5.391243929E-1
1.303265292E0,8.390432864E-2,5.227937043E-1,7.727300137E-1
1.323281292E0,4.302432440E-2,7.852664441E-1,6.438437860E-1
1.343298292E0,5.511000752E-2,1.063100989E0,2.571009028E-1
1.363315292E0,-1.547641039E-1,1.660337934E0,-3.167670608E-2
1.383331292E0,-7.922918737E-2,1.662949301E0,3.984292746E-3
1.403348292E0,1.784375797E-1,1.197888665E0,-5.063557193E-2
1.423364292E0,1.538308883E-1,1.018386161E0,-2.232700825E-1
1.443381292E0,-7.931894213E-2,1.317515096E0,-3.211875558E-2
1.463398292E0,-5.690554127E-2,1.324468605E0,4.316117848E-1
1.483414292E0,4.826167546E-2,7.650204599E-1,4.358244114E-1
1.503431292E0,1.151981883E-2,2.900704283E-1,1.418813722E-1
1.523448292E0,5.443611592E-2,1.739839017E-1,3.163051307E-2
1.543464292E0,2.754749009E-1,1.097171545E-2,5.020822817E-1
1.563486958E0,7.284712690E-1,-6.994392586E-1,7.907435310E-1
1.583503958E0,1.055778375E0,-1.544208723E0,8.758143792E-1
1.603519958E0,1.078531206E0,-1.697180071E0,5.907441974E-1
1.623536958E0,8.672093242E-1,-2.173446311E0,3.087400031E-1
1.643553958E0,7.153531869E-1,-2.505199785E0,2.840913579E-1
1.663569958E0,7.914745791E-1,-2.638348487E0,3.188466230E-1
1.683586958E0,8.537746154E-1,-2.648283491E0,-1.387009254E-1
1.703603958E0,5.873487192E-1,-2.477965794E0,-7.953341800E-1
1.723619958E0,2.894327894E-2,-2.114308741E0,-1.371968754E0
1.743636958E0,-3.931773055E-1,-1.345779952E0,-1.567903980E0
1.763652958E0,-6.134063242E-1,-4.643677408E-1,-1.473537082E0
1.783669958E0,-5.468389168E-1,3.013304114E-1,-1.274015320E0
1.803686958E0,-5.198122456E-1,8.054580492E-1,-1.216707636E0
1.823702958E0,-7.204602912E-1,1.335126910E0,-1.125389623E0
1.843719958E0,-8.762015379E-1,1.908439972E0,-7.144622174E-1
1.863736958E0,-6.445555383E-1,2.234006508E0,-1.363778266E-1
1.883753958E0,-3.040707090E-1,2.401307627E0,1.362214136E-1
1.903769958E0,4.720427960E-2,2.307927593E0,2.730749112E-1
1.923786958E0,4.678818443E-1,1.766078398E0,3.350473572E-1
1.943803958E0,4.304363118E-1,1.446702894E0,2.447034900E-1
1.963819958E0,3.188546995E-2,1.654567902E0,6.258733919E-1
1.983836958E0,1.184157649E-1,1.791113836E0,1.462624277E0
2.003853958E0,6.561002809E-1,1.200149199E0,2.243633949E0
2.023869958E0,1.052745862E0,1.798451507E-1,1.933937633E0
2.043886958E0,4.336330211E-1,-4.462214917E-1,1.059586812E0
2.063903958E0,-2.590757999E-1,-5.542967480E-1,1.085387944E-1
2.083919958E0,-4.925755861E-1,-7.441459000E-2,-1.035063882E-1
2.103936958E0,-1.637936849E-1,1.180962145E-2,2.430395186E-3
2.123953958E0,-5.161397556E-2,-1.519416529E-1,-5.284494236E-2
2.143969958E0,-2.318991475E-1,-9.978916705E-2,-4.631162904E-1
2.163986958E0,-5.175177616E-1,-1.281551796E-1,-7.097901459E-1
2.184003958E0,-5.032447447E-1,-2.213445944E-1,-6.216728984E-1
2.204020958E0,-3.738247758E-1,-5.585365641E-1,-5.393448329E-1
2.224036958E0,-2.989628921E-1,-7.795958143E-1,-6.579007848E-1
2.244053958E0,-2.410854157E-1,-9.305030948E-1,-8.866755822E-1
2.264070958E0,-1.954125218E-1,-1.141326209E0,-1.051082914E0
2.284086958E0,-2.027545416E-1,-1.156520784E0,-1.043947849E0
2.304103958E0,-1.386854668E-1,-1.251072015E0,-1.080295604E0
2.324120958E0,-7.245783756E-2,-1.029059084E0,-8.631199278E-1
2.344136958E0,4.211895615E-2,-8.914577276E-1,-4.522318447E-1
2.364153958E0,1.780100021E-1,-7.448113132E-1,-1.160438418E-1
2.384170958E0,1.680714896E-1,-2.919596636E-1,1.856461734E-1
2.404187958E0,3.459296834E-2,4.034017467E-1,4.484776399E-1
