"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.629002094E-2,3.211668100E1,1.189574165E2,1.994734478E1,-1.000000000E0,-1.000000000E0,5.833650759E1,5.833650759E1
3.910330534E-1,3.211667501E1,1.189574132E2,1.994645667E1,-1.000000000E0,-1.000000000E0,5.836535903E1,5.836535903E1
4.103670120E-1,3.211667465E1,1.189574130E2,1.994645667E1,-1.000000000E0,-1.000000000E0,5.836546232E1,5.836546232E1
4.832429886E-1,3.211733876E1,1.189575243E2,2.039856076E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
7.997982383E0,3.211736889E1,1.189575369E2,1.948387318E1,7.661746144E-1,3.348460212E2,1.863474021E1,1.863474021E1
8.948006630E0,3.211737856E1,1.189575167E2,1.947728784E1,8.841459155E-1,3.223892448E2,1.724590011E1,1.724590011E1
9.897410393E0,3.211738604E1,1.189575096E2,1.948690352E1,8.841459155E-1,3.154346207E2,1.684656448E1,1.684656448E1
1.084497750E1,3.211739119E1,1.189574872E2,1.949451074E1,7.784773111E-1,2.997585332E2,1.482086986E1,1.482086986E1
1.179248774E1,3.211740082E1,1.189574756E2,1.952331692E1,7.444211245E-1,3.052171468E2,1.365005369E1,1.365005369E1
1.273991656E1,3.211740677E1,1.189574605E2,1.955607654E1,7.437270880E-1,2.978956343E2,1.255501391E1,1.255501391E1
1.368748355E1,3.211741463E1,1.189574550E2,1.959223832E1,9.007623792E-1,3.018319001E2,1.218924701E1,1.218924701E1
1.463514781E1,3.211742072E1,1.189574379E2,1.961914189E1,1.372117758E0,2.952959544E2,1.213338597E1,1.213338597E1
1.563086188E1,3.211741923E1,1.189574251E2,1.965845372E1,1.292327046E0,2.841534157E2,1.155059317E1,1.155059317E1
1.662869000E1,3.211742208E1,1.189574118E2,1.965845386E1,1.292327046E0,2.841534086E2,1.155059317E1,1.155059317E1
1.762668586E1,3.211741433E1,1.189573988E2,1.969300721E1,1.317915082E0,2.712768635E2,1.065689297E1,1.065689297E1
1.862478435E1,3.211740425E1,1.189573873E2,1.977244289E1,1.292327046E0,2.649827255E2,9.783576515E0,9.783576515E0
1.962303317E1,3.211739985E1,1.189573739E2,1.978306205E1,1.146789193E0,2.621145278E2,9.278633788E0,9.278633788E0
2.062137520E1,3.211738601E1,1.189573535E2,1.979687676E1,1.173043847E0,2.569324920E2,8.899305314E0,8.899305314E0
2.161986029E1,3.211737628E1,1.189573380E2,1.980848453E1,1.173043847E0,2.645000096E2,8.990485676E0,8.990485676E0
