"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.220629167E-2,1.401292419E1,-2.704452515E1,-3.554440308E1
4.222329167E-2,1.423846436E1,-2.670782471E1,-3.567051697E1
6.224029167E-2,1.434840393E1,-2.664527893E1,-3.597961426E1
8.225629167E-2,1.441050720E1,-2.670343018E1,-3.615016174E1
1.022732917E-1,1.428454590E1,-2.711424255E1,-3.550271606E1
1.222892917E-1,1.411286926E1,-2.775091553E1,-3.520385742E1
1.423062917E-1,1.393405151E1,-2.832014465E1,-3.490242004E1
1.623232917E-1,1.372981262E1,-2.822578430E1,-3.494815063E1
1.823392917E-1,1.363809204E1,-2.854637146E1,-3.446397400E1
2.023562917E-1,1.306022644E1,-2.859201050E1,-3.490922546E1
2.223722917E-1,1.234075928E1,-2.872273254E1,-3.493286133E1
2.423892917E-1,1.155912781E1,-2.931672668E1,-3.484446716E1
2.624062917E-1,1.077001953E1,-2.929763794E1,-3.475846863E1
2.824222917E-1,1.043013000E1,-2.896821594E1,-3.533317566E1
3.024392917E-1,9.832107544E0,-2.812051392E1,-3.614491272E1
3.224552917E-1,9.641052246E0,-2.727371216E1,-3.689450073E1
3.424722917E-1,1.042037964E1,-2.712152100E1,-3.658729553E1
3.624882917E-1,1.024931335E1,-2.602037048E1,-3.785388184E1
3.825052917E-1,1.011352539E1,-2.529119873E1,-3.839276123E1
4.025222917E-1,1.017791748E1,-2.563232422E1,-3.823658752E1
4.225382917E-1,9.650451660E0,-2.534439087E1,-3.867848206E1
4.425552917E-1,9.923477173E0,-2.571502686E1,-3.820480347E1
4.625712917E-1,1.001766968E1,-2.539686584E1,-3.839517212E1
4.825882917E-1,1.004745483E1,-2.545356750E1,-3.814562988E1
5.026052917E-1,1.055401611E1,-2.497500610E1,-3.857838440E1
5.226212917E-1,1.049555969E1,-2.464297485E1,-3.875749207E1
5.426382917E-1,1.044921875E1,-2.427676392E1,-3.934382629E1
5.626502917E-1,9.972366333E0,-2.383958435E1,-3.919487000E1
5.826672917E-1,1.003601074E1,-2.424253845E1,-3.913404846E1
6.026832917E-1,1.000930786E1,-2.463021851E1,-3.880526733E1
6.227002917E-1,9.935012817E0,-2.475125122E1,-3.859800720E1
6.427172917E-1,9.800399780E0,-2.490734863E1,-3.852520752E1
6.627332917E-1,9.925994873E0,-2.464140320E1,-3.917321777E1
6.827502917E-1,9.856460571E0,-2.475854492E1,-3.859002686E1
7.027662917E-1,9.865753174E0,-2.496482849E1,-3.910848999E1
7.227832917E-1,9.509780884E0,-2.571490479E1,-3.826348877E1
7.428002917E-1,9.405578613E0,-2.611189270E1,-3.773524475E1
7.628162917E-1,9.513183594E0,-2.638284302E1,-3.754968262E1
7.828332917E-1,9.857955933E0,-2.656689453E1,-3.787796021E1
8.028492917E-1,1.003312683E1,-2.646620178E1,-3.769952393E1
8.228662917E-1,1.042161560E1,-2.631515503E1,-3.776730347E1
8.428832917E-1,1.110148621E1,-2.645628357E1,-3.693199158E1
8.628992917E-1,1.149099731E1,-2.650178528E1,-3.717544556E1
8.829162917E-1,1.161825562E1,-2.615551758E1,-3.715811157E1
9.029322917E-1,1.155549622E1,-2.619044495E1,-3.714631653E1
9.229492917E-1,1.148159790E1,-2.640824890E1,-3.733067322E1
9.429662917E-1,1.088597107E1,-2.645570374E1,-3.705651855E1
9.629822917E-1,1.140141296E1,-2.702830505E1,-3.650784302E1
9.829992917E-1,1.179112244E1,-2.730357361E1,-3.632000732E1
1.003015292E0,1.162002563E1,-2.729209900E1,-3.591470337E1
1.023032292E0,1.169354248E1,-2.755999756E1,-3.623873901E1
1.043049292E0,1.157443237E1,-2.718688965E1,-3.649513245E1
1.063065292E0,1.145942688E1,-2.704499817E1,-3.673101807E1
1.083082292E0,1.124909973E1,-2.701977539E1,-3.674362183E1
1.103098292E0,1.149411011E1,-2.669395447E1,-3.704270935E1
1.123115292E0,1.140901184E1,-2.616871643E1,-3.707472229E1
1.143132292E0,1.134594727E1,-2.609539795E1,-3.713322449E1
1.163148292E0,1.179885864E1,-2.623718262E1,-3.686508179E1
1.183165292E0,1.206674194E1,-2.644709778E1,-3.683656311E1
1.203182292E0,1.169578552E1,-2.656076050E1,-3.683927917E1
1.223198292E0,1.158323669E1,-2.648672485E1,-3.690895081E1
1.243215292E0,1.145889282E1,-2.671372986E1,-3.671475220E1
1.263231292E0,1.123934937E1,-2.689572144E1,-3.688783264E1
1.283248292E0,1.134005737E1,-2.714260864E1,-3.698764038E1
1.303265292E0,1.056623840E1,-2.743280029E1,-3.650724792E1
1.323281292E0,1.022505188E1,-2.821884155E1,-3.603904724E1
1.343298292E0,9.159225464E0,-2.813356018E1,-3.604562378E1
1.363315292E0,8.769393921E0,-2.842172241E1,-3.600660706E1
1.383331292E0,8.888366699E0,-2.851802063E1,-3.612748718E1
1.403348292E0,8.959762573E0,-2.833580017E1,-3.621400452E1
1.423364292E0,9.033050537E0,-2.814248657E1,-3.639297485E1
1.443381292E0,8.745941162E0,-2.757847595E1,-3.686468506E1
1.463398292E0,8.741119385E0,-2.762402344E1,-3.640454102E1
1.483414292E0,8.228012085E0,-2.760598755E1,-3.655059814E1
1.503431292E0,8.263961792E0,-2.773901367E1,-3.647557068E1
1.523448292E0,8.490386963E0,-2.780062866E1,-3.639057922E1
1.543464292E0,8.431747437E0,-2.746138000E1,-3.690539551E1
1.563486958E0,8.041549683E0,-2.696952820E1,-3.692289734E1
1.583503958E0,7.964889526E0,-2.714291382E1,-3.685156250E1
1.603519958E0,7.933883667E0,-2.658891296E1,-3.716200256E1
1.623536958E0,7.421310425E0,-2.656800842E1,-3.689826965E1
1.643553958E0,6.963272095E0,-2.635583496E1,-3.741499329E1
1.663569958E0,6.382110596E0,-2.640447998E1,-3.806675720E1
1.683586958E0,6.298858643E0,-2.619711304E1,-3.765309143E1
1.703603958E0,6.109100342E0,-2.622195435E1,-3.739622498E1
1.723619958E0,6.601333618E0,-2.567958069E1,-3.785598755E1
1.743636958E0,6.917587280E0,-2.534896851E1,-3.802392578E1
1.763652958E0,7.090988159E0,-2.461257935E1,-3.872105408E1
1.783669958E0,7.726837158E0,-2.410136414E1,-3.891076660E1
1.803686958E0,8.121398926E0,-2.380622864E1,-3.915950012E1
1.823702958E0,8.120376587E0,-2.347871399E1,-3.881932068E1
1.843719958E0,8.377426147E0,-2.361030579E1,-3.917709351E1
1.863736958E0,8.319549561E0,-2.376037598E1,-3.880499268E1
1.883753958E0,8.286361694E0,-2.408824158E1,-3.849244690E1
1.903769958E0,8.148269653E0,-2.408482361E1,-3.823797607E1
1.923786958E0,8.653366089E0,-2.411012268E1,-3.816810608E1
1.943803958E0,9.097213745E0,-2.410624695E1,-3.836909485E1
1.963819958E0,9.671157837E0,-2.361933899E1,-3.903691101E1
1.983836958E0,1.016583252E1,-2.373013306E1,-3.834480286E1
2.003853958E0,1.045414734E1,-2.380801392E1,-3.837271118E1
2.023869958E0,1.034394836E1,-2.394140625E1,-3.813275146E1
2.043886958E0,1.088128662E1,-2.423959351E1,-3.759619141E1
2.063903958E0,1.131672668E1,-2.492994690E1,-3.760903931E1
2.083919958E0,1.126614380E1,-2.450596619E1,-3.747862244E1
2.103936958E0,1.141554260E1,-2.449537659E1,-3.748886108E1
2.123953958E0,1.109687805E1,-2.446697998E1,-3.774873352E1
2.143969958E0,1.083949280E1,-2.466908264E1,-3.771437073E1
2.163986958E0,1.100769043E1,-2.470179749E1,-3.751776123E1
2.184003958E0,1.096621704E1,-2.444209290E1,-3.778608704E1
2.204020958E0,1.120407104E1,-2.435577393E1,-3.829811096E1
2.224036958E0,1.093627930E1,-2.434881592E1,-3.778251648E1
2.244053958E0,1.114898682E1,-2.418070984E1,-3.814622498E1
2.264070958E0,1.162451172E1,-2.456080627E1,-3.755798340E1
2.284086958E0,1.163523865E1,-2.420875549E1,-3.741526794E1
2.304103958E0,1.223760986E1,-2.444377136E1,-3.750602722E1
2.324120958E0,1.192196655E1,-2.450080872E1,-3.779536438E1
2.344136958E0,1.201158142E1,-2.456915283E1,-3.732154846E1
2.364153958E0,1.198310852E1,-2.494529724E1,-3.690885925E1
2.384170958E0,1.190686035E1,-2.524519348E1,-3.695669556E1
2.404187958E0,1.179966736E1,-2.523138428E1,-3.723034668E1
2.424203958E0,1.150506592E1,-2.512661743E1,-3.695277405E1
2.444220958E0,1.130862427E1,-2.531333923E1,-3.736711121E1
2.464237958E0,1.112712097E1,-2.527941895E1,-3.726338196E1
2.484253958E0,1.125926208E1,-2.529490662E1,-3.731321716E1
2.504270958E0,1.127278137E1,-2.507356262E1,-3.665217590E1
2.524287958E0,1.107264709E1,-2.498396301E1,-3.705155945E1
2.544304958E0,1.132511902E1,-2.457984924E1,-3.745599365E1
2.564315458E0,1.132872009E1,-2.386335754E1,-3.793807983E1
2.584332458E0,1.121357727E1,-2.415861511E1,-3.800093079E1
2.604349458E0,1.123773193E1,-2.423400879E1,-3.808122253E1
2.624365458E0,1.144082642E1,-2.455432129E1,-3.747183228E1
2.644382458E0,1.130393982E1,-2.471015930E1,-3.765376282E1
2.664399458E0,1.114179993E1,-2.469992065E1,-3.778053284E1
2.684416458E0,1.116290283E1,-2.502508545E1,-3.743725586E1
2.704432458E0,1.063510132E1,-2.506221008E1,-3.778065491E1
2.724449458E0,1.053489685E1,-2.500079346E1,-3.734350586E1
2.744466458E0,1.029948425E1,-2.481970215E1,-3.754985046E1
2.764483458E0,1.057775879E1,-2.478823853E1,-3.721154785E1
2.784499458E0,1.079988098E1,-2.516323853E1,-3.708355713E1
2.804516458E0,1.135766602E1,-2.544522095E1,-3.662843323E1
2.824533458E0,1.162658691E1,-2.589077759E1,-3.646911621E1
2.844550458E0,1.166297913E1,-2.585798645E1,-3.662333679E1
2.864566458E0,1.192286682E1,-2.595539856E1,-3.635507202E1
2.884583458E0,1.206457520E1,-2.627319336E1,-3.589103699E1
2.904600458E0,1.169216919E1,-2.635581970E1,-3.609269714E1
2.924617458E0,1.148941040E1,-2.641917419E1,-3.614984131E1
2.944633458E0,1.128733826E1,-2.670346069E1,-3.609675598E1
2.964650458E0,1.098390198E1,-2.707214355E1,-3.576707458E1
2.984667458E0,1.092565918E1,-2.741464233E1,-3.563098145E1
3.004683458E0,1.113514709E1,-2.745875549E1,-3.514076233E1
3.024700458E0,1.127001953E1,-2.740808105E1,-3.513175964E1
3.044717458E0,1.181271362E1,-2.728744507E1,-3.472151184E1
3.064734458E0,1.246205139E1,-2.675268555E1,-3.542497253E1
3.084750458E0,1.323756409E1,-2.585415649E1,-3.574099731E1
3.104767458E0,1.371043396E1,-2.537489319E1,-3.595938110E1
3.124784458E0,1.429447937E1,-2.526481628E1,-3.574003601E1
3.144801458E0,1.501701355E1,-2.587019348E1,-3.492277527E1
3.164817458E0,1.558123779E1,-2.624156189E1,-3.440893555E1
3.184834458E0,1.555006409E1,-2.626007080E1,-3.428912354E1
3.204851458E0,1.524874878E1,-2.604685974E1,-3.491065979E1
3.224868458E0,1.480552673E1,-2.610488892E1,-3.475698853E1
3.244885458E0,1.437187195E1,-2.650013733E1,-3.523890686E1
3.264901458E0,1.397067261E1,-2.644985962E1,-3.501863098E1
