"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.399843700E-2,9.829999506E-2,-1.030000001E-1,1.596999913E-1
3.400156200E-2,-2.028999925E-1,5.240000039E-2,2.606999874E-1
6.399843700E-2,1.360999942E-1,4.569999874E-2,8.819999546E-2
8.400000000E-2,1.894999892E-1,1.249999925E-2,1.440999955E-1
1.139968750E-1,-1.648000032E-1,-8.590000123E-2,3.197000027E-1
1.340062500E-1,-3.964999914E-1,-8.219999820E-2,1.314999908E-1
1.639984370E-1,-9.099999815E-2,1.074000001E-1,-1.524000019E-1
1.839984370E-1,2.525999844E-1,-3.309999779E-2,2.329999954E-2
2.040000000E-1,-1.300000004E-3,-1.324999928E-1,5.156999826E-1
2.340015620E-1,-2.109999955E-1,-8.150000125E-2,1.425999999E-1
2.639984370E-1,-3.099999856E-3,1.620000005E-1,-5.079999939E-2
2.840015620E-1,2.960000001E-2,2.113999873E-1,6.430000067E-2
3.139984370E-1,-9.899999946E-3,2.559999935E-2,5.388000011E-1
3.339984370E-1,-6.289999932E-2,1.127000004E-1,1.489999890E-1
3.639984370E-1,-2.599999867E-2,6.359999627E-2,-3.819999844E-2
3.839984370E-1,-3.209999800E-1,3.231999874E-1,-3.770000041E-1
4.139984370E-1,2.636999786E-1,-4.088999927E-1,4.443999827E-1
4.439968750E-1,-2.615000010E-1,1.321000010E-1,7.328999639E-1
4.639968750E-1,1.467999965E-1,5.399999674E-3,-1.929999888E-2
4.839984370E-1,-6.619999558E-2,2.654999793E-1,-5.077999830E-1
5.139968750E-1,1.165999994E-1,1.869999990E-2,-6.814000010E-1
5.339968750E-1,-6.669999659E-2,-3.279999793E-1,3.692999780E-1
5.539984370E-1,1.856999993E-1,-2.888999879E-1,6.092999578E-1
5.839968750E-1,1.774999946E-1,-1.863999963E-1,2.933999896E-1
6.039968750E-1,-2.667999864E-1,6.340000033E-2,-5.139999837E-2
6.239968750E-1,-3.793999851E-1,8.590000123E-2,-7.339999825E-2
6.439968750E-1,-2.039999887E-2,-4.108999968E-1,3.932999969E-1
6.639968750E-1,4.329999909E-2,-1.125999987E-1,3.427999914E-1
6.839968750E-1,1.688999981E-1,-1.200000010E-2,5.969999731E-2
7.039984370E-1,-7.299999706E-3,1.087999940E-1,-1.159999967E-1
7.339968750E-1,-7.759999484E-2,-4.380000010E-2,5.999999703E-4
7.539968750E-1,1.163999960E-1,2.649999969E-2,-2.822999954E-1
7.739968750E-1,1.498000026E-1,3.350000083E-2,7.159999758E-2
7.939968750E-1,5.029999837E-2,-7.699999958E-2,3.452000022E-1
8.139968750E-1,-2.265999913E-1,-8.859999478E-2,2.859999835E-1
8.339968750E-1,-8.229999989E-2,-9.950000048E-2,1.497000009E-1
8.539984370E-1,1.779999956E-2,1.385999918E-1,4.439999908E-2
8.839984370E-1,2.404999882E-1,-1.957999915E-1,4.310999811E-1
9.139984370E-1,-3.421999812E-1,2.622999847E-1,2.529999912E-1
9.439968750E-1,-2.358999997E-1,-2.833999991E-1,-1.010999978E-1
9.639968750E-1,-5.138999820E-1,1.194999963E-1,6.889999658E-2
9.839984370E-1,-3.902999759E-1,4.999999888E-3,-1.115100026E0
1.013998437E0,1.482999921E-1,1.132999957E-1,6.428999901E-1
1.043996875E0,-6.556000113E-1,-2.005999982E-1,9.339999408E-2
1.064003125E0,-2.052999884E-1,-1.805000007E-1,-4.149999917E-1
1.093998437E0,2.405999899E-1,2.678999901E-1,2.231999934E-1
1.113998437E0,2.122999877E-1,3.073999882E-1,6.371999979E-1
1.133998437E0,3.712999821E-1,-2.326999903E-1,8.960999846E-1
1.154006250E0,-3.269999847E-2,2.879999951E-2,4.339999855E-1
1.183998437E0,2.536000013E-1,-9.709999710E-2,1.224999949E-1
1.204003125E0,3.493999839E-1,-8.899999782E-3,-9.489999712E-2
1.233998437E0,-1.617999971E-1,-1.884000003E-1,5.379999876E-1
1.253998437E0,-1.733999997E-1,1.159999985E-2,-3.999999899E-4
1.273998437E0,1.631999910E-1,-1.459999941E-2,-2.834999859E-1
1.293998437E0,8.529999852E-2,6.859999895E-2,-1.764999926E-1
1.323996875E0,2.679999918E-2,-2.167999893E-1,2.129999995E-1
1.343998437E0,-1.953999996E-1,-1.263999939E-1,3.003999889E-1
1.373996875E0,-1.730000041E-2,3.419999778E-2,7.599999756E-2
1.393998437E0,2.716000080E-1,-1.260000002E-2,1.151999980E-1
1.423996875E0,-1.190999970E-1,1.179999951E-2,2.620999813E-1
