"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-2.057280064E0,1.323265791E0,9.572535515E0
2.000312500E-2,-1.917870522E0,1.319434881E0,9.683597565E0
4.200000000E-2,-1.814086676E0,1.296230316E0,9.916802406E0
6.200156300E-2,-1.582270384E0,1.103229046E0,9.514107704E0
8.400000000E-2,-1.605925202E0,1.008782506E0,9.694792747E0
1.040000000E-1,-1.409524083E0,1.021318555E0,9.577888489E0
1.240000000E-1,-1.314847708E0,9.849841595E-1,1.001787567E1
1.440046880E-1,-1.159521461E0,7.797723413E-1,1.010502529E1
1.660000000E-1,-9.587724805E-1,4.430518150E-1,1.049780846E1
1.860046880E-1,-6.788328290E-1,3.506260514E-1,1.036348438E1
2.080000000E-1,-6.692272425E-1,4.843565822E-1,1.036630917E1
2.280015630E-1,-8.154459000E-1,7.291780114E-1,1.013366890E1
2.500000000E-1,-7.154257894E-1,8.846958876E-1,9.542110443E0
2.700000000E-1,-3.820188344E-1,6.670150161E-1,9.622747421E0
2.900000000E-1,-4.654423892E-1,5.322214365E-1,9.741709709E0
3.100046880E-1,-7.017117739E-1,7.279809713E-1,9.961880684E0
3.300187500E-1,-6.185946465E-1,7.525167465E-1,9.724452019E0
3.520156250E-1,-5.206813812E-1,7.356998920E-1,9.485673904E0
3.740015630E-1,-6.074280739E-1,6.640270352E-1,9.711638451E0
3.940046880E-1,-7.227711678E-1,6.765439510E-1,9.922701836E0
4.160015630E-1,-8.328757286E-1,7.502183318E-1,9.909725189E0
4.360015630E-1,-7.790157199E-1,7.114706039E-1,9.947840691E0
4.560015630E-1,-7.243896723E-1,6.051297188E-1,9.923497200E0
4.760093750E-1,-5.737177730E-1,4.493246078E-1,9.624814987E0
4.980000000E-1,-9.561771154E-1,6.101287603E-1,9.825315475E0
5.180046880E-1,-7.435528636E-1,6.514910460E-1,9.648192406E0
5.400000000E-1,-7.032440901E-1,6.786125302E-1,9.735551834E0
5.600000000E-1,-8.168058395E-1,7.182317376E-1,9.974780083E0
5.800000000E-1,-7.933905721E-1,7.970776558E-1,9.886204720E0
6.000000000E-1,-5.055117607E-1,5.917221904E-1,9.909620285E0
