"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.211979120E1,1.189497263E2,0.000000000E0,0.000000000E0,0.000000000E0,1.034225082E1,0.000000000E0
4.100380210E-1,3.211978147E1,1.189497586E2,5.442963721E1,5.734186620E-2,6.501219940E1,3.332216644E1,3.332216644E1
1.412670833E0,3.211980770E1,1.189497691E2,5.526493823E1,2.030737847E-1,1.809671478E2,2.000000000E1,2.000000000E1
2.311314062E0,3.211978231E1,1.189498387E2,5.135745602E1,1.463312954E-1,1.793440704E2,2.000000000E1,2.000000000E1
3.311977604E0,3.211979771E1,1.189498123E2,5.987825596E1,3.890866637E-1,2.191018372E2,2.000000000E1,2.000000000E1
4.312129687E0,3.211977381E1,1.189496963E2,5.420035155E1,7.611004710E-1,2.340926666E2,1.555375290E1,1.555375290E1
5.314195832E0,3.211983350E1,1.189497934E2,4.710638160E1,1.058359504E0,2.340926666E2,1.449104881E1,1.449104881E1
6.315561978E0,3.211981700E1,1.189497721E2,4.504843404E1,7.999276519E-1,2.899413452E2,1.362463188E1,1.362463188E1
7.339677082E0,3.211980334E1,1.189497568E2,4.504846006E1,5.599493384E-1,2.899413452E2,1.368467903E1,1.368467903E1
8.317026040E0,3.211980505E1,1.189497695E2,4.504842090E1,3.919645548E-1,2.899413452E2,1.100883865E1,1.100883865E1
9.324252603E0,3.211981612E1,1.189497489E2,4.263094286E1,6.573864818E-1,2.605246277E2,8.279868126E0,8.279868126E0
1.031700521E1,3.211981669E1,1.189497470E2,3.948405394E1,8.096993566E-1,2.598918152E2,7.879576683E0,7.879576683E0
1.132400521E1,3.211981407E1,1.189497387E2,3.600095081E1,8.087245822E-1,2.515695801E2,7.264516830E0,7.264516830E0
1.232753437E1,3.211981720E1,1.189497398E2,3.360542985E1,1.024466157E0,2.527127380E2,5.502592087E0,5.502592087E0
1.332644896E1,3.211981592E1,1.189497302E2,3.228476660E1,1.167681456E0,2.484461060E2,4.699999809E0,4.699999809E0
1.432334427E1,3.211981627E1,1.189497172E2,3.123074664E1,1.275382876E0,2.452329712E2,4.699999809E0,4.699999809E0
1.532271510E1,3.211981211E1,1.189497087E2,2.952759127E1,1.350904942E0,2.443871460E2,4.699999809E0,4.699999809E0
1.632438281E1,3.211981178E1,1.189496991E2,2.741076380E1,1.377654791E0,2.377265472E2,4.699999809E0,4.699999809E0
1.731834427E1,3.211981125E1,1.189496901E2,2.676476137E1,1.142502785E0,2.369729919E2,4.900000095E0,4.900000095E0
1.832782812E1,3.211980684E1,1.189496886E2,2.712402038E1,8.496218920E-1,2.459142151E2,4.900000095E0,4.900000095E0
1.932910364E1,3.211980639E1,1.189496925E2,2.776473881E1,6.496691704E-1,2.438698730E2,4.900000095E0,4.900000095E0
2.032240260E1,3.211980639E1,1.189496925E2,2.776473881E1,4.547683895E-1,2.432958069E2,4.900000095E0,4.900000095E0
2.132706406E1,3.211980639E1,1.189496925E2,2.776473881E1,3.183378875E-1,2.432958069E2,4.900000095E0,4.900000095E0
2.233630677E1,3.211980596E1,1.189496925E2,2.719436015E1,3.843823671E-1,2.406743622E2,4.815094948E0,4.815094948E0
2.332961354E1,3.211980032E1,1.189496889E2,2.712636818E1,4.716360867E-1,2.406643982E2,4.580378056E0,4.580378056E0
2.432846666E1,3.211979430E1,1.189496802E2,2.676595767E1,4.732674062E-1,2.410456543E2,4.367346287E0,4.367346287E0
2.533757135E1,3.211978582E1,1.189496687E2,2.626933844E1,4.893487990E-1,2.392961426E2,4.128922939E0,4.128922939E0
2.632243177E1,3.211977748E1,1.189496584E2,2.592250386E1,6.293877363E-1,2.398240662E2,4.017044067E0,4.017044067E0
2.733131198E1,3.211976987E1,1.189496507E2,2.606663265E1,7.200109959E-1,2.413315887E2,3.929561138E0,3.929561138E0
2.834028802E1,3.211976231E1,1.189496430E2,2.611458881E1,7.923897505E-1,2.391277161E2,3.722114563E0,3.722114563E0
2.934465781E1,3.211975776E1,1.189496342E2,2.596079504E1,8.605643511E-1,2.411421509E2,3.673840761E0,3.673840761E0
3.034681718E1,3.211975393E1,1.189496258E2,2.582217031E1,7.657158375E-1,2.421789856E2,3.583731174E0,3.583731174E0
3.134577656E1,3.211975249E1,1.189496201E2,2.592729686E1,6.506127715E-1,2.419279175E2,3.533555269E0,3.533555269E0
3.233134114E1,3.211974785E1,1.189496149E2,2.596468119E1,5.873908997E-1,2.418585663E2,3.477897167E0,3.477897167E0
3.333385729E1,3.211974649E1,1.189496193E2,2.594635400E1,4.557653964E-1,2.453701782E2,3.553017378E0,3.553017378E0
3.433709791E1,3.211974452E1,1.189496205E2,2.566170151E1,4.952381551E-1,2.397147980E2,3.526397228E0,3.526397228E0
