"Time (s)","Pressure (hPa)"
7.446312500E-2,1.031993164E3
1.544600000E-1,1.031986328E3
2.344615630E-1,1.031979004E3
3.144646880E-1,1.031982422E3
3.944600000E-1,1.031988281E3
4.744615630E-1,1.031982422E3
5.544615630E-1,1.031993164E3
6.344600000E-1,1.031991699E3
7.144615630E-1,1.032003906E3
7.944600000E-1,1.032009766E3
8.744600000E-1,1.031999023E3
9.544600000E-1,1.031997559E3
1.034460000E0,1.031992188E3
1.114460000E0,1.031994141E3
1.194460000E0,1.031987305E3
1.274460000E0,1.032000977E3
1.354475625E0,1.031995117E3
1.434460000E0,1.031999023E3
1.514460000E0,1.031988770E3
1.594460000E0,1.031981934E3
1.674460000E0,1.031979004E3
1.754460000E0,1.031980957E3
1.834460000E0,1.031971191E3
1.914460000E0,1.031977051E3
1.994461563E0,1.031981934E3
2.074461563E0,1.031978027E3
2.154461563E0,1.031988770E3
2.234460000E0,1.031988770E3
2.314460000E0,1.031983398E3
2.394460000E0,1.031979004E3
2.474460000E0,1.031984375E3
2.554460000E0,1.031981934E3
2.634460000E0,1.031968262E3
2.714460000E0,1.031981445E3
2.794460000E0,1.031993164E3
2.874460000E0,1.031988281E3
2.954461563E0,1.031982422E3
3.034460000E0,1.031979004E3
3.114460000E0,1.031984375E3
3.194460000E0,1.031987305E3
3.274458438E0,1.031988770E3
3.354461563E0,1.031979492E3
3.434460000E0,1.031997070E3
3.514460000E0,1.031990234E3
3.594460000E0,1.031994629E3
3.674458438E0,1.031990723E3
3.754460000E0,1.032003418E3
3.834460000E0,1.032024414E3
3.914460000E0,1.032018066E3
3.994460000E0,1.032010742E3
4.074460000E0,1.032022461E3
4.154460000E0,1.032015625E3
4.234460000E0,1.032022461E3
4.314460000E0,1.032030273E3
4.394460000E0,1.032037109E3
4.474460000E0,1.032044434E3
4.554460000E0,1.032057617E3
4.634460000E0,1.032058594E3
4.714460000E0,1.032058105E3
4.794460000E0,1.032067871E3
4.874460000E0,1.032061035E3
4.954461563E0,1.032064453E3
5.034460000E0,1.032068359E3
5.114460000E0,1.032064941E3
5.194460000E0,1.032062988E3
5.274460000E0,1.032047852E3
5.354463125E0,1.032039551E3
5.434460000E0,1.032044922E3
5.514460000E0,1.032051270E3
5.594460000E0,1.032058105E3
5.674460000E0,1.032067383E3
5.754460000E0,1.032057617E3
5.834460000E0,1.032055176E3
5.914460000E0,1.032061523E3
5.994460000E0,1.032072266E3
6.074461563E0,1.032076172E3
6.154460000E0,1.032078613E3
6.234460000E0,1.032077637E3
6.314460000E0,1.032067383E3
6.394460000E0,1.032070801E3
6.474460000E0,1.032078613E3
6.554460000E0,1.032066406E3
6.634460000E0,1.032067871E3
6.714460000E0,1.032071777E3
6.794460000E0,1.032067871E3
6.874460000E0,1.032068359E3
6.954460000E0,1.032070801E3
7.034458438E0,1.032067383E3
7.114460000E0,1.032063477E3
7.194460000E0,1.032073242E3
7.274460000E0,1.032076172E3
7.354461563E0,1.032076660E3
7.434460000E0,1.032066406E3
7.514460000E0,1.032067383E3
7.594460000E0,1.032061523E3
7.674460000E0,1.032065918E3
7.754460000E0,1.032067383E3
7.834460000E0,1.032063477E3
7.914460000E0,1.032066895E3
7.994460000E0,1.032059082E3
8.074460000E0,1.032051758E3
8.154460000E0,1.032055176E3
8.234460000E0,1.032055176E3
8.314460000E0,1.032062012E3
8.394460000E0,1.032060059E3
8.474460000E0,1.032059570E3
8.554466250E0,1.032058105E3
8.634460000E0,1.032051270E3
8.714461563E0,1.032052246E3
8.794460000E0,1.032059570E3
8.874460000E0,1.032048340E3
8.954460000E0,1.032049316E3
9.034460000E0,1.032037109E3
9.114460000E0,1.032038086E3
9.194460000E0,1.032036133E3
9.274460000E0,1.032052734E3
9.354460000E0,1.032059082E3
9.434460000E0,1.032051758E3
9.514466250E0,1.032059082E3
9.594460000E0,1.032051270E3
9.674460000E0,1.032042480E3
9.754466250E0,1.032050293E3
9.834460000E0,1.032058105E3
9.914460000E0,1.032059570E3
9.994460000E0,1.032066895E3
1.007446156E1,1.032066895E3
1.015446000E1,1.032064941E3
1.023446000E1,1.032059082E3
1.031446000E1,1.032062500E3
1.039446000E1,1.032058594E3
1.047446000E1,1.032062012E3
1.055449125E1,1.032047363E3
1.063446000E1,1.032041992E3
1.071446156E1,1.032033691E3
1.079446000E1,1.032043457E3
1.087446000E1,1.032046875E3
1.095446000E1,1.032049805E3
1.103445844E1,1.032043945E3
1.111446000E1,1.032048828E3
1.119446000E1,1.032046387E3
1.127446000E1,1.032052734E3
1.135446000E1,1.032042969E3
1.143446000E1,1.032040039E3
1.151446781E1,1.032046875E3
1.159446000E1,1.032062988E3
1.167446000E1,1.032056152E3
1.175446625E1,1.032064453E3
1.183446156E1,1.032071777E3
1.191446156E1,1.032075195E3
1.199446625E1,1.032093750E3
1.207446000E1,1.032067871E3
1.215446156E1,1.032073730E3
1.223446000E1,1.032059570E3
1.231446000E1,1.032065918E3
1.239446000E1,1.032065918E3
1.247446156E1,1.032070312E3
1.255446156E1,1.032072266E3
1.263446000E1,1.032079590E3
1.271446000E1,1.032070801E3
1.279446000E1,1.032075684E3
1.287446000E1,1.032084961E3
1.295446156E1,1.032092773E3
1.303446000E1,1.032093262E3
1.311446000E1,1.032083008E3
1.319446000E1,1.032074707E3
1.327446156E1,1.032080566E3
1.335446156E1,1.032078125E3
1.343446156E1,1.032084473E3
1.351446156E1,1.032093750E3
1.359446156E1,1.032085449E3
1.367446156E1,1.032087891E3
1.375446156E1,1.032088379E3
1.383446156E1,1.032083496E3
1.391446156E1,1.032088379E3
1.399446156E1,1.032091309E3
1.407446156E1,1.032077148E3
1.415446000E1,1.032084961E3
1.423446000E1,1.032091797E3
1.431446000E1,1.032084473E3
1.439446000E1,1.032097168E3
1.447446000E1,1.032098633E3
1.455446156E1,1.032094727E3
1.463446000E1,1.032102051E3
1.471446000E1,1.032084961E3
1.479446000E1,1.032085938E3
1.487446000E1,1.032087402E3
1.495446000E1,1.032097656E3
1.503446000E1,1.032091309E3
1.511446000E1,1.032092773E3
1.519446156E1,1.032083984E3
1.527446156E1,1.032085938E3
1.535446000E1,1.032087402E3
1.543446000E1,1.032086426E3
1.551446000E1,1.032090820E3
1.559446000E1,1.032096191E3
1.567446000E1,1.032094727E3
1.575445844E1,1.032097168E3
1.583446000E1,1.032087402E3
1.591446000E1,1.032090332E3
1.599446000E1,1.032089355E3
1.607446156E1,1.032084473E3
1.615446000E1,1.032088379E3
1.623446000E1,1.032083496E3
1.631446000E1,1.032087402E3
1.639446000E1,1.032078125E3
1.647446000E1,1.032069824E3
1.655446000E1,1.032066406E3
1.663446000E1,1.032061035E3
1.671446000E1,1.032073242E3
1.679446000E1,1.032064941E3
1.687446156E1,1.032075684E3
1.695446000E1,1.032067871E3
1.703446156E1,1.032071289E3
1.711446156E1,1.032070312E3
1.719446156E1,1.032069336E3
1.727446156E1,1.032086426E3
1.735446000E1,1.032072754E3
1.743446156E1,1.032078613E3
1.751446156E1,1.032071777E3
1.759446156E1,1.032060059E3
1.767446156E1,1.032068359E3
1.775446000E1,1.032054199E3
1.783446000E1,1.032052734E3
1.791446000E1,1.032065918E3
1.799446000E1,1.032073242E3
1.807446000E1,1.032066895E3
1.815446000E1,1.032065918E3
1.823446000E1,1.032072754E3
1.831445844E1,1.032070312E3
1.839446156E1,1.032058105E3
1.847446000E1,1.032062500E3
1.855446000E1,1.032053223E3
1.863446000E1,1.032062012E3
1.871446000E1,1.032070312E3
1.879446000E1,1.032070312E3
1.887446000E1,1.032064453E3
1.895446000E1,1.032081543E3
1.903446000E1,1.032073730E3
1.911445844E1,1.032079102E3
1.919446000E1,1.032073242E3
1.927446000E1,1.032075684E3
1.935446000E1,1.032072754E3
1.943446156E1,1.032076660E3
1.951446000E1,1.032080078E3
1.959446156E1,1.032076172E3
1.967446000E1,1.032072754E3
1.975446000E1,1.032070801E3
1.983446000E1,1.032065918E3
1.991446000E1,1.032061523E3
1.999445844E1,1.032055176E3
2.007446000E1,1.032063965E3
2.015446000E1,1.032058105E3
2.023446000E1,1.032049805E3
2.031446000E1,1.032059570E3
2.039446000E1,1.032049316E3
2.047446000E1,1.032053223E3
2.055446000E1,1.032060547E3
2.063446000E1,1.032060059E3
2.071445844E1,1.032059570E3
2.079446000E1,1.032057617E3
2.087446000E1,1.032053223E3
2.095446000E1,1.032056641E3
2.103445844E1,1.032052734E3
2.111446000E1,1.032055664E3
2.119446000E1,1.032058105E3
2.127446000E1,1.032054688E3
2.135446000E1,1.032052246E3
2.143446156E1,1.032047363E3
2.151446000E1,1.032052734E3
2.159446000E1,1.032055176E3
2.167446000E1,1.032043945E3
