"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.897458400E-2,3.996468186E-1,-6.264238358E-1,-3.526115716E-1
8.897458400E-2,2.484621257E-1,-5.864133835E-1,-2.455606014E-1
1.089745840E-1,1.908897609E-2,-5.198310018E-1,-8.780929446E-2
1.289745840E-1,-3.608580232E-1,-3.422271907E-1,-1.241547018E-1
1.489745840E-1,-5.150969625E-1,1.652341783E-1,2.351761982E-2
1.689745840E-1,2.748812549E-3,8.762603998E-1,1.127013192E-1
1.889745840E-1,3.860554695E-1,1.015533566E0,2.588465214E-1
2.089745840E-1,3.286358118E-1,3.275668323E-1,1.537808031E-1
2.289745840E-1,3.022166789E-1,-3.814741075E-1,1.566823274E-1
2.489745840E-1,3.442124426E-1,1.178935245E-1,3.817795217E-2
2.689745840E-1,3.252761662E-1,2.924431264E-1,-9.452861547E-2
2.889745840E-1,1.844758689E-1,1.846285909E-1,-3.649812192E-2
3.089745840E-1,3.603998944E-2,6.688777357E-2,4.917320609E-2
3.289745840E-1,-1.710372418E-2,-4.902049154E-2,1.734806150E-1
3.489745840E-1,2.855710872E-2,-8.948912472E-2,2.438807636E-1
3.689745840E-1,1.029277667E-1,-1.571404636E-1,2.451024652E-1
3.889745840E-1,1.270562261E-1,-2.166980654E-1,2.006633282E-1
4.089745840E-1,1.064401343E-1,-2.021904439E-1,2.163926363E-1
4.289745840E-1,8.842013776E-2,2.947338112E-2,2.082989216E-1
4.489745840E-1,3.436015919E-2,1.505738497E-1,1.730224788E-1
4.689745840E-1,-1.099525094E-1,2.780882120E-1,2.060082406E-1
4.889745840E-1,-1.922641695E-1,4.049917459E-1,2.179197669E-1
5.089745840E-1,-2.667875290E-1,4.294256270E-1,2.518217862E-1
5.289745840E-1,-3.210002482E-1,3.032856584E-1,3.129065037E-1
5.489745840E-1,-2.635805905E-1,3.901786804E-1,3.990359604E-1
5.689745840E-1,-1.009425074E-1,6.161921620E-1,5.225798488E-1
5.889745840E-1,8.704573847E-3,9.991934299E-1,6.253548861E-1
6.089745840E-1,-5.558710173E-2,1.013548255E0,5.822901726E-1
6.289745840E-1,-2.079934925E-1,8.753440976E-1,4.914266169E-1
6.489745840E-1,-8.154810965E-2,1.001025915E0,4.746283293E-1
6.689745840E-1,2.626643181E-1,1.259719729E0,4.596625566E-1
6.889745840E-1,5.279247165E-1,1.420372605E0,4.059080184E-1
7.089745840E-1,5.783196688E-1,1.378376842E0,3.605526090E-1
7.289745840E-1,4.019374847E-1,1.001331329E0,2.426590770E-1
7.489745840E-1,1.583621502E-1,5.746545792E-1,1.656923145E-1
7.689745840E-1,2.382304333E-2,3.620797098E-1,1.055238619E-1
7.889745840E-1,2.214321345E-1,4.271349311E-1,3.710897267E-2
8.089745840E-1,4.315635860E-1,9.058864713E-1,-1.004843712E-1
8.289745840E-1,6.135960817E-1,1.436101913E0,-2.101314515E-1
8.489745840E-1,5.784723759E-1,1.350583315E0,-3.237490356E-2
8.689745840E-1,4.660764635E-1,1.701362371E0,-1.349972486E-1
8.889745840E-1,3.515425920E-1,1.976396322E0,5.222744122E-2
9.089745840E-1,4.706578255E-1,2.008160353E0,1.916533262E-1
9.289745840E-1,8.289197087E-1,1.621646762E0,4.123218954E-1
9.489745840E-1,5.132644176E-1,1.315459609E0,4.877615273E-1
9.689745840E-1,-1.968455315E-1,1.223985195E0,4.471401870E-1
9.889745840E-1,-9.402466416E-1,1.118614078E0,3.417690396E-1
1.008974584E0,-1.296217918E0,1.311030984E0,1.134648770E-1
1.028974584E0,-1.410140872E0,8.596147895E-1,-1.801999472E-2
1.048974584E0,-1.315459609E0,4.588989913E-1,1.093416587E-1
1.068974584E0,-1.010799527E0,4.873034060E-1,1.812689304E-1
1.088974584E0,-7.889092565E-1,6.065713167E-1,1.504211426E-1
1.108974584E0,-6.491779089E-1,6.528429985E-1,1.455343664E-1
1.128974584E0,-6.010736823E-1,1.672194302E-1,9.239064902E-2
1.148974584E0,-5.071559548E-1,-3.377985358E-1,1.185043678E-1
1.168974584E0,-3.025220931E-1,-2.750339806E-1,2.432699203E-1
1.188974584E0,-1.408002973E-1,-9.697200358E-2,3.484883606E-1
1.208974584E0,-6.704048812E-2,-1.791309565E-1,3.055763543E-1
1.228974584E0,-7.238540053E-2,-2.530434728E-1,1.915006191E-1
1.248974584E0,-9.376505762E-2,-4.833329022E-1,1.398840249E-1
1.268974584E0,-6.765133142E-2,-8.139539957E-1,1.076618284E-1
1.288974584E0,-8.551862091E-3,-9.029849768E-1,6.841489673E-2
1.308974584E0,7.482878864E-3,-9.203941226E-1,-5.497625098E-3
1.328974584E0,3.252761811E-2,-8.516737819E-1,-6.337540597E-2
1.348974584E0,1.111742035E-1,-7.412631512E-1,-8.567132801E-2
1.368974584E0,9.284878522E-2,-7.049177289E-1,-1.201841980E-1
1.388974584E0,-7.803573459E-2,-6.662816405E-1,-1.892099380E-1
1.408974584E0,-2.170034945E-1,-6.563553810E-1,-3.906368315E-1
1.428974584E0,-9.849911928E-2,-8.541171551E-1,-6.109999418E-1
1.448974584E0,2.875563502E-1,-1.132052660E0,-6.481089592E-1
1.468974584E0,7.232431769E-1,-1.163053155E0,-6.096255779E-1
1.488974584E0,8.938222528E-1,-1.056613088E0,-6.345176101E-1
1.508974584E0,7.808154821E-1,-6.894938350E-1,-7.765395641E-1
1.528974584E0,5.369347334E-1,-1.168245375E-1,-1.021794796E0
1.548974584E0,3.217637837E-1,4.239279926E-1,-1.193595529E0
1.568974584E0,1.704263836E-1,6.908682585E-1,-1.111589313E0
1.588974584E0,-2.962609194E-2,6.267293096E-1,-8.559496999E-1
1.608974584E0,-3.016058207E-1,2.855710983E-1,-5.691569448E-1
1.628974584E0,-4.947862923E-1,-1.160609797E-1,-4.362976551E-1
1.648974584E0,-4.844018817E-1,-4.002576768E-1,-3.567348123E-1
1.668974584E0,-2.877090573E-1,-5.390726924E-1,-2.684673667E-1
1.688974584E0,-1.091889441E-1,-4.735593498E-1,-1.632489264E-1
1.708974584E0,-5.100574717E-2,-2.504473627E-1,-1.000262350E-1
1.728974584E0,-1.160609797E-1,-2.015796006E-1,-2.137965411E-1
1.748974584E0,-2.999260128E-1,-2.020377368E-1,-3.599417508E-1
1.768974584E0,-4.822639227E-1,-1.924168915E-1,-3.892624080E-1
1.788974584E0,-6.004628539E-1,-1.595838517E-1,-3.139754832E-1
1.808974584E0,-6.383354068E-1,-1.328592747E-1,-2.394521236E-1
1.828974584E0,-5.972558856E-1,-2.206685692E-1,-3.831539452E-1
1.848974584E0,-5.459447503E-1,-2.764083743E-1,-5.803049207E-1
1.868974584E0,-5.436540842E-1,-1.163664013E-1,-6.387935281E-1
1.888974584E0,-5.570927262E-1,1.427855492E-1,-6.441384554E-1
1.908974584E0,-4.648547769E-1,1.722589284E-1,-5.821374655E-1
1.928974584E0,-3.133646548E-1,1.470614821E-1,-4.666872919E-1
1.948974584E0,-3.504736125E-1,2.290677279E-1,-3.571929336E-1
1.968974584E0,-5.393781066E-1,2.629697323E-1,-2.922904193E-1
1.988974584E0,-6.413896084E-1,2.038702667E-1,-2.518217862E-1
