"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
6.897458400E-2,-4.185000229E1,-2.310000038E1,-2.677500153E1
8.897458400E-2,-4.200000000E1,-2.385000038E1,-2.610000038E1
1.089745840E-1,-4.192500305E1,-2.407500076E1,-2.490000153E1
1.289745840E-1,-4.282500076E1,-2.370000076E1,-2.535000038E1
1.489745840E-1,-4.222500229E1,-2.392500114E1,-2.512500191E1
1.689745840E-1,-4.282500076E1,-2.355000114E1,-2.527500153E1
1.889745840E-1,-4.192500305E1,-2.317500114E1,-2.625000191E1
2.089745840E-1,-4.162500000E1,-2.355000114E1,-2.655000114E1
2.289745840E-1,-4.177500153E1,-2.340000153E1,-2.685000038E1
2.489745840E-1,-4.192500305E1,-2.355000114E1,-2.677500153E1
2.689745840E-1,-4.177500153E1,-2.400000000E1,-2.700000191E1
2.889745840E-1,-4.095000076E1,-2.407500076E1,-2.655000114E1
3.089745840E-1,-4.080000305E1,-2.445000076E1,-2.730000114E1
3.289745840E-1,-4.110000229E1,-2.437500191E1,-2.662500191E1
3.489745840E-1,-4.132500076E1,-2.407500076E1,-2.707500076E1
3.689745840E-1,-4.140000153E1,-2.385000038E1,-2.707500076E1
3.889745840E-1,-4.140000153E1,-2.385000038E1,-2.655000114E1
4.089745840E-1,-4.162500000E1,-2.377500153E1,-2.602500153E1
4.289745840E-1,-4.155000305E1,-2.392500114E1,-2.610000038E1
4.489745840E-1,-4.140000153E1,-2.355000114E1,-2.610000038E1
4.689745840E-1,-4.162500000E1,-2.355000114E1,-2.655000114E1
4.889745840E-1,-4.132500076E1,-2.302500153E1,-2.670000076E1
5.089745840E-1,-4.072500229E1,-2.287500000E1,-2.685000038E1
5.289745840E-1,-4.050000000E1,-2.272500038E1,-2.752500153E1
5.489745840E-1,-4.057500076E1,-2.175000000E1,-2.767500114E1
5.689745840E-1,-4.072500229E1,-2.167500114E1,-2.767500114E1
5.889745840E-1,-4.050000000E1,-2.122500038E1,-2.932500076E1
6.089745840E-1,-3.982500076E1,-2.092500114E1,-2.910000038E1
6.289745840E-1,-3.967500305E1,-2.055000114E1,-3.052500153E1
6.489745840E-1,-3.870000076E1,-1.995000076E1,-3.097500038E1
6.689745840E-1,-3.772500229E1,-1.957500076E1,-3.127500153E1
6.889745840E-1,-3.765000153E1,-1.965000153E1,-3.202500153E1
7.089745840E-1,-3.630000305E1,-1.965000153E1,-3.382500076E1
7.289745840E-1,-3.562500000E1,-2.002500153E1,-3.405000305E1
7.489745840E-1,-3.525000000E1,-1.957500076E1,-3.450000000E1
7.689745840E-1,-3.487500000E1,-1.980000114E1,-3.435000229E1
7.889745840E-1,-3.427500153E1,-1.972500038E1,-3.472500229E1
8.089745840E-1,-3.420000076E1,-2.017500114E1,-3.502500153E1
8.289745840E-1,-3.300000000E1,-2.025000000E1,-3.555000305E1
8.489745840E-1,-3.240000153E1,-2.077500153E1,-3.630000305E1
8.689745840E-1,-3.082500076E1,-2.115000153E1,-3.682500076E1
8.889745840E-1,-2.955000114E1,-2.167500114E1,-3.757500076E1
9.089745840E-1,-2.782500076E1,-2.160000038E1,-3.870000076E1
9.289745840E-1,-2.700000191E1,-2.190000153E1,-3.862500000E1
9.489745840E-1,-2.527500153E1,-2.227500153E1,-3.900000000E1
9.689745840E-1,-2.452500153E1,-2.205000114E1,-3.900000000E1
9.889745840E-1,-2.310000038E1,-2.182500076E1,-3.967500305E1
1.008974584E0,-2.287500000E1,-2.160000038E1,-4.020000076E1
1.028974584E0,-2.197500038E1,-2.055000114E1,-4.185000229E1
1.048974584E0,-2.047500038E1,-1.890000153E1,-4.192500305E1
1.068974584E0,-2.032500076E1,-1.807500076E1,-4.230000305E1
1.088974584E0,-2.010000038E1,-1.717500114E1,-4.245000076E1
1.108974584E0,-1.920000076E1,-1.672500038E1,-4.252500153E1
1.128974584E0,-1.822500038E1,-1.597500038E1,-4.297500229E1
1.148974584E0,-1.882500076E1,-1.545000076E1,-4.245000076E1
1.168974584E0,-1.800000000E1,-1.500000095E1,-4.297500229E1
1.188974584E0,-1.867500114E1,-1.470000076E1,-4.222500229E1
1.208974584E0,-1.830000114E1,-1.462500095E1,-4.222500229E1
1.228974584E0,-1.905000114E1,-1.470000076E1,-4.215000153E1
1.248974584E0,-1.912500000E1,-1.425000095E1,-4.267500305E1
1.268974584E0,-1.920000076E1,-1.432500076E1,-4.222500229E1
1.288974584E0,-2.002500153E1,-1.410000038E1,-4.147500229E1
1.308974584E0,-2.040000153E1,-1.395000076E1,-4.207500076E1
1.328974584E0,-2.070000076E1,-1.410000038E1,-4.170000076E1
1.348974584E0,-2.167500114E1,-1.387500095E1,-4.132500076E1
1.368974584E0,-2.220000076E1,-1.425000095E1,-4.095000076E1
1.388974584E0,-2.280000114E1,-1.447500038E1,-4.042500305E1
1.408974584E0,-2.317500114E1,-1.440000057E1,-4.080000305E1
1.428974584E0,-2.340000153E1,-1.492500019E1,-4.110000229E1
1.448974584E0,-2.385000038E1,-1.455000019E1,-4.087500000E1
1.468974584E0,-2.460000038E1,-1.515000057E1,-4.065000153E1
1.488974584E0,-2.550000191E1,-1.590000057E1,-3.960000229E1
1.508974584E0,-2.610000038E1,-1.672500038E1,-3.892500305E1
1.528974584E0,-2.670000076E1,-1.725000000E1,-3.825000000E1
1.548974584E0,-2.632500076E1,-1.837500000E1,-3.847500229E1
1.568974584E0,-2.587500191E1,-1.927500153E1,-3.892500305E1
1.588974584E0,-2.497500038E1,-1.935000038E1,-3.937500000E1
1.608974584E0,-2.482500076E1,-1.965000153E1,-3.937500000E1
1.628974584E0,-2.347500038E1,-1.927500153E1,-3.937500000E1
1.648974584E0,-2.355000114E1,-1.927500153E1,-3.982500076E1
1.668974584E0,-2.422500038E1,-1.927500153E1,-4.005000305E1
1.688974584E0,-2.430000114E1,-1.852500153E1,-4.005000305E1
1.708974584E0,-2.467500114E1,-1.882500076E1,-3.915000153E1
1.728974584E0,-2.482500076E1,-1.897500038E1,-3.960000229E1
1.748974584E0,-2.467500114E1,-1.882500076E1,-3.937500000E1
1.768974584E0,-2.460000038E1,-1.845000076E1,-3.930000305E1
1.788974584E0,-2.400000000E1,-1.845000076E1,-3.975000000E1
1.808974584E0,-2.437500191E1,-1.777500153E1,-3.922500229E1
1.828974584E0,-2.482500076E1,-1.762500000E1,-3.982500076E1
1.848974584E0,-2.467500114E1,-1.695000076E1,-3.982500076E1
1.868974584E0,-2.475000191E1,-1.687500000E1,-4.005000305E1
1.888974584E0,-2.475000191E1,-1.642500114E1,-3.997500229E1
1.908974584E0,-2.482500076E1,-1.582500076E1,-3.967500305E1
1.928974584E0,-2.392500114E1,-1.597500038E1,-4.087500000E1
1.948974584E0,-2.407500076E1,-1.575000095E1,-4.050000000E1
1.968974584E0,-2.362500000E1,-1.567500019E1,-4.117500305E1
1.988974584E0,-2.347500038E1,-1.462500095E1,-4.162500000E1
2.008974584E0,-2.302500153E1,-1.462500095E1,-4.185000229E1
2.028974584E0,-2.265000153E1,-1.350000095E1,-4.117500305E1
