"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.205951719E0,3.211334566E1,1.189528162E2,9.312317555E1,1.009999990E0,1.821999969E2,3.092079163E1,5.430669022E1
2.211050416E0,3.211331998E1,1.189525446E2,3.777290179E1,1.620000005E0,1.303000031E2,1.656420135E1,2.804137993E1
3.208727551E0,3.211335249E1,1.189524630E2,1.419260630E1,1.730000019E0,1.305000000E2,4.030213833E0,5.582450867E0
4.214933488E0,3.211334342E1,1.189524669E2,1.029856436E1,8.799999952E-1,1.321000061E2,3.790092468E0,3.489154339E0
5.216174842E0,3.211334240E1,1.189524683E2,1.029340045E1,0.000000000E0,0.000000000E0,3.790092468E0,3.196449757E0
6.215148123E0,3.211333963E1,1.189524721E2,9.637681828E0,4.499999881E-1,1.215999985E2,3.790092468E0,2.684904575E0
7.217933435E0,3.211333403E1,1.189524814E2,8.582525910E0,1.139999986E0,1.285000000E2,3.790092468E0,2.500000000E0
8.216778018E0,3.211332554E1,1.189524960E2,8.390261823E0,1.570000052E0,1.291000061E2,3.790092468E0,2.500000000E0
9.218462601E0,3.211331659E1,1.189525117E2,9.220637533E0,1.509999990E0,1.283999939E2,3.790092468E0,2.500000000E0
1.022422734E1,3.211330953E1,1.189525260E2,8.771297204E0,1.309999943E0,1.230999985E2,3.790092468E0,2.500000000E0
1.121998494E1,3.211330649E1,1.189525357E2,8.401447101E0,6.499999762E-1,1.180000000E2,3.790092468E0,2.500000000E0
1.222017880E1,3.211330472E1,1.189525422E2,8.320245460E0,5.799999833E-1,1.166999969E2,3.790092468E0,2.500000000E0
1.321011276E1,3.211330004E1,1.189525524E2,8.086773694E0,1.299999952E0,1.230000000E2,3.790092468E0,2.500000000E0
1.422365729E1,3.211329368E1,1.189525648E2,8.022481507E0,1.289999962E0,1.255999985E2,3.790092468E0,2.500000000E0
1.521465218E1,3.211328690E1,1.189525769E2,8.516965981E0,1.309999943E0,1.246999969E2,3.790092468E0,2.500000000E0
1.621667015E1,3.211328275E1,1.189525883E2,8.709455789E0,1.049999952E0,1.156999969E2,3.790092468E0,2.500000000E0
1.722355406E1,3.211328100E1,1.189525958E2,9.187149666E0,5.400000215E-1,1.100999985E2,3.790092468E0,2.500000000E0
1.822103765E1,3.211328028E1,1.189526018E2,9.876367698E0,5.899999738E-1,1.015999985E2,3.790092468E0,2.500000000E0
1.922090749E1,3.211327757E1,1.189526122E2,1.009758061E1,1.149999976E0,1.105999985E2,3.790092468E0,2.500000000E0
2.021878900E1,3.211327341E1,1.189526266E2,1.024803743E1,1.460000038E0,1.085999985E2,3.790092468E0,2.500000000E0
2.121577426E1,3.211326794E1,1.189526444E2,1.009681444E1,1.710000038E0,1.088000031E2,3.790092468E0,2.500000000E0
2.221832556E1,3.211326347E1,1.189526598E2,1.017741265E1,1.320000052E0,1.089000015E2,3.790092468E0,2.500000000E0
2.321576999E1,3.211326053E1,1.189526692E2,9.794288952E0,5.699999928E-1,1.135999985E2,3.790092468E0,2.500000000E0
2.421547504E1,3.211325944E1,1.189526746E2,9.465228422E0,6.299999952E-1,1.103000031E2,3.790092468E0,2.500000000E0
2.521772640E1,3.211325859E1,1.189526846E2,9.508070539E0,1.110000014E0,1.015000000E2,3.790092468E0,2.500000000E0
2.622046791E1,3.211325696E1,1.189527015E2,1.019435130E1,1.740000010E0,9.880000305E1,3.790092468E0,2.500000000E0
2.721692754E1,3.211325538E1,1.189527186E2,1.033848695E1,1.389999986E0,1.014000015E2,3.790092468E0,2.500000000E0
2.823014275E1,3.211325433E1,1.189527292E2,9.878335802E0,8.700000048E-1,1.029000015E2,3.790092468E0,2.500000000E0
2.922617468E1,3.211325368E1,1.189527345E2,9.706014787E0,4.099999964E-1,1.044000015E2,3.790092468E0,2.500000000E0
3.022247436E1,3.211325301E1,1.189527427E2,9.596946812E0,1.059999943E0,9.930000305E1,3.790092468E0,2.500000000E0
3.122764343E1,3.211325204E1,1.189527587E2,9.727720443E0,1.799999952E0,9.480000305E1,3.790092468E0,2.500000000E0
3.222665249E1,3.211325133E1,1.189527771E2,9.723324269E0,1.610000014E0,9.500000000E1,3.790092468E0,2.500000000E0
3.323755520E1,3.211325160E1,1.189527898E2,9.457840368E0,1.009999990E0,9.419999695E1,3.790092468E0,2.500000000E0
3.422517525E1,3.211325227E1,1.189527965E2,9.628992313E0,5.099999905E-1,9.330000305E1,3.790092468E0,2.500000000E0
3.522704066E1,3.211325256E1,1.189528009E2,9.591838136E0,5.000000000E-1,9.009999847E1,3.790092468E0,2.500000000E0
3.622526603E1,3.211325282E1,1.189528116E2,1.006061377E1,1.399999976E0,8.959999847E1,3.790092468E0,2.500000000E0
3.722876108E1,3.211325266E1,1.189528287E2,1.018949307E1,1.620000005E0,9.269999695E1,3.790092468E0,2.500000000E0
3.822047389E1,3.211325257E1,1.189528467E2,1.038529457E1,1.620000005E0,9.109999847E1,3.790092468E0,2.500000000E0
3.922793420E1,3.211325299E1,1.189528579E2,1.086407862E1,8.000000119E-1,8.869999695E1,3.790092468E0,2.500000000E0
4.022039832E1,3.211325539E1,1.189528642E2,1.129039275E1,7.200000286E-1,7.880000305E1,3.790092468E0,2.500000000E0
4.122485087E1,3.211325939E1,1.189528715E2,1.105670242E1,9.300000072E-1,6.440000153E1,3.790092468E0,2.500000000E0
4.221920238E1,3.211326475E1,1.189528857E2,1.148171358E1,1.740000010E0,7.100000000E1,3.790092468E0,2.500000000E0
4.322760566E1,3.211326869E1,1.189529018E2,1.182953665E1,1.389999986E0,8.000000000E1,3.790092468E0,2.500000000E0
4.421854524E1,3.211327008E1,1.189529123E2,1.158594334E1,8.600000143E-1,8.450000000E1,3.790092468E0,2.500000000E0
4.521957420E1,3.211327117E1,1.189529183E2,1.146626594E1,5.199999809E-1,8.319999695E1,3.790092468E0,2.500000000E0
4.622877592E1,3.211327302E1,1.189529261E2,1.113799589E1,9.599999785E-1,7.359999847E1,3.790092468E0,2.500000000E0
4.721793144E1,3.211327693E1,1.189529368E2,1.093191270E1,1.039999962E0,6.730000305E1,3.790092468E0,2.500000000E0
4.823227957E1,3.211328281E1,1.189529478E2,1.042044258E1,1.139999986E0,6.450000000E1,3.790092468E0,2.500000000E0
4.922486910E1,3.211328765E1,1.189529591E2,1.004642068E1,1.129999995E0,6.840000153E1,3.790092468E0,2.500000000E0
5.021944868E1,3.211329035E1,1.189529671E2,9.988873034E0,6.000000238E-1,7.200000000E1,3.790092468E0,2.500000000E0
5.121829066E1,3.211329157E1,1.189529723E2,9.996456742E0,5.000000000E-1,7.840000153E1,3.790092468E0,2.500000000E0
5.221441269E1,3.211329475E1,1.189529828E2,1.030798130E1,1.379999995E0,7.319999695E1,3.790092468E0,2.500000000E0
5.321781206E1,3.211329938E1,1.189529966E2,1.022423386E1,1.299999952E0,7.050000000E1,3.790092468E0,2.500000000E0
5.421782670E1,3.211330411E1,1.189530098E2,1.057991142E1,1.279999971E0,6.900000000E1,3.790092468E0,2.500000000E0
5.522505560E1,3.211330776E1,1.189530182E2,1.027511081E1,6.100000143E-1,6.540000153E1,3.790092468E0,2.500000000E0
5.621997232E1,3.211331038E1,1.189530236E2,9.857433979E0,5.899999738E-1,6.109999847E1,3.790092468E0,2.500000000E0
5.722147060E1,3.211331439E1,1.189530313E2,1.034093600E1,1.009999990E0,5.759999847E1,3.790092468E0,2.500000000E0
5.822516618E1,3.211332114E1,1.189530438E2,1.078505924E1,1.529999971E0,5.970000076E1,3.790092468E0,2.500000000E0
5.921670993E1,3.211332859E1,1.189530584E2,1.065282175E1,1.509999990E0,5.950000000E1,3.790092468E0,2.500000000E0
6.021806690E1,3.211333725E1,1.189530725E2,1.085997425E1,1.539999962E0,5.659999847E1,3.790092468E0,2.500000000E0
6.121619107E1,3.211334766E1,1.189530834E2,1.045651428E1,1.279999971E0,4.820000076E1,3.790092468E0,2.500000000E0
6.222396670E1,3.211335549E1,1.189530908E2,1.037929454E1,8.999999762E-1,4.379999924E1,3.790092468E0,2.500000000E0
6.321765008E1,3.211336299E1,1.189530991E2,1.074475890E1,1.190000057E0,4.590000153E1,3.790092468E0,2.500000000E0
6.422621112E1,3.211336946E1,1.189531085E2,1.081846970E1,1.090000033E0,5.559999847E1,3.790092468E0,2.500000000E0
6.522568597E1,3.211337497E1,1.189531184E2,1.063799624E1,1.090000033E0,5.840000153E1,3.790092468E0,2.500000000E0
6.622610112E1,3.211337838E1,1.189531238E2,9.982619431E0,5.699999928E-1,5.240000153E1,3.790092468E0,2.500000000E0
6.721974206E1,3.211338037E1,1.189531262E2,1.004990608E1,3.600000143E-1,5.209999847E1,3.790092468E0,2.500000000E0
6.822287805E1,3.211338585E1,1.189531325E2,1.004281487E1,1.190000057E0,4.779999924E1,3.790092468E0,2.500000000E0
6.922692226E1,3.211339745E1,1.189531449E2,1.006150177E1,1.820000052E0,4.770000076E1,3.790092468E0,2.500000000E0
7.022161638E1,3.211341053E1,1.189531592E2,1.025285347E1,1.830000043E0,4.609999847E1,3.790092468E0,2.500000000E0
7.122061336E1,3.211342078E1,1.189531693E2,1.020480377E1,1.110000014E0,4.309999847E1,3.790092468E0,2.500000000E0
7.223263914E1,3.211342780E1,1.189531733E2,9.907226282E0,5.099999905E-1,3.920000076E1,3.790092468E0,2.500000000E0
7.321899232E1,3.211343404E1,1.189531753E2,9.818485721E0,6.700000167E-1,2.760000038E1,3.790092468E0,2.500000000E0
7.422069278E1,3.211344393E1,1.189531805E2,9.920842304E0,1.360000014E0,2.920000076E1,3.790092468E0,2.500000000E0
7.521783841E1,3.211345841E1,1.189531890E2,9.958163372E0,1.789999962E0,3.340000153E1,3.790092468E0,2.500000000E0
7.622658789E1,3.211347250E1,1.189531990E2,1.036004124E1,1.639999986E0,3.590000153E1,3.790092468E0,2.500000000E0
7.723019763E1,3.211348236E1,1.189532061E2,1.019817032E1,9.599999785E-1,3.290000153E1,3.790092468E0,2.500000000E0
7.822170117E1,3.211348878E1,1.189532094E2,1.056706748E1,7.500000000E-1,2.979999924E1,3.790092468E0,2.500000000E0
7.922727044E1,3.211349650E1,1.189532120E2,1.018285661E1,9.900000095E-1,2.120000076E1,3.790092468E0,2.500000000E0
8.022128851E1,3.211350682E1,1.189532156E2,1.010891904E1,1.210000038E0,2.120000076E1,3.790092468E0,2.500000000E0
8.122949434E1,3.211351947E1,1.189532194E2,1.003678594E1,1.360000014E0,1.820000076E1,3.790092468E0,2.500000000E0
8.222766054E1,3.211353179E1,1.189532242E2,1.032277235E1,1.299999952E0,2.179999924E1,3.790092468E0,2.500000000E0
8.323116856E1,3.211354202E1,1.189532292E2,1.079152443E1,9.900000095E-1,2.489999962E1,3.790092468E0,2.500000000E0
8.421888314E1,3.211354962E1,1.189532320E2,1.041878698E1,6.899999976E-1,2.560000038E1,3.790092468E0,2.500000000E0
8.522330794E1,3.211355597E1,1.189532332E2,1.083490163E1,6.100000143E-1,1.900000000E1,3.790092468E0,2.500000000E0
8.622096387E1,3.211356569E1,1.189532350E2,1.071482674E1,1.230000019E0,1.250000000E1,3.790092468E0,2.500000000E0
8.723633601E1,3.211357910E1,1.189532387E2,1.037200444E1,1.460000038E0,1.989999962E1,3.790092468E0,2.500000000E0
