"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.425038300E-2,-1.576875019E1,-6.693750381E0,-8.531250000E0
9.425038300E-2,-1.509375095E1,-7.743750095E0,-8.025000572E0
1.042503830E-1,-1.492500019E1,-7.893750191E0,-8.062500000E0
1.142503830E-1,-1.541250038E1,-8.025000572E0,-7.987500191E0
1.242503830E-1,-1.535625076E1,-7.875000477E0,-8.081250191E0
1.342503830E-1,-1.554375076E1,-7.818750381E0,-8.137500763E0
1.442503830E-1,-1.548750019E1,-7.687500477E0,-8.212500572E0
1.542503830E-1,-1.571250057E1,-7.650000095E0,-8.231250763E0
1.642503830E-1,-1.593750095E1,-7.762500286E0,-8.100000381E0
1.742503830E-1,-1.620000076E1,-7.368750095E0,-8.006250381E0
1.842503830E-1,-1.657500076E1,-7.143750191E0,-7.950000286E0
1.942503830E-1,-1.651875114E1,-6.750000477E0,-8.100000381E0
2.042503830E-1,-1.683750153E1,-6.375000477E0,-8.006250381E0
2.142503830E-1,-1.715625000E1,-6.093750477E0,-7.931250095E0
2.242503830E-1,-1.755000114E1,-5.718750000E0,-7.781250477E0
2.342503830E-1,-1.783125114E1,-5.268750191E0,-7.762500286E0
2.442503830E-1,-1.815000153E1,-4.875000000E0,-7.668750286E0
2.542503830E-1,-1.841250038E1,-4.781250000E0,-7.462500095E0
2.642503830E-1,-1.863750076E1,-4.668750286E0,-7.312500477E0
2.742503830E-1,-1.903125000E1,-4.668750286E0,-6.900000095E0
2.842503830E-1,-1.931250000E1,-4.687500000E0,-6.618750095E0
2.942503830E-1,-1.968750000E1,-4.556250095E0,-6.262500286E0
3.042503830E-1,-2.017500114E1,-4.556250095E0,-5.925000191E0
3.142503830E-1,-2.040000153E1,-4.575000286E0,-5.456250191E0
3.242503830E-1,-2.086875153E1,-4.537500381E0,-5.025000095E0
3.342503830E-1,-2.139375114E1,-4.575000286E0,-4.912500381E0
3.442503830E-1,-2.167500114E1,-4.593750000E0,-4.612500191E0
3.542503830E-1,-2.199375153E1,-4.743750095E0,-4.368750095E0
3.642503830E-1,-2.235000038E1,-4.856250286E0,-3.993750095E0
3.742503830E-1,-2.255625153E1,-5.006250381E0,-3.787500143E0
3.842503830E-1,-2.291250038E1,-5.212500095E0,-3.318750143E0
3.942503830E-1,-2.345625114E1,-5.400000095E0,-3.018750191E0
4.042503830E-1,-2.355000114E1,-5.493750095E0,-2.793750048E0
4.142503830E-1,-2.370000076E1,-5.493750095E0,-2.268750191E0
4.242503830E-1,-2.433750153E1,-5.512500286E0,-1.800000072E0
4.342503830E-1,-2.482500076E1,-5.231250286E0,-1.331250072E0
4.442503830E-1,-2.512500191E1,-5.362500191E0,-9.375000596E-1
4.542503830E-1,-2.544375038E1,-5.512500286E0,-1.500000060E-1
4.642503830E-1,-2.559375191E1,-5.625000000E0,2.812500000E-1
4.742503830E-1,-2.587500191E1,-5.793750286E0,9.375000596E-1
4.842503830E-1,-2.623125076E1,-6.075000286E0,1.593750119E0
4.942503830E-1,-2.683125114E1,-6.131250381E0,2.175000191E0
5.042503830E-1,-2.692500114E1,-6.168750286E0,2.643750191E0
5.142503830E-1,-2.713125038E1,-6.243750095E0,3.093750238E0
5.242503830E-1,-2.765625191E1,-6.093750477E0,3.618750095E0
5.342503830E-1,-2.788125038E1,-5.925000191E0,3.825000048E0
5.442503830E-1,-2.835000038E1,-5.625000000E0,4.237500191E0
5.542503830E-1,-2.861250114E1,-5.250000000E0,4.500000000E0
5.642503830E-1,-2.908125114E1,-5.043750286E0,4.893750191E0
5.742503830E-1,-2.930625153E1,-4.762500286E0,5.137500286E0
5.842503830E-1,-2.992500114E1,-4.537500381E0,5.512500286E0
5.942503830E-1,-3.048750114E1,-4.387500286E0,6.150000095E0
6.042503830E-1,-3.075000191E1,-4.331250191E0,6.450000286E0
6.142503830E-1,-3.138750076E1,-4.068750381E0,6.825000286E0
6.242503830E-1,-3.176250076E1,-3.787500143E0,7.331250191E0
6.342503830E-1,-3.228750229E1,-3.637500048E0,7.950000286E0
6.442503830E-1,-3.238125229E1,-3.243750095E0,8.306250572E0
6.542503830E-1,-3.260625076E1,-2.850000143E0,8.831250191E0
6.642503830E-1,-3.281250000E1,-2.362500191E0,9.337500572E0
6.742503830E-1,-3.303750229E1,-1.893750072E0,9.506250381E0
6.842503830E-1,-3.350625229E1,-1.125000000E0,9.975000381E0
6.942503830E-1,-3.365625000E1,-6.375000477E-1,1.018125057E1
7.042503830E-1,-3.386250305E1,-2.250000089E-1,1.050000000E1
7.142503830E-1,-3.414375305E1,3.937500119E-1,1.081875038E1
7.242503830E-1,-3.472500229E1,9.562500119E-1,1.136250019E1
7.342503830E-1,-3.545625305E1,1.556250095E0,1.194375038E1
7.442503830E-1,-3.590625000E1,2.043750048E0,1.269375038E1
7.542503830E-1,-3.626250076E1,2.718750000E0,1.355625057E1
7.642503830E-1,-3.669375229E1,3.225000143E0,1.455000019E1
7.742503830E-1,-3.723750305E1,3.843750238E0,1.590000057E1
7.842503830E-1,-3.781875229E1,4.443750381E0,1.691250038E1
7.942503830E-1,-3.793125153E1,5.250000000E0,1.805625153E1
8.042503830E-1,-3.830625153E1,6.000000000E0,1.914375114E1
8.142503830E-1,-3.841875076E1,6.768750191E0,1.987500000E1
8.242503830E-1,-3.881250000E1,7.762500286E0,2.047500038E1
8.342503830E-1,-3.939375305E1,8.775000572E0,2.103750038E1
8.442503830E-1,-3.984375000E1,9.862500191E0,2.163750076E1
8.542503830E-1,-3.995625305E1,1.110000038E1,2.197500038E1
8.642503830E-1,-4.018125153E1,1.237500095E1,2.227500153E1
8.742503830E-1,-4.048125076E1,1.329375076E1,2.257500076E1
8.842503830E-1,-4.066875076E1,1.447500038E1,2.268750000E1
8.942503830E-1,-4.081875229E1,1.543125057E1,2.291250038E1
9.042503830E-1,-4.083750153E1,1.648125076E1,2.334375000E1
9.142503830E-1,-4.072500229E1,1.706250000E1,2.356875038E1
9.242503830E-1,-4.050000000E1,1.770000076E1,2.351250076E1
9.342503830E-1,-4.066875076E1,1.826250076E1,2.351250076E1
9.442503830E-1,-4.057500076E1,1.891875076E1,2.356875038E1
9.542503830E-1,-4.068750000E1,1.948125076E1,2.340000153E1
9.642503830E-1,-4.053750229E1,1.980000114E1,2.325000000E1
9.742503830E-1,-4.065000153E1,2.008125114E1,2.328750038E1
9.842503830E-1,-4.051875305E1,2.000625038E1,2.328750038E1
9.942503830E-1,-4.065000153E1,2.030625153E1,2.332500076E1
1.004250383E0,-4.057500076E1,2.045625114E1,2.347500038E1
1.014250383E0,-4.038750076E1,2.060625076E1,2.347500038E1
1.024250383E0,-4.055625153E1,2.040000153E1,2.371875000E1
1.034250383E0,-4.057500076E1,2.047500038E1,2.379375076E1
1.044250383E0,-4.063125229E1,2.073750114E1,2.413125038E1
1.054250383E0,-4.044375229E1,2.083125114E1,2.428125191E1
1.064250383E0,-4.051875305E1,2.126250076E1,2.428125191E1
1.074250383E0,-4.068750000E1,2.135625076E1,2.441250038E1
1.084250383E0,-4.091250229E1,2.161875153E1,2.437500191E1
1.094250383E0,-4.096875000E1,2.182500076E1,2.476875114E1
1.104250383E0,-4.070625305E1,2.205000114E1,2.516250038E1
1.114250383E0,-4.059375000E1,2.218125153E1,2.555625153E1
1.124250383E0,-4.061250305E1,2.223750114E1,2.606250191E1
1.134250383E0,-4.070625305E1,2.261250114E1,2.651250076E1
1.144250383E0,-4.070625305E1,2.263125038E1,2.703750038E1
1.154250383E0,-4.055625153E1,2.315625000E1,2.756250191E1
1.164250383E0,-4.044375229E1,2.345625114E1,2.831250191E1
1.174250383E0,-4.035000229E1,2.381250000E1,2.872500038E1
1.184250383E0,-4.044375229E1,2.430000114E1,2.896875191E1
1.194250383E0,-4.050000000E1,2.484375191E1,2.958750153E1
1.204250383E0,-4.057500076E1,2.533125114E1,2.988750076E1
1.214250383E0,-4.055625153E1,2.563125038E1,3.024375153E1
1.224250383E0,-4.042500305E1,2.636250114E1,3.058125114E1
1.234250383E0,-4.014375305E1,2.677500153E1,3.075000191E1
1.244250383E0,-4.010625076E1,2.722500038E1,3.086250114E1
1.254250383E0,-4.005000305E1,2.775000191E1,3.108750153E1
1.264250383E0,-3.991875076E1,2.810625076E1,3.140625191E1
1.274250383E0,-3.986250305E1,2.840625191E1,3.163125038E1
1.284250383E0,-3.969375229E1,2.893125153E1,3.159375191E1
1.294250383E0,-3.958125305E1,2.941875076E1,3.196875191E1
1.304250383E0,-3.954375076E1,2.971875191E1,3.208125305E1
1.314250383E0,-3.937500000E1,3.009375191E1,3.234375000E1
1.324250383E0,-3.922500229E1,3.046875191E1,3.262500000E1
1.334250383E0,-3.924375153E1,3.061875153E1,3.271875000E1
1.344250383E0,-3.928125000E1,3.061875153E1,3.268125153E1
1.354250383E0,-3.920625305E1,3.065625191E1,3.262500000E1
1.364250383E0,-3.922500229E1,3.065625191E1,3.303750229E1
1.374250383E0,-3.918750000E1,3.061875153E1,3.285000229E1
1.384250383E0,-3.909375000E1,3.063750076E1,3.290625000E1
1.394250383E0,-3.935625076E1,3.045000076E1,3.285000229E1
1.404250383E0,-3.937500000E1,3.016875076E1,3.262500000E1
1.414250383E0,-3.931875229E1,3.011250114E1,3.247500229E1
1.424250383E0,-3.945000076E1,3.007500076E1,3.215625000E1
1.434250383E0,-3.952500153E1,2.986875153E1,3.183750153E1
1.444250383E0,-3.969375229E1,2.947500038E1,3.142500114E1
1.454250383E0,-3.988125229E1,2.906250191E1,3.131250191E1
1.464250383E0,-4.006875229E1,2.846250153E1,3.093750191E1
1.474250383E0,-4.016250229E1,2.780625153E1,3.088125038E1
1.484250383E0,-4.035000229E1,2.705625153E1,3.103125191E1
1.494250383E0,-4.076250076E1,2.630625153E1,3.110625076E1
1.504250383E0,-4.065000153E1,2.565000153E1,3.120000076E1
1.514250383E0,-4.057500076E1,2.506875038E1,3.144375038E1
1.524250383E0,-4.029375076E1,2.416875076E1,3.165000153E1
1.534250383E0,-4.029375076E1,2.334375000E1,3.191250038E1
1.544250383E0,-4.025625229E1,2.240625000E1,3.245625305E1
1.554250383E0,-4.001250076E1,2.173125076E1,3.277500153E1
1.564250383E0,-3.993750000E1,2.126250076E1,3.303750229E1
1.574250383E0,-3.976875305E1,2.034375000E1,3.371250153E1
1.584250383E0,-3.971250153E1,1.936875153E1,3.431250000E1
1.594250383E0,-3.976875305E1,1.869375038E1,3.489375305E1
1.604250383E0,-3.976875305E1,1.798125076E1,3.526875305E1
1.614250383E0,-3.975000000E1,1.719375038E1,3.579375076E1
1.624250383E0,-3.960000229E1,1.668750000E1,3.630000305E1
1.634250383E0,-3.948750305E1,1.601250076E1,3.675000000E1
1.644250383E0,-3.909375000E1,1.488750076E1,3.766875076E1
1.654250383E0,-3.873750305E1,1.419375038E1,3.819375229E1
1.664250383E0,-3.849375153E1,1.361250019E1,3.916875076E1
1.674250383E0,-3.804375076E1,1.280625057E1,3.986250305E1
1.684250383E0,-3.768750000E1,1.230000019E1,4.089375305E1
1.694250383E0,-3.716250229E1,1.194375038E1,4.192500305E1
1.704250383E0,-3.682500076E1,1.119375038E1,4.286250305E1
1.714250383E0,-3.650625229E1,1.057500076E1,4.380000305E1
1.724250383E0,-3.615000153E1,1.042500019E1,4.456875229E1
1.734250383E0,-3.564375305E1,1.018125057E1,4.543125153E1
1.744250383E0,-3.536250305E1,9.956250191E0,4.597500229E1
1.754250383E0,-3.525000000E1,9.637500763E0,4.640625000E1
1.764250383E0,-3.487500000E1,9.393750191E0,4.681875229E1
1.774250383E0,-3.451875305E1,8.812500000E0,4.723125076E1
1.784250383E0,-3.403125000E1,8.587500572E0,4.781250000E1
1.794250383E0,-3.386250305E1,8.193750381E0,4.826250076E1
1.804250383E0,-3.373125076E1,7.743750095E0,4.839375305E1
1.814250383E0,-3.367500305E1,7.406250477E0,4.852500153E1
1.824250383E0,-3.360000229E1,7.237500191E0,4.861875153E1
1.834250383E0,-3.315000153E1,6.843750477E0,4.890000153E1
1.844250383E0,-3.313125229E1,6.562500477E0,4.910625076E1
1.854250383E0,-3.307500076E1,6.450000286E0,4.910625076E1
1.864250383E0,-3.311250305E1,6.168750286E0,4.891875076E1
1.874250383E0,-3.288750076E1,6.075000286E0,4.882500076E1
1.884250383E0,-3.298125076E1,6.018750191E0,4.884375381E1
1.894250383E0,-3.286875153E1,5.775000095E0,4.876875305E1
1.904250383E0,-3.268125153E1,5.625000000E0,4.873125076E1
1.914250383E0,-3.290625000E1,5.681250095E0,4.873125076E1
1.924250383E0,-3.316875076E1,5.681250095E0,4.852500153E1
1.934250383E0,-3.333750153E1,5.775000095E0,4.815000153E1
1.944250383E0,-3.363750076E1,6.187500477E0,4.800000000E1
1.954250383E0,-3.390000153E1,6.543750286E0,4.785000229E1
1.964250383E0,-3.414375305E1,6.993750095E0,4.717500305E1
1.974250383E0,-3.457500076E1,7.593750477E0,4.665000153E1
1.984250383E0,-3.502500153E1,8.043750763E0,4.651875305E1
1.994250383E0,-3.538125229E1,8.812500000E0,4.614375305E1
2.004250383E0,-3.551250076E1,9.600000381E0,4.580625153E1
2.014250383E0,-3.564375305E1,1.040625000E1,4.558125305E1
2.024250383E0,-3.566250229E1,1.119375038E1,4.511250305E1
2.034250383E0,-3.590625000E1,1.222500038E1,4.486875153E1
2.044250383E0,-3.585000229E1,1.327500057E1,4.501875305E1
2.054250383E0,-3.601875305E1,1.447500038E1,4.486875153E1
2.064250383E0,-3.611250305E1,1.586250019E1,4.451250076E1
2.074250383E0,-3.607500076E1,1.702500153E1,4.426875305E1
2.084250383E0,-3.611250305E1,1.822500038E1,4.430625153E1
2.094250383E0,-3.603750229E1,1.963125038E1,4.445625305E1
2.104250383E0,-3.654375076E1,2.086875153E1,4.449375153E1
2.114250383E0,-3.667500305E1,2.205000114E1,4.415625000E1
2.124250383E0,-3.688125229E1,2.317500114E1,4.413750076E1
2.134250383E0,-3.686250305E1,2.411250114E1,4.430625153E1
2.144250383E0,-3.676875305E1,2.497500038E1,4.436250305E1
2.154250383E0,-3.688125229E1,2.576250076E1,4.434375000E1
2.164250383E0,-3.691875076E1,2.668125153E1,4.391250229E1
2.174250383E0,-3.705000305E1,2.730000114E1,4.361250305E1
2.184250383E0,-3.678750229E1,2.812500191E1,4.336875153E1
2.194250383E0,-3.671250153E1,2.853750038E1,4.342500305E1
2.204250383E0,-3.665625000E1,2.908125114E1,4.306875229E1
2.214250383E0,-3.673125076E1,2.981250191E1,4.282500076E1
2.224250383E0,-3.675000000E1,3.065625191E1,4.237500000E1
2.234250383E0,-3.660000229E1,3.131250191E1,4.203750229E1
2.244250383E0,-3.646875000E1,3.196875191E1,4.185000229E1
2.254250383E0,-3.645000076E1,3.249375153E1,4.181250000E1
2.264250383E0,-3.622500229E1,3.316875076E1,4.196250153E1
2.274250383E0,-3.607500076E1,3.384375000E1,4.179375076E1
2.284250383E0,-3.577500153E1,3.455625153E1,4.171875000E1
2.294250383E0,-3.545625305E1,3.504375076E1,4.201875305E1
2.304250383E0,-3.504375076E1,3.538125229E1,4.216875076E1
2.314250383E0,-3.476250076E1,3.609375000E1,4.284375000E1
2.324250383E0,-3.435000229E1,3.661875153E1,4.314375305E1
2.334250383E0,-3.399375153E1,3.727500153E1,4.331250000E1
2.344250383E0,-3.384375000E1,3.789375305E1,4.353750229E1
2.354250383E0,-3.311250305E1,3.866250229E1,4.402500153E1
2.364250383E0,-3.279375076E1,3.948750305E1,4.453125000E1
2.374250383E0,-3.234375000E1,4.031250000E1,4.466250229E1
2.384250383E0,-3.204375076E1,4.098750305E1,4.515000153E1
2.394250383E0,-3.163125038E1,4.143750000E1,4.528125000E1
2.404250383E0,-3.118125153E1,4.181250000E1,4.543125153E1
2.414250383E0,-3.082500076E1,4.216875076E1,4.588125229E1
2.424250383E0,-3.045000076E1,4.254375076E1,4.590000153E1
2.434250383E0,-3.033750153E1,4.297500229E1,4.593750000E1
2.444250383E0,-3.011250114E1,4.320000076E1,4.610625076E1
2.454250383E0,-2.994375038E1,4.340625000E1,4.625625229E1
2.464250383E0,-2.981250191E1,4.346250153E1,4.636875153E1
2.474250383E0,-2.964375114E1,4.359375000E1,4.633125305E1
2.484250383E0,-2.958750153E1,4.389375305E1,4.653750229E1
2.494250383E0,-2.941875076E1,4.438125229E1,4.636875153E1
2.504250383E0,-2.917500114E1,4.449375153E1,4.653750229E1
2.514250383E0,-2.911875153E1,4.430625153E1,4.670625305E1
2.524250383E0,-2.885625076E1,4.408125305E1,4.683750153E1
2.534250383E0,-2.868750191E1,4.404375076E1,4.704375076E1
2.544250383E0,-2.859375191E1,4.398750305E1,4.704375076E1
2.554250383E0,-2.861250114E1,4.404375076E1,4.747500229E1
2.564250383E0,-2.872500038E1,4.395000076E1,4.786875153E1
2.574250383E0,-2.876250076E1,4.359375000E1,4.824375153E1
2.584250383E0,-2.898750114E1,4.333125305E1,4.848750305E1
2.594250383E0,-2.889375114E1,4.320000076E1,4.865625381E1
2.604250383E0,-2.921250153E1,4.314375305E1,4.884375381E1
2.614250383E0,-2.928750038E1,4.261875153E1,4.888125229E1
2.624250383E0,-2.923125076E1,4.235625076E1,4.921875381E1
2.634250383E0,-2.945625114E1,4.186875153E1,4.891875076E1
2.644250383E0,-2.966250038E1,4.128750229E1,4.869375229E1
2.654250383E0,-2.986875153E1,4.098750305E1,4.850625229E1
2.664250383E0,-3.016875076E1,4.053750229E1,4.845000076E1
2.674250383E0,-3.065625191E1,3.993750000E1,4.820625305E1
2.684250383E0,-3.120000076E1,3.915000153E1,4.803750229E1
2.694250383E0,-3.163125038E1,3.855000305E1,4.807500076E1
2.704250383E0,-3.223125076E1,3.787500000E1,4.796250153E1
2.714250383E0,-3.256875229E1,3.729375076E1,4.801875305E1
2.724250383E0,-3.298125076E1,3.661875153E1,4.830000305E1
2.734250383E0,-3.350625229E1,3.556875229E1,4.852500153E1
2.744250383E0,-3.376875305E1,3.444375229E1,4.901250076E1
2.754250383E0,-3.388125229E1,3.361875153E1,4.957500076E1
2.764250383E0,-3.397500229E1,3.268125153E1,5.006250381E1
2.774250383E0,-3.397500229E1,3.176250076E1,5.064375305E1
2.784250383E0,-3.367500305E1,3.078750038E1,5.131875229E1
2.794250383E0,-3.324375153E1,2.955000114E1,5.212500381E1
2.804250383E0,-3.292500305E1,2.853750038E1,5.281875229E1
2.814250383E0,-3.230625153E1,2.767500114E1,5.366250229E1
2.824250383E0,-3.166875076E1,2.696250153E1,5.422500229E1
2.834250383E0,-3.120000076E1,2.606250191E1,5.493750381E1
2.844250383E0,-3.048750114E1,2.548125076E1,5.563125229E1
2.854250383E0,-3.007500076E1,2.491875076E1,5.611875153E1
2.864250383E0,-2.958750153E1,2.458125114E1,5.660625076E1
2.874250383E0,-2.936250114E1,2.428125191E1,5.737500381E1
2.884250383E0,-2.906250191E1,2.403750038E1,5.788125229E1
2.894250383E0,-2.880000114E1,2.377500153E1,5.831250381E1
2.904250383E0,-2.842500114E1,2.323125076E1,5.891250229E1
2.914250383E0,-2.814375114E1,2.257500076E1,5.941875076E1
2.924250383E0,-2.780625153E1,2.173125076E1,5.970000076E1
2.934250383E0,-2.748750114E1,2.109375000E1,6.011250305E1
2.944250383E0,-2.746875191E1,1.993125153E1,6.069375229E1
2.954250383E0,-2.718750191E1,1.903125000E1,6.065625381E1
2.964250383E0,-2.692500114E1,1.798125076E1,6.071250153E1
2.974250383E0,-2.698125076E1,1.683750153E1,6.078750229E1
2.984250383E0,-2.716875076E1,1.569375038E1,6.067500305E1
2.994250383E0,-2.745000076E1,1.475625038E1,6.050625229E1
3.004250383E0,-2.752500153E1,1.385625076E1,6.037500381E1
3.014250383E0,-2.752500153E1,1.260000038E1,5.985000229E1
3.024250383E0,-2.763750076E1,1.160625076E1,5.925000381E1
3.034250383E0,-2.788125038E1,1.057500076E1,5.893125153E1
3.044250383E0,-2.810625076E1,9.525000572E0,5.851875305E1
3.054250383E0,-2.808750153E1,8.531250000E0,5.793750381E1
3.064250383E0,-2.821875191E1,7.950000286E0,5.733750153E1
3.074250383E0,-2.821875191E1,7.143750191E0,5.675625229E1
3.084250383E0,-2.863125038E1,6.431250095E0,5.611875153E1
3.094250383E0,-2.889375114E1,5.625000000E0,5.565000153E1
3.104250383E0,-2.921250153E1,4.875000000E0,5.501250076E1
3.114250383E0,-2.960625076E1,4.256250381E0,5.430000305E1
3.124250383E0,-2.966250038E1,3.675000191E0,5.375625229E1
3.134250383E0,-2.990625191E1,3.075000048E0,5.313750076E1
3.144250383E0,-2.998125076E1,2.437500000E0,5.238750076E1
3.154250383E0,-3.013125038E1,2.231250048E0,5.188125229E1
3.164250383E0,-3.011250114E1,1.837500095E0,5.135625076E1
3.174250383E0,-3.022500038E1,1.725000024E0,5.081250381E1
3.184250383E0,-3.013125038E1,1.556250095E0,5.030625153E1
3.194250383E0,-3.018750191E1,1.331250072E0,4.983750153E1
3.204250383E0,-3.048750114E1,1.218750000E0,4.936875153E1
3.214250383E0,-3.088125038E1,1.293750048E0,4.897500229E1
3.224250383E0,-3.129375076E1,1.575000048E0,4.873125076E1
3.234250383E0,-3.165000153E1,1.650000095E0,4.830000305E1
3.244250383E0,-3.215625000E1,2.025000095E0,4.796250153E1
3.254250383E0,-3.266250229E1,2.512500048E0,4.775625229E1
