"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,3.212165531E1,1.189462831E2,2.209005810E1,7.886770964E-1,1.915417328E2,6.768292427E0,6.768292427E0
9.813328120E-1,3.212164559E1,1.189462868E2,2.213627424E1,7.108578086E-1,1.867241364E2,7.514567375E0,7.514567375E0
1.962074999E0,3.212163760E1,1.189462889E2,2.203219724E1,8.214821815E-1,1.861467285E2,8.846582413E0,8.846582413E0
2.984478124E0,3.212162885E1,1.189462866E2,2.176810322E1,9.072177410E-1,1.949343719E2,9.562945366E0,9.562945366E0
3.961842187E0,3.212162049E1,1.189462779E2,2.181431249E1,7.684590816E-1,2.097593994E2,1.118884468E1,1.118884468E1
4.971342707E0,3.212161859E1,1.189462605E2,2.182775929E1,8.572532535E-1,2.301112823E2,1.199411011E1,1.199411011E1
6.082681770E0,3.212163511E1,1.189462226E2,2.196972532E1,1.104750991E0,3.122245483E2,1.137808037E1,1.137808037E1
6.960452082E0,3.212165748E1,1.189462151E2,2.207693950E1,1.479533434E0,3.498424683E2,9.685333252E0,9.685333252E0
7.977395832E0,3.212166912E1,1.189462268E2,2.223715861E1,1.312166572E0,9.744204521E0,8.919416428E0,8.919416428E0
9.014427602E0,3.212168049E1,1.189462375E2,2.233302816E1,1.397394061E0,2.686903191E1,8.632161140E0,8.632161140E0
9.986594790E0,3.212168225E1,1.189462615E2,2.237258467E1,1.032424808E0,6.229061508E1,9.328602791E0,9.328602791E0
1.096114948E1,3.212168712E1,1.189462717E2,2.230597912E1,8.074796200E-1,6.181894684E1,9.117665291E0,9.117665291E0
1.198321614E1,3.212169168E1,1.189462762E2,2.212091948E1,8.353912830E-1,1.320361423E1,8.784716606E0,8.784716606E0
1.296132344E1,3.212170190E1,1.189462783E2,2.211155270E1,1.071270347E0,3.584872437E2,8.632436752E0,8.632436752E0
1.397274583E1,3.212171636E1,1.189462793E2,2.202925663E1,1.085144162E0,1.791783142E1,8.327929497E0,8.327929497E0
1.499219062E1,3.212172939E1,1.189462853E2,2.173917322E1,1.119199991E0,2.565812874E1,6.885717392E0,6.885717392E0
1.595847812E1,3.212174229E1,1.189462968E2,2.150468849E1,1.245820642E0,4.567159653E1,6.761325836E0,6.761325836E0
1.698128177E1,3.212175501E1,1.189463208E2,2.130578560E1,1.783519149E0,8.202778625E1,7.733650208E0,7.733650208E0
1.798721823E1,3.212176570E1,1.189463441E2,2.092817885E1,1.796798110E0,8.886849213E1,8.438493729E0,8.438493729E0
1.897057448E1,3.212177589E1,1.189463614E2,2.080658911E1,1.998571873E0,4.106303024E1,9.047314644E0,9.047314644E0
1.998021198E1,3.212180954E1,1.189463673E2,2.102837963E1,2.644425154E0,3.528574829E2,9.550046921E0,9.550046921E0
