"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.487812000E-3,-4.363672137E-1,-1.053288698E0,2.984512970E-2
2.748156200E-2,-9.837722778E-1,-1.387728691E0,2.432988957E-2
4.948156200E-2,-4.513421357E-1,-8.292233944E-1,-4.099778533E-1
7.148468700E-2,2.499311417E-1,-3.004758954E-1,-4.628438652E-1
9.348156200E-2,3.835884631E-1,9.880308807E-2,-9.187413007E-2
1.134831250E-1,1.623854339E-1,1.904328763E-1,2.126509100E-1
1.354815620E-1,1.850049011E-2,4.098033160E-2,1.248783097E-1
1.554862500E-1,4.202752933E-2,-7.384487987E-2,-5.612978712E-2
1.774800000E-1,1.713389754E-1,-7.347836159E-3,-8.620180935E-2
1.974800000E-1,2.738945186E-1,4.975933582E-2,3.893829510E-2
2.174800000E-1,2.645046413E-1,3.717551241E-3,1.713913381E-1
2.374815620E-1,1.639038622E-1,-1.828232408E-1,1.770112962E-1
2.594800000E-1,4.673991725E-2,-2.349038571E-1,9.550441802E-2
2.794815620E-1,4.897394031E-2,-1.131147891E-1,3.099704720E-2
3.014800000E-1,1.330638975E-1,3.036872856E-2,9.843656793E-3
3.214878120E-1,1.965240687E-1,-8.229227364E-2,7.346090674E-2
3.434815620E-1,9.885545075E-2,-1.045277715E-1,5.002113804E-2
3.634925000E-1,-1.407433450E-1,-1.043357849E-1,-3.996803891E-3
3.854800000E-1,-3.714584112E-1,-2.543119192E-1,-5.862560868E-2
4.054800000E-1,-5.094790459E-1,-5.273163319E-1,-1.261174977E-1
4.254831250E-1,-4.813618064E-1,-7.771078348E-1,-1.901536286E-1
4.474800000E-1,-4.469264746E-1,-9.423905015E-1,-1.078438908E-1
4.674800000E-1,-5.360255241E-1,-9.568592906E-1,1.749692559E-1
4.874800000E-1,-8.531518579E-1,-4.339761138E-1,4.213399291E-1
5.074815620E-1,-1.595440388E0,-2.685014606E-1,6.788981557E-1
5.274815620E-1,-2.267304897E0,4.771730304E-2,7.129495144E-1
5.474846870E-1,-2.893703461E0,1.052590609E0,6.334323287E-1
5.694800000E-1,-2.770657778E0,7.107504010E-1,4.495968223E-1
5.894800000E-1,-1.792138934E0,1.262169719E0,6.613401771E-1
6.094800000E-1,-6.720215678E-1,2.562754154E0,1.023181796E0
6.294800000E-1,-3.041759729E-1,2.849476814E0,1.035154819E0
6.494800000E-1,-6.441137791E-1,2.482696056E0,1.288820982E0
6.694800000E-1,-5.765346289E-1,6.997199655E-1,1.478922248E0
