"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.000156200E-2,3.745299816E0,2.436999977E-1,-8.402000070E-1
4.000000000E-2,6.971899986E0,2.827999890E-1,5.688299656E0
6.000000000E-2,5.437799931E0,-1.038999915E0,5.589600086E0
8.000156200E-2,2.322000027E0,-1.676800013E0,2.220099926E0
1.100000000E-1,7.538999915E-1,-1.484999955E-1,-1.398399949E0
1.300000000E-1,1.528100014E0,8.834999800E-1,-1.734799981E0
1.500015620E-1,1.709699988E0,9.803999662E-1,-1.401299953E0
1.700093750E-1,1.231599927E0,4.439999759E-1,-6.193000078E-1
2.000000000E-1,1.386999935E-1,1.039999947E-1,-1.309299946E0
2.200046870E-1,9.259999543E-2,3.551999927E-1,-1.993399978E0
2.500000000E-1,8.420000076E-1,5.798999667E-1,-1.343999982E0
2.700125000E-1,7.527999878E-1,7.407999635E-1,-2.465999871E-1
3.000000000E-1,-2.576999962E-1,6.195999980E-1,2.884999812E-1
3.200078120E-1,-4.663999975E-1,4.614000022E-1,3.249999881E-2
3.500000000E-1,-3.136999905E-1,7.802000046E-1,-2.730000019E-1
3.700046870E-1,-4.732999802E-1,7.300999761E-1,-5.963999629E-1
4.000015620E-1,-6.859999895E-1,6.150000095E-1,-3.249999881E-1
4.200140620E-1,-9.722999930E-1,6.636999846E-1,7.228999734E-1
4.500015620E-1,-1.776600003E0,-8.640999794E-1,2.904999852E-1
4.700078120E-1,-1.549399972E0,-8.895999789E-1,8.765999675E-1
5.000015620E-1,-1.203999966E-1,-1.317600012E0,1.119999960E-2
5.200046870E-1,1.101899981E0,-1.071099997E0,1.053200006E0
5.400078120E-1,2.664499998E0,-1.598299980E0,1.287099957E0
5.700000000E-1,2.226699829E0,-3.841699839E0,2.440199852E0
5.900000000E-1,-2.787199974E0,-2.395999908E0,1.816799998E0
6.100000000E-1,-6.628999710E-1,-1.330899954E0,-2.475999892E-1
6.300000000E-1,2.760799885E0,-1.721699953E0,-4.270299911E0
6.500015620E-1,3.613199949E0,-2.504099846E0,-5.453999996E0
6.800000000E-1,6.577000022E-1,-1.565499902E0,-1.868999958E0
7.000000000E-1,1.917899966E0,-2.799499989E0,-2.432299852E0
7.200015620E-1,1.452700019E0,-3.537699938E0,-1.208599925E0
7.400312500E-1,1.656499982E0,-3.342199802E0,-2.964200020E0
7.700015620E-1,4.624199867E0,-4.307600021E0,-1.920529938E1
7.900015620E-1,5.544300079E0,-6.090499878E0,-1.010269928E1
8.100015620E-1,2.460299969E0,-8.983599663E0,-5.487099648E0
8.300015620E-1,2.391599894E0,-6.057299614E0,3.280000016E-2
8.600015620E-1,4.713500023E0,-4.715499878E0,-6.286000013E-1
8.800015620E-1,4.197899818E0,-3.711499929E0,1.965099931E0
9.100000000E-1,7.926999927E-1,-5.631999969E0,1.609099984E0
9.300000000E-1,-1.784699917E0,-7.096199989E0,4.026000023E0
9.500000000E-1,-2.868799925E0,-4.756499767E0,6.192100048E0
9.700000000E-1,-2.335899830E0,-3.619400024E0,7.037799835E0
9.900000000E-1,-2.822000027E0,-3.758399963E0,6.930999756E0
1.010001562E0,-3.783599854E0,-2.491299868E0,5.754099846E0
1.040000000E0,-5.416500092E0,-2.270799875E0,6.136899948E0
1.060000000E0,-6.575599670E0,-1.505699992E0,5.085099697E0
1.080001562E0,-6.296099663E0,-1.267599940E0,3.268599987E0
1.110000000E0,-4.395499706E0,-7.259999961E-2,2.511000037E-1
1.130001562E0,-5.630499840E0,3.130999804E-1,-1.056299925E0
1.150001562E0,-6.118299961E0,1.317799926E0,-1.077199936E0
1.180000000E0,-2.326599836E0,2.174900055E0,-1.537299991E0
1.200000000E0,-3.416999876E-1,2.115999937E0,-9.528999925E-1
1.220001562E0,2.139999904E-2,1.960899949E0,-7.530999780E-1
1.250000000E0,1.871999979E0,1.421399951E0,-2.513599873E0
1.270000000E0,2.593400002E0,1.780799985E0,-1.716699958E0
1.290001562E0,2.948299885E0,2.602499962E0,8.251999617E-1
