"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-9.088293910E-1,3.201124191E0,7.945560455E0
2.197343800E-2,-1.900297046E0,3.379942417E0,8.251137733E0
4.197500000E-2,-2.107931852E0,3.535038710E0,7.622448921E0
6.397656300E-2,-1.962460041E0,3.464467287E0,8.293687820E0
8.597343800E-2,-1.831210017E0,3.463911772E0,9.152142525E0
1.059750000E-1,-1.296163321E0,3.565244198E0,8.763792992E0
1.279750000E-1,-1.260987639E0,3.677082062E0,8.347068787E0
1.479750000E-1,-1.521400213E0,3.176885605E0,7.459805489E0
1.679750000E-1,-1.173656821E0,3.093145847E0,8.002849579E0
1.879828130E-1,-9.200534225E-1,1.996409893E0,7.652567863E0
2.099734380E-1,4.709203243E-1,-1.788468659E-1,4.383237362E0
2.299750000E-1,3.125324011E0,2.198863506E0,9.565103531E0
2.519750000E-1,2.628555775E0,1.249371052E0,1.121937275E1
2.719750000E-1,3.029565334E0,3.175286055E-1,1.600517082E1
2.919750000E-1,4.527138710E0,6.787868023E0,1.172566986E1
3.119750000E-1,1.727521896E0,-1.198355436E0,2.309513807E0
3.339750000E-1,-4.484435558E0,-5.210826874E0,1.251506686E0
3.539781250E-1,-3.450820208E0,-6.823378801E-1,1.247695088E0
3.759734380E-1,5.758227348E0,-3.653944254E0,4.684820652E0
3.959828130E-1,2.763416290E0,-1.477739573E0,2.842163467E1
4.179750000E-1,3.547670603E0,-1.086238766E1,1.324581528E1
4.379750000E-1,2.024086714E0,-5.470233917E0,7.714271069E0
4.599734380E-1,4.767506599E0,-1.671373010E0,1.197758770E1
4.799750000E-1,7.690242767E0,-2.651913643E0,1.452606297E1
4.999750000E-1,5.883645535E0,-2.879966021E0,1.061831379E1
5.199750000E-1,2.106792212E0,-1.837492347E0,5.556980610E0
5.399750000E-1,2.136585563E-1,-1.515596628E0,-1.542124510E0
5.599750000E-1,2.752987385E0,-8.380376697E-1,-7.165386200E0
5.799750000E-1,2.144132137E0,-1.676343441E0,-9.391533852E0
5.999750000E-1,5.000817180E-1,-6.984259605E0,-5.008928776E0
6.199750000E-1,2.340849400E0,-9.628521919E0,-2.995357037E0
6.419734380E-1,6.436399460E0,-1.155323887E1,-2.140215158E0
6.619859380E-1,9.060990334E0,-1.494060326E1,3.533458412E-1
6.839750000E-1,1.311306190E1,-1.683864975E1,3.535536766E0
7.039796880E-1,1.638150215E1,-1.621785355E1,1.175149822E1
7.259734380E-1,1.934195137E1,-1.425130367E1,1.386123085E1
7.459734380E-1,2.189287758E1,-1.513553047E1,8.082298279E0
7.659734380E-1,2.362253571E1,-1.536612034E1,3.198758841E0
7.859734380E-1,2.676368904E1,-1.332002640E1,3.330037594E0
8.059734380E-1,2.698086166E1,-9.135009766E0,4.208240032E0
8.259734380E-1,2.397337151E1,-7.681930065E0,1.074891210E0
8.459734380E-1,1.948551750E1,-7.779795647E0,-5.588583946E0
8.659734380E-1,1.526397419E1,-6.733213425E0,-5.691965103E0
8.859750000E-1,1.430721283E1,-6.928513050E0,2.035100222E0
9.079750000E-1,1.249268532E1,-5.815276146E0,4.112874508E0
9.279890630E-1,9.184272766E0,-4.595919132E0,3.279002905E0
9.499750000E-1,7.317638397E0,-2.749300003E0,3.505015612E0
9.699875000E-1,1.268850327E0,-3.035522223E0,1.274625063E0
9.919734380E-1,2.050260305E0,-4.987983704E0,3.671843529E0
1.011975000E0,-1.040684795E1,-1.112562466E1,-1.748471069E1
1.033973438E0,3.781804562E0,-6.081952095E0,-2.385362387E0
1.053975000E0,7.665208817E0,-3.030982733E0,-2.354534626E0
1.073975000E0,8.699045181E0,-5.253999233E0,-4.499662817E-1
1.095975000E0,9.740243912E0,-5.654252052E0,-3.699913025E0
1.117975000E0,8.437569618E0,-6.633863926E0,3.663827658E0
1.137975000E0,1.171956921E1,9.566559196E-1,2.534693241E0
1.157975000E0,1.002060509E1,-1.795364022E0,1.163566685E1
1.177995313E0,8.653190613E0,-3.263344765E0,9.727536201E0
1.199975000E0,9.603650093E0,-6.060222626E0,3.666892290E0
1.219987500E0,5.011025906E0,-8.424937248E0,-4.982161045E0
1.241973438E0,4.636036396E0,-1.015908623E1,-3.471247911E0
1.261976563E0,6.136118889E0,-1.218392944E1,8.191139102E-1
1.283975000E0,8.196874619E0,-1.198167706E1,1.660627961E0
1.305973438E0,1.101690006E1,-8.325482368E0,1.270953274E1
1.325975000E0,2.499795675E0,-7.844621181E0,1.017623806E1
1.347975000E0,1.741685867E0,-7.161124706E0,2.072918892E0
1.367975000E0,1.598273367E-1,-5.359899521E0,4.311497688E0
1.387975000E0,-2.740977705E-1,-5.953575134E0,2.112805557E1
1.407975000E0,-6.109236479E-1,-5.406059742E0,1.713847160E1
1.427984375E0,1.359992743E0,-6.234702110E0,-1.019094849E1
1.449975000E0,2.125418901E0,-6.472475052E0,-1.165526104E1
1.469982813E0,-5.458827496E0,-3.228111744E0,-1.005924797E1
1.491973438E0,-1.263400078E1,-9.383039474E0,1.260524178E1
1.511973438E0,-7.958699703E0,-1.008389854E1,5.588861942E0
1.531973438E0,-4.788776875E0,-8.213567734E0,6.849906445E-1
1.551981250E0,-3.820829868E0,-8.629057884E0,-2.464677572E0
1.573975000E0,-2.947884798E0,-9.747570992E0,-1.443301439E0
1.593987500E0,-2.570903301E0,-8.906133652E0,1.733421087E0
1.615973438E0,-3.870753646E-1,-6.614212036E0,7.033110857E-1
1.635982813E0,1.796225905E-1,-7.918362141E0,1.838363856E-1
1.657973438E0,7.775409520E-2,-8.259890556E0,-2.183464050E0
1.677975000E0,-1.857977152E0,-1.043450546E1,-2.247216702E0
1.697975000E0,-4.717564106E0,-1.318346119E1,-1.442037225E0
1.717975000E0,-5.811876774E0,-1.417220879E1,2.760054827E0
