"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.185500000E-2,3.525000000E1,1.437500000E0,-3.406250000E1
3.185500000E-2,3.537500000E1,1.625000000E0,-3.418750000E1
5.186437500E-2,3.568750000E1,1.812500000E0,-3.443750000E1
8.185500000E-2,3.587500000E1,2.000000000E0,-3.425000000E1
1.018596880E-1,3.581250000E1,2.187500000E0,-3.443750000E1
1.318534380E-1,3.575000000E1,2.375000000E0,-3.406250000E1
1.518643750E-1,3.581250000E1,2.562500000E0,-3.343750000E1
1.818534380E-1,3.550000000E1,2.875000000E0,-3.375000000E1
2.018581250E-1,3.493750000E1,3.062500000E0,-3.412500000E1
2.318534380E-1,3.356250000E1,2.937500000E0,-3.568750000E1
2.518550000E-1,3.343750000E1,2.875000000E0,-3.593750000E1
2.818550000E-1,3.425000000E1,3.500000000E0,-3.487500000E1
3.018659380E-1,3.518750000E1,4.000000000E0,-3.381250000E1
3.318534380E-1,3.562500000E1,6.062500000E0,-3.256250000E1
3.518643750E-1,3.462500000E1,7.875000000E0,-3.343750000E1
3.818534380E-1,2.956250000E1,1.118750000E1,-3.693750000E1
4.018628130E-1,2.343750000E1,1.206250000E1,-4.100000000E1
4.318534380E-1,1.900000000E1,8.625000000E0,-4.368750000E1
4.518643750E-1,1.831250000E1,7.312500000E0,-4.406250000E1
4.818534380E-1,1.831250000E1,6.750000000E0,-4.375000000E1
5.018581250E-1,1.981250000E1,6.875000000E0,-4.287500000E1
5.318550000E-1,2.212500000E1,7.250000000E0,-4.156250000E1
5.518659380E-1,2.231250000E1,7.125000000E0,-4.106250000E1
5.818550000E-1,1.568750000E1,5.625000000E0,-4.456250000E1
6.018581250E-1,7.500000000E0,5.375000000E0,-4.675000000E1
6.318534380E-1,-5.875000000E0,6.875000000E0,-4.687500000E1
6.518565630E-1,-1.350000000E1,9.875000000E0,-4.487500000E1
6.818550000E-1,-2.293750000E1,1.581250000E1,-3.793750000E1
7.118534380E-1,-3.043750000E1,2.031250000E1,-2.750000000E1
7.318534380E-1,-3.300000000E1,2.106250000E1,-2.156250000E1
7.518534380E-1,-3.368750000E1,2.175000000E1,-1.800000000E1
7.718534380E-1,-3.200000000E1,2.343750000E1,-1.743750000E1
7.918534380E-1,-2.843750000E1,2.575000000E1,-1.875000000E1
8.118534380E-1,-2.443750000E1,2.825000000E1,-2.112500000E1
8.318534380E-1,-2.100000000E1,2.881250000E1,-2.412500000E1
8.518534380E-1,-1.850000000E1,2.781250000E1,-2.743750000E1
8.718534380E-1,-1.706250000E1,2.668750000E1,-2.962500000E1
8.918550000E-1,-1.712500000E1,2.506250000E1,-3.131250000E1
9.218534380E-1,-1.912500000E1,2.043750000E1,-3.387500000E1
9.418534380E-1,-2.131250000E1,1.737500000E1,-3.443750000E1
9.618550000E-1,-2.418750000E1,1.406250000E1,-3.468750000E1
