"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.781566668E-2,-4.921765137E-1,4.618795166E0,1.210442871E1
3.781666668E-2,-6.867718506E-1,5.078489227E0,1.196506851E1
5.781766667E-2,-1.410217438E0,5.578898621E0,1.203826630E1
7.781866667E-2,-2.465373230E0,5.371879120E0,1.180669785E1
9.781966667E-2,-3.036136322E0,4.397405548E0,1.175849808E1
1.178206667E-1,-3.312162323E0,2.508633270E0,1.150462601E1
1.378216667E-1,-3.398233337E0,2.269730072E0,1.175595337E1
1.578271250E-1,-3.017125854E0,2.300266571E0,1.053060150E1
1.778281250E-1,-2.779869232E0,2.342329102E0,8.974736938E0
1.978281250E-1,-3.266058197E0,2.206711121E0,8.589288483E0
2.178291250E-1,-3.612288208E0,2.495310974E0,8.207133179E0
2.378301250E-1,-2.958447876E0,2.698438568E0,8.156688080E0
2.578311250E-1,-1.992057495E0,2.355801086E0,8.089328156E0
2.778321250E-1,-1.401535492E0,2.016606445E0,7.955057373E0
2.978331250E-1,-5.451663208E-1,2.156116333E0,7.908055115E0
3.178341250E-1,-3.625460815E-1,2.474953308E0,7.251071320E0
3.378351250E-1,-1.778302002E-1,2.921025696E0,6.439908142E0
3.578361250E-1,-2.963836670E-1,3.186573486E0,6.686894531E0
3.778371250E-1,-2.679428101E-1,3.193459167E0,7.200326843E0
3.978381250E-1,-1.769320679E-1,3.031495972E0,6.916217651E0
4.178391250E-1,-1.592687988E-1,3.349285126E0,6.977440338E0
4.378401250E-1,-6.071374512E-1,3.639082489E0,7.331753540E0
4.578411250E-1,-9.404942322E-1,3.534899139E0,8.287516022E0
4.778421250E-1,-9.921368408E-1,3.371738434E0,8.705746307E0
4.978431250E-1,-9.913883972E-1,3.780089264E0,8.782087555E0
5.178441250E-1,-7.135661316E-1,4.586013336E0,8.909472656E0
5.378441250E-1,-4.784051514E-1,5.075645142E0,9.688901825E0
5.578451250E-1,-4.041595459E-1,5.053940277E0,1.094224548E1
5.778461250E-1,-1.146615601E-1,4.878355408E0,1.199141373E1
5.978471250E-1,-8.442443848E-2,4.301455078E0,1.206715622E1
6.178481250E-1,3.161425781E-1,3.967948608E0,1.100137253E1
6.378491250E-1,2.679428101E-1,4.892875214E0,1.149235153E1
6.578501250E-1,1.218466187E-1,5.267845459E0,1.306243652E1
6.778511250E-1,5.384303284E-1,4.454137573E0,1.350761078E1
6.978521250E-1,7.349716187E-1,2.493365021E0,1.288610321E1
7.178531250E-1,4.908293152E-1,9.172924805E-1,1.293385391E1
7.378541250E-1,6.656657410E-1,3.960763550E-1,1.108624603E1
7.578551250E-1,8.557704163E-1,3.294648743E-1,9.445208588E0
7.778561250E-1,1.097068634E0,1.268761597E0,8.556356964E0
7.978571250E-1,1.145867157E0,2.008074188E0,8.004005585E0
8.178581250E-1,1.096469879E0,2.143542480E0,7.559879150E0
8.378591250E-1,8.428971863E-1,2.252515869E0,7.322472839E0
8.578591250E-1,5.405259705E-1,2.237696686E0,7.194339294E0
8.778601250E-1,3.788621521E-1,1.925595703E0,6.915469208E0
8.978611250E-1,3.146456909E-1,1.742825775E0,6.396049347E0
9.178621250E-1,4.090992737E-1,1.889371033E0,5.939199371E0
9.378631250E-1,4.760101318E-1,2.210004272E0,5.967041473E0
