"Time (s)","X (hPa)"
-5.288066250E-1,1.015504227E3
4.717663750E-1,1.015506744E3
1.472340375E0,1.015509262E3
2.472918375E0,1.015522003E3
3.935326250E0,1.015642014E3
4.935871250E0,1.015647964E3
5.936447250E0,1.015653915E3
6.937023250E0,1.015661926E3
7.937600250E0,1.015661926E3
8.938176250E0,1.015661697E3
9.489125250E0,1.015657501E3
1.048970825E1,1.015656509E3
1.149028325E1,1.015654221E3
1.424247408E1,1.015653305E3
1.524305308E1,1.015654602E3
1.624362608E1,1.015655441E3
1.724420708E1,1.015655975E3
1.824478208E1,1.015662613E3
1.924535608E1,1.015673828E3
1.979631108E1,1.015680084E3
2.079688408E1,1.015683899E3
2.179746008E1,1.015700607E3
2.279803408E1,1.015713882E3
2.379861508E1,1.015735016E3
2.479919008E1,1.015754395E3
2.580001208E1,1.015769730E3
2.680034508E1,1.015777969E3
2.780092208E1,1.015782318E3
2.880149908E1,1.015782318E3
2.980207808E1,1.015782318E3
3.080265108E1,1.015785599E3
3.180323108E1,1.015789337E3
3.280387208E1,1.015793076E3
3.380438008E1,1.015797424E3
3.480495908E1,1.015800476E3
3.580553008E1,1.015800858E3
3.680611008E1,1.015801697E3
3.780668508E1,1.015803757E3
3.880726108E1,1.015806122E3
3.980783608E1,1.015808411E3
4.080842108E1,1.015808716E3
4.180898908E1,1.015810089E3
4.280956808E1,1.015813980E3
4.381014708E1,1.015817108E3
4.481072508E1,1.015819321E3
4.581129808E1,1.015822449E3
4.681187108E1,1.015822449E3
4.781244908E1,1.015822449E3
4.881302608E1,1.015819473E3
4.981360608E1,1.015818787E3
5.081417708E1,1.015817947E3
5.181475708E1,1.015818787E3
5.281533508E1,1.015818939E3
5.381590808E1,1.015820618E3
5.481648508E1,1.015820618E3
5.581705808E1,1.015820618E3
5.681763408E1,1.015820389E3
5.781821308E1,1.015819397E3
5.881878508E1,1.015818329E3
5.981936308E1,1.015816650E3
6.081993908E1,1.015814438E3
6.182052208E1,1.015814133E3
6.282109208E1,1.015813370E3
6.382166808E1,1.015813370E3
6.482225308E1,1.015811081E3
6.582282508E1,1.015809708E3
6.682339808E1,1.015808334E3
6.782397808E1,1.015807190E3
6.882455108E1,1.015806351E3
6.982512608E1,1.015806351E3
7.082570308E1,1.015806274E3
7.182628208E1,1.015805511E3
7.282685208E1,1.015804977E3
7.382743008E1,1.015802460E3
7.482800808E1,1.015802002E3
7.582858908E1,1.015800247E3
7.682916608E1,1.015800247E3
7.782973808E1,1.015802765E3
7.883031608E1,1.015807724E3
7.983089208E1,1.015812073E3
8.083147308E1,1.015816040E3
8.183204908E1,1.015822144E3
8.283273208E1,1.015828323E3
8.383320008E1,1.015832977E3
8.483377308E1,1.015834579E3
8.583435508E1,1.015834579E3
8.683492808E1,1.015830612E3
8.783550408E1,1.015821762E3
8.883608208E1,1.015809479E3
8.983665808E1,1.015799255E3
9.083723208E1,1.015786514E3
9.183780708E1,1.015774689E3
9.283838608E1,1.015761642E3
9.383896208E1,1.015761642E3
9.483954208E1,1.015763016E3
9.584011408E1,1.015772934E3
9.684069308E1,1.015782318E3
9.784127508E1,1.015791168E3
9.884184908E1,1.015791168E3
9.984242608E1,1.015791092E3
1.008430051E2,1.015786896E3
1.018435801E2,1.015784760E3
1.028441541E2,1.015784760E3
1.038447331E2,1.015784760E3
1.048453071E2,1.015784760E3
1.058458811E2,1.015784073E3
1.068464611E2,1.015782013E3
1.078470381E2,1.015780334E3
1.088476151E2,1.015780029E3
1.098481891E2,1.015779266E3
1.127640585E2,1.015770187E3
1.137646365E2,1.015771561E3
1.147652135E2,1.015770721E3
1.157657915E2,1.015772934E3
1.167663655E2,1.015773468E3
1.177669435E2,1.015774841E3
1.183178935E2,1.015779190E3
1.193184675E2,1.015779572E3
1.203190515E2,1.015782318E3
1.213196255E2,1.015786285E3
1.223202005E2,1.015786285E3
1.233207765E2,1.015784378E3
1.243213575E2,1.015780563E3
1.253219315E2,1.015773239E3
1.263225065E2,1.015765610E3
1.273230865E2,1.015756912E3
1.283236595E2,1.015750809E3
1.293242335E2,1.015746002E3
1.303248125E2,1.015743027E3
1.313253915E2,1.015743027E3
1.323259675E2,1.015745926E3
1.333265425E2,1.015751572E3
1.343271205E2,1.015757523E3
1.353276995E2,1.015763245E3
1.363282725E2,1.015764084E3
1.373288485E2,1.015764084E3
1.383294285E2,1.015763931E3
1.393300045E2,1.015763931E3
1.403305785E2,1.015766525E3
1.413311585E2,1.015770187E3
1.423317365E2,1.015774155E3
1.433323075E2,1.015776596E3
1.443328845E2,1.015779343E3
1.453337325E2,1.015779877E3
1.463340375E2,1.015779877E3
1.473346165E2,1.015779266E3
1.483351885E2,1.015778580E3
1.493357665E2,1.015778122E3
1.503363445E2,1.015775757E3
1.513369195E2,1.015773392E3
1.523374965E2,1.015773163E3
1.533380715E2,1.015772476E3
1.543386515E2,1.015771255E3
1.553392255E2,1.015769119E3
1.563398015E2,1.015766525E3
1.573403815E2,1.015764771E3
1.583409565E2,1.015761719E3
1.593415325E2,1.015760040E3
1.603421075E2,1.015759430E3
1.613426885E2,1.015759277E3
1.623432645E2,1.015758438E3
1.633438395E2,1.015758438E3
1.643444155E2,1.015766144E3
1.653449895E2,1.015772095E3
1.663455745E2,1.015776672E3
1.673464335E2,1.015776672E3
1.683467205E2,1.015775833E3
1.693472955E2,1.015764313E3
1.703478715E2,1.015753098E3
1.713484485E2,1.015746994E3
1.723490285E2,1.015744095E3
1.733496085E2,1.015744095E3
1.743501775E2,1.015744400E3
1.753507555E2,1.015747681E3
1.763513335E2,1.015748215E3
1.773519065E2,1.015752563E3
1.783525985E2,1.015754395E3
1.793530585E2,1.015754852E3
1.803536345E2,1.015756378E3
1.813542145E2,1.015756378E3
1.823547925E2,1.015753708E3
1.833553665E2,1.015753098E3
1.843559425E2,1.015749207E3
1.853565175E2,1.015746231E3
1.863570925E2,1.015744324E3
1.873576695E2,1.015744171E3
1.883582475E2,1.015740204E3
1.893588325E2,1.015739288E3
1.903593995E2,1.015737839E3
1.913603435E2,1.015735474E3
1.923605515E2,1.015734634E3
1.933611285E2,1.015734634E3
1.943617055E2,1.015736542E3
1.953622855E2,1.015738831E3
1.963628615E2,1.015742416E3
1.973634345E2,1.015747986E3
1.983640125E2,1.015751038E3
1.993645925E2,1.015754242E3
2.003651665E2,1.015755539E3
2.013657485E2,1.015755539E3
2.023663185E2,1.015756149E3
2.033668955E2,1.015756226E3
2.043675605E2,1.015758133E3
2.053680465E2,1.015763931E3
2.063686235E2,1.015768204E3
2.073692005E2,1.015771255E3
2.083697775E2,1.015775452E3
2.093703485E2,1.015776749E3
2.103709315E2,1.015776749E3
2.113715095E2,1.015773315E3
2.123720865E2,1.015768890E3
2.133726585E2,1.015761795E3
2.143732375E2,1.015755234E3
2.153738105E2,1.015749512E3
2.163743885E2,1.015743256E3
2.173749585E2,1.015743256E3
2.183755355E2,1.015743942E3
2.193761145E2,1.015744095E3
2.203766905E2,1.015744095E3
2.213772695E2,1.015744934E3
2.223778445E2,1.015744934E3
