"Time (s)","Pressure (hPa)"
9.246000000E-2,1.019289062E3
1.724600000E-1,1.019294434E3
2.524600000E-1,1.019303223E3
3.324646880E-1,1.019297852E3
4.124600000E-1,1.019299805E3
4.924600000E-1,1.019300293E3
5.724662500E-1,1.019303223E3
6.524600000E-1,1.019291992E3
7.324600000E-1,1.019293945E3
8.124646880E-1,1.019297363E3
8.924600000E-1,1.019316895E3
9.724600000E-1,1.019321289E3
1.052460000E0,1.019324707E3
1.132460000E0,1.019324219E3
1.212460000E0,1.019312500E3
1.292460000E0,1.019316895E3
1.372460000E0,1.019323730E3
1.452460000E0,1.019313477E3
1.532460000E0,1.019305176E3
1.612460000E0,1.019304199E3
1.692460000E0,1.019288574E3
1.772460000E0,1.019310547E3
1.852460000E0,1.019313965E3
1.932460000E0,1.019302734E3
2.012460000E0,1.019309082E3
2.092460000E0,1.019321777E3
2.172460000E0,1.019325195E3
2.252460000E0,1.019322754E3
2.332458438E0,1.019326660E3
2.412458438E0,1.019297852E3
2.492458438E0,1.019302246E3
2.572460000E0,1.019310059E3
2.652460000E0,1.019328613E3
2.732458438E0,1.019336914E3
2.812458438E0,1.019336914E3
2.892458438E0,1.019336426E3
2.972458438E0,1.019319336E3
3.052458438E0,1.019294434E3
3.132458438E0,1.019305664E3
3.212460000E0,1.019310059E3
3.292460000E0,1.019323730E3
3.372460000E0,1.019329102E3
3.452460000E0,1.019336426E3
3.532460000E0,1.019345703E3
3.612460000E0,1.019338379E3
3.692460000E0,1.019318848E3
3.772460000E0,1.019302734E3
3.852460000E0,1.019311523E3
3.932460000E0,1.019314941E3
4.012460000E0,1.019314453E3
4.092460000E0,1.019330566E3
4.172460000E0,1.019338867E3
4.252458438E0,1.019320801E3
4.332458438E0,1.019293457E3
4.412458438E0,1.019283691E3
4.492458438E0,1.019301758E3
4.572460000E0,1.019298828E3
4.652460000E0,1.019304688E3
4.732458438E0,1.019323730E3
4.812458438E0,1.019345703E3
4.892458438E0,1.019316895E3
4.972458438E0,1.019298340E3
5.052458438E0,1.019293945E3
5.132458438E0,1.019303711E3
5.212460000E0,1.019314941E3
5.292460000E0,1.019294434E3
5.372460000E0,1.019306641E3
5.452460000E0,1.019327637E3
5.532460000E0,1.019332031E3
5.612460000E0,1.019324707E3
5.692460000E0,1.019334961E3
5.772460000E0,1.019326660E3
5.852460000E0,1.019339355E3
5.932460000E0,1.019328125E3
6.012460000E0,1.019345215E3
6.092460000E0,1.019347656E3
6.172460000E0,1.019354004E3
6.252460000E0,1.019349609E3
6.332458438E0,1.019372559E3
6.412458438E0,1.019354980E3
6.492458438E0,1.019326172E3
6.572460000E0,1.019297363E3
6.652460000E0,1.019284668E3
6.732458438E0,1.019302734E3
6.812458438E0,1.019319336E3
6.892458438E0,1.019345703E3
6.972458438E0,1.019345703E3
7.052458438E0,1.019316895E3
7.132458438E0,1.019288086E3
7.212460000E0,1.019316895E3
7.292460000E0,1.019313965E3
7.372460000E0,1.019342773E3
7.452458438E0,1.019370605E3
7.532458438E0,1.019368652E3
7.612458438E0,1.019348145E3
7.692458438E0,1.019319336E3
7.772460000E0,1.019290527E3
7.852460000E0,1.019277832E3
7.932460000E0,1.019288574E3
8.012460000E0,1.019306152E3
8.092460000E0,1.019307617E3
8.172460000E0,1.019307129E3
8.252460000E0,1.019288574E3
8.332460000E0,1.019316406E3
8.412460000E0,1.019345215E3
8.492460000E0,1.019354980E3
8.572460000E0,1.019344238E3
8.652460000E0,1.019315430E3
8.732460000E0,1.019286621E3
8.812460000E0,1.019257812E3
8.892460000E0,1.019266602E3
8.972458438E0,1.019295410E3
9.052458438E0,1.019304199E3
9.132458438E0,1.019306641E3
9.212458438E0,1.019316895E3
9.292460000E0,1.019333984E3
9.372460000E0,1.019340332E3
9.452458438E0,1.019345703E3
9.532458438E0,1.019354492E3
9.612458438E0,1.019325684E3
9.692458438E0,1.019296387E3
9.772458438E0,1.019267578E3
9.852460000E0,1.019265137E3
9.932460000E0,1.019291504E3
1.001246000E1,1.019307129E3
1.009246000E1,1.019310059E3
1.017246000E1,1.019319336E3
1.025246000E1,1.019310059E3
1.033246000E1,1.019320312E3
1.041246000E1,1.019319336E3
1.049246000E1,1.019340820E3
1.057246000E1,1.019334473E3
1.065246000E1,1.019328125E3
1.073246000E1,1.019329102E3
1.081245844E1,1.019335449E3
1.089245844E1,1.019335449E3
1.097245844E1,1.019323242E3
1.105245844E1,1.019331543E3
1.113245844E1,1.019328613E3
1.121245844E1,1.019331055E3
1.129246000E1,1.019329102E3
1.137246000E1,1.019326172E3
1.145245844E1,1.019318848E3
1.153245844E1,1.019322754E3
1.161245844E1,1.019329102E3
1.169245844E1,1.019318359E3
1.177245844E1,1.019324219E3
1.185245844E1,1.019333496E3
1.193245844E1,1.019314453E3
