"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.786595835E-2,-1.754651184E0,5.233267365E0,8.476572876E0
6.786995835E-2,-1.875599670E0,5.066813507E0,8.364306335E0
8.787295833E-2,-1.765129395E0,5.139711914E0,8.241860962E0
1.078759583E-1,-1.623523865E0,5.036726074E0,8.244555359E0
1.278789583E-1,-1.616039429E0,4.849315796E0,8.709338837E0
1.478819583E-1,-1.709295502E0,4.829856262E0,9.130113831E0
1.678849583E-1,-1.715283051E0,4.840633850E0,9.258247375E0
1.878879583E-1,-1.519340515E0,4.909340973E0,8.860225067E0
2.078909584E-1,-1.091979218E0,5.029690704E0,8.379873962E0
2.278939583E-1,-9.030720520E-1,4.929099884E0,8.223449249E0
2.478969583E-1,-8.431965637E-1,4.709057465E0,8.205187225E0
2.678999583E-1,-7.090754700E-1,4.557123413E0,8.328081665E0
2.879029583E-1,-6.483018494E-1,4.419260101E0,8.316106567E0
3.079059583E-1,-5.189707947E-1,4.475543060E0,8.387358398E0
3.279079583E-1,-3.869453430E-1,4.530029755E0,8.284971313E0
3.479109583E-1,-2.601589966E-1,4.560566254E0,8.168214111E0
3.679139583E-1,-2.284249878E-1,4.683610382E0,8.237220612E0
3.879169583E-1,-3.854484558E-1,4.817881165E0,8.530311127E0
4.079199584E-1,-4.721182251E-1,4.716392212E0,8.423732758E0
4.279229583E-1,-4.005670166E-1,4.660109253E0,8.144712982E0
4.479259583E-1,-5.349874878E-1,4.740941162E0,8.258626099E0
4.679289583E-1,-8.234376526E-1,4.943919067E0,8.565188599E0
4.879319583E-1,-1.134341125E0,4.878954163E0,8.636889496E0
5.079349583E-1,-1.093176727E0,4.727618866E0,8.562494202E0
5.279379583E-1,-9.729766846E-1,4.678071899E0,8.367449799E0
5.479409583E-1,-5.869294739E-1,4.925657043E0,8.400081940E0
5.679439583E-1,-6.390211487E-1,5.061125336E0,8.277786255E0
5.879459583E-1,-1.283580780E0,4.579576721E0,7.440128174E0
6.079489583E-1,-1.802252197E-1,4.850962372E0,7.425308990E0
6.279519583E-1,-3.062631226E-1,5.046006775E0,7.388335876E0
6.479549583E-1,-9.089099121E-1,4.760400696E0,7.413932648E0
6.679579583E-1,-1.355131989E0,4.937183075E0,7.680228882E0
6.879609583E-1,-1.272354126E0,4.586312714E0,8.606951752E0
7.079639583E-1,-1.556912384E0,5.077740784E0,9.113947449E0
7.279669583E-1,-1.452279968E0,4.718787231E0,8.994645538E0
7.479699583E-1,-1.368753662E0,4.210743713E0,9.404642944E0
7.679729583E-1,-1.203946381E0,3.723057861E0,9.631421356E0
7.879759583E-1,-1.047371979E0,3.690126343E0,9.620194702E0
8.079789583E-1,-5.851332092E-1,3.822600861E0,9.061855774E0
8.279819583E-1,-3.041674805E-1,3.811224518E0,8.607101440E0
8.479839583E-1,-5.899232483E-1,3.541186066E0,8.753047943E0
8.679869583E-1,-1.828747101E0,2.603386230E0,9.001231842E0
8.879899583E-1,-2.642155609E0,1.091230774E0,8.735534363E0
9.079929583E-1,-2.185605011E0,2.329006805E0,8.960516510E0
9.279959583E-1,-7.250921631E-1,4.344565430E0,8.001610565E0
9.479989583E-1,-2.871478729E0,4.432881775E0,8.231831818E0
9.680019583E-1,-4.850363617E0,3.875141602E0,8.594078522E0
9.880049583E-1,-5.080135803E0,4.718188477E0,6.082152100E0
1.008006583E0,-4.712500305E0,6.579717407E0,4.919819183E0
1.028009583E0,2.360441437E0,1.172766220E1,4.990472260E0
1.048012583E0,-6.193520508E0,7.012467499E0,1.995949402E0
1.068015583E0,-6.345005493E0,7.993527374E0,1.512305145E0
1.088018583E0,-7.763006744E0,8.708889771E0,5.875282288E-1
1.108020583E0,-9.563612366E0,8.387059021E0,3.029699707E-1
1.128023583E0,-9.801617432E0,8.558901672E0,1.156944122E0
1.148026583E0,-8.754544830E0,8.679700470E0,2.017504578E0
1.168029583E0,-7.126679993E0,7.949369202E0,2.034569092E0
1.188032583E0,-7.241790619E0,7.028783569E0,5.507048035E-1
1.208035583E0,-6.717131653E0,7.522307281E0,-1.076112213E0
1.228038583E0,-5.918841705E0,7.400310974E0,-1.638642426E0
1.248041583E0,-5.600154419E0,7.933352509E0,-2.986589355E0
1.268044583E0,-6.363417206E0,8.252039795E0,-5.324577484E0
1.288047583E0,-6.004613342E0,8.121361542E0,-6.420448608E0
1.308050583E0,-5.173092499E0,7.876171417E0,-5.591023407E0
1.328053583E0,-4.114643555E0,7.335346069E0,-5.767356720E0
1.348056583E0,-3.683090973E0,6.536008301E0,-7.883356476E0
1.368058583E0,-2.651436310E0,6.233487396E0,-9.156608734E0
1.388061583E0,-1.778451691E0,6.039790192E0,-9.063652039E0
1.408064583E0,-1.032702484E0,5.472020874E0,-8.462502136E0
1.428067583E0,-6.242019653E-1,4.814588013E0,-8.366851044E0
1.448070583E0,-3.849993896E-1,4.279450836E0,-1.938738373E1
1.468073583E0,-7.973918152E-1,4.256099396E0,-7.940537567E0
1.488076583E0,-4.096531219E0,1.741478577E0,-1.081680634E1
1.508079583E0,-3.056793365E0,2.799179077E0,-1.013302826E1
1.528082583E0,-2.799927521E0,2.700833588E0,-1.161928757E1
1.548085583E0,-3.782633972E0,1.934127960E0,-1.087757996E1
1.568088583E0,-3.771257629E0,3.034938812E0,-1.139265884E1
1.588091583E0,-4.983736267E0,2.991080017E0,-9.983040161E0
1.608094583E0,-7.196884003E0,4.785548401E0,-9.732161865E0
1.628096583E0,-8.866362305E0,5.479954376E0,-8.177195435E0
1.648099583E0,-9.392368469E0,6.547833710E0,-4.556973724E0
1.668102583E0,-8.289162598E0,9.852511597E0,-1.517184998E1
1.688105583E0,-8.400081940E0,1.692829742E0,8.412805481E0
1.708108583E0,-8.401279449E0,8.881780243E0,1.983525238E0
1.728111583E0,-7.441774750E0,6.340514832E0,2.297272797E0
1.748114583E0,-8.164022827E0,7.807015228E0,-1.110690308E-1
1.768117583E0,-8.317453766E0,7.767048340E0,-1.513502655E0
1.788120583E0,-7.535479889E0,7.779771881E0,-6.041436768E-1
1.808123583E0,-5.525010681E0,6.563251648E0,1.537003784E0
1.828126583E0,-3.632645874E0,5.810317383E0,2.044298859E0
1.848129583E0,-2.874472504E0,5.120701447E0,1.478625183E0
1.868132583E0,-2.295027466E0,5.069058838E0,2.991529083E0
1.888134583E0,-3.671415253E0,4.998854828E0,8.354576569E0
1.908137583E0,-3.569327545E0,4.405189362E0,1.067235672E1
1.928140583E0,-2.521805878E0,4.136049042E0,1.048554520E1
1.948143583E0,-2.306254120E0,3.366349640E0,9.462422791E0
1.968146583E0,-2.275717621E0,2.253863068E0,8.472082214E0
1.988149583E0,-1.027463379E0,2.050436096E0,9.742939453E0
2.008153333E0,-1.194665680E0,6.078858948E-1,9.084907837E0
2.028156333E0,-2.672093353E0,-1.352287903E0,1.005264542E1
2.048159333E0,-4.301754456E0,-1.971400452E-1,1.006117767E1
2.068162333E0,-4.266727295E0,2.127076721E0,1.165685944E1
2.088165333E0,-1.514251099E0,3.315156097E0,1.134999756E1
2.108168333E0,-1.076710968E0,3.154390411E0,8.564290466E0
2.128171333E0,-7.321275330E-1,3.703298950E0,8.902886353E0
2.148173333E0,-1.585652618E0,2.286794586E0,1.016401382E1
2.168176333E0,-2.295027466E0,2.166744232E0,9.679321747E0
2.188179333E0,2.525248718E-1,3.253783722E0,7.285948792E0
2.208182333E0,-1.102307739E0,2.656226349E0,8.042325897E0
2.228185333E0,-9.774673462E-1,2.562970276E0,9.206604767E0
2.250351250E0,-1.890119476E0,5.169200592E0,8.773405609E0
2.270354250E0,-1.877545624E0,5.151088257E0,8.716523895E0
2.290357250E0,-1.768871613E0,5.301375732E0,8.167914734E0
2.310360250E0,-1.707948303E0,5.244194641E0,7.886499939E0
2.330363250E0,-1.728305969E0,5.064268799E0,7.905809784E0
2.350365250E0,-1.742526398E0,4.944966888E0,7.936945038E0
2.370368250E0,-1.789528656E0,4.920268250E0,8.034841461E0
2.390371250E0,-1.871408386E0,5.043761444E0,8.394094391E0
2.410374250E0,-1.980232086E0,5.074747009E0,8.641080780E0
2.430377250E0,-1.890418854E0,5.004842377E0,8.613538055E0
2.450380250E0,-1.728904724E0,4.966372375E0,8.552315369E0
2.470383250E0,-1.557361450E0,4.936883698E0,8.570577393E0
2.490386250E0,-1.521735535E0,4.763544159E0,8.647367706E0
2.510389250E0,-1.473685455E0,4.820725250E0,8.577163696E0
2.530392250E0,-1.414558411E0,4.839286652E0,8.420439606E0
2.550395250E0,-1.320104828E0,4.706512756E0,8.361611938E0
2.570398250E0,-1.316362610E0,4.761149139E0,8.574020233E0
2.590401250E0,-1.455573120E0,4.708009644E0,8.740174713E0
2.610404250E0,-1.371148682E0,4.679269409E0,8.624764709E0
2.630407250E0,-1.286125488E0,4.546794891E0,8.240813141E0
2.650410250E0,-1.210981750E0,4.569996643E0,8.309220886E0
2.670412250E0,-1.254241791E0,4.561464386E0,8.504265289E0
2.690415250E0,-1.220861206E0,4.441114655E0,8.575367432E0
2.710418250E0,-1.413510590E0,4.366270294E0,8.470585327E0
2.730421250E0,-1.419947205E0,4.699477386E0,8.525670776E0
2.750424250E0,-1.425186310E0,4.716990967E0,8.664282532E0
2.770427250E0,-1.415306854E0,4.585115204E0,8.795260162E0
2.790430250E0,-1.237177277E0,4.384831696E0,9.077872467E0
2.810433250E0,-9.367520142E-1,4.293072510E0,9.190139008E0
2.830436250E0,-1.054407349E0,4.495002594E0,8.857680359E0
2.850439250E0,-1.441801758E0,4.805007935E0,8.730894012E0
2.870441750E0,-1.463656311E0,4.417014771E0,9.095685425E0
2.890444750E0,-1.137334900E0,4.193828888E0,9.388925629E0
2.910447750E0,-1.154399414E0,4.157304840E0,9.603728943E0
2.930450750E0,-1.250200195E0,4.180207214E0,9.390422516E0
2.950453750E0,-9.174421692E-1,4.054618378E0,8.282276917E0
2.970456750E0,-5.463638306E-1,4.286486206E0,8.078101501E0
2.990459750E0,-6.713539124E-1,4.176015930E0,8.663833466E0
3.010461750E0,-9.087602234E-1,4.035308533E0,9.232500916E0
3.030464750E0,-7.556286621E-1,3.750899963E0,9.074429626E0
3.050467750E0,-5.406756592E-1,3.601211243E0,8.840316467E0
3.070470750E0,-2.697390747E-1,3.927981720E0,9.050479431E0
3.090473750E0,-2.251318359E-1,4.161047058E0,9.419761505E0
3.110476750E0,-2.863545227E-1,4.029021606E0,9.537117462E0
3.130479750E0,-1.975891113E-1,3.741319885E0,9.224118347E0
3.150482750E0,5.912704468E-2,3.669169922E0,8.985364838E0
3.170485750E0,2.372566223E-1,3.719615021E0,9.207353210E0
3.190488750E0,2.510279846E-1,3.646117859E0,9.405690765E0
3.210491750E0,1.926493835E-1,3.362008667E0,9.179810486E0
3.230494750E0,1.447489929E-1,3.031495972E0,9.009764099E0
3.250497750E0,3.248245239E-2,2.908152466E0,9.236542511E0
3.270500750E0,1.134640503E-1,3.184328156E0,9.107211456E0
3.290503750E0,1.197509766E-1,3.453318787E0,8.848699036E0
3.310506750E0,-1.063089294E0,2.842289429E0,8.944649506E0
3.330509750E0,-1.785786438E-1,3.491639099E0,9.408534851E0
3.350512750E0,-4.111949158E-1,3.267106018E0,8.673862610E0
3.370515750E0,-1.129102020E0,3.948638763E0,9.101373596E0
3.390518750E0,-1.195264435E0,3.975283356E0,9.382339325E0
3.410521750E0,-1.850751343E0,2.817890167E0,8.452772369E0
3.430524750E0,-2.719095612E0,1.348845062E0,7.166197815E0
3.450526750E0,-9.684860229E-1,2.037562866E0,5.869743805E0
3.470529750E0,-2.614612885E0,2.736609192E0,8.083190918E0
3.490532750E0,-3.117566986E0,4.294569397E0,8.865314484E0
3.510535750E0,-2.250719604E0,5.077291718E0,1.092308533E1
3.530538750E0,-1.595532074E0,4.688250732E0,1.023691223E1
3.550541750E0,-1.456171875E0,4.377047882E0,9.205107880E0
