"Time (s)","X (hPa)"
-5.118619583E-1,1.017596893E3
4.887170416E-1,1.017597046E3
1.665921375E0,1.017625427E3
2.666503375E0,1.017629776E3
3.667078375E0,1.017634125E3
4.667655375E0,1.017636566E3
5.668238375E0,1.017636566E3
6.668807375E0,1.017636642E3
7.219755375E0,1.017636337E3
8.220329375E0,1.017631912E3
9.220909375E0,1.017628174E3
1.022150638E1,1.017620087E3
1.122206038E1,1.017617493E3
1.222263338E1,1.017616043E3
1.322321037E1,1.017614365E3
1.422379137E1,1.017607651E3
1.522436138E1,1.017603531E3
1.622493838E1,1.017602844E3
1.722551737E1,1.017598724E3
1.822609037E1,1.017598724E3
1.922667237E1,1.017608032E3
2.022724837E1,1.017620239E3
2.122782138E1,1.017628632E3
2.222839937E1,1.017640533E3
2.322897637E1,1.017647781E3
2.422955037E1,1.017647781E3
2.523012938E1,1.017647324E3
2.623070737E1,1.017647247E3
2.723127837E1,1.017644806E3
2.823185338E1,1.017644806E3
2.923242937E1,1.017646713E3
3.023300837E1,1.017646713E3
3.123357937E1,1.017644196E3
3.223415937E1,1.017642212E3
3.323473538E1,1.017636948E3
3.423531037E1,1.017633362E3
3.523589037E1,1.017625809E3
3.623646638E1,1.017625656E3
3.723704038E1,1.017625656E3
3.823762237E1,1.017625809E3
3.923819738E1,1.017626343E3
4.023877138E1,1.017630997E3
4.123934537E1,1.017636032E3
4.223992037E1,1.017639847E3
4.324049838E1,1.017644806E3
4.424107737E1,1.017647781E3
4.524165137E1,1.017651672E3
4.624222737E1,1.017651672E3
4.724295937E1,1.017650909E3
4.824337537E1,1.017650528E3
4.924395838E1,1.017650528E3
5.024452637E1,1.017651749E3
5.124510637E1,1.017653046E3
5.224576837E1,1.017655945E3
5.324626037E1,1.017657700E3
5.424683538E1,1.017660675E3
5.524741537E1,1.017662125E3
5.624798638E1,1.017662735E3
5.724856537E1,1.017663422E3
5.824914337E1,1.017662888E3
5.924971637E1,1.017662888E3
6.025029037E1,1.017658310E3
6.125086737E1,1.017656555E3
6.225144737E1,1.017654419E3
6.325202337E1,1.017650452E3
6.425259938E1,1.017645645E3
6.525317237E1,1.017644424E3
6.625375237E1,1.017643204E3
6.725432338E1,1.017641525E3
6.825490138E1,1.017640076E3
6.925547537E1,1.017640076E3
7.025605838E1,1.017643280E3
7.125662737E1,1.017644653E3
7.225721037E1,1.017644806E3
7.325778737E1,1.017644653E3
7.425836338E1,1.017642975E3
7.525893837E1,1.017640686E3
7.625951338E1,1.017639313E3
7.726008738E1,1.017639313E3
7.826066637E1,1.017639847E3
7.926124337E1,1.017645721E3
8.026181737E1,1.017650909E3
8.126239638E1,1.017656937E3
8.226296737E1,1.017657547E3
8.326354537E1,1.017661743E3
8.426411938E1,1.017664337E3
8.526469837E1,1.017666092E3
8.626527237E1,1.017670212E3
8.726584537E1,1.017674484E3
8.826642537E1,1.017676392E3
8.926699838E1,1.017677460E3
9.026757438E1,1.017679291E3
9.126815238E1,1.017679825E3
9.226872837E1,1.017680588E3
9.326930937E1,1.017680893E3
9.426988237E1,1.017682724E3
9.527046138E1,1.017682724E3
9.627103738E1,1.017681580E3
9.727160837E1,1.017678223E3
9.827218637E1,1.017673035E3
9.927276837E1,1.017670441E3
1.002733414E2,1.017670441E3
1.012739144E2,1.017671967E3
1.022744964E2,1.017676086E3
1.032750714E2,1.017676086E3
1.042756434E2,1.017674561E3
1.052762184E2,1.017673340E3
1.062768004E2,1.017670212E3
1.072773714E2,1.017666550E3
1.082783524E2,1.017665710E3
1.092785224E2,1.017665253E3
1.102790984E2,1.017665100E3
1.112796744E2,1.017664490E3
1.122802494E2,1.017661285E3
1.132808334E2,1.017659531E3
1.142814064E2,1.017657547E3
1.152819854E2,1.017655106E3
1.162825564E2,1.017655106E3
1.172831384E2,1.017654419E3
1.182837094E2,1.017653503E3
