"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.412095834E-2,-6.265925169E-1,-5.466970205E-1,-6.646834314E-2
9.412395835E-2,-3.701623082E-1,-4.179660380E-1,3.643618152E-2
1.141269583E-1,-1.251822710E-1,-2.690168917E-1,8.336600661E-2
1.341299583E-1,-6.962745637E-2,-3.143730760E-1,7.358796895E-2
1.541329583E-1,-1.871629953E-1,-4.649173319E-1,3.167342395E-2
1.741359583E-1,-3.015109003E-1,-6.494266391E-1,-4.551451653E-3
1.941389584E-1,-3.069681823E-1,-6.535544991E-1,1.511919405E-2
2.141419583E-1,-1.925486922E-1,-4.813222289E-1,1.059301570E-1
2.341449583E-1,-4.147704691E-2,-3.485421836E-1,1.969530135E-1
2.541469583E-1,4.827185348E-2,-2.509688139E-1,2.443514466E-1
2.741499583E-1,7.078936696E-2,-2.271611243E-1,2.404291630E-1
2.941529583E-1,5.910852924E-3,-2.048381567E-1,2.025921941E-1
3.141559583E-1,-6.341534853E-2,-1.877077073E-1,1.701364517E-1
3.341589583E-1,-6.503676623E-2,-1.340778619E-1,1.460083127E-1
3.541619583E-1,-3.042007610E-2,-3.366648406E-2,1.494851410E-1
3.741649583E-1,-2.434900403E-2,4.329730198E-2,2.209482640E-1
3.941679584E-1,-5.443659425E-2,4.042502120E-2,3.031392992E-1
4.141709583E-1,-8.549004793E-2,1.359872371E-1,3.258249760E-1
4.341739583E-1,-6.170446798E-2,2.756368220E-1,3.539731503E-1
4.541769583E-1,-4.703501612E-2,3.305829465E-1,4.070473909E-1
4.741799583E-1,-7.896042615E-2,2.426176667E-1,4.596966505E-1
4.941829583E-1,-1.273673177E-1,9.000073373E-2,4.318064451E-1
5.141859583E-1,-2.277439088E-1,8.202344179E-2,3.418465853E-1
5.341879583E-1,-3.177996874E-1,6.262565404E-2,2.971743345E-1
5.541909583E-1,-4.464082420E-1,7.673065364E-2,3.718001842E-1
5.741939583E-1,-4.341093600E-1,1.214893162E-1,4.344570637E-1
5.941969584E-1,-3.848969564E-2,2.338995039E-1,3.901529908E-1
6.141999583E-1,2.101197243E-1,7.157787681E-1,5.433376431E-1
6.342029583E-1,4.107578099E-1,1.073503256E0,5.888713002E-1
6.542059583E-1,5.923235416E-1,1.138875723E0,5.637807846E-1
6.742089583E-1,5.191493034E-1,1.107803345E0,5.452485085E-1
